"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1182603","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","L. Riedel","s.n.","1821",NA,NA,"South America","Brazil",NA,"Sabara.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407144' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182603","NY01182603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1182457","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","F. Oliveira","s.n.","1978","07","08","South America","Brazil","São Paulo","Buntantan","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402618' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182457","NY01182457_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1182604","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","A. F. M. Glaziou","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182604","NY01182604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1182443","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","Y. E. J. Mexia","5714","1931","04","29","South America","Brazil","Minas Gerais","Chacara das Bicas","-43.571739","-17.888053","1270","1270","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182443","NY01182443_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1182370","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","H. S. Irwin","20770","1968","02","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401161' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182370","NY01182370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1182382","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","H. S. Irwin","30582","1971","01","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 55 km E. of Belo Horizonte, road (BR-31) to Antônio dos Santos","-43.57005","-19.8064","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182382","NY01182382_01","Caeté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1182368","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","H. S. Irwin","20562","1968","02","20","South America","Brazil","Minas Gerais","Palácio, Serra do Cipó, km 135 (ca. 150 km N. of Belo Horizonte).","-43.38","-18.82","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401159' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182368","NY01182368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1182405","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","M. Kuhlmann","s.n.","1969","05","28","South America","Brazil","São Paulo","Jarinú.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402149' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182405","NY01182405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1182402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","M. Kuhlmann","s.n.","1942","10","15","South America","Brazil","São Paulo",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182402","NY01182402_01","Mojí-Guaçú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1182371","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","H. S. Irwin","22204","1969","01","18","South America","Brazil","Minas Gerais","Ca. 27km SW of Diamantina, road to Gouveia. Serra do Espinhaço.","-43.72","-18.38","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401162' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182371","NY01182371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","617035","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg) Proença","C. E. B. Proença","J. B. Fernandes","s.n.","1989","09",NA,"South America","Brazil","São Paulo","Buritizal, próximo à torre da TV na entrada de Buritizal","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617035","NY00617035_01","Sao Paulo","widgrenianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","617044","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg) Proença","C. E. B. Proença","G. G. Hatschbach","16421","1967","05","17","South America","Brazil","Paraná","Sítio do Belizário","-49.0553","-25.3058",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617044","NY00617044_01","Campina Grande do Sul","widgrenianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","617043","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","M. L. Kawasaki","A. M. V. de Carvalho","6660","1998","08","29","South America","Brazil","Bahia","Pico do Itubira. Cerca de 31 km SW da cidade, caminho para Mato Grosso","-41.8969","-13.3889",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617043","NY00617043_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1182307","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","G. G. Hatschbach","14851","1966","10","12","South America","Brazil","Paraná","Col. S. Andrade.","-49.2064","-25.5347",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399670' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182307","NY01182307_01","Sao Jose dos Pinhais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1182306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","G. G. Hatschbach","14626","1966","08","17","South America","Brazil","Paraná","Sítio do Belizário","-49.0553","-25.3058",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399669' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182306","NY01182306_01","Campina Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1182546","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","L. R. Landrum","L. O. Williams","7560","1945","09","11","South America","Brazil","Minas Gerais","Morro das Pedras.","-43.9378","-19.9208","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182546","NY01182546_01","Belo Horizonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","617045","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg) Proença","C. E. B. Proença","R. M. Harley","25891","1988","11","03","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Campo do Queiroz. Queiroz","-41.95","-13.53","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617045","NY00617045_01","Rio de Contas","widgrenianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:46:09-03","EAO","IAN","100155","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg)","Staggemeier, VG","Fróes, RL","33971","1957","09","02","Southern America","Brasil","Minas Gerais","Fazenda Cruziro do Sul, região das cabeceiras do Rio São Francisco.",NA,NA,NA,NA,NA,"Árvore de 3m. de altura, frutos.","IAN100155",NA,NA,"widgrenianum","2012","08","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:46:09-03","EAO","IAN","94100","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg)","Staggemeier, VG","Glaziou, AFM","13446","1907",NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"IAN094100",NA,NA,"widgrenianum","2012","08","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:46:09-03","EAO","IAN","108131","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg)","Staggemeier, VG","Oliveira, JE de","1157","1942","10","25","Southern America","Brasil","Minas Gerais","Estação Experimental.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Árvore de 4m. de altura, flores alvas.","IAN108131",NA,"Belo Horizonte","widgrenianum","2012","08","06","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:46:09-03","EAO","IAN","35827","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Psidium","rufum","Psidium rufum widgrenianum","(O.Berg)","Staggemeier, VG","Viégas, AP; Barreto, M","7200","1943","01","19","Southern America","Brasil","Minas Gerais","Fazenda Baleia.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Árvore.","IAN035827","IAN035827 IAN035827_e IAN035827_e1","Belo Horizonte","widgrenianum","2012","08","06","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:21:46-03","UFBA","ALCB","128198","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","DC.","Stadnik, A","Stadnik, A; Lopes, R; Coelho, J; Alves, R","215","2014","05","28","Southern America","Brasil","Bahia","Xaxá","-42.550833","-14.653056","966","966",NA,"ca. 10m alt. Folhas discolores. Frutos verdes imaturos, tricomas ferrugineosem toda a planta.","ALCB045461","ALCB045461","Licínio de Almeida",NA,"2014","05",NA,NA,NA,"-42.550833","-14.653056",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:21:46-03","UFBA","ALCB","128228","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","DC.","Stadnik, A","Stadnik, A; Lopes, R; Jardim, JG; Ibrahim, M","277","2015","01","21","Southern America","Brasil","Bahia","Xaxa","-42.554444","-14.645833","1044","1044",NA,"ca. 4m alt. Folhas cartaceas, discolores. Frutos verdes imaturos","ALCB045491","ALCB045491","Licínio de Almeida",NA,"2015","01",NA,NA,NA,"-42.554444","-14.645833",NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2519319","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.",NA,"Riedel JGF",NA,"1834","11","01","Southern America","Brazil",NA,"Inter Curoellos et Jaquaze.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2519319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2519319","NL-L2519319",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:07:35-03","NBC","NL-BOTANY","U.1451518","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.",NA,"Mexia YEJ",NA,"1931","04","29","Southern America","Brazil",NA,"Plants of Brazil. State of Minas Geraes. Chacara das Bicas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451518 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1451518","NL-U1451518",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:07:35-03","NBC","NL-BOTANY","U.1451610","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.",NA,"Riedel L",NA,"1824","09","01","Southern America","Brazil",NA,"Brazilia. Pr Penka et Sabara.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451610 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1451610","NL-U1451610",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:15:10-03","ESALQ","ESA","63521","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","pilosum","Psidium pilosum","Vell.",NA,"Scaramuzza, C.A.M.",NA,"1993","01","01",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA063521",NA,"Itararé",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:15:10-03","ESALQ","ESA","81744","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart.ex DC.","Kuntz, J.","Oliveira, J.E.","1157.0","1942","10","25",NA,"Brasil","Minas Gerais",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA081744","ESA081744","Belo Horizonte",NA,"2011",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 10:56:25-03","ESALQ","ESA","142636","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart. Ex DC.","Almeida-Scabbio, R.J.","Almeida-Scabbia, R.J.","912.0","2012","12","11",NA,"Brasil","São Paulo",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,"ESA142636",NA,"Guarulhos",NA,"2013","09","03","26398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:15:10-03","ESALQ","ESA","19397","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart. ex DC.","Kawasaki, M.L.","Barreto, K.D. et al.","2151.0","1994","03","15",NA,"Brasil","São Paulo",NA,"-47.1300010681152","-23.2999992370605",NA,NA,NA,NA,"ESA019397","ESA019397","Cabreúva",NA,NA,NA,NA,"16877","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 10:56:25-03","ESALQ","ESA","142637","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart. Ex DC.","Almeida-Scabbio, R.J.","Rossi, L.","2382.0","2013","02","22",NA,"Brasil","São Paulo",NA,"-46.5299987792969","-23.4599990844727",NA,NA,NA,NA,"ESA142637",NA,"Guarulhos",NA,"2013","09","03","26398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:15:10-03","ESALQ","ESA","52399","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart.ex DC.","Kuntz, J.","Scaramuzza, C.A.M. et al.","1006.0","1993","06","12",NA,"Brasil","São Paulo",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA052399","ESA052399","Itararé",NA,"2011",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:15:10-03","ESALQ","ESA","87406","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart.ex DC.","Proença, C.","Guillaumon, J.R.",NA,"2003","04","05",NA,"Brasil","São Paulo",NA,"-46.9700012207031","-23.0300006866455",NA,NA,NA,NA,"ESA087406",NA,"Vinhedo",NA,"2007","02","26","9595","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:15:10-03","ESALQ","ESA","2692","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","DC.","Kawasaki, M.L.","Viegas, A.P.",NA,"1943","01","19",NA,"Brasil","Minas Gerais",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"ESA002692","ESA002692","Belo Horizonte",NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:15:10-03","ESALQ","ESA","14850","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Psidium","rufum","Psidium rufum","DC.","Kawasaki, M.L.","Barreto, K.D. et al.","356.0","1993","04","28",NA,"Brasil","São Paulo",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA014850",NA,"Piracicaba",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 10:56:25-03","ESALQ","ESA","136298","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","rufum","Psidium rufum","Mart. Ex DC","V.C. Moreno","V.S. Moreno",NA,"2013","08","07",NA,"Brasil","Minas Gerais",NA,"-46.5614013671875","-21.7877998352051",NA,NA,NA,NA,"ESA136298",NA,"Poços de Caldas",NA,"2014",NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
