"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"18","2020-02-08 08:57:29-03","NBC","NL-BOTANY","U.1194841","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Tatto L",NA,"1941","01","01","Southern America","Brazil",NA,NA,"near Rio de Janeiro.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1194841 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1194841",NA,"NL-U1194841",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-11-04 11:04:43-03","ESALQ","ESA","75188","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reiss.","Biral, L.","Farah, F.T. et al.","2208.0","2001","05","13",NA,"Brasil","São Paulo","São Paulo Núcleo Curucutu",NA,NA,NA,NA,NA,"ESA075188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 10:55:23-03","ESALQ","ESA","141957","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Santos, P.M.L.A.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2342.0","2015","11","29",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.","-44.7131004333496","-23.2178001403809",NA,"Arvoreta ca. 1,5m de alt. Frutos imaturos verdes.","ESA141957",NA,NA,"34470","auto","2016","05","31",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:56-03","MN","R","8176","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, R.M.","Glaziou, A.F.M.","17577","1889","02","03",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008176",NA,"R000008176_001",NA,NA,"1991","07","10",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:16:34-03","UFV","VIC","18075","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral","Carvalho-Okano, R.M. de","Custódio Filho, A.; et al.","276","1980","07","09",NA,"Brasil","São Paulo","Cunha","Reserva Florestal","-23.166667","-44.833333",NA,"Árvore, c.a. de 12 metros de altura, flores creme, próximo à margem do Rio Paraibuna.","VIC018075",NA,"VIC018075",NA,NA,"1997","09","10","-23.166667","-44.833333",NA,NA,NA,NA,NA,NA
"23","2020-12-20 21:16:34-03","UFV","VIC","12564","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral","Carvalho-Okano, R.M. de","Araújo, D.","9180","1990","08","31",NA,"Brasil","Rio de Janeiro",NA,"Parque Nacional da Tijuca, Próximo à guarita Passo das Pedras, a beira da estrada.",NA,NA,NA,"Árvore, c.a. de 12 metros de altura; frutos verdes.","VIC012564",NA,"VIC012564",NA,NA,"1993","08","24",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-24 17:08:53-03","UFES","SAMES","1356","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral",NA,"Thomaz,L.D.","1789","1993","09","16",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Mata atlântica de encosta.","-40.6002998352051","-19.9356002807617",NA,"Frutos verdes/amarelados.","SAMES01356",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-24 17:08:53-03","UFES","SAMES","1357","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral",NA,"Thomaz,L.D.","1837","1993","06","22",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Vegetação de mata atlântica de encosta.","-40.6002998352051","-19.9356002807617",NA,"Frutos verde/amarelados. Planta com 6m de altura.","SAMES01357",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-24 17:08:53-03","UFES","SAMES","1359","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral",NA,"Thomaz,L.D.","1833","1993","05","18",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Vegetação de mata atlântica de encosta.","-40.6002998352051","-19.9356002807617",NA,"Frutos verdes. Planta com 6m de altura.","SAMES01359",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-24 17:08:53-03","UFES","SAMES","1358","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral",NA,"Thomaz,L.D.","1822","1993","07","22",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Vegetação de mata atlântica de encosta.","-40.6002998352051","-19.9356002807617",NA,"Frutos verde-preto. Planta com 5m de altura.","SAMES01358",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-24 17:08:53-03","UFES","SAMES","1360","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","cestrifolia","Monteverdia cestrifolia","(Reissek) Biral",NA,"Thomaz,L.D.","1836","1993","06","02",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia. Vegetação de mata atlântica de encosta.","-40.6002998352051","-19.9356002807617",NA,"Frutos verde/amarelados. Planta com 6m de altura.","SAMES01360",NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:27:48-03","UNICAMP","UEC","23374","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Custódio-Filho, A; et al.","276","1980","07","09",NA,"Brazil","São Paulo","Cunha","Reserva Florestal","-44.833333","-23.166667",NA,"Árvore 12m, flores crme, próximo a margem do rio Paraibuna.","UEC027752",NA,"UEC027752",NA,NA,"1992","12","06","-44.833333","-23.166667",NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:27:48-03","UNICAMP","UEC","62093","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Gomes, M; et al.","224","1987","08","13",NA,"Brazil","Rio de Janeiro","Volta Redonda","Reserva da Cicuta, Área de relevância ecológica da SEMA.","-44.081111","-22.446667",NA,"Arbusto umbrófilo c/ 2m, folhas fracamente discolores, frutos imaturos esverdeados e maduros amarelos carnosos discentes.","UEC027743",NA,"UEC027743",NA,NA,"1992","10","06","-44.081111","-22.446667",NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:27:48-03","UNICAMP","UEC","62132","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Andeata, RHP; et al.","425","1982","04","14",NA,"Brazil","Rio de Janeiro","Maricá","Itaipuaçu Pico Alto Moirão","-42.8185997009277","-22.9193992614746",NA,"Arbusto de 2m. fruto verde.","UEC027744",NA,"UEC027744","20726","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:27:48-03","UNICAMP","UEC","62130","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Sucre, D; et al.","2130","1968","01","23",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa, Est. da Guanabara.","-43.2075004577637","-22.9027996063232",NA,"Arbusto com 3,5 de alt., umbrófilo crescendo emmata secundária, flores amarelo-esverdeado.","UEC027742","400","UEC027742","57442","auto","1992","10","06",NA,NA,"400",NA,NA,NA,NA,NA
"33","2021-03-01 16:27:48-03","UNICAMP","UEC","62127","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Sucre, D","1476","1967","05","11",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Matas do Pae Ricado.","-43.2075004577637","-22.9027996063232",NA,"Arbusto umbrófilo com I 3 m de alt.; fruto amarelo.","UEC027745",NA,"UEC027745","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:27:48-03","UNICAMP","UEC","62116","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Pessoal do Horto Florestal","170","1927","06","01",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, Perto das obras públicas.","-43.2075004577637","-22.9027996063232",NA,"Árvore de 3-5m de alt.; fruto alvacento.","UEC027732",NA,"UEC027732","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:27:48-03","UNICAMP","UEC","62085","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Pessoal do Horto Florestal","170","1927","06","01",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal, Perto das obras públicas.","-43.2075004577637","-22.9027996063232",NA,"Árvore de 3-5m de alt.; fruto alvacento.","UEC027741",NA,"UEC027741","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:27:48-03","UNICAMP","UEC","62131","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Pereira, E; et al.","4248","1959","01","22",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá, Pau da Fome.","-43.2075004577637","-22.9027996063232",NA,"Arbusto e flores alvas.","UEC027739",NA,"UEC027739","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:27:48-03","UNICAMP","UEC","62086","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Constantino, D","s.n.","1920","09",NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"Árvore de pouca altura, flores alvas.","UEC027746",NA,"UEC027746","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:27:48-03","UNICAMP","UEC","62128","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Kuhlmann, JG","358","1942","02","10",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Caminho do Mato.","-43.2075004577637","-22.9027996063232",NA,"Ramos e frutos.","UEC027748",NA,"UEC027748","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:27:48-03","UNICAMP","UEC","62088","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","?","s.n.","1927","02","04",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Horto florestal.","-43.2075004577637","-22.9027996063232",NA,"Árvore de 3 m; fl. amarelas.","UEC027747",NA,"UEC027747","57442","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:27:48-03","UNICAMP","UEC","62084","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Sucre, D","3562","1968","08","21",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Mata da Lagoinha","-43.2075004577637","-22.9027996063232",NA,"Arbusto até 2m. de alt. umbrófilo, flor branco-amarelo.","UEC027751",NA,"UEC027751","57442","auto","1992","12","06",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:27:48-03","UNICAMP","UEC","62129","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Carauta, JPP; et al.","2849","1978","02","24",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Pedra da Gávea, entre a Iposeira e a Chaminé hely.","-43.2075004577637","-22.9027996063232",NA,"Arbusto ciófilo, flores alvas , frutos verdes.","UEC027749",NA,"UEC027749","57442","auto","1992","12","06",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:27:48-03","UNICAMP","UEC","62087","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Sucre, D","8502","1972","02","23",NA,"Brazil","São Paulo","Campinas","Guanabara, Corcovado.","-47.060001373291","-22.8999996185303",NA,"Árbusto umbrofilo com mais ou menos 3,5 metros de altura, crescendo na mata, flor creme esverdeado.","UEC027750",NA,"UEC027750","23900","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:27:48-03","UNICAMP","UEC","29332","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Carvalho-Okano, RM","Martins, FR; Silva, AC; Silva Filho, CA","12348","1980","07","11",NA,"Brazil","São Paulo","Cunha","Reserva Florestal","-44.9599990844727","-23.0699996948242",NA,"Árvore de 12m, flores axilares de cor crme. Folhas discolores, + escuras na face superior.","UEC027740",NA,"UEC027740","38855","auto","1992","10","06",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:27:48-03","UNICAMP","UEC","121712","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Biral","Farah, FT; Aguiar, S; Breier, TB; Rodrigues, RR; Souza, VC; Tamashiro, JY; et al.","2208","2001","04","13",NA,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu.","-46.6300010681152","-23.5400009155273",NA,"Árvore, ca. 4m alt. frutos castanhos.; Floresta ribeirinha ao longo do rio Mambu.","UEC027754",NA,"UEC027754","53584","auto","2012","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-06-27 10:24:30-03","UFES","VIES","31289","S","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Curto, R.A.; Martins, L.T. & Silva, A.E.","104","2010","10","16",NA,"Brasil","Espírito Santo","Guaçuí","Floresta do Rosal.","-41.6794013977051","-20.7756004333496",NA,NA,"VIES031289","650","VIES031289","17884","auto",NA,NA,NA,NA,NA,"650",NA,NA,NA,NA,NA
"46","2019-09-27 18:04:13-03","UFES","VIES","22639","S","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek","Gomes, J.M.L.","Gomes, J.M.L.","3834","2010","12","11",NA,"Brasil","Espírito Santo","Linhares","Flona de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES022639",NA,"VIES022639","48094","auto","2010","12","11",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-12-06 19:29:22-03","UFES","VIES","28770","S","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Assis, A.M.; Cribari, R.S. & Santos, J.P.","4482","2018","05","19",NA,"Brasil","Espírito Santo","Cariacica","APA do Mochuara. Estrada entre Roda D#?#Água e Sertão Velho.","-40.487778","-20.308889",NA,NA,"VIES028770","490","VIES028770",NA,NA,NA,NA,NA,"40º29'16''W","20º18'32''S","490",NA,NA,NA,NA,NA
"48","2019-06-27 10:24:30-03","UFES","VIES","33273","S","Plantae",NA,NA,"Celastraceae","Maytenus","cestrifolia","Maytenus cestrifolia","Reissek",NA,"Moreira, L.N.","35","2007","07","01",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES033273",NA,"VIES033273","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
