"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","class","order","individualCount","typeStatus","fieldNumber","sex"
"17","2019-05-10 16:39:37-03","UFU","HUFU","59648","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Rezende, A.R.; Monteiro, R.L. & Rezende, P.C.","324","Brasil","HUFU00070804","HUFU00070804","Nakajima, J.N.","2019","04",NA,"2011","04","24","Minas Gerais","Ituiutaba","-49.203889","-18.883889",NA,"Vereda.",NA,"BR-365, a 27 Km de Ituiutaba, Trecho Ituiutaba-Trevão.","-49.203889","-18.883889","660","660",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-05-06 11:53:20-03","UFU","HUFU","38969","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Oliveira, G.C.","384","Brasil","HUFU00046371","HUFU00046371","Nakajima, J.N.","2016","03",NA,"2002","03","23","Minas Gerais","Uberlândia","-48.309167","-19.005833",NA,"Herbácea, ca. 1 m. Roxa.; Vereda.",NA,"Reserva do Clube Caça e Pesca Itororó, 300m da estrada vicinal RM 479, na altura do km 1.3.","-48.309167","-19.005833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-05-06 11:53:20-03","UFU","HUFU","38970","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Oliveira, G.C.","303","Brasil","HUFU00046370","HUFU00046370","Nakajima, J.N.","2016","03",NA,"2002","02","28","Minas Gerais","Uberlândia","-48.309167","-19.005833",NA,"Herbácea, ca. 0,9 m. Roxa.; Vereda.",NA,"Reserva do Clube Caça e Pesca Itororó, 300m da estrada vicinal RM 479 na altura do km 1.3.","-48.309167","-19.005833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-05-06 11:53:20-03","UFU","HUFU","38971","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Oliveira, G.C.","2406","Brasil","HUFU00046372","HUFU00046372","Nakajima, J.N.","2016","03",NA,"2003","01","22","Minas Gerais","Uberlândia","-48.309167","-19.005833",NA,"Herbácea, ca. 0,5 m. Roxa.; Vereda.",NA,"Reserva do Clube Caça e Pesca Itororó, 300m da estrada vicinal RM 479 na altura do km 1.3.","-48.309167","-19.005833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 11:53:20-03","UFU","HUFU","73687","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Resende, I.L.M.","2749","Brasil","HUFU00071103","HUFU00071103",NA,NA,NA,NA,"2014","06","08","Goiás","Quirinópolis","-50.875","-18.507778",NA,"Nativa, subarbusto com 56 cm, vináceo, capítulo verde vináceo com 1,2 cm de comprimento, botões, flor lilás.; Meio de vereda",NA,"Fazenda Boa sorte","-50.875","-18.507778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-05-06 11:53:20-03","UFU","HUFU","73688","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Resende, I.L.M.","2346","Brasil","HUFU00071102","HUFU00071102",NA,NA,NA,NA,"2014","04","01","Goiás","Quirinópolis","-50.875","-18.507778",NA,"Nativa, subarbusto com 66 cm, vináceo, capítulo marrom vináceo com 1,4 cm, flor lilás.; Meio de vereda",NA,"Fazenda Boa sorte","-50.875","-18.507778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-05-06 11:53:20-03","UFU","HUFU","20198","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Araújo, G.M.; Faria, P.","2590","Brasil","HUFU00046381","HUFU00046381","Nakajima, J.N.","2016","03",NA,"1999","05","28","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor roxa.; Vereda.","auto","Estação Ecológica do Panga, Lado esquerdo, meio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-05-06 11:53:20-03","UFU","HUFU","19586","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Araújo, G.M.","2358","Brasil","HUFU00046374","HUFU00046374","Nakajima, J.N.","2016","03",NA,"1999","03","26","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Vereda.","auto","Estação Ecológica do Panga, Lado oeste.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-05-06 11:53:20-03","UFU","HUFU","22499","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Araújo, G.M.","3052","Brasil","HUFU00046384","HUFU00046384","Nakajima, J.N.","2016","03",NA,"2000","02","18","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor rosa.; Vereda.","auto","Estação Ecológica do Panga, Oeste da Estação Ecológica do Panga. Meio da vereda 4, lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-05-06 11:53:20-03","UFU","HUFU","19987","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.; Faria, P.","2005","Brasil","HUFU00046380","HUFU00046380","Nakajima, J.N.","2016","03",NA,"1999","04","30","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Erva com flores avermelhadas, flores roxas.; Vereda.","auto","Estação Ecológica do Panga, Vereda 4, lado direito e meio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-05-06 11:53:20-03","UFU","HUFU","22812","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Barbosa, A.A.A.","3552","Brasil","HUFU00046383","HUFU00046383","Nakajima, J.N.","2016","03",NA,"2000","04","28","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Erva com flor.; Vereda.","auto","Estação Ecológica do Panga, Vereda 4, situada na parte oeste da Estação do Panga. Meio da vereda, lado direito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-05-06 11:53:20-03","UFU","HUFU","22372","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Amaral, A.F.; Cardoso, G.L.","s.n.","Brasil","HUFU00046369","HUFU00046369","Nakajima, J.N.","2016","03",NA,"2000","02","04","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor lilás.; Vereda.","auto","Estrada para Campo Florido, Vereda 2, estrada para o Campo Florido a 20 Km do centro de Uberlândia, meio da vereda, lado direito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-05-06 11:53:20-03","UFU","HUFU","23399","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Amaral, A.F.; Coelho, C.","s.n.","Brasil","HUFU00046373","HUFU00046373","Nakajima, J.N.","2016","03",NA,"2000","06","02","Minas Gerais","Uberlândia","-48.2771987915039","-18.9186000823975","58223","Flor roxa.; Vereda.","auto","Reserva do Clube Caça e Pesca Itororó, Vereda 1, situada na reserva vegetal do Clube Caça e Pesca Itororó, fundo da vereda, lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-19 09:28:47-03","IBt","SP","16370","S","Plantae",NA,"Asteraceae","Heterocondylus","lysimachioides","Heterocondylus lysimachioides","(Chodat) R.M.King & H.Rob.","Loefgren, A","CGG4283","Brasil","SP050476","SP050476","Esteves, RL","2007","06",NA,"1899","04","14","São Paulo","Araraquara","-48.1699981689453","-21.7900009155273","29178",NA,"auto","Lageado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2010-08-16 16:37:22-03","GH","HU-HERB","GH 00007790","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","lysimachioides","Eupatorium lysimachioides","Chodat","B. Balansa","810","Paraguay",NA,NA,NA,NA,NA,NA,"1876","3","26","Caaguazú",NA,NA,NA,NA,NA,NA,"Dans les prairies marecageuses",NA,NA,NA,NA,"South America","Sheet",NA,NA,NA,"Type","810","undetermined"
