familia,especie_autor,especie_original,cat_ameaca_sp,fonte
Apocynaceae,Ditassa lagoensis E.Fourn.,Ditassa lagoensis,EX,SP_oficial
Apocynaceae,Macroditassa marianae Fontella & Ferreira,Macroditassa marianae,EN,SP_oficial
Apocynaceae,Macroscepis magnifica Malme,Macroscepis magnifica,EX,SP_oficial
Apocynaceae,Mandevilla fragrans (Staldem.) Woodson,Mandevilla fragrans,EX,SP_oficial
Apocynaceae,Mandevilla sellowii (Müll.Arg.) Woodson,Mandevilla sellowii,EX,SP_oficial
Apocynaceae,Mandevilla venulosa (Müll.Arg.) Woodson,Mandevilla venulosa,VU,SP_oficial
Apocynaceae,Matelea glaziovii (E.Fourn.) Morillo,Matelea glaziovii,VU,SP_oficial
Apocynaceae,Matelea marcoassisii Fontella,Matelea marcoassisii,VU,SP_oficial
Apocynaceae,Oxypetalum confusum Malme,Oxypetalum confusum,EX,SP_oficial
Apocynaceae,Oxypetalum ekblomii Malme,Oxypetalum ekblomii,EN,SP_oficial
Apocynaceae,Oxypetalum glaziovii (E.Fourn.) Fontella & Marquete,Oxypetalum glaziovii,EN,SP_oficial
Apocynaceae,Oxypetalum regnellii (Malme) Malme,Oxypetalum regnellii,VU,SP_oficial
Apocynaceae,Oxypetalum strictum Mart.,Oxypetalum strictum,EX,SP_oficial
Apocynaceae,Prestonia bahiensis Müll.Arg.,Prestonia bahiensis,EX,SP_oficial
Apocynaceae,Prestonia solanifolia (Müll.Arg.) Woodson,Prestonia solanifolia,EX,SP_oficial
Apocynaceae,Widgrenia corymbosa Malme,Widgrenia corymbosa,EX,SP_oficial
Araceae,Anthurium ameliae Nadruz & Catharino,Anthurium ameliae,VU,SP_oficial
Araceae,Anthurium bocainense Catharino & Nadruz,Anthurium bocainense,VU,SP_oficial
Araceae,Asterostigma colubrinum Schott,Asterostigma colubrinum,VU,SP_oficial
Araceae,Asterostigma cubense Bogner,Asterostigma cubense,VU,SP_oficial
Araceae,Asterostigma lombardii E.G.Gonç.,Asterostigma lombardii,VU,SP_oficial
Araceae,Asterostigma tweedianum Schott,Asterostigma tweedianum,VU,SP_oficial
Araceae,Heteropsis oblongifolia Kunth,Heteropsis oblongifolia,VU,SP_oficial
Araceae,Philodendron bipennifolium Schott,Philodendron bipennifolium,VU,SP_oficial
Araceae,Philodendron simonianum Sakur.,Philodendron simonianum,VU,SP_oficial
Araceae,Rhodospatha oblongata Poepp. & Endl.,Rhodospatha oblongata,VU,SP_oficial
Araceae,Taccarum peregrinum (Schott) Engl.,Taccarum peregrinum,VU,SP_oficial
Araceae,Urospatha edwallii Engl.,Urospatha edwallii,EX,SP_oficial
Araceae,Wolffia arrhiza (L.) Horkel ex Wimm.,Wolffia arrhiza,VU,SP_oficial
Araceae,Wolffia brasiliensis Wedd.,Wolffia brasiliensis,VU,SP_oficial
Araceae,Xanthosoma blandum Schott,Xanthosoma blandum,VU,SP_oficial
Araceae,Xanthosoma pentaphyllum (Vell.) Schott,Xanthosoma pentaphyllum,EX,SP_oficial
Araceae,Xanthosoma riedelianum (Schott) Schott,Xanthosoma riedelianum,EX,SP_oficial
Araceae,Xanthosoma syngoniifolium Rusby,Xanthosoma syngoniifolium,EW,SP_oficial
Araliaceae,Hydrocotyle langsdorffii DC.,Hydrocotyle langsdorffii,EX,SP_oficial
Araliaceae,Hydrocotyle pusilla A. Rich.,Hydrocotyle pusilla,EX,SP_oficial
Arecaceae,Acrocomia emensis (Toledo) Lorenzi,Acrocomia emensis,VU,SP_oficial
Arecaceae,Acrocomia hassleri (Barb.Rodr.) W.J.Hahn,Acrocomia hassleri,EN,SP_oficial
Arecaceae,Attalea oleifera Barb.Rodr.,Attalea oleifera,VU,SP_oficial
Arecaceae,Butia microspadix Burret,Butia microspadix,VU,SP_oficial
Arecaceae,Euterpe edulis Mart.,Euterpe edulis,VU,SP_oficial
Arecaceae,Mauritia flexuosa L.f.,Mauritia flexuosa,VU,SP_oficial
Aristolochiaceae,Aristolochia cymbifera Mart.,Aristolochia cymbifera,VU,SP_oficial
Aristolochiaceae,Aristolochia odora Steud.,Aristolochia odora,EX,SP_oficial
Asteraceae,Aldama aspilioides (Baker) E.E.Schill. & Panero,Aldama aspilioides,VU,SP_oficial
Asteraceae,Aspilia floribunda Baker,Aspilia floribunda,EN,SP_oficial
Asteraceae,Austrocritonia angulicaulis (Baker) R.M.King & H.Rob.,Austrocritonia angulicaulis,VU,SP_oficial
Asteraceae,Austroeupatorium rosmarinaceum (Cabrera & Vittet) R.M.King & H.Rob.,Austroeupatorium rosmarinaceum,EX,SP_oficial
Asteraceae,Barrosoa apiculata (Gardner) R.M.King & H.Rob.,Barrosoa apiculata,EX,SP_oficial
Asteraceae,Bidens bipinnata L.,Bidens bipinnata,EN,SP_oficial
Asteraceae,Calea acaulis Baker,Calea acaulis,EX,SP_oficial
Asteraceae,Calea gentianoides DC.,Calea gentianoides,EN,SP_oficial
Asteraceae,Calea polycephala (Baker) H.Rob.,Calea polycephala,VU,SP_oficial
Asteraceae,Campuloclinium parvulum (Glaziou ex B.L.Rob.) R.M.King & H.Rob.,Campuloclinium parvulum,VU,SP_oficial
Asteraceae,Campuloclinium riedelii (Baker) R.M.King & H.Rob.,Campuloclinium riedelii,EN,SP_oficial
Asteraceae,Chromolaena arrayana (Gardner) R.M.King & H.Rob.,Chromolaena arrayana,VU,SP_oficial
Asteraceae,Chromolaena elliptica (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena elliptica,EX,SP_oficial
Asteraceae,Chromolaena latisquamulosa (Hiern.) R.M.King & H.Rob.,Chromolaena latisquamulosa,VU,SP_oficial
Asteraceae,Chromolaena rhinanthacea (DC.) R.M.King & H.Rob.,Chromolaena rhinanthacea,EX,SP_oficial
Asteraceae,Disynaphia ericoides (DC.) R.M.King & H.Rob.,Disynaphia ericoides,EN,SP_oficial
Asteraceae,Enhydra sessilis DC.,Enhydra sessilis,EX,SP_oficial
Asteraceae,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,Eremanthus elaeagnus,VU,SP_oficial
Asteraceae,Gochnatia rotundifolia Less.,Gochnatia rotundifolia,EX,SP_oficial
Asteraceae,Gyptis vernoniopsis (Schultz-Bip. ex Baker) R.M.King & H.Rob.,Gyptis vernoniopsis,EN,SP_oficial
Asteraceae,Hatschbachiella tweediana (Hook. & Arn.) R.M.King & H.Rob.,Hatschbachiella tweediana,EN,SP_oficial
Asteraceae,Heterocondylus amphidyctius (DC.) R.M.King & H.Rob.,Heterocondylus amphidyctius,VU,SP_oficial
Asteraceae,Heterocondylus lysimachioides (Chodat) R.M.King & H.Rob.,Heterocondylus lysimachioides,EX,SP_oficial
Asteraceae,Idiothamnus pseudorgyalis R.M.King & H.Rob.,Idiothamnus pseudorgyalis,VU,SP_oficial
Asteraceae,Lessingianthus asteriflorus (Mart. ex DC.),Lessingianthus asteriflorus,EN,SP_oficial
Asteraceae,Lessingianthus reitzianus (Cabrera) H.Rob.,Lessingianthus reitzianus,EN,SP_oficial
Asteraceae,Lessingianthus subcarduoides (H.Rob.) H.Rob.,Lessingianthus subcarduoides,EX,SP_oficial
Asteraceae,Lessingianthus zuccarinianus (Mart. ex DC.) H.Rob.,Lessingianthus zuccarinianus,VU,SP_oficial
Asteraceae,Lulia nervosa (Less.) Zardini,Lulia nervosa,EX,SP_oficial
Asteraceae,Mikania bradei B.L.Rob.,Mikania bradei,EX,SP_oficial
Asteraceae,Mikania stenomeres B.L.Rob.,Mikania stenomeres,EX,SP_oficial
Asteraceae,Neocabreria malachophylla (Klatt) R.M.King & H.Rob,Neocabreria malachophylla,VU,SP_oficial
Asteraceae,Piptocarpha brasiliana Cass.,Piptocarpha brasiliana,VU,SP_oficial
Asteraceae,Praxelis grandiflora (DC.) R.M.King & H.Rob.,Praxelis grandiflora,VU,SP_oficial
Asteraceae,Senecio langei Malme,Senecio langei,EX,SP_oficial
Asteraceae,Stevia alternifolia Hieron.,Stevia alternifolia,EX,SP_oficial
Asteraceae,Stevia leptophylla Sch.Bip. ex Baker,Stevia leptophylla,EN,SP_oficial
Asteraceae,Stevia pohliana Baker,Stevia pohliana,EX,SP_oficial
Asteraceae,Stevia riedelii Schultz-Bip. ex Baker,Stevia riedelii,EN,SP_oficial
Asteraceae,Steyermarkina dispalata (Gardner) R.M.King & H.Rob.,Steyermarkina dispalata,EX,SP_oficial
Asteraceae,Stomatanthes dentatus (Gardner) H.Rob.,Stomatanthes dentatus,VU,SP_oficial
Asteraceae,Stomatanthes dictyophyllus (DC.) H.Rob.,Stomatanthes dictyophyllus,EX,SP_oficial
Asteraceae,Stomatanthes loefgrenii (B.L. Rob.) H.Rob.,Stomatanthes loefgrenii,EN,SP_oficial
Asteraceae,Trixis glaziovii Baker,Trixis glaziovii,EX,SP_oficial
Asteraceae,Verbesina polyanthes Toledo,Verbesina polyanthes,EX,SP_oficial
Asteraceae,Wedelia puberula DC.,Wedelia puberula,EN,SP_oficial
Begoniaceae,Begonia brevilobata Irmsch.,Begonia brevilobata,EX,SP_oficial
Begoniaceae,Begonia handroi Brade,Begonia handroi,EX,SP_oficial
Begoniaceae,Begonia larorum L.B.Sm. & Wassh.,Begonia larorum,EX,SP_oficial
Begoniaceae,Begonia paulensis A.DC.,Begonia paulensis,VU,SP_oficial
Begoniaceae,Begonia piresiana Handro,Begonia piresiana,VU,SP_oficial
Begoniaceae,Begonia undulata Schott,Begonia undulata,EX,SP_oficial
Bignoniaceae,Adenocalymma ubatubense Assis & Semir,Adenocalymma ubatubense,CR,SP_oficial
Bignoniaceae,Anemopaegma arvense (Vell.) Stellfeld ex de Souza,Anemopaegma arvense,EN,SP_oficial
Bignoniaceae,Tabebuia cassinoides (Lam.) DC.,Tabebuia cassinoides,EN,SP_oficial
Bignoniaceae,Zeyheria tuberculosa (Vell.) Bareau ex Verl.,Zeyheria tuberculosa,VU,SP_oficial
Boraginaceae,Cordia silvestris Fresen.,Cordia silvestris,VU,SP_oficial
Boraginaceae,Cordia trichoclada A.DC.,Cordia trichoclada,VU,SP_oficial
Bromeliaceae,Aechmea apocalyptica Reitz,Aechmea apocalyptica,EX,SP_oficial
Bromeliaceae,Aechmea gamossepala Wittm.,Aechmea gamossepala,EX,SP_oficial
Bromeliaceae,Aechmea lingulata (L.) Baker,Aechmea lingulata,VU,SP_oficial
Bromeliaceae,Aechmea recurvata (Klotzsch) L.B.Sm.,Aechmea recurvata,VU,SP_oficial
Bromeliaceae,Aechmea setigera Mart. ex Shult.,Aechmea setigera,EX,SP_oficial
Bromeliaceae,Aechmea wittmackiana (Regel) Mez,Aechmea wittmackiana,VU,SP_oficial
Bromeliaceae,Billbergia alfonsi-joannis Reitz,Billbergia alfonsi-joannis,VU,SP_oficial
Bromeliaceae,Billbergia meyeri Mez,Billbergia meyeri,EX,SP_oficial
Bromeliaceae,Billbergia nutans H.Wendl. ex Regel,Billbergia nutans,VU,SP_oficial
Bromeliaceae,Bromelia interior L.B.Sm.,Bromelia interior,VU,SP_oficial
Bromeliaceae,Dyckia minarum Mez,Dyckia minarum,VU,SP_oficial
Bromeliaceae,Fernseea bocainensis Pereira & Coutinho,Fernseea bocainensis,CR,SP_oficial
Bromeliaceae,Fernseea itatiaiae (Wawra) Baker,Fernseea itatiaiae,EN,SP_oficial
Bromeliaceae,Hoehenbergia ridleyi (Baker) Mez,Hoehenbergia ridleyi,VU,SP_oficial
Bromeliaceae,Neoregelia bahiana (Ule) L.B.Sm.,Neoregelia bahiana,EX,SP_oficial
Bromeliaceae,Neoregelia binotti (Antoine) L.B.Sm.,Neoregelia binotti,EX,SP_oficial
Bromeliaceae,Neoregelia burle-marxii Read.,Neoregelia burle-marxii,VU,SP_oficial
Bromeliaceae,Neoregelia compacta (Mez) L.B.Sm.,Neoregelia compacta,VU,SP_oficial
Bromeliaceae,Neoregelia doeringiana L.B.Sm.,Neoregelia doeringiana,EX,SP_oficial
Bromeliaceae,Neoregelia maculata L.B.Sm.,Neoregelia maculata,EX,SP_oficial
Bromeliaceae,Neoregelia nivea Leme,Neoregelia nivea,VU,SP_oficial
Bromeliaceae,Neoregelia pontualii Leme,Neoregelia pontualii,VU,SP_oficial
Bromeliaceae,Nidularium bocainense Leme,Nidularium bocainense,VU,SP_oficial
Bromeliaceae,Nidularium campos-portoi (L.B.Sm.) Wand. & B.A.Moreira,Nidularium campos-portoi,VU,SP_oficial
Bromeliaceae,Nidularium corallinum (Leme) Leme,Nidularium corallinum,EN,SP_oficial
Bromeliaceae,Nidularium itatiaiae L.B.Sm.,Nidularium itatiaiae,EX,SP_oficial
Bromeliaceae,Nidularium jonesianum Leme,Nidularium jonesianum,EX,SP_oficial
Bromeliaceae,Nidularium minutum Mez,Nidularium minutum,VU,SP_oficial
Bromeliaceae,Nidularium rolfianum Leme,Nidularium rolfianum,VU,SP_oficial
Bromeliaceae,Tillandsia araujei Mez,Tillandsia araujei,VU,SP_oficial
Bromeliaceae,Tillandsia crocata (E.Morren) Baker,Tillandsia crocata,VU,SP_oficial
Bromeliaceae,Tillandsia linearis Vell.,Tillandsia linearis,VU,SP_oficial
Bromeliaceae,Tillandsia polystachia (L.) L.,Tillandsia polystachia,VU,SP_oficial
Bromeliaceae,Tillandsia recurvifolia Hook.,Tillandsia recurvifolia,VU,SP_oficial
Bromeliaceae,Vriesea lubbersii (Baker) E.Morren ex Mez,Vriesea lubbersii,EX,SP_oficial
Bromeliaceae,Vriesea neoglutinosa Mez,Vriesea neoglutinosa,VU,SP_oficial
Bromeliaceae,Vriesea pardalina Mez,Vriesea pardalina,EX,SP_oficial
Bromeliaceae,Vriesea pauperrima E.Pereira,Vriesea pauperrima,VU,SP_oficial
Bromeliaceae,Vriesea platzmannii E.Morren,Vriesea platzmannii,VU,SP_oficial
Bromeliaceae,Vriesea regnellii Mez,Vriesea regnellii,EX,SP_oficial
Bromeliaceae,Vriesea rubyae E.Pereira,Vriesea rubyae,CR,SP_oficial
Bromeliaceae,Vriesea sazimae Leme,Vriesea sazimae,VU,SP_oficial
Bromeliaceae,Vriesea sparsiflora L.B.Sm.,Vriesea sparsiflora,EX,SP_oficial
Bromeliaceae,Vriesea taritubensis E. Pereira & I.A.Penna,Vriesea taritubensis,VU,SP_oficial
Bromeliaceae,Vriesea vulpinoidea L.B.Sm.,Vriesea vulpinoidea,VU,SP_oficial
Bromeliaceae,Wittrockia gigantea (Baker) Leme,Wittrockia gigantea,VU,SP_oficial
Burmanniaceae,Burmannia australis Malme,Burmannia australis,EX,SP_oficial
Burmanniaceae,Burmannia flava Mart.,Burmannia flava,EX,SP_oficial
Cabombaceae,Cabomba aquatica Aubl.,Cabomba aquatica,EX,SP_oficial
Cactaceae,Hatiora herminiae (Campos Porto & Castellanos) Backeb.,Hatiora herminiae,VU,SP_oficial
Cactaceae,Rhipsalis crispata Pfeiff.,Rhipsalis crispata,VU,SP_oficial
Cactaceae,Rhipsalis dissimilis K. Schum.,Rhipsalis dissimilis,EN,SP_oficial
Cactaceae,Schlumbergera lutea Calvente & Brade subsp. bradei (Campos Porto & Castellanos) Calvente & Zappi,Schlumbergera lutea subsp. bradei,VU,SP_oficial
Cactaceae,Schlumbergera opuntioides (Loefgr. & Dusen) D.R.Hunt,Schlumbergera opuntioides,VU,SP_oficial
Calyceraceae,Acicarpha tribuloides Juss.,Acicarpha tribuloides,EX,SP_oficial
Calyceraceae,Boopis bupleuroides (Less) C. A.Mull.,Boopis bupleuroides,EX,SP_oficial
Calyceraceae,Boopis itatiaiae Dusén,Boopis itatiaiae,EN,SP_oficial
Campanulaceae,Lobelia hederacea Cham.,Lobelia hederacea,EX,SP_oficial
Campanulaceae,Lobelia nummularioides Cham.,Lobelia nummularioides,EX,SP_oficial
Campanulaceae,Lobelia xalapensis Kunth,Lobelia xalapensis,EX,SP_oficial
Campanulaceae,Siphocampylus lycioides (Cham.) G.Don,Siphocampylus lycioides,EN,SP_oficial
Caprifoliaceae,Valeriana glaziovii Taub.,Valeriana glaziovii,EN,SP_oficial
Caprifoliaceae,Valeriana organensis Gardner,Valeriana organensis,CR,SP_oficial
Caprifoliaceae,Valeriana reitziana Borsini,Valeriana reitziana,VU,SP_oficial
Celastraceae,Maytenus brasiliensis Mart.,Maytenus brasiliensis,CR,SP_oficial
Celastraceae,Maytenus ilicifolia Mart.,Maytenus ilicifolia,VU,SP_oficial
Celastraceae,Salacia mosenii A.C.Sm.,Salacia mosenii,CR,SP_oficial
Celastraceae,Schaefferia argentinensis Speg.,Schaefferia argentinensis,CR,SP_oficial
Celastraceae,Tontelea martiana (Miers) A.C.Sm.,Tontelea martiana,EN,SP_oficial
Chrysobalanaceae,Couepia leitaofilhoi Prance,Couepia leitaofilhoi,VU,SP_oficial
Chrysobalanaceae,Couepia meridionalis Prance,Couepia meridionalis,EX,SP_oficial
Chrysobalanaceae,Licania gardneri (Hook. f.) Fritsch,Licania gardneri,EX,SP_oficial
Chrysobalanaceae,Licania indurata Pilg.,Licania indurata,EX,SP_oficial
Chrysobalanaceae,Parinari brasiliensis (Schott) Hook.f.,Parinari brasiliensis,EN,SP_oficial
Cleomaceae,Hemiscola diffusa (Banks ex DC.) Iltis,Hemiscola diffusa,EX,SP_oficial
Clusiaceae,Hypericum mutilum L.,Hypericum mutilum,VU,SP_oficial
Clusiaceae,Hypericum piriai Arechav.,Hypericum piriai,EX,SP_oficial
Clusiaceae,Hypericum rigidum A. St.-Hil.,Hypericum rigidum,EX,SP_oficial
Clusiaceae,Vismia martiana Reichardt,Vismia martiana,CR,SP_oficial
Combretaceae,Buchenavia parvifolia subsp. rabelloana (N.F.Mattos) Alwan & Stace,Buchenavia parvifolia subsp. rabelloana,VU,SP_oficial
Combretaceae,Buchenavia hoehneana N.F.Mattos,Buchenavia hoehneana,VU,SP_oficial
Connaraceae,Rourea pseudospadicea G.Schellenb.,Rourea pseudospadicea,EN,SP_oficial
Convolvulaceae,Convolvulus hasslerianus (Chodat) O’Donell,Convolvulus hasslerianus,EX,SP_oficial
Convolvulaceae,Evolvulus chrysotrichos Meisn.,Evolvulus chrysotrichos,EX,SP_oficial
Convolvulaceae,Evolvulus cressoides Mart.,Evolvulus cressoides,EN,SP_oficial
Convolvulaceae,Evolvulus elegans Moric. var. confertifolius Meisn.,Evolvulus elegans var. confertifolius,EX,SP_oficial
Convolvulaceae,Evolvulus filipes Mart.,Evolvulus filipes,EX,SP_oficial
Convolvulaceae,Evolvulus fuscus Meisn.,Evolvulus fuscus,EN,SP_oficial
Convolvulaceae,Evolvulus riedelii Meisn.,Evolvulus riedelii,EN,SP_oficial
Convolvulaceae,Evolvulus stellariifolius Ooststr.,Evolvulus stellariifolius,VU,SP_oficial
Convolvulaceae,Ipomoea acutisepala O'Donell,Ipomoea acutisepala,EX,SP_oficial
Convolvulaceae,Ipomoea aprica House,Ipomoea aprica,VU,SP_oficial
Convolvulaceae,Ipomoea hirsutissima Gardner,Ipomoea hirsutissima,EX,SP_oficial
Convolvulaceae,Ipomoea pinifolia Meisn.,Ipomoea pinifolia,EX,SP_oficial
Convolvulaceae,Ipomoea sericophylla Meisn.,Ipomoea sericophylla,EX,SP_oficial
Convolvulaceae,Ipomoea subrevoluta Choisy,Ipomoea subrevoluta,VU,SP_oficial
Convolvulaceae,Jacquemontia acrocephala Meisn.,Jacquemontia acrocephala,EX,SP_oficial
Convolvulaceae,Jacquemontia glabrescens (Meisn.) M.Pastore & Sim.-Bianch.,Jacquemontia glabrescens,EX,SP_oficial
Convolvulaceae,Operculina macrocarpa (L.) Urb.,Operculina macrocarpa,EW,SP_oficial
Costaceae,Chamaecostus subsessilis (Nees & Mart.) C.Specht & D.W.Stev.,Chamaecostus subsessilis,EX,SP_oficial
Cucurbitaceae,Cayaponia bonariensis (Mill.) Mart.Crov.,Cayaponia bonariensis,EX,SP_oficial
Cucurbitaceae,Cayaponia pedata Cogn.,Cayaponia pedata,EX,SP_oficial
Cucurbitaceae,Cayaponia trilobata (Cogn.) Cogn.,Cayaponia trilobata,VU,SP_oficial
Cymodoceaceae,Halodule wrightii Asch.,Halodule wrightii,EN,SP_oficial
Cyperaceae,Scleria balansae Maury ex Micheli,Scleria balansae,VU,SP_oficial
Dioscoreaceae,Dioscorea grandiflora Griseb.,Dioscorea grandiflora,VU,SP_oficial
Dioscoreaceae,Dioscorea loefgrenii R.Knuth,Dioscorea loefgrenii,VU,SP_oficial
Dioscoreaceae,Dioscorea mantiqueirensis R.Knuth,Dioscorea mantiqueirensis,EX,SP_oficial
Dioscoreaceae,Dioscorea mollis Kunth,Dioscorea mollis,VU,SP_oficial
Dioscoreaceae,Dioscorea plantaginifolia R.Knuth,Dioscorea plantaginifolia,VU,SP_oficial
Dioscoreaceae,Dioscorea rumicoides Griseb.,Dioscorea rumicoides,VU,SP_oficial
Elaeocarpaceae,Sloanea obtusifolia (Moric.) Schum.,Sloanea obtusifolia,EN,SP_oficial
Elaeocarpaceae,Sloanea petalata D.Sampaio e V.C.Souza,Sloanea petalata,EN,SP_oficial
Eremolepidaceae,Eubrachion ambiguum (Hook. & Arn.) Engl.,Eubrachion ambiguum,VU,SP_oficial
Ericaceae,Agarista niederleinii (Sleumer) Judd,Agarista niederleinii,EN,SP_oficial
Ericaceae,Agarista nummularia G.Don,Agarista nummularia,EX,SP_oficial
Ericaceae,Agarista pulchra G.Don,Agarista pulchra,EN,SP_oficial
Ericaceae,Gaultheria sleumeriana Kin.-Gouv.,Gaultheria sleumeriana,EN,SP_oficial
Ericaceae,Gaylussacia montana (Pohl) Sleumer,Gaylussacia montana,EX,SP_oficial
Erythroxylaceae,Erythroxylum catharinense Amaral,Erythroxylum catharinense,EN,SP_oficial
Erythroxylaceae,Erythroxylum cyclophyllum O.E.Schulz,Erythroxylum cyclophyllum,EX,SP_oficial
Erythroxylaceae,Erythroxylum myrsinites Mart.,Erythroxylum myrsinites,EN,SP_oficial
Escalloniaceae,Escallonia chlorophylla Cham. & Schltdl.,Escallonia chlorophylla,CR,SP_oficial
Escalloniaceae,Escallonia obtusissima A.St.-Hil.,Escallonia obtusissima,EX,SP_oficial
Euphorbiaceae,Chiropetalum gymnadenium (Müll.Arg.) Pax & K.Hoffm.,Chiropetalum gymnadenium,EX,SP_oficial
Euphorbiaceae,Croton compressus Lam.,Croton compressus,EN,SP_oficial
Euphorbiaceae,Croton glechomifolius Müll.Arg.,Croton glechomifolius,CR,SP_oficial
