familia,especie_autor,cat_ameaca_br,fonte,especie_original
Alstroemeriaceae,Alstroemeria brasiliensis Spreng.,EN,Portaria 443/2014,Alstroemeria brasiliensis
Alstroemeriaceae,Alstroemeria capixaba M.C.Assis,CR,Portaria 443/2014,Alstroemeria capixaba
Alstroemeriaceae,Alstroemeria caryophyllaea Jacq.,EN,Portaria 443/2014,Alstroemeria caryophyllaea
Alstroemeriaceae,Alstroemeria malmeana Kraenzl.,CR,Portaria 443/2014,Alstroemeria malmeana
Alstroemeriaceae,Alstroemeria orchidioides Meerow,EN,Portaria 443/2014,Alstroemeria orchidioides
Alstroemeriaceae,Alstroemeria penduliflora M.C.Assis,EN,Portaria 443/2014,Alstroemeria penduliflora
Amaranthaceae,Alternanthera decurrens J.C.Siqueira,EN,Portaria 443/2014,Alternanthera decurrens
Amaranthaceae,Alternanthera hirtula (Mart.) R.E.Fr.,VU,Portaria 443/2014,Alternanthera hirtula
Amaranthaceae,Alternanthera januarensis J.C.Siqueira,EN,Portaria 443/2014,Alternanthera januarensis
Amaranthaceae,Amaranthus rosengurtii Hunz.,EN,Portaria 443/2014,Amaranthus rosengurtii
Amaranthaceae,Froelichiella grisea R.E.Fr.,EN,Portaria 443/2014,Froelichiella grisea
Amaranthaceae,Gomphrena centrota E.Holzh.,EN,Portaria 443/2014,Gomphrena centrota
Amaranthaceae,Gomphrena hatschbachiana Pedersen,EN,Portaria 443/2014,Gomphrena hatschbachiana
Amaranthaceae,Gomphrena nigricans Mart.,CR,Portaria 443/2014,Gomphrena nigricans
Amaranthaceae,Gomphrena paranensis R.E.Fr.,VU,Portaria 443/2014,Gomphrena paranensis
Amaranthaceae,Gomphrena pulchella Mart.,EN,Portaria 443/2014,Gomphrena pulchella
Amaranthaceae,Gomphrena regeliana Seub.,VU,Portaria 443/2014,Gomphrena regeliana
Amaranthaceae,Pfaffia argyrea Pedersen,EN,Portaria 443/2014,Pfaffia argyrea
Amaranthaceae,Pfaffia minarum Pedersen,VU,Portaria 443/2014,Pfaffia minarum
Amaranthaceae,Quaternella glabratoides (Suess.) Pedersen,EN,Portaria 443/2014,Quaternella glabratoides
Amaryllidaceae,Eithea blumenavia (Koch & Bouché) Ravenna,EN,Portaria 443/2014,Eithea blumenavia
Amaryllidaceae,Griffinia aracensis Ravenna,CR,Portaria 443/2014,Griffinia aracensis
Amaryllidaceae,Griffinia colatinensis Ravenna,CR,Portaria 443/2014,Griffinia colatinensis
Amaryllidaceae,Griffinia espiritensis Ravenna,EN,Portaria 443/2014,Griffinia espiritensis
Amaryllidaceae,Griffinia gardneriana (Herb.) Ravenna,EN,Portaria 443/2014,Griffinia gardneriana
Amaryllidaceae,Griffinia hyacinthina Ker Gawl.,EN,Portaria 443/2014,Griffinia hyacinthina
Amaryllidaceae,Griffinia liboniana Morren,EN,Portaria 443/2014,Griffinia liboniana
Amaryllidaceae,Griffinia nocturna Ravenna,CR,Portaria 443/2014,Griffinia nocturna
Amaryllidaceae,Griffinia parviflora Ker Gawl.,CR,Portaria 443/2014,Griffinia parviflora
Amaryllidaceae,Griffinia paubrasilica Ravenna,CR,Portaria 443/2014,Griffinia paubrasilica
Amaryllidaceae,Habranthus coeruleus (Griseb.) Traub,VU,Portaria 443/2014,Habranthus coeruleus
Amaryllidaceae,Habranthus irwinianus Ravenna,VU,Portaria 443/2014,Habranthus irwinianus
Amaryllidaceae,Hippeastrum angustifolium Pax,VU,Portaria 443/2014,Hippeastrum angustifolium
Amaryllidaceae,Hippeastrum brasilianum (Traub & J.L.Doran) Dutilh,EN,Portaria 443/2014,Hippeastrum brasilianum
Amaryllidaceae,Hippeastrum breviflorum Herb.,EN,Portaria 443/2014,Hippeastrum breviflorum
Amaryllidaceae,Hippeastrum goianum (Ravenna) Meerow,EN,Portaria 443/2014,Hippeastrum goianum
Amaryllidaceae,Hippeastrum leucobasis (Ravenna) Dutilh,CR,Portaria 443/2014,Hippeastrum leucobasis
Amaryllidaceae,Hippeastrum morelianum Lem.,VU,Portaria 443/2014,Hippeastrum morelianum
Amaryllidaceae,Hippeastrum papilio (Ravenna) Van Scheepen,CR,Portaria 443/2014,Hippeastrum papilio
Amaryllidaceae,Hippeastrum psittacinum Herb.,EN,Portaria 443/2014,Hippeastrum psittacinum
Amaryllidaceae,Hippeastrum reginae (L.) Herb.,EN,Portaria 443/2014,Hippeastrum reginae
Amaryllidaceae,Hippeastrum santacatarina (Traub) Dutilh,EN,Portaria 443/2014,Hippeastrum santacatarina
Amaryllidaceae,Hippeastrum striatum (Lam.) Moore,EN,Portaria 443/2014,Hippeastrum striatum
Amaryllidaceae,Hippeastrum vittatum (L'Hér.) Herb.,EN,Portaria 443/2014,Hippeastrum vittatum
Amaryllidaceae,Worsleya procera (Lem.) Traub,EN,Portaria 443/2014,Worsleya procera
Amaryllidaceae,Zephyranthes brasiliensis (Traub) Traub,VU,Portaria 443/2014,Zephyranthes brasiliensis
Amaryllidaceae,Zephyranthes candida (Lindl.) Herb.,EN,Portaria 443/2014,Zephyranthes candida
Amaryllidaceae,Zephyranthes capivarina Ravenna,VU,Portaria 443/2014,Zephyranthes capivarina
Amaryllidaceae,Zephyranthes paranaensis Ravenna,EN,Portaria 443/2014,Zephyranthes paranaensis
Anacardiaceae,Myracrodruon balansae (Engl.) Santin,EN,Portaria 443/2014,Myracrodruon balansae
Anacardiaceae,Schinopsis balansae Engl.,EN,Portaria 443/2014,Schinopsis balansae
Anemiaceae,Anemia blechnoides J.Sm.,VU,Portaria 443/2014,Anemia blechnoides
Anemiaceae,Anemia dentata Gardner,VU,Portaria 443/2014,Anemia dentata
Anemiaceae,Anemia gardneri Hook.,VU,Portaria 443/2014,Anemia gardneri
Anemiaceae,Anemia trichorhiza Gardner,VU,Portaria 443/2014,Anemia trichorhiza
Annonaceae,Annona maritima (Záchia) H.Rainer,VU,Portaria 443/2014,Annona maritima
Annonaceae,Annona parviflora (A.St.-Hil.) H.Rainer,EN,Portaria 443/2014,Annona parviflora
Annonaceae,Annona pickelii (Diels) H.Rainer,VU,Portaria 443/2014,Annona pickelii
Annonaceae,Annona ubatubensis (Maas & Westra) H.Rainer,EN,Portaria 443/2014,Annona ubatubensis
Annonaceae,Duguetia magnolioidea Maas,EN,Portaria 443/2014,Duguetia magnolioidea
Annonaceae,Duguetia restingae Maas,CR,Portaria 443/2014,Duguetia restingae
Annonaceae,Duguetia reticulata Maas,EN,Portaria 443/2014,Duguetia reticulata
Annonaceae,Duguetia scottmorii Maas,CR,Portaria 443/2014,Duguetia scottmorii
Annonaceae,Duguetia sooretamae Maas,EN,Portaria 443/2014,Duguetia sooretamae
Annonaceae,Hornschuchia alba (A.St.-Hil.) R.E.Fr.,CR,Portaria 443/2014,Hornschuchia alba
Annonaceae,Hornschuchia cauliflora Maas & Setten,EN,Portaria 443/2014,Hornschuchia cauliflora
Annonaceae,Hornschuchia obliqua Maas & Setten,EN,Portaria 443/2014,Hornschuchia obliqua
Annonaceae,Trigynaea axilliflora D.M.Johnson & N.A.Muray,CR,Portaria 443/2014,Trigynaea axilliflora
Annonaceae,Trigynaea oblongifolia Schltdl.,EN,Portaria 443/2014,Trigynaea oblongifolia
Annonaceae,Unonopsis riedeliana R.E.Fr.,EN,Portaria 443/2014,Unonopsis riedeliana
Apiaceae,Eryngium corallinum Mathias & Constance,CR,Portaria 443/2014,Eryngium corallinum
Apiaceae,Eryngium divaricatum Hook. & Arn.,EN,Portaria 443/2014,Eryngium divaricatum
Apiaceae,Eryngium dorae Norman,CR,Portaria 443/2014,Eryngium dorae
Apiaceae,Eryngium falcifolium Irgang,EN,Portaria 443/2014,Eryngium falcifolium
Apiaceae,Eryngium koehneanum Urb.,VU,Portaria 443/2014,Eryngium koehneanum
Apiaceae,Eryngium ombrophilum Dusén & H.Wolff,EN,Portaria 443/2014,Eryngium ombrophilum
Apiaceae,Eryngium ramboanum Mathias & Constance,CR,Portaria 443/2014,Eryngium ramboanum
Apiaceae,Eryngium scirpinum Cham.,EN,Portaria 443/2014,Eryngium scirpinum
Apiaceae,Eryngium smithii Mathias & Constance,EN,Portaria 443/2014,Eryngium smithii
Apiaceae,Eryngium urbanianum H.Wolff,EN,Portaria 443/2014,Eryngium urbanianum
Apiaceae,Eryngium zosterifolium H.Wolff,VU,Portaria 443/2014,Eryngium zosterifolium
Apiaceae,Klotzschia rhizophylla Urb.,EN,Portaria 443/2014,Klotzschia rhizophylla
Apiaceae,Lilaeopsis brasiliensis (Glaz.) Affolter,VU,Portaria 443/2014,Lilaeopsis brasiliensis
Apocynaceae,Ditassa arianeae Fontella & E.A.Schwarz,EN,Portaria 443/2014,Ditassa arianeae
Apocynaceae,Ditassa auriflora Rapini,CR,Portaria 443/2014,Ditassa auriflora
Apocynaceae,Ditassa cipoensis (Fontella) Rapini,EN,Portaria 443/2014,Ditassa cipoensis
Apocynaceae,Ditassa cordeiroana Fontella,EN,Portaria 443/2014,Ditassa cordeiroana
Apocynaceae,Ditassa itambensis Rapini,EN,Portaria 443/2014,Ditassa itambensis
Apocynaceae,Ditassa laevis Mart.,EN,Portaria 443/2014,Ditassa laevis
Apocynaceae,Ditassa leonii Fontella & T.U.P.Konno,VU,Portaria 443/2014,Ditassa leonii
Apocynaceae,Ditassa longisepala (Hua) Fontella & E.A.Schwarz,EN,Portaria 443/2014,Ditassa longisepala
Apocynaceae,Ditassa maricaensis Fontella & E.A.Schwarz,EN,Portaria 443/2014,Ditassa maricaensis
Apocynaceae,Ditassa oberdanii Fontella & M.C.Alvarez,EN,Portaria 443/2014,Ditassa oberdanii
Apocynaceae,Gonolobus dorothyanus Fontella,CR,Portaria 443/2014,Gonolobus dorothyanus
Apocynaceae,Gyrostelma bornmuelleri Schltr. ex Malme,EN,Portaria 443/2014,Gyrostelma bornmuelleri
Apocynaceae,Gyrostelma oxypetaloides E.Fourn.,EN,Portaria 443/2014,Gyrostelma oxypetaloides
Apocynaceae,Hemipogon abietoides E.Fourn.,CR,Portaria 443/2014,Hemipogon abietoides
Apocynaceae,Hemipogon furlanii (Fontella) Rapini,EN,Portaria 443/2014,Hemipogon furlanii
Apocynaceae,Hemipogon hatschbachii (Fontella & Marquete) Rapini,CR,Portaria 443/2014,Hemipogon hatschbachii
Apocynaceae,Hemipogon piranii (Fontella) Rapini,CR,Portaria 443/2014,Hemipogon piranii
Apocynaceae,Jobinia hatschbachii Fontella & E.A.Schwarz,EN,Portaria 443/2014,Jobinia hatschbachii
Apocynaceae,Macroditassa marianae Fontella & M.V.Ferreira,CR,Portaria 443/2014,Macroditassa marianae
Apocynaceae,Marsdenia otoniensis Fontella & Morillo,CR,Portaria 443/2014,Marsdenia otoniensis
Apocynaceae,Marsdenia queirozii Fontella,EN,Portaria 443/2014,Marsdenia queirozii
Apocynaceae,Matelea bahiensis Morillo & Fontella,EN,Portaria 443/2014,Matelea bahiensis
Apocynaceae,Matelea glaziovii (E.Fourn.) Morillo,VU,Portaria 443/2014,Matelea glaziovii
Apocynaceae,Matelea hatschbachii (Fontella & Valente) Morillo,EN,Portaria 443/2014,Matelea hatschbachii
Apocynaceae,Matelea marcoassisii Fontella,VU,Portaria 443/2014,Matelea marcoassisii
Apocynaceae,Matelea santosii Morillo & Fontella,EN,Portaria 443/2014,Matelea santosii
Apocynaceae,Metastelma giuliettianum Fontella,EN,Portaria 443/2014,Metastelma giuliettianum
Apocynaceae,Metastelma harleyi Fontella,EN,Portaria 443/2014,Metastelma harleyi
Apocynaceae,Minaria bifurcata (Rapini) T.U.P.Konno & Rapini,CR,Portaria 443/2014,Minaria bifurcata
Apocynaceae,Minaria diamantinensis (Fontella) T.U.P.Konno & Rapini,CR,Portaria 443/2014,Minaria diamantinensis
Apocynaceae,Minaria grazielae (Fontella & Marquete) T.U.P.Konno & Rapini,EN,Portaria 443/2014,Minaria grazielae
Apocynaceae,Minaria harleyi (Fontella & Marquete) Rapini & U.C.S.Silva,EN,Portaria 443/2014,Minaria harleyi
Apocynaceae,Minaria hemipogonoides (E.Fourn.) T.U.P.Konno & Rapini,CR,Portaria 443/2014,Minaria hemipogonoides
Apocynaceae,Minaria inconspicua (Rapini) Rapini,EN,Portaria 443/2014,Minaria inconspicua
Apocynaceae,Minaria magisteriana (Rapini) T.U.P.Konno & Rapini,EN,Portaria 443/2014,Minaria magisteriana
Apocynaceae,Minaria monocoronata (Rapini) T.U.P.Konno & Rapini,CR,Portaria 443/2014,Minaria monocoronata
Apocynaceae,Minaria polygaloides (Silveira) T.U.P.Konno & Rapini,EN,Portaria 443/2014,Minaria polygaloides
Apocynaceae,Minaria refractifolia (K.Schum.) T.U.P.Konno & Rapini,VU,Portaria 443/2014,Minaria refractifolia
Apocynaceae,Minaria semirii (Fontella) T.U.P.Konno & Rapini,EN,Portaria 443/2014,Minaria semirii
Apocynaceae,Minaria volubilis Rapini & U.C.S.Silva,EN,Portaria 443/2014,Minaria volubilis
Apocynaceae,Monsanima morrenioides (Goyder) Liede & Meve,CR,Portaria 443/2014,Monsanima morrenioides
Apocynaceae,Oxypetalum dusenii Malme,EN,Portaria 443/2014,Oxypetalum dusenii
Apocynaceae,Oxypetalum ekblomii Malme,EN,Portaria 443/2014,Oxypetalum ekblomii
Apocynaceae,Oxypetalum glaziovii (E.Fourn.) Fontella & Marquete,EN,Portaria 443/2014,Oxypetalum glaziovii
Apocynaceae,Oxypetalum leonii Fontella,EN,Portaria 443/2014,Oxypetalum leonii
Apocynaceae,Oxypetalum mexiae Malme,CR,Portaria 443/2014,Oxypetalum mexiae
Apocynaceae,Prestonia solanifolia (Müll.Arg.) Woodson,EN,Portaria 443/2014,Prestonia solanifolia
Apocynaceae,Tabernaemontana cumata Leeuwenb.,EN,Portaria 443/2014,Tabernaemontana cumata
Aquifoliaceae,Ilex auricula S.Andrews,CR,Portaria 443/2014,Ilex auricula
Aquifoliaceae,Ilex loranthoides Mart. ex Reissek,VU,Portaria 443/2014,Ilex loranthoides
Aquifoliaceae,Ilex prostrata Groppo,CR,Portaria 443/2014,Ilex prostrata
Araceae,Anthurium jureianum Cath. & Olaio,VU,Portaria 443/2014,Anthurium jureianum
Araceae,Anthurium langsdorffii Schott,EN,Portaria 443/2014,Anthurium langsdorffii
Araceae,Anthurium lucidum Kunth,EN,Portaria 443/2014,Anthurium lucidum
Araceae,Anthurium luschnathianum Kunth,EN,Portaria 443/2014,Anthurium luschnathianum
Araceae,Anthurium radicans K.Koch & Haage,VU,Portaria 443/2014,Anthurium radicans
Araceae,Anthurium xanthophylloides G.M.Barroso,VU,Portaria 443/2014,Anthurium xanthophylloides
Araceae,Heteropsis flexuosa (Kunth) G.S.Bunting,VU,Portaria 443/2014,Heteropsis flexuosa
Araceae,Philodendron fragile Nadruz & Mayo,EN,Portaria 443/2014,Philodendron fragile
Araceae,Philodendron spiritus-sancti G.S.Bunting,EN,Portaria 443/2014,Philodendron spiritus-sancti
Araliaceae,Hydrocotyle langsdorffii DC.,EN,Portaria 443/2014,Hydrocotyle langsdorffii
Araliaceae,Schefflera aurata Fiaschi,CR,Portaria 443/2014,Schefflera aurata
Araliaceae,Schefflera gardneri (Seem.) Frodin & Fiaschi,EN,Portaria 443/2014,Schefflera gardneri
Araliaceae,Schefflera glaziovii (Taub.) Frodin & Fiaschi,EN,Portaria 443/2014,Schefflera glaziovii
Araliaceae,Schefflera sprucei (Seem.) Harms,VU,Portaria 443/2014,Schefflera sprucei
Araliaceae,Schefflera succinea Frodin & Fiaschi,EN,Portaria 443/2014,Schefflera succinea
Araucariaceae,Araucaria angustifolia (Bertol.) Kuntze,EN,Portaria 443/2014,Araucaria angustifolia
Arecaceae,Acrocomia emensis (Toledo) Lorenzi,VU,Portaria 443/2014,Acrocomia emensis
Arecaceae,Allagoptera brevicalyx Moraes,VU,Portaria 443/2014,Allagoptera brevicalyx
Arecaceae,Attalea barreirensis Glassman,VU,Portaria 443/2014,Attalea barreirensis
Arecaceae,Attalea brasiliensis Glassman,EN,Portaria 443/2014,Attalea brasiliensis
Arecaceae,Bactris timbuiensis H.Q.B.Fern.,EN,Portaria 443/2014,Bactris timbuiensis
Arecaceae,Butia capitata (Mart.) Becc.,VU,Portaria 443/2014,Butia capitata
Arecaceae,Butia eriospatha (Mart. ex Drude) Becc.,VU,Portaria 443/2014,Butia eriospatha
Arecaceae,Butia leptospatha (Burret) Noblick,CR,Portaria 443/2014,Butia leptospatha
Arecaceae,Butia microspadix Burret,VU,Portaria 443/2014,Butia microspadix
Arecaceae,Butia purpurascens Glassman,EN,Portaria 443/2014,Butia purpurascens
Arecaceae,Butia yatay (Mart.) Becc.,VU,Portaria 443/2014,Butia yatay
Arecaceae,Euterpe edulis Mart.,VU,Portaria 443/2014,Euterpe edulis
Arecaceae,Lytocaryum insigne (Drude) Toledo,VU,Portaria 443/2014,Lytocaryum insigne
Arecaceae,Syagrus glaucescens Glaz. ex Becc.,VU,Portaria 443/2014,Syagrus glaucescens
Arecaceae,Syagrus macrocarpa Barb.Rodr.,EN,Portaria 443/2014,Syagrus macrocarpa
Arecaceae,Syagrus mendanhensis Glassman,CR,Portaria 443/2014,Syagrus mendanhensis
Arecaceae,Syagrus picrophylla Barb.Rodr.,VU,Portaria 443/2014,Syagrus picrophylla
Arecaceae,Syagrus ruschiana (Bondar) Glassman,VU,Portaria 443/2014,Syagrus ruschiana
Aristolochiaceae,Aristolochia hypoglauca Kuhlm.,EN,Portaria 443/2014,Aristolochia hypoglauca
Aristolochiaceae,Aristolochia odora Steud.,VU,Portaria 443/2014,Aristolochia odora
Arnelliaceae,Gongylanthus liebmannianus (Lindenb. & Gottsche) Steph.,EN,Portaria 443/2014,Gongylanthus liebmannianus
Arnelliaceae,Southbya organensis Herzog,CR,Portaria 443/2014,Southbya organensis
Aspleniaceae,Asplenium beckeri Brade,CR,Portaria 443/2014,Asplenium beckeri
Aspleniaceae,Asplenium bradeanum Handro,EN,Portaria 443/2014,Asplenium bradeanum
Aspleniaceae,Asplenium castaneum Schltdl. & Cham.,EN,Portaria 443/2014,Asplenium castaneum
Aspleniaceae,Asplenium schwackei Christ,CR,Portaria 443/2014,Asplenium schwackei
Aspleniaceae,Asplenium trindadense (Brade) Sylvestre,CR,Portaria 443/2014,Asplenium trindadense
Asteraceae,Acmella pusilla (Hook. & Arn.) R.K.Jansen,EN,Portaria 443/2014,Acmella pusilla
Asteraceae,Acritopappus catolesensis D.J.N.Hind & Bautista,VU,Portaria 443/2014,Acritopappus catolesensis
Asteraceae,Acritopappus connatifolius (Soar.Nunes) R.M.King & H.Rob.,EN,Portaria 443/2014,Acritopappus connatifolius
Asteraceae,Acritopappus irwinii R.M.King & H.Rob.,VU,Portaria 443/2014,Acritopappus irwinii
Asteraceae,Acritopappus pintoi Bautista & D.J.N.Hind,CR,Portaria 443/2014,Acritopappus pintoi
Asteraceae,Agrianthus almasensis D.J.N.Hind,EN,Portaria 443/2014,Agrianthus almasensis
Asteraceae,Agrianthus giuliettiae D.J.N.Hind,EN,Portaria 443/2014,Agrianthus giuliettiae
Asteraceae,Aldama corumbensis (Malme) Magenta & Pirani,EN,Portaria 443/2014,Aldama corumbensis
Asteraceae,Aldama filifolia (Sch.Bip. ex Baker) E.E.Schill. & Panero,EN,Portaria 443/2014,Aldama filifolia
Asteraceae,Aldama goyazii E.E.Schill. & Panero,VU,Portaria 443/2014,Aldama goyazii
Asteraceae,Aldama linearifolia (Chodat) E.E.Schill. & Panero,CR,Portaria 443/2014,Aldama linearifolia
Asteraceae,Aldama paranensis (Malme) Magenta & Pirani,CR,Portaria 443/2014,Aldama paranensis
Asteraceae,Aldama vernonioides (Baker) E.E.Schill. & Panero,EN,Portaria 443/2014,Aldama vernonioides
Asteraceae,Anteremanthus hatschbachii H.Rob.,EN,Portaria 443/2014,Anteremanthus hatschbachii
Asteraceae,Aspilia almasensis D.J.N.Hind,VU,Portaria 443/2014,Aspilia almasensis
Asteraceae,Aspilia belo-horizontinae J.U.Santos,CR,Portaria 443/2014,Aspilia belo-horizontinae
Asteraceae,Aspilia caudata J.U.Santos,EN,Portaria 443/2014,Aspilia caudata
Asteraceae,Aspilia cordifolia J.U.Santos,EN,Portaria 443/2014,Aspilia cordifolia
Asteraceae,Aspilia cylindrocephala H.Rob.,VU,Portaria 443/2014,Aspilia cylindrocephala
Asteraceae,Aspilia diamantinae J.U.Santos,EN,Portaria 443/2014,Aspilia diamantinae
Asteraceae,Aspilia diffusiflora H.Rob.,VU,Portaria 443/2014,Aspilia diffusiflora
Asteraceae,Aspilia diniz-cruzeanae J.U.Santos,CR,Portaria 443/2014,Aspilia diniz-cruzeanae
Asteraceae,Aspilia eglerii J.U.Santos,CR,Portaria 443/2014,Aspilia eglerii
Asteraceae,Aspilia espinhacensis J.U.Santos,EN,Portaria 443/2014,Aspilia espinhacensis
Asteraceae,Aspilia grazielae J.U.Santos,EN,Portaria 443/2014,Aspilia grazielae
Asteraceae,Aspilia jugata H.Rob.,CR,Portaria 443/2014,Aspilia jugata
Asteraceae,Aspilia ovalifolia (DC.) Baker,CR,Portaria 443/2014,Aspilia ovalifolia
Asteraceae,Aspilia pereirae J.U.Santos,EN,Portaria 443/2014,Aspilia pereirae
Asteraceae,Aspilia prostrata J.U.Santos,EN,Portaria 443/2014,Aspilia prostrata
Asteraceae,Aspilia reticulata Baker,VU,Portaria 443/2014,Aspilia reticulata
Asteraceae,Aspilia silphioides (Hook. & Arn.) Benth. & Hook.,EN,Portaria 443/2014,Aspilia silphioides
Asteraceae,Austroeupatorium rosmarinaceum (Cabrera & Vittet) R.M.King & H.Rob.,VU,Portaria 443/2014,Austroeupatorium rosmarinaceum
Asteraceae,Baccharis aracatubensis Malag.,EN,Portaria 443/2014,Baccharis aracatubensis
Asteraceae,Baccharis concinna G.M.Barroso,VU,Portaria 443/2014,Baccharis concinna
Asteraceae,Baccharis elliptica Gardner,EN,Portaria 443/2014,Baccharis elliptica
Asteraceae,Baccharis hypericifolia Baker,EN,Portaria 443/2014,Baccharis hypericifolia
Asteraceae,Baccharis lychnophora Gardner,VU,Portaria 443/2014,Baccharis lychnophora
Asteraceae,Baccharis penningtonii Heering,VU,Portaria 443/2014,Baccharis penningtonii
Asteraceae,Baccharis polyphylla Gardner,VU,Portaria 443/2014,Baccharis polyphylla
Asteraceae,Baccharis pseudoalpestris Malag.,VU,Portaria 443/2014,Baccharis pseudoalpestris
Asteraceae,Caatinganthus rubropappus (Soar.Nunes) H.Rob.,EN,Portaria 443/2014,Caatinganthus rubropappus
Asteraceae,Calea abbreviata Pruski & Urbatsch,CR,Portaria 443/2014,Calea abbreviata
Asteraceae,Calea acaulis Baker,VU,Portaria 443/2014,Calea acaulis
Asteraceae,Calea brittoniana Pruski,CR,Portaria 443/2014,Calea brittoniana
Asteraceae,Calea gentianoides DC.,VU,Portaria 443/2014,Calea gentianoides
Asteraceae,Calea heteropappa Pruski & Urbatsch,EN,Portaria 443/2014,Calea heteropappa
Asteraceae,Calea kristiniae Pruski,EN,Portaria 443/2014,Calea kristiniae
Asteraceae,Campuloclinium parvulum (Glaz.) R.M.King & H.Rob.,VU,Portaria 443/2014,Campuloclinium parvulum
Asteraceae,Catolesia mentiens D.J.N.Hind,CR,Portaria 443/2014,Catolesia mentiens
Asteraceae,Chaptalia chapadensis D.J.N.Hind,CR,Portaria 443/2014,Chaptalia chapadensis
Asteraceae,Chaptalia cordifolia (Baker) Cabrera,VU,Portaria 443/2014,Chaptalia cordifolia
Asteraceae,Chaptalia hermogenis M.D.Moraes,CR,Portaria 443/2014,Chaptalia hermogenis
Asteraceae,Chionolaena lychnophorioides Sch.Bip.,VU,Portaria 443/2014,Chionolaena lychnophorioides
Asteraceae,Chresta souzae H.Rob.,EN,Portaria 443/2014,Chresta souzae
Asteraceae,Chromolaena angusticeps (Malme) R.M.King & H.Rob.,EN,Portaria 443/2014,Chromolaena angusticeps
Asteraceae,Chromolaena arrayana (Gardner) R.M.King & H.Rob.,EN,Portaria 443/2014,Chromolaena arrayana
Asteraceae,Chromolaena costatipes (B.L.Rob.) R.M.King & H.Rob.,EN,Portaria 443/2014,Chromolaena costatipes
Asteraceae,Chromolaena rhinanthacea (DC.) R.M.King & H.Rob.,EN,Portaria 443/2014,Chromolaena rhinanthacea
Asteraceae,Chronopappus bifrons (DC. ex Pers.) DC.,VU,Portaria 443/2014,Chronopappus bifrons
Asteraceae,Chrysolaena nicolackii H.Rob.,VU,Portaria 443/2014,Chrysolaena nicolackii
Asteraceae,Cololobus longiangustatus ( G.M.Barroso ) H.Rob.,EN,Portaria 443/2014,Cololobus longiangustatus
Asteraceae,Cololobus rupestris (Gardner) H.Rob.,EN,Portaria 443/2014,Cololobus rupestris
Asteraceae,Dendrophorbium catharinense (Dusén ex Cabrera) C.Jeffrey,VU,Portaria 443/2014,Dendrophorbium catharinense
Asteraceae,Dendrophorbium paranense (Malme) Matzenb. & Baptista,EN,Portaria 443/2014,Dendrophorbium paranense
Asteraceae,Dimerostemma annuum (Hassl.) H. Rob.,EN,Portaria 443/2014,Dimerostemma annuum
Asteraceae,Dimerostemma episcopale (H.Rob.) H.Rob.,EN,Portaria 443/2014,Dimerostemma episcopale
