familia,especie_autor,especie,cat_ameaca_sp
Apocynaceae,Oxypetalum ekblomii Malme,Oxypetalum ekblomii,EN
Apocynaceae,Oxypetalum glaziovii (E.Fourn.) Fontella & Marquete,Oxypetalum glaziovii,EN
Apocynaceae,Oxypetalum regnellii (Malme) Malme,Oxypetalum regnellii,VU
Apocynaceae,Oxypetalum strictum Mart.,Oxypetalum strictum,EX
Apocynaceae,Prestonia bahiensis Müll.Arg.,Prestonia bahiensis,EX
Apocynaceae,Prestonia solanifolia (Müll.Arg.) Woodson,Prestonia solanifolia,EX
Apocynaceae,Widgrenia corymbosa Malme,Widgrenia corymbosa,EX
Araceae,Anthurium ameliae Nadruz & Catharino,Anthurium ameliae,VU
Araceae,Anthurium bocainense Catharino & Nadruz,Anthurium bocainense,VU
Araceae,Asterostigma colubrinum Schott,Asterostigma colubrinum,VU
Araceae,Asterostigma cubense Bogner,Asterostigma cubense,VU
Araceae,Asterostigma lombardii E.G.Gonç.,Asterostigma lombardii,VU
Araceae,Asterostigma tweedianum Schott,Asterostigma tweedianum,VU
Araceae,Heteropsis oblongifolia Kunth,Heteropsis oblongifolia,VU
Araceae,Philodendron bipennifolium Schott,Philodendron bipennifolium,VU
Araceae,Philodendron simonianum Sakur.,Philodendron simonianum,VU
Araceae,Rhodospatha oblongata Poepp. & Endl.,Rhodospatha oblongata,VU
Araceae,Taccarum peregrinum (Schott) Engl.,Taccarum peregrinum,VU
Araceae,Urospatha edwallii Engl.,Urospatha edwallii,EX
Araceae,Wolffia arrhiza (L.) Horkel ex Wimm.,Wolffia arrhiza,VU
Araceae,Wolffia brasiliensis Wedd.,Wolffia brasiliensis,VU
Araceae,Xanthosoma blandum Schott,Xanthosoma blandum,VU
Araceae,Xanthosoma pentaphyllum (Vell.) Schott,Xanthosoma pentaphyllum,EX
Araceae,Xanthosoma riedelianum (Schott) Schott,Xanthosoma riedelianum,EX
Araceae,Xanthosoma syngoniifolium Rusby,Xanthosoma syngoniifolium,EW
Araliaceae,Hydrocotyle langsdorffii DC.,Hydrocotyle langsdorffii,EX
Araliaceae,Hydrocotyle pusilla A. Rich.,Hydrocotyle pusilla,EX
Arecaceae,Acrocomia emensis (Toledo) Lorenzi,Acrocomia emensis,VU
Arecaceae,Acrocomia hassleri (Barb.Rodr.) W.J.Hahn,Acrocomia hassleri,EN
Arecaceae,Attalea oleifera Barb.Rodr.,Attalea oleifera,VU
Arecaceae,Butia microspadix Burret,Butia microspadix,VU
Arecaceae,Euterpe edulis Mart.,Euterpe edulis,VU
Arecaceae,Mauritia flexuosa L.f.,Mauritia flexuosa,VU
Aristolochiaceae,Aristolochia cymbifera Mart.,Aristolochia cymbifera,VU
Aristolochiaceae,Aristolochia odora Steud.,Aristolochia odora,EX
Asteraceae,Aldama aspilioides (Baker) E.E.Schill. & Panero,Aldama aspilioides,VU
Asteraceae,Aspilia floribunda Baker,Aspilia floribunda,EN
Asteraceae,Austrocritonia angulicaulis (Baker) R.M.King & H.Rob.,Austrocritonia angulicaulis,VU
Asteraceae,Austroeupatorium rosmarinaceum (Cabrera & Vittet) R.M.King & H.Rob.,Austroeupatorium rosmarinaceum,EX
Asteraceae,Barrosoa apiculata (Gardner) R.M.King & H.Rob.,Barrosoa apiculata,EX
Asteraceae,Bidens bipinnata L.,Bidens bipinnata,EN
Asteraceae,Calea acaulis Baker,Calea acaulis,EX
Asteraceae,Calea gentianoides DC.,Calea gentianoides,EN
Asteraceae,Calea polycephala (Baker) H.Rob.,Calea polycephala,VU
Asteraceae,Campuloclinium parvulum (Glaziou ex B.L.Rob.) R.M.King & H.Rob.,Campuloclinium parvulum,VU
Asteraceae,Campuloclinium riedelii (Baker) R.M.King & H.Rob.,Campuloclinium riedelii,EN
Asteraceae,Chromolaena arrayana (Gardner) R.M.King & H.Rob.,Chromolaena arrayana,VU
Asteraceae,Chromolaena elliptica (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena elliptica,EX
Asteraceae,Chromolaena latisquamulosa (Hiern.) R.M.King & H.Rob.,Chromolaena latisquamulosa,VU
Asteraceae,Chromolaena rhinanthacea (DC.) R.M.King & H.Rob.,Chromolaena rhinanthacea,EX
Asteraceae,Disynaphia ericoides (DC.) R.M.King & H.Rob.,Disynaphia ericoides,EN
Asteraceae,Enhydra sessilis DC.,Enhydra sessilis,EX
Asteraceae,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,Eremanthus elaeagnus,VU
Asteraceae,Gochnatia rotundifolia Less.,Gochnatia rotundifolia,EX
Asteraceae,Gyptis vernoniopsis (Schultz-Bip. ex Baker) R.M.King & H.Rob.,Gyptis vernoniopsis,EN
Asteraceae,Hatschbachiella tweediana (Hook. & Arn.) R.M.King & H.Rob.,Hatschbachiella tweediana,EN
Asteraceae,Heterocondylus amphidyctius (DC.) R.M.King & H.Rob.,Heterocondylus amphidyctius,VU
Asteraceae,Heterocondylus lysimachioides (Chodat) R.M.King & H.Rob.,Heterocondylus lysimachioides,EX
Asteraceae,Idiothamnus pseudorgyalis R.M.King & H.Rob.,Idiothamnus pseudorgyalis,VU
Asteraceae,Lessingianthus asteriflorus (Mart. ex DC.),Lessingianthus asteriflorus,EN
Asteraceae,Lessingianthus reitzianus (Cabrera) H.Rob.,Lessingianthus reitzianus,EN
Asteraceae,Lessingianthus subcarduoides (H.Rob.) H.Rob.,Lessingianthus subcarduoides,EX
Asteraceae,Lessingianthus zuccarinianus (Mart. ex DC.) H.Rob.,Lessingianthus zuccarinianus,VU
Asteraceae,Lulia nervosa (Less.) Zardini,Lulia nervosa,EX
Asteraceae,Mikania bradei B.L.Rob.,Mikania bradei,EX
Asteraceae,Mikania stenomeres B.L.Rob.,Mikania stenomeres,EX
Asteraceae,Neocabreria malachophylla (Klatt) R.M.King & H.Rob,Neocabreria malachophylla,VU
Asteraceae,Piptocarpha brasiliana Cass.,Piptocarpha brasiliana,VU
Asteraceae,Praxelis grandiflora (DC.) R.M.King & H.Rob.,Praxelis grandiflora,VU
Asteraceae,Senecio langei Malme,Senecio langei,EX
Asteraceae,Stevia alternifolia Hieron.,Stevia alternifolia,EX
Asteraceae,Stevia leptophylla Sch.Bip. ex Baker,Stevia leptophylla,EN
Asteraceae,Stevia pohliana Baker,Stevia pohliana,EX
Asteraceae,Stevia riedelii Schultz-Bip. ex Baker,Stevia riedelii,EN
Asteraceae,Steyermarkina dispalata (Gardner) R.M.King & H.Rob.,Steyermarkina dispalata,EX
Asteraceae,Stomatanthes dentatus (Gardner) H.Rob.,Stomatanthes dentatus,VU
Asteraceae,Stomatanthes dictyophyllus (DC.) H.Rob.,Stomatanthes dictyophyllus,EX
Asteraceae,Stomatanthes loefgrenii (B.L. Rob.) H.Rob.,Stomatanthes loefgrenii,EN
Asteraceae,Trixis glaziovii Baker,Trixis glaziovii,EX
Asteraceae,Verbesina polyanthes Toledo,Verbesina polyanthes,EX
Asteraceae,Wedelia puberula DC.,Wedelia puberula,EN
Begoniaceae,Begonia brevilobata Irmsch.,Begonia brevilobata,EX
Begoniaceae,Begonia handroi Brade,Begonia handroi,EX
Begoniaceae,Begonia larorum L.B.Sm. & Wassh.,Begonia larorum,EX
Begoniaceae,Begonia paulensis A.DC.,Begonia paulensis,VU
Begoniaceae,Begonia piresiana Handro,Begonia piresiana,VU
Begoniaceae,Begonia undulata Schott,Begonia undulata,EX
Bignoniaceae,Adenocalymma ubatubense Assis & Semir,Adenocalymma ubatubense,CR
Bignoniaceae,Anemopaegma arvense (Vell.) Stellfeld ex de Souza,Anemopaegma arvense,EN
Bignoniaceae,Tabebuia cassinoides (Lam.) DC.,Tabebuia cassinoides,EN
Bignoniaceae,Zeyheria tuberculosa (Vell.) Bareau ex Verl.,Zeyheria tuberculosa,VU
Boraginaceae,Cordia silvestris Fresen.,Cordia silvestris,VU
Boraginaceae,Cordia trichoclada A.DC.,Cordia trichoclada,VU
Bromeliaceae,Aechmea apocalyptica Reitz,Aechmea apocalyptica,EX
Bromeliaceae,Aechmea gamossepala Wittm.,Aechmea gamossepala,EX
Bromeliaceae,Aechmea lingulata (L.) Baker,Aechmea lingulata,VU
Bromeliaceae,Aechmea recurvata (Klotzsch) L.B.Sm.,Aechmea recurvata,VU
Bromeliaceae,Aechmea setigera Mart. ex Shult.,Aechmea setigera,EX
Bromeliaceae,Aechmea wittmackiana (Regel) Mez,Aechmea wittmackiana,VU
Bromeliaceae,Billbergia alfonsi-joannis Reitz,Billbergia alfonsi-joannis,VU
Bromeliaceae,Billbergia meyeri Mez,Billbergia meyeri,EX
Bromeliaceae,Billbergia nutans H.Wendl. ex Regel,Billbergia nutans,VU
Bromeliaceae,Bromelia interior L.B.Sm.,Bromelia interior,VU
Bromeliaceae,Dyckia minarum Mez,Dyckia minarum,VU
Bromeliaceae,Fernseea bocainensis Pereira & Coutinho,Fernseea bocainensis,CR
Bromeliaceae,Fernseea itatiaiae (Wawra) Baker,Fernseea itatiaiae,EN
Bromeliaceae,Hoehenbergia ridleyi (Baker) Mez,Hoehenbergia ridleyi,VU
Bromeliaceae,Neoregelia bahiana (Ule) L.B.Sm.,Neoregelia bahiana,EX
Bromeliaceae,Neoregelia binotti (Antoine) L.B.Sm.,Neoregelia binotti,EX
Bromeliaceae,Neoregelia burle-marxii Read.,Neoregelia burle-marxii,VU
Bromeliaceae,Neoregelia compacta (Mez) L.B.Sm.,Neoregelia compacta,VU
Bromeliaceae,Neoregelia doeringiana L.B.Sm.,Neoregelia doeringiana,EX
Bromeliaceae,Neoregelia maculata L.B.Sm.,Neoregelia maculata,EX
Bromeliaceae,Neoregelia nivea Leme,Neoregelia nivea,VU
Bromeliaceae,Neoregelia pontualii Leme,Neoregelia pontualii,VU
Bromeliaceae,Nidularium bocainense Leme,Nidularium bocainense,VU
Bromeliaceae,Nidularium campos-portoi (L.B.Sm.) Wand. & B.A.Moreira,Nidularium campos-portoi,VU
Bromeliaceae,Nidularium corallinum (Leme) Leme,Nidularium corallinum,EN
Bromeliaceae,Nidularium itatiaiae L.B.Sm.,Nidularium itatiaiae,EX
Bromeliaceae,Nidularium jonesianum Leme,Nidularium jonesianum,EX
Bromeliaceae,Nidularium minutum Mez,Nidularium minutum,VU
Bromeliaceae,Nidularium rolfianum Leme,Nidularium rolfianum,VU
Bromeliaceae,Tillandsia araujei Mez,Tillandsia araujei,VU
Bromeliaceae,Tillandsia crocata (E.Morren) Baker,Tillandsia crocata,VU
Bromeliaceae,Tillandsia linearis Vell.,Tillandsia linearis,VU
Bromeliaceae,Tillandsia polystachia (L.) L.,Tillandsia polystachia,VU
Bromeliaceae,Tillandsia recurvifolia Hook.,Tillandsia recurvifolia,VU
Bromeliaceae,Vriesea lubbersii (Baker) E.Morren ex Mez,Vriesea lubbersii,EX
Bromeliaceae,Vriesea neoglutinosa Mez,Vriesea neoglutinosa,VU
Bromeliaceae,Vriesea pardalina Mez,Vriesea pardalina,EX
Bromeliaceae,Vriesea pauperrima E.Pereira,Vriesea pauperrima,VU
Bromeliaceae,Vriesea platzmannii E.Morren,Vriesea platzmannii,VU
Bromeliaceae,Vriesea regnellii Mez,Vriesea regnellii,EX
Bromeliaceae,Vriesea rubyae E.Pereira,Vriesea rubyae,CR
Bromeliaceae,Vriesea sazimae Leme,Vriesea sazimae,VU
Bromeliaceae,Vriesea sparsiflora L.B.Sm.,Vriesea sparsiflora,EX
Bromeliaceae,Vriesea taritubensis E. Pereira & I.A.Penna,Vriesea taritubensis,VU
Bromeliaceae,Vriesea vulpinoidea L.B.Sm.,Vriesea vulpinoidea,VU
Bromeliaceae,Wittrockia gigantea (Baker) Leme,Wittrockia gigantea,VU
Burmanniaceae,Burmannia australis Malme,Burmannia australis,EX
Burmanniaceae,Burmannia flava Mart.,Burmannia flava,EX
Cabombaceae,Cabomba aquatica Aubl.,Cabomba aquatica,EX
Cactaceae,Hatiora herminiae (Campos Porto & Castellanos) Backeb.,Hatiora herminiae,VU
Cactaceae,Rhipsalis crispata Pfeiff.,Rhipsalis crispata,VU
Cactaceae,Rhipsalis dissimilis K. Schum.,Rhipsalis dissimilis,EN
Cactaceae,Schlumbergera lutea Calvente & Brade subsp. bradei (Campos Porto & Castellanos) Calvente & Zappi,Schlumbergera lutea subsp. bradei,VU
Cactaceae,Schlumbergera opuntioides (Loefgr. & Dusen) D.R.Hunt,Schlumbergera opuntioides,VU
Calyceraceae,Acicarpha tribuloides Juss.,Acicarpha tribuloides,EX
Calyceraceae,Boopis bupleuroides (Less) C. A.Mull.,Boopis bupleuroides,EX
Calyceraceae,Boopis itatiaiae Dusén,Boopis itatiaiae,EN
Campanulaceae,Lobelia hederacea Cham.,Lobelia hederacea,EX
Campanulaceae,Lobelia nummularioides Cham.,Lobelia nummularioides,EX
Campanulaceae,Lobelia xalapensis Kunth,Lobelia xalapensis,EX
Campanulaceae,Siphocampylus lycioides (Cham.) G.Don,Siphocampylus lycioides,EN
Caprifoliaceae,Valeriana glaziovii Taub.,Valeriana glaziovii,EN
Caprifoliaceae,Valeriana organensis Gardner,Valeriana organensis,CR
Caprifoliaceae,Valeriana reitziana Borsini,Valeriana reitziana,VU
Celastraceae,Maytenus brasiliensis Mart.,Maytenus brasiliensis,CR
Celastraceae,Maytenus ilicifolia Mart.,Maytenus ilicifolia,VU
Celastraceae,Salacia mosenii A.C.Sm.,Salacia mosenii,CR
Celastraceae,Schaefferia argentinensis Speg.,Schaefferia argentinensis,CR
Celastraceae,Tontelea martiana (Miers) A.C.Sm.,Tontelea martiana,EN
Chrysobalanaceae,Couepia leitaofilhoi Prance,Couepia leitaofilhoi,VU
Chrysobalanaceae,Couepia meridionalis Prance,Couepia meridionalis,EX
Chrysobalanaceae,Licania gardneri (Hook. f.) Fritsch,Licania gardneri,EX
Chrysobalanaceae,Licania indurata Pilg.,Licania indurata,EX
Chrysobalanaceae,Parinari brasiliensis (Schott) Hook.f.,Parinari brasiliensis,EN
Cleomaceae,Hemiscola diffusa (Banks ex DC.) Iltis,Hemiscola diffusa,EX
Clusiaceae,Hypericum mutilum L.,Hypericum mutilum,VU
Clusiaceae,Hypericum piriai Arechav.,Hypericum piriai,EX
Clusiaceae,Hypericum rigidum A. St.-Hil.,Hypericum rigidum,EX
Clusiaceae,Vismia martiana Reichardt,Vismia martiana,CR
Combretaceae,Buchenavia parvifolia subsp. rabelloana (N.F.Mattos) Alwan & Stace,Buchenavia parvifolia subsp. rabelloana,VU
Combretaceae,Buchenavia hoehneana N.F.Mattos,Buchenavia hoehneana,VU
Connaraceae,Rourea pseudospadicea G.Schellenb.,Rourea pseudospadicea,EN
Convolvulaceae,Convolvulus hasslerianus (Chodat) O’Donell,Convolvulus hasslerianus,EX
Convolvulaceae,Evolvulus chrysotrichos Meisn.,Evolvulus chrysotrichos,EX
Convolvulaceae,Evolvulus cressoides Mart.,Evolvulus cressoides,EN
Convolvulaceae,Evolvulus elegans Moric. var. confertifolius Meisn.,Evolvulus elegans var. confertifolius,EX
Convolvulaceae,Evolvulus filipes Mart.,Evolvulus filipes,EX
Convolvulaceae,Evolvulus fuscus Meisn.,Evolvulus fuscus,EN
Convolvulaceae,Evolvulus riedelii Meisn.,Evolvulus riedelii,EN
Convolvulaceae,Evolvulus stellariifolius Ooststr.,Evolvulus stellariifolius,VU
Convolvulaceae,Ipomoea acutisepala O'Donell,Ipomoea acutisepala,EX
Convolvulaceae,Ipomoea aprica House,Ipomoea aprica,VU
Convolvulaceae,Ipomoea hirsutissima Gardner,Ipomoea hirsutissima,EX
Convolvulaceae,Ipomoea pinifolia Meisn.,Ipomoea pinifolia,EX
Convolvulaceae,Ipomoea sericophylla Meisn.,Ipomoea sericophylla,EX
Convolvulaceae,Ipomoea subrevoluta Choisy,Ipomoea subrevoluta,VU
Convolvulaceae,Jacquemontia acrocephala Meisn.,Jacquemontia acrocephala,EX
Convolvulaceae,Jacquemontia glabrescens (Meisn.) M.Pastore & Sim.-Bianch.,Jacquemontia glabrescens,EX
Convolvulaceae,Operculina macrocarpa (L.) Urb.,Operculina macrocarpa,EW
Costaceae,Chamaecostus subsessilis (Nees & Mart.) C.Specht & D.W.Stev.,Chamaecostus subsessilis,EX
Cucurbitaceae,Cayaponia bonariensis (Mill.) Mart.Crov.,Cayaponia bonariensis,EX
Cucurbitaceae,Cayaponia pedata Cogn.,Cayaponia pedata,EX
Cucurbitaceae,Cayaponia trilobata (Cogn.) Cogn.,Cayaponia trilobata,VU
Cymodoceaceae,Halodule wrightii Asch.,Halodule wrightii,EN
Cyperaceae,Scleria balansae Maury ex Micheli,Scleria balansae,VU
Dioscoreaceae,Dioscorea grandiflora Griseb.,Dioscorea grandiflora,VU
Dioscoreaceae,Dioscorea loefgrenii R.Knuth,Dioscorea loefgrenii,VU
Dioscoreaceae,Dioscorea mantiqueirensis R.Knuth,Dioscorea mantiqueirensis,EX
Dioscoreaceae,Dioscorea mollis Kunth,Dioscorea mollis,VU
Dioscoreaceae,Dioscorea plantaginifolia R.Knuth,Dioscorea plantaginifolia,VU
Dioscoreaceae,Dioscorea rumicoides Griseb.,Dioscorea rumicoides,VU
Elaeocarpaceae,Sloanea obtusifolia (Moric.) Schum.,Sloanea obtusifolia,EN
Elaeocarpaceae,Sloanea petalata D.Sampaio e V.C.Souza,Sloanea petalata,EN
Eremolepidaceae,Eubrachion ambiguum (Hook. & Arn.) Engl.,Eubrachion ambiguum,VU
Ericaceae,Agarista niederleinii (Sleumer) Judd,Agarista niederleinii,EN
Ericaceae,Agarista nummularia G.Don,Agarista nummularia,EX
Ericaceae,Agarista pulchra G.Don,Agarista pulchra,EN
Ericaceae,Gaultheria sleumeriana Kin.-Gouv.,Gaultheria sleumeriana,EN
Ericaceae,Gaylussacia montana (Pohl) Sleumer,Gaylussacia montana,EX
Erythroxylaceae,Erythroxylum catharinense Amaral,Erythroxylum catharinense,EN
Erythroxylaceae,Erythroxylum cyclophyllum O.E.Schulz,Erythroxylum cyclophyllum,EX
Erythroxylaceae,Erythroxylum myrsinites Mart.,Erythroxylum myrsinites,EN
Escalloniaceae,Escallonia chlorophylla Cham. & Schltdl.,Escallonia chlorophylla,CR
Escalloniaceae,Escallonia obtusissima A.St.-Hil.,Escallonia obtusissima,EX
Euphorbiaceae,Chiropetalum gymnadenium (Müll.Arg.) Pax & K.Hoffm.,Chiropetalum gymnadenium,EX
Euphorbiaceae,Croton compressus Lam.,Croton compressus,EN
Euphorbiaceae,Croton glechomifolius Müll.Arg.,Croton glechomifolius,CR
Euphorbiaceae,Croton leptobothryus Müll.Arg.,Croton leptobothryus,VU
Euphorbiaceae,Croton serratifolius Baill.,Croton serratifolius,CR
Euphorbiaceae,Croton sphaerogynus Baill.,Croton sphaerogynus,VU
Fabaceae,Ancistrotropis firmula (Mart. ex Benth.) A.Delgado,Ancistrotropis firmula,VU
Fabaceae,Apuleia leiocarpa (Vogel) J.F.Macbr.,Apuleia leiocarpa,VU
Fabaceae,Bauhinia marginata (Bong.) Steud.,Bauhinia marginata,EX
Fabaceae,Camptosema bellum (Mart. ex Benth.) Benth,Camptosema bellum,VU
Fabaceae,Camptosema isopetalum Taub.,Camptosema isopetalum,EX
Fabaceae,Chamaecrista atroglandulosa (Taub.) H.S.Irwin & Barneby,Chamaecrista atroglandulosa,EX
Fabaceae,Chamaecrista trachycarpa (Vogel) H.S.Irwin & Barneby,Chamaecrista trachycarpa,EX
Fabaceae,Cratylia intermedia (Hassl.) L.P.Queiroz & R.Monteiro,Cratylia intermedia,EX
Fabaceae,Crotalaria otoptera Benth.,Crotalaria otoptera,VU
Fabaceae,Dalbergia nigra (Vell.) Allemão ex Benth.,Dalbergia nigra,CR
Fabaceae,Eriosema glaziovii Harms,Eriosema glaziovii,VU
Fabaceae,Eriosema platycarpon Micheli,Eriosema platycarpon,VU
Fabaceae,Galactia marginalis Benth.,Galactia marginalis,EX
Fabaceae,Indigofera guaranitica Hassl.,Indigofera guaranitica,VU
Fabaceae,Inga mendoncaei Harms,Inga mendoncaei,VU
Fabaceae,Inga praegnans T.D.Penn.,Inga praegnans,VU
Fabaceae,Melanoxylon brauna Schott,Melanoxylon brauna,EW
Fabaceae,Mimosa myuros Barneby,Mimosa myuros,VU
Fabaceae,Mimosa paucifolia Benth.,Mimosa paucifolia,VU
Fabaceae,Mysanthus uleanus (Harms) G.P.Lewis & A.Delgado Salinas,Mysanthus uleanus,EN
Fabaceae,Peltogyne confertiflora (Hayne) Benth.,Peltogyne confertiflora,EN
Fabaceae,Rhynchosia reticulata (Sw.) DC.,Rhynchosia reticulata,EX
Fabaceae,Senna paradictyon (Vogel) H.S.Irwin & Barneby,Senna paradictyon,EX
Fabaceae,Tephrosia sessiliflora Hassl.,Tephrosia sessiliflora,VU
Gelsemiaceae,Mostuea muricata Sobral & Lc.Rossi,Mostuea muricata,VU
Gentianaceae,Curtia tenuifolia (Aubl.) Knobl.,Curtia tenuifolia,CR
Gentianaceae,Schultesia aptera Cham.,Schultesia aptera,CR
Gentianaceae,Zygostigma australe (Cham. & Schltdl.) Griseb.,Zygostigma australe,CR
Gesneriaceae,Besleria umbrosa Mart.,Besleria umbrosa,VU
Gesneriaceae,Codonanthe carnosa (Gardner) Hanst.,Codonanthe carnosa,VU
Gesneriaceae,Codonanthe venosa Chautems,Codonanthe venosa,VU
Gesneriaceae,Nematanthus crassifolius (Schott) Wiehler,Nematanthus crassifolius,VU
Gesneriaceae,Nematanthus mattosianus (Handro) H.E.Moore,Nematanthus mattosianus,VU
Gesneriaceae,Nematanthus monanthos (Vell.) Chautems,Nematanthus monanthos,EN
Gesneriaceae,Nematanthus strigillosus (Mart.) H.E.Moore,Nematanthus strigillosus,EX
Gesneriaceae,Sinningia araneosa Chautems,Sinningia araneosa,VU
Gesneriaceae,Sinningia canescens (Mart.) Wiehler,Sinningia canescens,VU
Gesneriaceae,Sinningia glazioviana (Fritsch) Chautems,Sinningia glazioviana,CR
Gesneriaceae,Sinningia hatschbachii Chautems,Sinningia hatschbachii,EN
Gesneriaceae,Sinningia iarae Chautems,Sinningia iarae,EN
Gesneriaceae,Sinningia insularis (Handro) Chautems,Sinningia insularis,EN
Gesneriaceae,Sinningia magnifica (Otto & A.Dietr.) Wiehler,Sinningia magnifica,VU
Gesneriaceae,Sinningia micans (Fritsch) Chautems,Sinningia micans,EN
Gesneriaceae,Sinningia piresiana (Hoehne) Chautems,Sinningia piresiana,EN
