especie_original,cat_ameaca_iucn,fonte
Coccoloba warmingii,LC,UICN_API
Cochlospermum regium,LC,UICN_API
Coelorachis aurita,LC,UICN_API
Coffea arabica,EN,UICN_API
Coleocephalocereus fluminensis,LC,UICN_API
Collaea speciosa,LC,UICN_API
Colubrina glandulosa,LC,UICN_API
Combretum laxum,LC,UICN_API
Commelina diffusa,LC,UICN_API
Conchocarpus fontanesianus,LC,UICN_API
Connarus suberosus,LC,UICN_API
Conocarpus erectus,LC,UICN_API
Copaifera langsdorffii,LC,UICN_API
Copaifera trapezifolia,LC,UICN_API
Cordia insignis,LC,UICN_API
Cordia sellowiana,LC,UICN_API
Cordia superba,LC,UICN_API
Cordia taguahyensis,LC,UICN_API
Cordia trichotoma,LC,UICN_API
Cordiera myrciifolia,LC,UICN_API
Couepia leitaofilhoi,EN,UICN_API
Couepia meridionalis,CR,UICN_API
Couepia venosa,LC,UICN_API
Coussapoa microcarpa,LC,UICN_API
Coussarea accedens,VU,UICN_API
Coussarea bocainae,EN,UICN_API
Coussarea meridionalis,LC,UICN_API
Coutarea hexandra,LC,UICN_API
Critonia morifolia,LC,UICN_API
Crotalaria lanceolata,LC,UICN_API
Crotalaria micans,LC,UICN_API
Croton alchorneicarpus,LC,UICN_API
Croton hemiargyreus,EN,UICN_API
Croton tricolor,LC,UICN_API
Croton vulnerarius,LC,UICN_API
Cryptocarya aschersoniana,LC,UICN_API
Cryptocarya mandioccana,LC,UICN_API
Cryptocarya micrantha,LC,UICN_API
Cryptocarya moschata,LC,UICN_API
Cryptocarya saligna,LC,UICN_API
Cupania bracteosa,LC,UICN_API
Cupania emarginata,LC,UICN_API
Cupania oblongifolia,LC,UICN_API
Cupania tenuivalvis,LC,UICN_API
Cupania vernalis,LC,UICN_API
Cuphea melvilla,LC,UICN_API
Cyanocephalus lippioides,LC,UICN_API
Cybianthus detergens,LC,UICN_API
Cybianthus goyazensis,LC,UICN_API
Cybianthus peruvianus,LC,UICN_API
Cyclolobium brasiliense,LC,UICN_API
Cyclopogon longibracteatus,LC,UICN_API
Cyclosorus interruptus,LC,UICN_API
Cynophalla flexuosa,LC,UICN_API
Cyperus articulatus,LC,UICN_API
Cyperus brasiliensis,LC,UICN_API
Cyperus compressus,LC,UICN_API
Cyperus digitatus,LC,UICN_API
Cyperus distans,LC,UICN_API
Cyperus drummondii,LC,UICN_API
Cyperus eragrostis,LC,UICN_API
Cyperus flavescens,LC,UICN_API
Cyperus haspan,LC,UICN_API
Cyperus hortensis,LC,UICN_API
Cyperus imbricatus,LC,UICN_API
Cyperus iria,LC,UICN_API
Cyperus lanceolatus,LC,UICN_API
Cyperus mundii,LC,UICN_API
Cyperus polystachyos,LC,UICN_API
Cyperus rotundus,LC,UICN_API
Cyperus sesquiflorus,LC,UICN_API
Cyperus unioloides,LC,UICN_API
Cyphomandra diploconos,LR/nt,UICN_API
Cyrtopodium brandonianum,LC,UICN_API
Dalbergia ecastaphyllum,LC,UICN_API
Dalbergia nigra,VU,UICN_API
Daphnopsis brasiliensis,LC,UICN_API
Daphnopsis coriacea,LC,UICN_API
Daphnopsis fasciculata,LC,UICN_API
Daphnopsis martii,LC,UICN_API
Daphnopsis racemosa,LC,UICN_API
Daphnopsis schwackeana,LC,UICN_API
Daphnopsis utilis,LC,UICN_API
Dasyphyllum spinescens,LC,UICN_API
Delonix regia,LC,UICN_API
Dendropanax australis,LC,UICN_API
Dendropanax cuneatus,LC,UICN_API
Dendropanax denticulatus,EN,UICN_API
Dendropanax monogynus,LC,UICN_API
Dendropanax nebulosus,EN,UICN_API
Desmodium adscendens,LC,UICN_API
Desmodium barbatum,LC,UICN_API
Desmodium cajanifolium,LC,UICN_API
Desmodium subsecundum,DD,UICN_API
Desmoscelis villosa,LC,UICN_API
Dictyoloma vandellianum,LC,UICN_API
Digitaria horizontalis,LC,UICN_API
Digitaria insularis,LC,UICN_API
Digitaria nuda,LC,UICN_API
Digitaria sacchariflora,LC,UICN_API
Dimerostemma asperatum,LC,UICN_API
Dimorphandra mollis,LC,UICN_API
Dioscorea trilinguis,LC,UICN_API
Diospyros apeibacarpos,LC,UICN_API
Diospyros brasiliensis,NT,UICN_API
Diploon cuspidatum,LC,UICN_API
Dipteryx alata,VU,UICN_API
Ditassa fontellae,DD,UICN_API
Dodonaea viscosa,LC,UICN_API
Drepanolejeunea aculeata,EN,UICN_API
Duguetia furfuracea,LC,UICN_API
Duguetia lanceolata,LC,UICN_API
Duranta erecta,LC,UICN_API
Duranta vestita,LC,UICN_API
Ecclinusa ramiflora,LC,UICN_API
Echinochloa colona,LC,UICN_API
Echinochloa crus-pavonis,LC,UICN_API
Echinochloa polystachya,LC,UICN_API
Echinochloa walteri,LC,UICN_API
Eclipta prostrata,LC,UICN_API
Elaphoglossum hybridum,LC,UICN_API
Eleocharis acutangula,LC,UICN_API
Eleocharis confervoides,LC,UICN_API
Eleocharis flavescens,LC,UICN_API
Eleocharis geniculata,LC,UICN_API
Eleocharis mutata,LC,UICN_API
Eleocharis sellowiana,LC,UICN_API
Eleusine tristachya,LC,UICN_API
Endlicheria paniculata,LC,UICN_API
Enterolobium contortisiliquum,LC,UICN_API
Enterolobium gummiferum,LC,UICN_API
Epidendrum proligerum,LC,UICN_API
Epidendrum ramosum,LC,UICN_API
Epiphyllum phyllanthus,LC,UICN_API
Equisetum giganteum,LC,UICN_API
Eragrostis hypnoides,LC,UICN_API
Eremanthus erythropappus,LC,UICN_API
Eremanthus mattogrossensis,LC,UICN_API
Eremocaulon setosum,VU,UICN_API
Eriocaulon cinereum,LC,UICN_API
Eriosema crinitum,LC,UICN_API
Eriotheca pentaphylla,LC,UICN_API
Erythrina crista-galli,LC,UICN_API
Erythrina dominguezii,LC,UICN_API
Erythrina speciosa,LC,UICN_API
Erythrina verna,LC,UICN_API
Erythroxylum citrifolium,LC,UICN_API
Erythroxylum cuspidifolium,LC,UICN_API
Erythroxylum daphnites,LC,UICN_API
Erythroxylum gonoclados,LC,UICN_API
Erythroxylum myrsinites,LC,UICN_API
Erythroxylum pelleterianum,LC,UICN_API
Erythroxylum suberosum,LC,UICN_API
Erythroxylum tortuosum,LC,UICN_API
Escallonia bifida,LC,UICN_API
Esenbeckia grandiflora,LC,UICN_API
Esenbeckia leiocarpa,VU,UICN_API
Eugenia bacopari,LC,UICN_API
Eugenia batingabranca,LC,UICN_API
Eugenia beaurepairiana,LC,UICN_API
Eugenia bimarginata,LC,UICN_API
Eugenia candolleana,LC,UICN_API
Eugenia capitulifera,LC,UICN_API
Eugenia chlorophylla,LC,UICN_API
Eugenia cinerascens,CR,UICN_API
Eugenia cyclophylla,LC,UICN_API
Eugenia dodonaeifolia,LC,UICN_API
Eugenia dysenterica,LC,UICN_API
Eugenia egensis,LC,UICN_API
Eugenia elongata,DD,UICN_API
Eugenia expansa,LC,UICN_API
Eugenia flavescens,LC,UICN_API
Eugenia florida,LC,UICN_API
Eugenia francavilleana,LC,UICN_API
Eugenia fusca,LC,UICN_API
Eugenia handroana,LC,UICN_API
Eugenia handroi,LC,UICN_API
Eugenia hermesiana,CR,UICN_API
Eugenia involucrata,LC,UICN_API
Eugenia ischnosceles,CR,UICN_API
Eugenia kleinii,LC,UICN_API
Eugenia leptoclada,LC,UICN_API
Eugenia longipetiolata,EN,UICN_API
Eugenia macahensis,EN,UICN_API
Eugenia macrobracteolata,EN,UICN_API
Eugenia mansoi,LC,UICN_API
Eugenia melanogyna,LC,UICN_API
Eugenia microcarpa,VU,UICN_API
Eugenia modesta,LC,UICN_API
Eugenia monosperma,LC,UICN_API
Eugenia mosenii,LC,UICN_API
Eugenia multicostata,LC,UICN_API
Eugenia myrcianthes,LC,UICN_API
Eugenia neoglomerata,LC,UICN_API
Eugenia neosilvestris,LC,UICN_API
Eugenia neoverrucosa,LC,UICN_API
Eugenia oblongata,LC,UICN_API
Eugenia pantagensis,VU,UICN_API
Eugenia peruibensis,CR,UICN_API
Eugenia piloesis,LC,UICN_API
Eugenia pithecocephala,CR,UICN_API
Eugenia prasina,VU,UICN_API
Eugenia psidiiflora,LC,UICN_API
Eugenia punicifolia,LC,UICN_API
Eugenia pyriformis,LC,UICN_API
Eugenia repanda,LC,UICN_API
Eugenia sonderiana,LC,UICN_API
Eugenia speciosa,LC,UICN_API
Eugenia squamiflora,DD,UICN_API
Eugenia stigmatosa,LC,UICN_API
Eugenia subavenia,LC,UICN_API
Eugenia sulcata,LC,UICN_API
Eugenia supraaxillaris,LC,UICN_API
Eugenia umbrosa,LC,UICN_API
Eugenia verticillata,LC,UICN_API
Eugenia zuccarinii,LC,UICN_API
Eumachia cymuligera,LC,UICN_API
Euphorbia comosa,LC,UICN_API
Euphorbia cotinifolia,LC,UICN_API
Euplassa hoehnei,LC,UICN_API
Euplassa inaequalis,LC,UICN_API
Euplassa itatiaiae,VU,UICN_API
Euplassa legalis,LC,UICN_API
Exostyles venusta,LC,UICN_API
Faramea martiana,DD,UICN_API
Faramea multiflora,LC,UICN_API
Faramea nigrescens,LC,UICN_API
Faramea stipulacea,LC,UICN_API
Faramea truncata,LC,UICN_API
Ficus catappifolia,LR/lc,UICN_API
Ficus crocata,LC,UICN_API
Ficus cyclophylla,EN,UICN_API
Ficus enormis,LC,UICN_API
Ficus eximia,LC,UICN_API
Ficus gomelleira,LC,UICN_API
Ficus hirsuta,LR/nt,UICN_API
Ficus lagoensis,LC,UICN_API
Ficus latipedunculata,CR,UICN_API
Ficus luschnathiana,LC,UICN_API
Ficus monckii,LR/lc,UICN_API
Ficus obtusifolia,LC,UICN_API
Ficus obtusiuscula,LC,UICN_API
Ficus pertusa,LC,UICN_API
Ficus pulchella,VU,UICN_API
Ficus salzmanniana,EN,UICN_API
Ficus trigona,LC,UICN_API
Fimbristylis autumnalis,LC,UICN_API
Fimbristylis complanata,LC,UICN_API
Fimbristylis cymosa,LC,UICN_API
Fimbristylis dichotoma,LC,UICN_API
Fimbristylis littoralis,LC,UICN_API
Fuirena umbellata,LC,UICN_API
Galactia glaucescens,LC,UICN_API
Galipea jasminiflora,LC,UICN_API
Gallesia integrifolia,LC,UICN_API
Garcinia brasiliensis,LC,UICN_API
Garcinia gardneriana,LC,UICN_API
Gaultheria eriophylla,LC,UICN_API
Gaylussacia brasiliensis,LC,UICN_API
Genipa spruceana,LC,UICN_API
Gliricidia sepium,LC,UICN_API
Gnaphalium polycaulon,LC,UICN_API
Gomesa sessilis,LC,UICN_API
Graffenrieda weddellii,LC,UICN_API
Grandiphyllum schunkeanum,CR,UICN_API
Griffinia intermedia,EN,UICN_API
Guadua paniculata,LC,UICN_API
Guapira graciliflora,LC,UICN_API
Guapira noxia,LC,UICN_API
Guarea guidonia,LC,UICN_API
Guarea macrophylla,LC,UICN_API
Guatteria australis,LC,UICN_API
Guatteria sellowiana,LC,UICN_API
Guazuma ulmifolia,LC,UICN_API
Guettarda pohliana,LC,UICN_API
Guettarda uruguensis,LC,UICN_API
Gymnanthes gaudichaudii,LC,UICN_API
Habenaria dusenii,LC,UICN_API
Habenaria glazioviana,LC,UICN_API
Habenaria parviflora,LC,UICN_API
Habenaria pleiophylla,LC,UICN_API
Halodule emarginata,DD,UICN_API
Halodule wrightii,LC,UICN_API
Hamelia patens,LC,UICN_API
Handroanthus albus,LC,UICN_API
Handroanthus heptaphyllus,LC,UICN_API
Handroanthus impetiginosus,LC,UICN_API
Hatiora epiphylloides,EN,UICN_API
Hatiora herminiae,EN,UICN_API
Hatiora salicornioides,LC,UICN_API
Hedychium coronarium,DD,UICN_API
Heisteria perianthomega,LC,UICN_API
Heisteria silvianii,LC,UICN_API
Heliconia farinosa,LC,UICN_API
Heliotropium curassavicum,LC,UICN_API
Heteropterys byrsonimifolia,LC,UICN_API
Heteropterys eglandulosa,LC,UICN_API
Heteropterys nervosa,LC,UICN_API
Himatanthus obovatus,LC,UICN_API
Hiraea fagifolia,LC,UICN_API
Hirtella angustifolia,VU,UICN_API
Holocalyx balansae,LC,UICN_API
Holochilus brasiliensis,LC,UICN_API
Homalolepis cuneata,LC,UICN_API
Homalolepis insignis,EN,UICN_API
Homolepis aturensis,LC,UICN_API
Hortia brasiliana,LC,UICN_API
Huberia ovalifolia,LC,UICN_API
Humiria balsamifera,LC,UICN_API
Humiriastrum dentatum,LC,UICN_API
Hydrocotyle bonariensis,LC,UICN_API
Hydrocotyle ranunculoides,LC,UICN_API
Hylocereus setaceus,LC,UICN_API
Hylocereus undatus,DD,UICN_API
Hymenaea altissima,LC,UICN_API
Hymenaea courbaril,LC,UICN_API
Hymenaea martiana,LC,UICN_API
Hyptidendron canum,LC,UICN_API
Ilex cerasifolia,LC,UICN_API
Ilex grandis,VU,UICN_API
Ilex integerrima,LC,UICN_API
Ilex microdonta,LC,UICN_API
Ilex paraguariensis,LR/nt,UICN_API
Ilex pseudobuxus,LC,UICN_API
Ilex taubertiana,LC,UICN_API
Indigofera asperifolia,LC,UICN_API
Inga barbata,LC,UICN_API
Inga bullata,VU,UICN_API
Inga capitata,LC,UICN_API
Inga edulis,LC,UICN_API
Inga ingoides,LC,UICN_API
Inga lanceifolia,EN,UICN_API
Inga laurina,LC,UICN_API
Inga lenticellata,VU,UICN_API
Inga lentiscifolia,VU,UICN_API
Inga marginata,LC,UICN_API
Inga praegnans,EN,UICN_API
Inga schinifolia,LC,UICN_API
Inga sellowiana,EN,UICN_API
Inga striata,LC,UICN_API
Inga subnuda,LC,UICN_API
Inga thibaudiana,LC,UICN_API
Inga vera,LC,UICN_API
Ipomoea cynanchifolia,LC,UICN_API
Ipomoea grandifolia,LC,UICN_API
Ipomoea ramosissima,LC,UICN_API
Ipomoea rubens,LC,UICN_API
Ipomoea tiliacea,LC,UICN_API
Ischaemum rugosum,LC,UICN_API
Ixora brevifolia,LC,UICN_API
Ixora gardneriana,LC,UICN_API
Ixora schottiana,LC,UICN_API
Jacaranda caroba,LC,UICN_API
Jacaranda cuspidifolia,LC,UICN_API
Jacaranda micrantha,LC,UICN_API
Jacaranda puberula,LC,UICN_API
Jacaranda rufa,LC,UICN_API
Jatropha curcas,LC,UICN_API
Jatropha gossypiifolia,LC,UICN_API
Joannesia princeps,VU,UICN_API
Kielmeyera lathrophyton,LC,UICN_API
Kyllinga brevifolia,LC,UICN_API
Lacistema aggregatum,LC,UICN_API
Lacistema lucidum,DD,UICN_API
Lacistema pubescens,LC,UICN_API
Lacistema serrulatum,LC,UICN_API
Lafoensia pacari,LR/lc,UICN_API
Laguncularia racemosa,LC,UICN_API
Lamanonia cuneata,LC,UICN_API
Lamanonia ternata,LC,UICN_API
Lamanonia ulei,EN,UICN_API
Lankesterella gnomus,NT,UICN_API
Laplacea fruticosa,LC,UICN_API
Lasiacis divaricata,LC,UICN_API
Laurembergia tetrandra,LC,UICN_API
Leandra acutiflora,LC,UICN_API
Leandra amplexicaulis,LC,UICN_API
Leandra barbinervis,LC,UICN_API
Leandra brackenridgei,NT,UICN_API
Leandra clidemioides,LC,UICN_API
Leandra lancifolia,LC,UICN_API
Leandra melastomoides,LC,UICN_API
Leandra multiplinervis,LC,UICN_API
Leandra pilonensis,LC,UICN_API
Leandra purpureo-villosa,LC,UICN_API
Leandra quinquedentata,LC,UICN_API
Leandra umbellata,LC,UICN_API
Leandra variabilis,LC,UICN_API
Lecythis lanceolata,LR/cd,UICN_API
Leersia hexandra,LC,UICN_API
Lemna aequinoctialis,LC,UICN_API
Lepismium cruciforme,LC,UICN_API
Lepismium houlletianum,LC,UICN_API
Lepismium lumbricoides,LC,UICN_API
Lepismium warmingianum,LC,UICN_API
Leptolobium dasycarpum,LC,UICN_API
Leptolobium elegans,LC,UICN_API
Leucochloron incuriale,LC,UICN_API
Libidibia ferrea,LC,UICN_API
Licania gardneri,LC,UICN_API
Licania kunthiana,LC,UICN_API
Licania nitida,LC,UICN_API
Licania octandra,LC,UICN_API
Licaria armeniaca,LC,UICN_API
Lithraea molleoides,LC,UICN_API
Lonchocarpus heptaphyllus,LC,UICN_API
Lonchocarpus nitidus,LC,UICN_API
Ludwigia leptocarpa,LC,UICN_API
Ludwigia nervosa,LC,UICN_API
Ludwigia octovalvis,LC,UICN_API
Luehea candicans,LC,UICN_API
Luehea divaricata,DD,UICN_API
Luehea paniculata,LC,UICN_API
Mabea piriri,LC,UICN_API
Machaerium acutifolium,LC,UICN_API
Machaerium amplum,LC,UICN_API
Machaerium brasiliense,LC,UICN_API
Machaerium cantarellianum,LC,UICN_API
Machaerium incorruptibile,LC,UICN_API
Machaerium nyctitans,LC,UICN_API
Machaerium paraguariense,LC,UICN_API
Machaerium pilosum,LC,UICN_API
Machaerium scleroxylon,LC,UICN_API
Machaerium villosum,VU,UICN_API
Machaonia acuminata,LC,UICN_API
Machaonia brasiliensis,LC,UICN_API
Maclura tinctoria,LC,UICN_API
Macrocarpaea glaziovii,LC,UICN_API
Macropeplus dentatus,NT,UICN_API
Macroptilium bracteatum,LC,UICN_API
Magnolia irwiniana,EN,UICN_API
Magnolia ovata,LC,UICN_API
Magnolia paranaensis,DD,UICN_API
Magnolia sellowiana,DD,UICN_API
Magonia pubescens,LC,UICN_API
Manihot anomala,LC,UICN_API
Manihot caerulescens,LC,UICN_API
Manihot pilosa,LC,UICN_API
Manihot tripartita,LC,UICN_API
Manilkara subsericea,LR/cd,UICN_API
