especie_autor,especie_original,genero,epiteto,nome_popular,cat_ameaca_mpoSP,fonte
Gouania ulmifolia Hook. & Arn.,Gouania ulmifolia,Gouania,ulmifolia,NA,EX,mpoSP
Grandiphyllum hians (Lindl.) Docha Neto,Grandiphyllum hians,Grandiphyllum,hians,orquídea,VU,mpoSP
Guapira nitida (Mart. ex J.A.Schmidt) Lundell,Guapira nitida,Guapira,nitida,NA,VU,mpoSP
Gymnopogon burchellii (Munro ex Döll) Ekman,Gymnopogon burchellii,Gymnopogon,burchellii,NA,EN,mpoSP
Heisteria perianthomega (Vell.) Sleumer,Heisteria perianthomega,Heisteria,perianthomega,NA,EX,mpoSP
Herbstia brasiliana (Moq.) Sohmer,Herbstia brasiliana,Herbstia,brasiliana,NA,EX,mpoSP
Heteranthera reniformis Ruiz & Pav.,Heteranthera reniformis,Heteranthera,reniformis,"hortelã-do-brejo, aguapé-mirim",VU,mpoSP
Heteranthera zosterifolia Mart.,Heteranthera zosterifolia,Heteranthera,zosterifolia,aguapé-de-fita,VU,mpoSP
Hibiscus diversifolius Jacq.,Hibiscus diversifolius,Hibiscus,diversifolius,NA,EX,mpoSP
Hippeastrum angustifolium Pax,Hippeastrum angustifolium,Hippeastrum,angustifolium,NA,EW,mpoSP
Hippeastrum psittacinum (Ker Gawl.) Herb.,Hippeastrum psittacinum,Hippeastrum,psittacinum,NA,EN,mpoSP
Homolepis villaricensis (Mez) Zuloaga & Soderstr.,Homolepis villaricensis,Homolepis,villaricensis,NA,EN,mpoSP
Hymenachne pernambucensis (Spreng.) Zuloaga,Hymenachne pernambucensis,Hymenachne,pernambucensis,capim-de-pernambuco,EN,mpoSP
Hypericum mutilum L.,Hypericum mutilum,Hypericum,mutilum,NA,VU,mpoSP
Hypericum piriai Arechav.,Hypericum piriai,Hypericum,piriai,NA,EX,mpoSP
Hypericum rigidum A.St.-Hil.,Hypericum rigidum,Hypericum,rigidum,orelha-de-gato,EX,mpoSP
Ichnanthus bambusiflorus (Trin.) Döll,Ichnanthus bambusiflorus,Ichnanthus,bambusiflorus,NA,EN,mpoSP
Isabelia virginalis Barb.Rodr.,Isabelia virginalis,Isabelia,virginalis,orquídea,VU,mpoSP
Leandra lapae D’El Rei Souza & Baumgratz,Leandra lapae,Leandra,lapae,NA,VU,mpoSP
Leandra limbata Cogn.,Leandra limbata,Leandra,limbata,NA,EX,mpoSP
Leersia ligularis Trin.,Leersia ligularis,Leersia,ligularis,NA,CR,mpoSP
Lepanthopsis floripecten (Rchb.f.) Ames,Lepanthopsis floripecten,Lepanthopsis,floripecten,orquídea,VU,mpoSP
Lessingianthus asteriflorus (Mart. ex DC.) H.Rob.,Lessingianthus asteriflorus,Lessingianthus,asteriflorus,NA,EN,mpoSP
Lithachne horizontalis Chase,Lithachne horizontalis,Lithachne,horizontalis,NA,EX,mpoSP
Lobelia hederacea Cham.,Lobelia hederacea,Lobelia,hederacea,NA,EX,mpoSP
Lobelia nummularioides Cham.,Lobelia nummularioides,Lobelia,nummularioides,NA,EX,mpoSP
Luziola bahiensis (Steud.) Hitchc.,Luziola bahiensis,Luziola,bahiensis,NA,EN,mpoSP
Lysimachia buxifolia Molina,Lysimachia buxifolia,Lysimachia,buxifolia,NA,EN,mpoSP
Macroscepis magnifica Malme,Macroscepis magnifica,Macroscepis,magnifica,cipó-precioso,EX,mpoSP
Marlierea regeliana O.Berg,Marlierea regeliana,Marlierea,regeliana,NA,VU,mpoSP
Mascagnia divaricata (Kunth) Nied.,Mascagnia divaricata,Mascagnia,divaricata,NA,VU,mpoSP
Matelea glaziovii (E.Fourn.) Morillo,Matelea glaziovii,Matelea,glaziovii,cipó-de-leite,VU,mpoSP
Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia,Maytenus,ilicifolia,espinheira-santa,VU,mpoSP
Melasma rhinanthoides (Cham.) Benth.,Melasma rhinanthoides,Melasma,rhinanthoides,NA,EX,mpoSP
Merostachys burmanii Send.,Merostachys burmanii,Merostachys,burmanii,NA,EN,mpoSP
Merostachys scandens Send.,Merostachys scandens,Merostachys,scandens,NA,CR,mpoSP
Merostachys skvortzovii Send.,Merostachys skvortzovii,Merostachys,skvortzovii,NA,EN,mpoSP
Mesosetum ferrugineum (Trin.) Chase,Mesosetum ferrugineum,Mesosetum,ferrugineum,NA,EN,mpoSP
Myrcia bicolor Kiaersk.,Myrcia bicolor,Myrcia,bicolor,NA,EN,mpoSP
Myrcia eriopus DC.,Myrcia eriopus,Myrcia,eriopus,NA,VU,mpoSP
Myrcia flagellaris (D.Legrand) Sobral,Myrcia flagellaris,Myrcia,flagellaris,NA,VU,mpoSP
Myrsine villosissima Mart.,Myrsine villosissima,Myrsine,villosissima,NA,EN,mpoSP
Nectandra barbellata Coe-Teix.,Nectandra barbellata,Nectandra,barbellata,canela-amarela,VU,mpoSP
Nectandra debilis Mez,Nectandra debilis,Nectandra,debilis,canela-fogo,VU,mpoSP
Neomarica glauca (Seub. ex Klatt) Sprague,Neomarica glauca,Neomarica,glauca,NA,VU,mpoSP
Neomitranthes capivariensis (Mattos) Mattos,Neomitranthes capivariensis,Neomitranthes,capivariensis,NA,EN,mpoSP
Neomitranthes pedicellata (Burret) Mattos,Neomitranthes pedicellata,Neomitranthes,pedicellata,NA,EN,mpoSP
Ocotea bragai Coe-Teix.,Ocotea bragai,Ocotea,bragai,NA,EN,mpoSP
Ocotea catharinensis Mez,Ocotea catharinensis,Ocotea,catharinensis,canela-parda,VU,mpoSP
Ocotea daphnifolia (Meisn.) Mez,Ocotea daphnifolia,Ocotea,daphnifolia,NA,VU,mpoSP
Ocotea felix Coe-Teix.,Ocotea felix,Ocotea,felix,NA,EN,mpoSP
Ocotea frondosa (Meisn.) Mez,Ocotea frondosa,Ocotea,frondosa,canela-grande,VU,mpoSP
Ocotea mosenii Mez,Ocotea mosenii,Ocotea,mosenii,canela-preta,VU,mpoSP
Ocotea odorifera (Vell.) Rohwer,Ocotea odorifera,Ocotea,odorifera,canela-sassafrás,EN,mpoSP
Ocotea porosa (Nees & Mart.) Barroso,Ocotea porosa,Ocotea,porosa,imbuia,EN,mpoSP
Ocotea serrana Coe-Teix.,Ocotea serrana,Ocotea,serrana,canelinha,EN,mpoSP
Ocotea vaccinioides (Meisn.) Mez,Ocotea vaccinioides,Ocotea,vaccinioides,NA,VU,mpoSP
Palicourea tetraphylla Cham. & Schltdl.,Palicourea tetraphylla,Palicourea,tetraphylla,NA,VU,mpoSP
Panicum peladoense Henrard,Panicum peladoense,Panicum,peladoense,NA,EN,mpoSP
Paspalum arundinellum Mez,Paspalum arundinellum,Paspalum,arundinellum,NA,CR,mpoSP
Paspalum erianthoides Lindm.,Paspalum erianthoides,Paspalum,erianthoides,NA,EX,mpoSP
Paspalum erianthum Nees ex Trin.,Paspalum erianthum,Paspalum,erianthum,NA,EN,mpoSP
Paspalum falcatum Nees ex Steud.,Paspalum falcatum,Paspalum,falcatum,NA,EN,mpoSP
Paspalum flaccidum Nees,Paspalum flaccidum,Paspalum,flaccidum,NA,CR,mpoSP
Paspalum glaucescens Hack.,Paspalum glaucescens,Paspalum,glaucescens,NA,EN,mpoSP
Paspalum plenum Chase,Paspalum plenum,Paspalum,plenum,NA,EN,mpoSP
Paspalum usterii Hack.,Paspalum usterii,Paspalum,usterii,NA,EX,mpoSP
Peperomia diaphanoides Dahlst.,Peperomia diaphanoides,Peperomia,diaphanoides,NA,EX,mpoSP
Peperomia quadrifolia (L.) Kunth,Peperomia quadrifolia,Peperomia,quadrifolia,NA,EX,mpoSP
Peperomia rostulatiformis Yunck.,Peperomia rostulatiformis,Peperomia,rostulatiformis,NA,EX,mpoSP
Persea obovata Nees & Mart.,Persea obovata,Persea,obovata,NA,CR,mpoSP
Piper crassistilum Yunck.,Piper crassistilum,Piper,crassistilum,jaborandi,EX,mpoSP
Piper lanceolatum Ruiz & Pav.,Piper lanceolatum,Piper,lanceolatum,jaborandi,EN,mpoSP
Piper piritubanum Yunck.,Piper piritubanum,Piper,piritubanum,NA,EX,mpoSP
Plinia complanata M.L.Kawas. & B.Holst,Plinia complanata,Plinia,complanata,NA,EN,mpoSP
Plinia edulis (Vell.) Sobral,Plinia edulis,Plinia,edulis,cambucá,VU,mpoSP
Plinia pseudodichasiantha (Kiaresk.) G.M.Barroso ex Sobral,Plinia pseudodichasiantha,Plinia,pseudodichasiantha,NA,VU,mpoSP
Polygala galioides Poir.,Polygala galioides,Polygala,galioides,NA,EX,mpoSP
Polygala molluginifolia A.St.-Hil. & Moq.,Polygala molluginifolia,Polygala,molluginifolia,NA,EX,mpoSP
Polygala pumila Norlind,Polygala pumila,Polygala,pumila,NA,EX,mpoSP
Polypogon chilensis (Kunth) Pilg.,Polypogon chilensis,Polypogon,chilensis,NA,CR,mpoSP
Portulaca halimoides L.,Portulaca halimoides,Portulaca,halimoides,NA,EX,mpoSP
Pouteria bullata (S.Moore) Baehni,Pouteria bullata,Pouteria,bullata,guapeva,EN,mpoSP
Praxelis grandiflora (DC.) Sch.Bip.,Praxelis grandiflora,Praxelis,grandiflora,NA,VU,mpoSP
Quiina magallano-gomesii Schwacke,Quiina magallano-gomesii,Quiina,magallano-gomesii,NA,VU,mpoSP
Ranunculus flagelliformis Sm.,Ranunculus flagelliformis,Ranunculus,flagelliformis,NA,EX,mpoSP
Reimarochloa acuta (Flüggé) Hitchc.,Reimarochloa acuta,Reimarochloa,acuta,NA,CR,mpoSP
Reissekia smilacina (Sm.) Steud.,Reissekia smilacina,Reissekia,smilacina,NA,EX,mpoSP
Rhynchosia reticulata (Sw.) DC.,Rhynchosia reticulata,Rhynchosia,reticulata,favinha-branca,EX,mpoSP
Richardia schumannii W.H.Lewis & R.L.Oliv.,Richardia schumannii,Richardia,schumannii,poaia-do-campo,EX,mpoSP
Richardia stellaris (Cham. & Schltdl.) Steud.,Richardia stellaris,Richardia,stellaris,poaia-do-campo,EN,mpoSP
Roupala sculpta Sleumer,Roupala sculpta,Roupala,sculpta,NA,VU,mpoSP
Saundersia mirabilis Rchb.f.,Saundersia mirabilis,Saundersia,mirabilis,orquídea,EN,mpoSP
Schizachyrium scabrifolium (Rupr. ex Hack.) A.Camus,Schizachyrium scabrifolium,Schizachyrium,scabrifolium,NA,EX,mpoSP
Schizachyrium tenerum Nees,Schizachyrium tenerum,Schizachyrium,tenerum,NA,EN,mpoSP
Schultesia aptera Cham.,Schultesia aptera,Schultesia,aptera,NA,CR,mpoSP
Setaria parviflora (Poir.) Kerguélen var. pilosissima (Hack.) Pensiero,Setaria parviflora var. pilosissima,Setaria,parviflora,rabo-de-gato,EX,mpoSP
Setaria tenacissima Schrad. ex Schult.,Setaria tenacissima,Setaria,tenacissima,capim-maranguá,CR,mpoSP
Sida acrantha Link,Sida acrantha,Sida,acrantha,NA,EN,mpoSP
Siphanthera cordata Pohl ex DC.,Siphanthera cordata,Siphanthera,cordata,NA,VU,mpoSP
Siphoneugena reitzii D.Legrand,Siphoneugena reitzii,Siphoneugena,reitzii,NA,VU,mpoSP
Sloanea obtusifolia (Moric.) K.Schum.,Sloanea obtusifolia,Sloanea,obtusifolia,sapopemba,EN,mpoSP
Smilax lappacea Willd.,Smilax lappacea,Smilax,lappacea,NA,EX,mpoSP
Solanum spissifolium Sendtn.,Solanum spissifolium,Solanum,spissifolium,NA,EX,mpoSP
Spananthe Jacq.,Spananthe Jacq.,Spananthe,NA,NA,EX,mpoSP
Steinchisma spathellosum (Döll) Renvoize,Steinchisma spathellosum,Steinchisma,spathellosum,NA,EX,mpoSP
Strychnos nigricans Progel,Strychnos nigricans,Strychnos,nigricans,NA,EX,mpoSP
Tabebuia cassinoides (Lam.) DC.,Tabebuia cassinoides,Tabebuia,cassinoides,caixeta,EN,mpoSP
Tillandsia linearis Vell.,Tillandsia linearis,Tillandsia,linearis,bromélia,VU,mpoSP
Triuris hyalina Miers,Triuris hyalina,Triuris,hyalina,NA,EX,mpoSP
Utricularia nigrescens Sylvén,Utricularia nigrescens,Utricularia,nigrescens,mureré,EN,mpoSP
Utricularia trichophylla Spruce ex Oliv.,Utricularia trichophylla,Utricularia,trichophylla,mureré,VU,mpoSP
Viola gracillima A.St.-Hil.,Viola gracillima,Viola,gracillima,NA,EX,mpoSP
Viola subdimidiata A.St.-Hil.,Viola subdimidiata,Viola,subdimidiata,NA,EN,mpoSP
Virola bicuhyba (Schott ex Spreng.) Warb.,Virola bicuhyba,Virola,bicuhyba,bicuíba,EN,mpoSP
Vriesea platzmannii E.Morren,Vriesea platzmannii,Vriesea,platzmannii,bromélia,VU,mpoSP
Vriesea vulpinoidea L.B.Sm.,Vriesea vulpinoidea,Vriesea,vulpinoidea,bromélia,VU,mpoSP
Widgrenia corymbosa Malme,Widgrenia corymbosa,Widgrenia,corymbosa,NA,EX,mpoSP
Xanthosoma pentaphyllum Engl.,Xanthosoma pentaphyllum,Xanthosoma,pentaphyllum,NA,EX,mpoSP
Xyris augusto-coburgii Szyszyl. ex Beck,Xyris augusto-coburgii,Xyris,augusto-coburgii,NA,EN,mpoSP
Xyris fallax Malme,Xyris fallax,Xyris,fallax,NA,EN,mpoSP
Xyris rigida Kunth,Xyris rigida,Xyris,rigida,NA,CR,mpoSP
Xyris vacillans Malme,Xyris vacillans,Xyris,vacillans,NA,EN,mpoSP
Zeyheria tuberculosa (Vell.) Bureau ex Verl.,Zeyheria tuberculosa,Zeyheria,tuberculosa,ipê-felpudo,VU,mpoSP
Zygostigma australe (Cham. & Schltdl.) Griseb.,Zygostigma australe,Zygostigma,australe,genciana-roxa,CR,mpoSP
