especie_original,familia,genero,epiteto_especifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,fonte
Micropholis retusa,Sapotaceae,Micropholis,retusa,NA,DD,NA,sima
Pouteria brevensis,Sapotaceae,Pouteria,brevensis,NA,DD,NA,sima
Pouteria ciliata,Sapotaceae,Pouteria,ciliata,NA,DD,NA,sima
Pouteria crassiflora,Sapotaceae,Pouteria,crassiflora,NA,DD,NA,sima
Pouteria ericoides,Sapotaceae,Pouteria,ericoides,NA,DD,NA,sima
Pouteria exstaminodia,Sapotaceae,Pouteria,exstaminodia,NA,DD,NA,sima
Pouteria fulva,Sapotaceae,Pouteria,fulva,NA,DD,NA,sima
Pouteria latianthera,Sapotaceae,Pouteria,latianthera,NA,DD,NA,sima
Pouteria lucens,Sapotaceae,Pouteria,lucens,NA,DD,NA,sima
Pouteria maguirei,Sapotaceae,Pouteria,maguirei,NA,DD,NA,sima
Pouteria microstrigosa,Sapotaceae,Pouteria,microstrigosa,NA,DD,NA,sima
Pouteria nudipetala,Sapotaceae,Pouteria,nudipetala,NA,DD,NA,sima
Pouteria pachyphylla,Sapotaceae,Pouteria,pachyphylla,NA,DD,NA,sima
Pouteria pallens,Sapotaceae,Pouteria,pallens,NA,DD,NA,sima
Pouteria polysepala,Sapotaceae,Pouteria,polysepala,NA,DD,NA,sima
Pouteria pubescens,Sapotaceae,Pouteria,pubescens,NA,DD,NA,sima
Pouteria putamen-ovi,Sapotaceae,Pouteria,putamen-ovi,NA,DD,NA,sima
Pouteria rodriguesiana,Sapotaceae,Pouteria,rodriguesiana,NA,DD,NA,sima
Pouteria samborae,Sapotaceae,Pouteria,samborae,NA,DD,NA,sima
Pouteria scrobiculata,Sapotaceae,Pouteria,scrobiculata,NA,DD,NA,sima
Pouteria stenophylla,Sapotaceae,Pouteria,stenophylla,NA,DD,NA,sima
Pouteria stipulifera,Sapotaceae,Pouteria,stipulifera,NA,DD,NA,sima
Pouteria synsepala,Sapotaceae,Pouteria,synsepala,NA,DD,NA,sima
Pouteria tarumanensis,Sapotaceae,Pouteria,tarumanensis,NA,DD,NA,sima
Pouteria tenuisepala,Sapotaceae,Pouteria,tenuisepala,NA,DD,NA,sima
Pouteria trifida,Sapotaceae,Pouteria,trifida,NA,DD,NA,sima
Pradosia decipiens,Sapotaceae,Pradosia,decipiens,NA,DD,NA,sima
Pradosia grisebachii,Sapotaceae,Pradosia,grisebachii,NA,DD,NA,sima
Sarcaulus inflexus,Sapotaceae,Sarcaulus,inflexus,NA,DD,NA,sima
Allantoma integrifolia,Lecythidaceae,Allantoma,integrifolia,NA,DD,NA,sima
Allantoma kuhlmannii,Lecythidaceae,Allantoma,kuhlmannii,NA,DD,NA,sima
Allantoma pauciramosa,Lecythidaceae,Allantoma,pauciramosa,NA,DD,NA,sima
Allantoma uaupensis,Lecythidaceae,Allantoma,uaupensis,NA,DD,NA,sima
Cariniana penduliflora,Lecythidaceae,Cariniana,penduliflora,NA,DD,NA,sima
Couratari longipedicellata,Lecythidaceae,Couratari,longipedicellata,NA,DD,NA,sima
Couratari prancei,Lecythidaceae,Couratari,prancei,NA,DD,NA,sima
Eschweilera amazoniciformis,Lecythidaceae,Eschweilera,amazoniciformis,NA,DD,NA,sima
Eschweilera rabeliana,Lecythidaceae,Eschweilera,rabeliana,NA,DD,NA,sima
Gustavia erythrocarpa,Lecythidaceae,Gustavia,erythrocarpa,NA,DD,NA,sima
Gustavia longepetiolata,Lecythidaceae,Gustavia,longepetiolata,NA,DD,NA,sima
Lecythis barnebyi,Lecythidaceae,Lecythis,barnebyi,NA,DD,NA,sima
Abarema acreana,Fabaceae,Abarema,acreana,NA,DD,NA,sima
Abarema villifera,Fabaceae,Abarema,villifera,NA,DD,NA,sima
Aeschynomene sensitiva var. hispidula,Fabaceae,Aeschynomene,sensitiva,NA,DD,NA,sima
Aldina microphylla,Fabaceae,Aldina,microphylla,NA,DD,NA,sima
Aldina occidentalis,Fabaceae,Aldina,occidentalis,NA,DD,NA,sima
Aldina polyphylla,Fabaceae,Aldina,polyphylla,NA,DD,NA,sima
Amburana erythrosperma,Fabaceae,Amburana,erythrosperma,NA,DD,NA,sima
Andira praecox,Fabaceae,Andira,praecox,NA,DD,NA,sima
Bauhinia marginata,Fabaceae,Bauhinia,marginata,NA,DD,EX,sima
Bionia bella,Fabaceae,Bionia,bella,NA,DD,VU,sima
Calliandra jariensis,Fabaceae,Calliandra,jariensis,NA,DD,NA,sima
Centrosema jaraguaense,Fabaceae,Centrosema,jaraguaense,NA,DD,NA,sima
Centrosema teresae,Fabaceae,Centrosema,teresae,NA,DD,NA,sima
Chamaecrista aristata,Fabaceae,Chamaecrista,aristata,NA,DD,NA,sima
Chamaecrista brevicalyx var. elliptica,Fabaceae,Chamaecrista,brevicalyx,NA,DD,NA,sima
Chamaecrista choriophylla,Fabaceae,Chamaecrista,choriophylla,NA,DD,NA,sima
Chamaecrista dentata,Fabaceae,Chamaecrista,dentata,NA,DD,NA,sima
Chamaecrista strictifolia,Fabaceae,Chamaecrista,strictifolia,NA,DD,NA,sima
Chloroleucon extortum,Fabaceae,Chloroleucon,extortum,NA,DD,NA,sima
Dahlstedtia castaneifolia,Fabaceae,Dahlstedtia,castaneifolia,NA,DD,NA,sima
Dahlstedtia dehiscens,Fabaceae,Dahlstedtia,dehiscens,NA,DD,NA,sima
Dalbergia hortensis,Fabaceae,Dalbergia,hortensis,NA,DD,NA,sima
Chamissoa acuminata var. maximilianii,Amaranthaceae,Chamissoa,acuminata,NA,DD,NA,sima
Dicymbe heteroxylon,Fabaceae,Dicymbe,heteroxylon,NA,DD,NA,sima
Dimorphandra mediocris,Fabaceae,Dimorphandra,mediocris,NA,DD,NA,sima
Froelichia interrupta,Amaranthaceae,Froelichia,interrupta,NA,DD,NA,sima
Discolobium psoraleifolium,Fabaceae,Discolobium,psoraleifolium,NA,DD,NA,sima
Eriosema glaziovii,Fabaceae,Eriosema,glaziovii,NA,DD,VU,sima
Eriosema platycarpon,Fabaceae,Eriosema,platycarpon,NA,DD,VU,sima
Exostyles glabra,Fabaceae,Exostyles,glabra,NA,DD,NA,sima
Froelichia procera,Amaranthaceae,Froelichia,procera,NA,DD,NA,sima
Inga bollandii,Fabaceae,Inga,bollandii,NA,DD,NA,sima
Inga cabelo,Fabaceae,Inga,cabelo,NA,DD,NA,sima
Inga caudata,Fabaceae,Inga,caudata,NA,DD,NA,sima
Inga exilis,Fabaceae,Inga,exilis,NA,DD,NA,sima
Inga leptantha,Fabaceae,Inga,leptantha,NA,DD,NA,sima
Inga microcalyx,Fabaceae,Inga,microcalyx,NA,DD,NA,sima
Inga salicifoliola,Fabaceae,Inga,salicifoliola,NA,DD,NA,sima
Inga santaremnensis,Fabaceae,Inga,santaremnensis,NA,DD,NA,sima
Inga suberosa,Fabaceae,Inga,suberosa,NA,DD,NA,sima
Inga xinguensis,Fabaceae,Inga,xinguensis,NA,DD,NA,sima
Jacqueshuberia quinquangulata,Fabaceae,Jacqueshuberia,quinquangulata,NA,DD,NA,sima
Lathyrus hookeri,Fabaceae,Lathyrus,hookeri,NA,DD,NA,sima
Lathyrus parodii,Fabaceae,Lathyrus,parodii,NA,DD,NA,sima
Lupinus gibertianus,Fabaceae,Lupinus,gibertianus,NA,DD,NA,sima
Lupinus ovalifolius,Fabaceae,Lupinus,ovalifolius,NA,DD,NA,sima
Lupinus parvifolius,Fabaceae,Lupinus,parvifolius,NA,DD,NA,sima
Lupinus prouvensalanus,Fabaceae,Lupinus,prouvensalanus,NA,DD,NA,sima
Schlumbergera rosea,Cactaceae,Schlumbergera,rosea,NA,DD,NA,sima
Macrolobium cidii,Fabaceae,Macrolobium,cidii,NA,DD,NA,sima
Macrolobium cowanii,Fabaceae,Macrolobium,cowanii,NA,DD,NA,sima
Macrolobium froesii,Fabaceae,Macrolobium,froesii,NA,DD,NA,sima
Macrolobium palustre,Fabaceae,Macrolobium,palustre,NA,DD,NA,sima
Macrosamanea macrocalyx,Fabaceae,Macrosamanea,macrocalyx,NA,DD,NA,sima
Mimosa acutistipula,Fabaceae,Mimosa,acutistipula,NA,DD,NA,sima
Mimosa exalbescens,Fabaceae,Mimosa,exalbescens,NA,DD,NA,sima
Mimosa glycyrrhizoides,Fabaceae,Mimosa,glycyrrhizoides,NA,DD,NA,sima
Mimosa humifusa,Fabaceae,Mimosa,humifusa,NA,DD,NA,sima
Mimosa leptantha,Fabaceae,Mimosa,leptantha,NA,DD,NA,sima
Mimosa niomarlei,Fabaceae,Mimosa,niomarlei,NA,DD,NA,sima
Mimosa pabstiana,Fabaceae,Mimosa,pabstiana,NA,DD,NA,sima
Moldenhawera intermedia,Fabaceae,Moldenhawera,intermedia,NA,DD,NA,sima
Muellera torrensis,Fabaceae,Muellera,torrensis,NA,DD,NA,sima
Parkia lutea,Fabaceae,Parkia,lutea,NA,DD,NA,sima
Recordoxylon stenopetalum,Fabaceae,Recordoxylon,stenopetalum,NA,DD,NA,sima
Rhynchosia leucophylla,Fabaceae,Rhynchosia,leucophylla,NA,DD,NA,sima
Schnella grazielae,Fabaceae,Schnella,grazielae,NA,DD,NA,sima
Schnella smilacina,Fabaceae,Schnella,smilacina,NA,DD,NA,sima
Stylosanthes nunoi,Fabaceae,Stylosanthes,nunoi,NA,DD,NA,sima
Swartzia capixabensis,Fabaceae,Swartzia,capixabensis,NA,DD,NA,sima
Swartzia coriaceifolia,Fabaceae,Swartzia,coriaceifolia,NA,DD,NA,sima
Swartzia mangabalensis,Fabaceae,Swartzia,mangabalensis,NA,DD,NA,sima
Swartzia oriximinaensis,Fabaceae,Swartzia,oriximinaensis,NA,DD,NA,sima
Swartzia rondoniensis,Fabaceae,Swartzia,rondoniensis,NA,DD,NA,sima
Tachigali catingae,Fabaceae,Tachigali,catingae,NA,DD,NA,sima
Tachigali hypoleuca,Fabaceae,Tachigali,hypoleuca,NA,DD,NA,sima
Trifolium argentinense,Fabaceae,Trifolium,argentinense,NA,DD,NA,sima
Vicia tephrosioides,Fabaceae,Vicia,tephrosioides,NA,DD,NA,sima
Zornia acauensis,Fabaceae,Zornia,acauensis,NA,DD,NA,sima
Zornia mitziana,Fabaceae,Zornia,mitziana,NA,DD,NA,sima
Aspidosperma album,Apocynaceae,Aspidosperma,album,NA,DD,NA,sima
Chrysophyllum paranaense,Sapotaceae,Chrysophyllum,paranaense,NA,DD,NA,sima
Aspidosperma inundatum,Apocynaceae,Aspidosperma,inundatum,NA,DD,NA,sima
Aspidosperma quebracho-blanco,Apocynaceae,Aspidosperma,quebracho-blanco,NA,DD,NA,sima
Aspidosperma sandwithianum,Apocynaceae,Aspidosperma,sandwithianum,NA,DD,NA,sima
Macroscepis magnifica,Apocynaceae,Macroscepis,magnifica,NA,DD,EX,sima
Malouetia amplexicaulis,Apocynaceae,Malouetia,amplexicaulis,NA,DD,NA,sima
Marsdenia fontellana,Apocynaceae,Marsdenia,fontellana,NA,DD,NA,sima
Minaria abortiva,Apocynaceae,Minaria,abortiva,NA,DD,NA,sima
Dahlstedtia muehlbergiana,Fabaceae,Dahlstedtia,muehlbergiana,NA,DD,NA,sima
Minaria lourteigiae,Apocynaceae,Minaria,lourteigiae,NA,DD,NA,sima
Parahancornia amara,Apocynaceae,Parahancornia,amara,NA,DD,NA,sima
Petalostelma calcaratum,Apocynaceae,Petalostelma,calcaratum,NA,DD,NA,sima
Lupinus linearis,Fabaceae,Lupinus,linearis,NA,DD,NA,sima
Spigelia hatschbachii,Loganiaceae,Spigelia,hatschbachii,NA,DD,NA,sima
Mimosa lanata,Fabaceae,Mimosa,lanata,NA,DD,NA,sima
Amaioua monteiroi,Rubiaceae,Amaioua,monteiroi,NA,DD,NA,sima
Borreria pulchristipula,Rubiaceae,Borreria,pulchristipula,NA,DD,VU,sima
Bradea kuhlmanni,Rubiaceae,Bradea,kuhlmanni,NA,DD,NA,sima
Coussarea insignis,Rubiaceae,Coussarea,insignis,NA,DD,NA,sima
Ferdinandusa cordata,Rubiaceae,Ferdinandusa,cordata,NA,DD,NA,sima
Ferdinandusa nitida,Rubiaceae,Ferdinandusa,nitida,NA,DD,NA,sima
Gleasonia macrocalyx,Rubiaceae,Gleasonia,macrocalyx,NA,DD,NA,sima
Guettarda platyphylla,Rubiaceae,Guettarda,platyphylla,NA,DD,EX,sima
Kutchubaea duckei,Rubiaceae,Kutchubaea,duckei,NA,DD,NA,sima
Ladenbergia paraensis,Rubiaceae,Ladenbergia,paraensis,NA,DD,NA,sima
Platycarpum acreanum,Rubiaceae,Platycarpum,acreanum,NA,DD,NA,sima
Posoqueria acutifolia,Rubiaceae,Posoqueria,acutifolia,NA,DD,NA,sima
Psychotria sutericalyx,Rubiaceae,Psychotria,sutericalyx,NA,DD,NA,sima
Rudgea minor,Rubiaceae,Rudgea,minor,NA,DD,NA,sima
Senegalia parviceps,Fabaceae,Senegalia,parviceps,NA,DD,NA,sima
Simira rubra,Rubiaceae,Simira,rubra,NA,DD,NA,sima
Macroscepis aurea,Apocynaceae,Macroscepis,aurea,NA,DD,NA,sima
Ruellia chamaedrys,Acanthaceae,Ruellia,chamaedrys,NA,DD,NA,sima
Stenostephanus lobeliiformis,Acanthaceae,Stenostephanus,lobeliiformis,NA,DD,NA,sima
Voyria aphylla,Gentianaceae,Voyria,aphylla,NA,DD,NA,sima
Anemopaegma patelliforme,Bignoniaceae,Anemopaegma,patelliforme,NA,DD,NA,sima
Handroanthus diamantinensis,Bignoniaceae,Handroanthus,diamantinensis,NA,DD,NA,sima
Handroanthus parviflorus,Bignoniaceae,Handroanthus,parviflorus,NA,DD,NA,sima
Jacaranda bullata,Bignoniaceae,Jacaranda,bullata,NA,DD,NA,sima
Anetanthus gracilis,Gesneriaceae,Anetanthus,gracilis,NA,DD,NA,sima
Besleria meridionalis,Gesneriaceae,Besleria,meridionalis,NA,DD,NA,sima
Columnea sanguinea,Gesneriaceae,Columnea,sanguinea,NA,DD,NA,sima
Mandirola multiflora,Gesneriaceae,Mandirola,multiflora,NA,DD,NA,sima
Vanhouttea bradeana,Gesneriaceae,Vanhouttea,bradeana,NA,DD,NA,sima
Vanhouttea fruticulosa,Gesneriaceae,Vanhouttea,fruticulosa,NA,DD,NA,sima
Aegiphila duckei,Lamiaceae,Aegiphila,duckei,NA,DD,NA,sima
Cyanocephalus bombycinus,Lamiaceae,Cyanocephalus,bombycinus,NA,DD,NA,sima
Hyptis tetracephala,Lamiaceae,Hyptis,tetracephala,NA,DD,NA,sima
Hyptis tricephala,Lamiaceae,Hyptis,tricephala,NA,DD,NA,sima
Vitex brevilabiata,Lamiaceae,Vitex,brevilabiata,NA,DD,NA,sima
Vitex krukovii,Lamiaceae,Vitex,krukovii,NA,DD,NA,sima
Justicia bullata,Acanthaceae,Justicia,bullata,NA,DD,NA,sima
Utricularia biovularioides,Lentibulariaceae,Utricularia,biovularioides,NA,DD,NA,sima
Utricularia warmingii,Lentibulariaceae,Utricularia,warmingii,NA,DD,EX,sima
Lantana ramboi,Verbenaceae,Lantana,ramboi,NA,DD,NA,sima
Caraipa odorata,Calophyllaceae,Caraipa,odorata,NA,DD,NA,sima
Kielmeyera altissima,Calophyllaceae,Kielmeyera,altissima,NA,DD,NA,sima
Couepia cidiana,Chrysobalanaceae,Couepia,cidiana,NA,DD,NA,sima
Couepia marleneae,Chrysobalanaceae,Couepia,marleneae,NA,DD,NA,sima
Couepia morii,Chrysobalanaceae,Couepia,morii,NA,DD,NA,sima
Couepia pernambucensis,Chrysobalanaceae,Couepia,pernambucensis,NA,DD,NA,sima
Couepia reflexa,Chrysobalanaceae,Couepia,reflexa,NA,DD,NA,sima
Couepia stipularis,Chrysobalanaceae,Couepia,stipularis,NA,DD,NA,sima
Hirtella barrosoi,Chrysobalanaceae,Hirtella,barrosoi,NA,DD,NA,sima
Licania anneae,Chrysobalanaceae,Licania,anneae,NA,DD,NA,sima
Licania bahiensis,Chrysobalanaceae,Licania,bahiensis,NA,DD,NA,sima
Licania bellingtonii,Chrysobalanaceae,Licania,bellingtonii,NA,DD,NA,sima
Licania glazioviana,Chrysobalanaceae,Licania,glazioviana,NA,DD,NA,sima
Licania miltonii,Chrysobalanaceae,Licania,miltonii,NA,DD,NA,sima
Licania nelsonii,Chrysobalanaceae,Licania,nelsonii,NA,DD,NA,sima
Licania santosii,Chrysobalanaceae,Licania,santosii,NA,DD,NA,sima
Licania teixeirae,Chrysobalanaceae,Licania,teixeirae,NA,DD,NA,sima
Licania tomentosa,Chrysobalanaceae,Licania,tomentosa,NA,DD,NA,sima
Moronobea coccinea,Clusiaceae,Moronobea,coccinea,NA,DD,NA,sima
Actinostemon klotzschii,Euphorbiaceae,Actinostemon,klotzschii,NA,DD,NA,sima
Bernardia similis,Euphorbiaceae,Bernardia,similis,NA,DD,NA,sima
Schaueria litoralis,Acanthaceae,Schaueria,litoralis,NA,DD,NA,sima
Cnidoscolus adenoblepharus,Euphorbiaceae,Cnidoscolus,adenoblepharus,NA,DD,NA,sima
Cnidoscolus froesii,Euphorbiaceae,Cnidoscolus,froesii,NA,DD,NA,sima
Cnidoscolus monsanto,Euphorbiaceae,Cnidoscolus,monsanto,NA,DD,NA,sima
Conceveiba prealta,Euphorbiaceae,Conceveiba,prealta,NA,DD,NA,sima
Croton luetzelburgii,Euphorbiaceae,Croton,luetzelburgii,NA,DD,NA,sima
Croton oliganthus,Euphorbiaceae,Croton,oliganthus,NA,DD,NA,sima
Croton pseudopopulus,Euphorbiaceae,Croton,pseudopopulus,NA,DD,NA,sima
Achimenes ichtyostoma,Gesneriaceae,Achimenes,ichtyostoma,NA,DD,NA,sima
Sinningia conspicua,Gesneriaceae,Sinningia,conspicua,NA,DD,NA,sima
Ophthalmoblapton crassipes,Euphorbiaceae,Ophthalmoblapton,crassipes,NA,DD,NA,sima
Lacistema lucidum,Lacistemataceae,Lacistema,lucidum,NA,DD,NA,sima
Linum carneum,Linaceae,Linum,carneum,NA,DD,NA,sima
Linum erigeroides,Linaceae,Linum,erigeroides,NA,DD,NA,sima
Banisteriopsis salicifolia,Malpighiaceae,Banisteriopsis,salicifolia,NA,DD,NA,sima
Byrsonima euryphylla,Malpighiaceae,Byrsonima,euryphylla,NA,DD,NA,sima
Lophanthera lactescens,Malpighiaceae,Lophanthera,lactescens,NA,DD,NA,sima
Pterandra andersonii,Malpighiaceae,Pterandra,andersonii,NA,DD,NA,sima
Stigmaphyllon hatschbachii,Malpighiaceae,Stigmaphyllon,hatschbachii,NA,DD,NA,sima
Tetrapterys cordifolia,Malpighiaceae,Tetrapterys,cordifolia,NA,DD,NA,sima
Elvasia capixaba,Ochnaceae,Elvasia,capixaba,NA,DD,NA,sima
Elvasia kollmannii,Ochnaceae,Elvasia,kollmannii,NA,DD,NA,sima
Ouratea verruculosa,Ochnaceae,Ouratea,verruculosa,NA,DD,NA,sima
Passiflora saccoi,Passifloraceae,Passiflora,saccoi,NA,DD,NA,sima
Quiina cidiana,Quiinaceae,Quiina,cidiana,NA,DD,NA,sima
Quiina glaziovii,Quiinaceae,Quiina,glaziovii,NA,DD,VU,sima
Quiina piresii,Quiinaceae,Quiina,piresii,NA,DD,NA,sima
Touroulia amazonica,Quiinaceae,Touroulia,amazonica,NA,DD,NA,sima
Sterigmapetalum plumbeum,Rhizophoraceae,Sterigmapetalum,plumbeum,NA,DD,NA,sima
Pombalia velutina,Violaceae,Pombalia,velutina,NA,DD,EN,sima
