"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","individualCount","class","verbatimLongitude","verbatimLatitude","dayIdentified"
"11","2019-11-21 14:45:04-03","UFJF","CESJ","37392","PreservedSpecimen","Plantae","Angiosperma",NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","H.L. Mello Barreto","J.Evangelista de Oliveira","158","1940","09","20","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Horto Florestal, Cerrado.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto, ca. 4,00 m alt. Flor verde com mal cheiro. Pouco frequente.","CESJ037392",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:41:30-03","UFMG","BHCB","65388","PreservedSpecimen","Plantae","Dicotyledon",NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani",NA,"Oliveira, JE","158",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"BHCB045863",NA,"17082","auto","2017",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:41:31-03","UFMG","BHCB","65389","PreservedSpecimen","Plantae","Dicotyledon",NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.",NA,"Barreto, HLM","754",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Santa Luzia",NA,"-43.8513984680176","-19.7696990966797",NA,NA,NA,NA,NA,NA,"19939","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-10-19 10:21:00-03","MO","MOBOT","101076539","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani",NA,"J.E.B. Warming","Warming 2466",NA,NA,NA,"South America","Brazil","Minas Gerais","Lagoa Santa","In campis.","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,NA,NA,"12338","auto",NA,NA,"Lectotype","1",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","3686793","PreservedSpecimen","Plantae",NA,"Sapindales","Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.",NA,"G. Hatschbach & J. M. Silva","80122","2007","7","22","South America - Neotropics","Brazil","Minas Gerais","Buritizeiro","Rodovia Buritizeiro a Paredão de Minas","-44.9622001647949","-17.3511009216309",NA,NA,NA,NA,"US01858101","US01858101_01 US01858101_02","88041","auto",NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"16","2021-03-15 18:30:08-03","USP","SPF","216482","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani","Devecchi, MF","Devecchi, MF","421","2015","02","20",NA,"Brasil","Minas Gerais","Jaboticatubas","Estrada Lagoa Santa - Jaboticatubas.","-43.811556","-19.550278","825","825",NA,"Arbusto até 90 cm alt. Sistema subterrâneo bem desenvolvido. Ramos jovens e raques foliares avermelhados com indumento alvo. Folhas discolores.; Cerrado.","SPF00216482",NA,NA,NA,"2017","06",NA,NA,NA,"-43.811556","-19.550278",NA
"17","2021-03-15 18:30:08-03","USP","SPF","216518","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani","Devecchi, MF","Devecchi, MF","416","2015","02","20",NA,"Brasil","Minas Gerais","Jaboticatubas","Acesso à Comunidade Bamburral pela MG-020. Fragmento de cerrado na margem da rodovia.","-43.766167","-19.583611","861","861",NA,"Arbusto até 1,7 m alt. Caule subterrâneo bem desenvolvido. Ramos jovens e raques foliares avermelhados com indumento alvo. Folhas discolores.; Cerrado.","SPF00216518",NA,NA,NA,"2017","06",NA,NA,NA,"-43.766167","-19.583611",NA
"18","2019-11-13 11:31:57-03","USP","SPF","32345","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani","Devecchi, MF","Costa, NMS","BV18","1976","09","08",NA,"Brasil","Minas Gerais","Prudente de Morais","Fazenda Santa Rita. Cerrado.","-44.1549987792969","-19.4818992614746",NA,NA,NA,NA,"SPF00032345",NA,"14061","auto","2017","06",NA,NA,NA,NA,NA,"17"
"19","2021-03-15 18:30:08-03","USP","SPF","32346","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Homalolepis","warmingiana","Homalolepis warmingiana","(Engl.) Devecchi & Pirani","Devecchi, MF","Silva, JB","73","1967","08","23",NA,"Brasil","Minas Gerais","Sete Lagoas","IPEACO. Campo-cerrado-branco extremamente cascalhento.","-44.2467002868652","-19.465799331665",NA,NA,NA,"Subarbusto rasteiro; flores esverdeadas, bastante freqüente.","SPF00032346",NA,"22227","auto","2017","06",NA,NA,NA,NA,NA,"17"
"20","2019-09-04 19:17:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana",NA,NA,"J. E. B. Warming","2466",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA,NA
"21","2021-02-23 13:23:08-03","MN","R-TIPOS","7960","PreservedSpecimen","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","Cavalcante, P.","Glaziou, A.F.M.","2466 W","1864","10",NA,NA,"Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"R000007960","R000007960_001","12338","auto","1980","10","Isotypus",NA,NA,NA,NA,NA
"22","2019-03-19 18:18:45-03","UFMT","UFMT","16327","S","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","Devecchi, M.F.","Macedo, M.; Somavilla, N.; Silva, A.","5515","1997","08","30",NA,"Brasil","Mato Grosso","Poxoréu","Distrito de Alto Coité.",NA,NA,NA,NA,NA,"Folha alterna, multifoliar, fruto maduro.; Cerrado.",NA,NA,NA,NA,"2014","12",NA,NA,NA,NA,NA,"09"
"23","2019-03-19 18:18:45-03","UFMT","UFMT","10079","S","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.","Devecchi, M.F.","Guarim Neto, G.; Dias Ferreira, L.A.; Ferreira, H.","1349","1988","06","10",NA,"Brasil","Mato Grosso","Rondonópolis","BR-163. REgião da Cia de Aviação.","-54.6356010437012","-16.4708003997803",NA,NA,NA,"Subarbusto, de ca de 1,5m de altura. Flores alva-amareladas. Frutos jovens, pubescentes. Muito comum.; CErrado.",NA,NA,"69781","auto","2014","12",NA,NA,NA,NA,NA,"09"
"24","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.",NA,"Warming, JEB","s.n",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in campis ad Lagoa Santa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Simaroubaceae","Simaba","warmingiana","Simaba warmingiana","Engl.",NA,"Riedel, L","2637",NA,NA,NA,"Southern America","Brazil","Bahia",NA,"in campis editis ad flumen S. Fransisco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
