"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","year","month","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","order","typeStatus","relatedCatalogItem","sex"
"11","2020-03-17 18:13:43-03","UESC","UESC","21316","S","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Muell Arg.","W.W.Thomas","14629",NA,"Brasil","UESC0021316",NA,"2006","04","Minas Gerais","Santa Maria do Salto","-40.057222","-16.403333",NA,NA,"L.A.Mattos-Silva","2016","04",NA,"23",NA,"Tropical moist forest over dark red clay, with evidence of some earlier logging.; Unbranched or few-branched shrub. 1 - 2 m tall.","40W3'26''","16S24'12''","800","870",NA,NA,NA,NA,NA,NA,NA
"12","2020-03-17 18:13:43-03","UESC","UESC","17048","S","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Muell Arg.","L.A.Mattos Silva","3781",NA,"Brasil","UESC0017048",NA,"1998","06","Bahia","Itacaré","-38.9967002868652","-14.2775001525879","41230","auto","A.Amorim","1998",NA,NA,"25",NA,"Arbustiva, 2 a 3 m de altura.; Frequente no interior da mata próxima ao campo cheiroso.",NA,NA,"100","150",NA,NA,NA,NA,NA,NA,NA
"13","2014-08-23 05:35:00-03","MO","MOBOT","2965034","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22693","South America","Brazil",NA,NA,"1969","1","Minas Gerais",NA,NA,NA,NA,NA,"Ronald Liesner",NA,NA,NA,"27","Outcrops. Sandy cerrado and thickets in sandy pockets. inoutcrops, ca. 12 km N.E. Of Diamantina, road to Mendanha.",NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","40311",NA,"Plantae",NA,"Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","L. Kollmann; E. Leme & A. Souza","11872",NA,"Brasil","MBML040311","MBML040311","2010","03","Minas Gerais","Santa Maria do Salto","-40.066667","-16.42",NA,NA,"E. R. Martins/03-XI-2011",NA,NA,NA,"23","Talismã, Fazenda Duas Barras, propr. L. Aleixo","Arbusto 1 m na sombra, sépalas rosa, pétalas brancas com listras rosa no meio.","40W3'60","16S25'12","850","850",NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","4633",NA,"Plantae",NA,"Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","B. Weinberg","134",NA,"Brasil","MBML004633","MBML004633","1980","03","Espírito Santo","Vila Velha","-40.320556","-20.401111",NA,NA,NA,NA,NA,NA,NA,"Barra do Jucu, Itaparica","Arbusto com 2,5m altura, 3 e 4 ramificações altas a partir de 90cm acima do solo, filódios com + de 35cm de comprimento, intensamente floríferos. Flores amarelas claras e frutos capsulares com menos de 1cm, diâmetro único 20 indivíduos","40W19'14","20S24'4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:46:00-03","MBML","MBML-HERBARIO","5140",NA,"Plantae",NA,"Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","B. Weinberg","468",NA,"Brasil","MBML005140","MBML005140","1981","06","Espírito Santo","Vila Velha","-40.319444","-20.402222",NA,NA,NA,NA,NA,NA,"05","Barra do Jucu, Imob. Itaparica","mais ou menos 10 espécimes, sexos separados, ameaçados extinção.","40W19'10","20S24'8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-04 10:29:42-03","UFRPE","HST","14777","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","A.M.Miranda; J.Ferraz et C.Silva","5469",NA,"Brasil","HST014777",NA,"2007","04","Bahia","Camamu","-39.1039009094238","-13.9447002410889","33730","auto","J.C.R.Mendes","2019","08","20","29","Distrito de Barcelos do Sul","Arbusto ca. 60 cm alt.; flores amareladas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-02 16:35:39-03","Cenargen","CEN","21746","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Lídio Coradin","8561",NA,"Brasil","CEN00021746","CEN00021746","1992","09","BA","LENCOIS",NA,NA,NA,NA,"E.R.Martins-UFSCar","2012","12",NA,"10","Estrada Lençóis - Seabra (BR - 242), km 20.",NA,"-4153333.0","-1243333.0","690","690","Exsicatas","5",NA,NA,NA,NA,NA
"19","2021-03-15 18:29:14-03","USP","SPF","177315","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Amorim, AMA","5547",NA,"Brasil","SPF00177315",NA,"2006","02","Minas Gerais","Santa Maria do Salto","-40.054444","-16.406389",NA,NA,"Martins, ER","2012","10","10","08","Divisa entre Bahia e Minas Gerais. Fazendas Duas Barras. Reserva do Alto Cariri. Trilha da caixa d#?#água. Floresta ombrófila densa montana.","Subarbusto comum no interior da mata. Filódis verdes. Flroes com pétalas rósea-avermelhadas. Filódios em sílica-gel. Flores em álcool 70%.","-40.054444","-16.406389","950","950",NA,NA,NA,NA,NA,NA,NA
"20","2019-10-07 09:32:38-03","UEFS","HUEFS","114177","PreservedSpecimen","Plantae","Angiospermae","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Amorim, A.M.","5547",NA,"Brasil","HUEFS0114177","HUEFS0114177","2006","02","Minas Gerais","Santa Maria do Salto","-40.054444","-16.406389",NA,NA,"E.R.Martins","2013","02",NA,"08","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da caixa d'água.","Floresta Ombrófila Densa Montana.","40W3'16''","16S24'23''","950","950",NA,NA,"Rosanae","Malpighiales",NA,NA,NA
"21","2019-10-07 09:32:38-03","UEFS","HUEFS","37312","PreservedSpecimen","Plantae","Angiospermae","Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","Mattos-Silva, L.A.","3781",NA,"Brasil","HUEFS0037312","HUEFS0037312","1998","06","Bahia","Itacaré","-38.9967002868652","-14.2775001525879","41230","auto","I.Cordeiro","2012","11",NA,"25","Área de Campo Nativo, conhecida como campo cheiroso, situada na Fazenda Campo Cheiroso. Área de vegetação diferenciada, com aprox. 80 ha (atualmente com cultivo de coco-da-bahia). Km 49 da Rodovia Ilhéus/Itacaré, Ramal com entrada á esquerda (cerca de 11Km ao Norte do Povoado de Serra Grande). Solo arenoso.",NA,NA,NA,"100","150",NA,NA,"Rosanae","Malpighiales",NA,NA,NA
"22","2019-09-04 18:46:08-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus",NA,"F. Sellow","814","South America","Brazil",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA
"23","2020-07-23 12:17:50-03","CEPLAC","CEPEC","150007","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus",NA,"Cordeiro, I.","3557",NA,"Brasil",NA,NA,"2015","11","Bahia","ITACARÉ","-39.039444","-14.380556",NA,NA,"I. Cordeiro",NA,NA,NA,"29","Campo Cheiroso","Duplicatas SP","39W2'22","14S22'50","100","100",NA,NA,NA,NA,NA,NA,NA
"24","2020-07-23 12:06:41-03","CEPLAC","CEPEC","80516","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus",NA,"L. A. Mattos-Silva","3781",NA,"Brasil",NA,NA,"1998","06","Bahia","ITACARÉ","-38.9967002868652","-14.2775001525879","41230","auto","M. J. Silva",NA,NA,NA,"25","Área conhecida como campo cheiroso, situada na Faz. Campo Cheiroso. Área de Vegetação diferenciada, com aprox. 80ha.. Km 49 da Rod. Ilhéus/Itacaré, ramal com entrada à esq. (ca. 11Km ao N do Povoado de Serra Grande).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/08/2007",NA
"25","2020-07-23 12:06:41-03","CEPLAC","CEPEC","10183","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus",NA,"T. S. dos Santos","2915",NA,"Brasil",NA,NA,"1975","02","Bahia","NILO PEÇANHA","-39.1068992614746","-13.5993995666504","39303","auto","G. L. Webster",NA,NA,NA,"24","Km 5 da Rod. Nilo Peçanha/Cairú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1978",NA
"26","2021-02-23 13:22:59-03","MN","R-TIPOS","158894","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","Weinberg, B.M.T.","s.n.",NA,"Brasil","R000158894","R000158894_001","1981",NA,"Espírito Santo","Vila Velha","-40.2924995422363","-20.3297004699707","27156","auto","Santiago, L.J.","1987","09","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neotypus",NA,NA
"27","2014-09-23 11:02:06-03","G","G-DC","G00316716","S","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll. Arg.","Anon.",NA,"AMERIQUE DU SUD","Brazil","G00316716",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"CAT.HERB.PRODR.","2012","01","01",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 12:36:42-03","UNIVASF","HVASF","21414","PreservedSpecimen","Plantae",NA,"Phyllanthaceae","Phyllanthus","gladiatus","Phyllanthus gladiatus","Müll.Arg.","A.M. Miranda","5469","América do Sul","Brasil","HVASF021414",NA,"2007","04","Bahia","Camamu","-39.121338","-13.941113",NA,NA,"J.C.R. Mendes","2019","02","19","29","Distrito de Barcelos do Sul","Arbusto ca. 60 cm alt., flores amareladas. Espécie ameaçada de extinção categoria Vulnerável (VU)","-39.121338","-13.941113","24","24",NA,NA,NA,NA,NA,NA,"U"
