"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","county","maximumElevationInMeters","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","dayIdentified"
"11","2021-03-15 16:37:00-03","NY","NYBG","4109267","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","G. H. H. Tate","1221","1937","12",NA,"South America","Venezuela",NA,NA,"1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428742' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4109262","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","J. J. Wurdack","34423","1953","02","26","South America","Venezuela","Bolívar","On slope above Morrison-Knudsen Camp and Pilot Plant","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428737' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109262",NA,NA,NA,NA,"750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4109278","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","R. L. Liesner","19327","1985","11","02","South America","Venezuela","Bolívar","4 km E of El Pauji","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428753' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109278","-61.57","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4109276","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. Maguire","35468","1953","03","02","South America","Venezuela","Amazonas","Serranía Yutaje, Río Manapiare, Cerro Coro-Coro","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428751' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4109275","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","B. M. Boom","6394","1985","10","15","South America","Venezuela","Bolívar","vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara","90","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4428750' target='other'> <mi>dwc_moreinfo</mi></a>","NY04109275","-66.5","6.92","NY04109275_01","Cedeño","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","505017","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","E. P. Heringer","4223","1980","04","03","South America","Brazil","Distrito Federal","Distrito Federal. Brasilia, Reserva Ecologica do IBGE",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505017","-47.9294","-15.7797","NY00505017_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","505019","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","I. L. do Amaral","1456","1984","02","03","South America","Brazil","Amazonas","0-3 km N do km 211 da estrada Perimetral Norte, encosta do Pico Rondon",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505019","-62.8","1.38","NY00505019_01","Barcelos",NA,"E. A. Christenson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","505018","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","I. L. do Amaral","1456","1984","02","03","South America","Brazil","Amazonas","0-3 km N do km 211 da estrada Perimetral Norte, encosta do Pico Rondon",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505018","-62.8","1.38","NY00505018_01","Barcelos",NA,"E. A. Christenson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","505027","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb.f.","H. S. Irwin","32243","1971","03","19","South America","Brazil","Goiás","Chapada dos Veadeiros. Gallery forest and adjacent wet campo (brejo),ca. 20 km N of Alto Paraiso","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505027","-47.5097","-14.1325","NY00505027_01","Alto Paraíso de Goiás","1250","G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","505026","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb.f.","W. R. Anderson","8936","1973","04","15","South America","Brazil","Minas Gerais","Serra do Espinhaco. 10km by road SW of Rio Jequiti & Mendanha on road to Diamantina; hillside with blocky quartzite outcrops, sloping down to streams",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505026",NA,NA,"NY00505026_01",NA,NA,"G. F. J. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:52:49-03","EAO","IAN","141249","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","Ribeiro, BGS","376","1973","11","06","Southern America","Brasil","Roraima",NA,NA,NA,"Flor amarela.","IAN141249",NA,NA,NA,"Rio Branco",NA,"Meneguzzo, TEC","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:52:49-03","EAO","IAN","141262","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","Ribeiro, BGS","389","1973","11","07","Southern America","Brasil","Roraima","Local Anauá.",NA,NA,"Flor amarela.","IAN141262","-59.254167","0.737222",NA,NA,NA,"Meneguzzo, TEC","2013","-59.254167","0.737222",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:52:49-03","EAO","IAN","75675","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","Black, GA; Cordeiro, E","15083","1952","06","18","Southern America","Brasil","Rondônia","Rio Guaporé, Ponta das Pedras Negras. Capoeira.",NA,NA,"Flor amarela; folha linear com sulco.","IAN075675",NA,NA,NA,NA,NA,"Meneguzzo, TEC","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 08:46:37-03","NBC","NL-BOTANY","U.1462226","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Oncidium","orthostes","Oncidium orthostes","Ridl.","Jansen-Jacobs MJ; Welle BJH ter; James V; Andrew R",NA,"1995","08","26","Southern America","Guyana",NA,"Rupununi Distr., Shea Rock. Rocky outcrop.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1462226 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1462226","-59.083333","2.833333","NL-U1462226",NA,NA,NA,NA,"-59.083333","2.833333","Magnoliopsidae","U 0205912",NA,NA,NA,NA,NA,NA
"25","2020-02-08 08:46:37-03","NBC","NL-BOTANY","U.1462227","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Oncidium","orthostes","Oncidium orthostes","Ridl.","Jansen-Jacobs MJ; Welle BJH ter; James V; Andrew R",NA,"1995","08","26","Southern America","Guyana",NA,"Rupununi Distr., Shea Rock. Rocky outcrop.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1462227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1462227","-59.083333","2.833333","NL-U1462227",NA,NA,NA,NA,"-59.083333","2.833333","Magnoliopsidae","U 0205911",NA,NA,NA,NA,NA,NA
"26","2016-07-05 11:14:19-03","FFCLRP","LBMBP","473","S","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","L.M. Pansarin",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:38:42-03","MBM","MBM","55216","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb.","Hatschbach, G.","40243","1977","11","06","Southern America","Brazil","Paraná","Rodovia do Café, Rio Tibgagi",NA,NA,NA,"MBM055216","-50.0064010620117","-25.4293994903564","MBM055216","Palmeira",NA,"Pabst, G.",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"28","2009-07-20 21:22:00-03","MO","MOBOT","2834349","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Bassett Maguire","Maguire 32670","1951","12","1","South America","Venezuela","Bolívar","Vic. Sect. 22, Cerro Bolívar, Estado Bolívar.","625.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"E. Foldats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2014-09-11 10:09:00-03","MO","MOBOT","638016","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Gerrit Davidse|Otto Huber","Davidse 22947","1982","11","27","South America","Venezuela","Bolívar","At top of Salto Aicha near eastern base of Uaipan-tepui.","1100.00000000",NA,NA,NA,"-62.5333333","5.6333333",NA,"Piar",NA,"G. Carnevali",NA,NA,NA,NA,NA,NA,NA,"82-10","1",NA,NA
"30","2008-05-27 22:02:00-03","MO","MOBOT","665719","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Ronald L. Liesner","Liesner 18740","1985","3","15","South America","Venezuela","Amazonas","Atabapo. Salto Yureba, Cerro Yureba, lower Ventuari. Hard, igneous rock banks of river and waterfall, patches of soil along river, and adjacent forest. ca 4º03'N, 66º01'W, elev. 350 m.","350.00000000",NA,NA,NA,"-66.01666","4.05",NA,NA,NA,"G.Carnevali & I.Ramirez (FVG 2003)",NA,NA,NA,NA,NA,NA,NA,"85-32","2",NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","666128","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Ronald L. Liesner","Liesner 19327","1985","11","2","South America","Venezuela","Bolívar","4 km E of El Pauji. Savannah and forest. Elev. 900 m, ca. 4º30'N, 61º34'W.","900.00000000",NA,NA,NA,"-61.56666","4.5",NA,NA,NA,"G.Carnevali & I.Ramirez (FVG 2003)",NA,NA,NA,NA,NA,NA,NA,"85-45","3",NA,NA
"32","2015-08-13 05:50:00-03","MO","MOBOT","2834629","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb. f.","Howard S. Irwin|R.M. Harley|Gary L. Smith","Irwin 32243","1971","3","19","South America","Brazil","Goiás","Chapada dos Veadeiros. Gallery forest and adjacent wet campo, (brejo), ca 20 km N of Alto do Paraíso.","1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"G. Pabst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-31 09:19:42-03","INPA","INPA","139393","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Nohawilliamsia","orthostates","Nohawilliamsia orthostates","(Ridl.) M.W.Chase & Whitten","Rosa, NA","3447","1979","09","14","Southern America","Venezuela","Santa Elena","Morro da Cordilheira Paracaíma, próximo ao Morro Guaramasen. Solo rochoso e a vegetação não passa de 4m de altura.",NA,NA,NA,"INPA0139393","-61","4.666667","INPA0139393 INPA0139393_e",NA,NA,"Pessoa, EM","2011","-61","4.666667",NA,NA,NA,NA,NA,NA,"09",NA
"34","2020-08-31 09:19:42-03","INPA","INPA","659","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Nohawilliamsia","orthostates","Nohawilliamsia orthostates","(Ridl.) M.W.Chase & Whitten","Rodrigues, WA","171","1954","09","24","Southern America","Brasil","Roraima","Encosta da Cordilheira do Canan., Encosta da Cordilheira do Canan.","700",NA,NA,"INPA0000659","-60.2","3.4","INPA0000659 INPA0000659_e INPA0000659_nd","Rio Branco","700","Pessoa, EM","2011","-60.2","3.4",NA,NA,NA,NA,NA,NA,"09",NA
"35","2020-08-31 09:19:42-03","INPA","INPA","241770","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","(Rchb.f.) M.W.Chase & Whitten","Pessoa, EM","746","2011","10","17","Southern America","Brasil","Roraima","Parque Nacional do Viruá, Grade PPbio, L1",NA,NA,NA,"INPA0241770","-61","1.28","INPA0241770 INPA0241770_e INPA0241770_e1","Caracaraí",NA,NA,"2012","-61","1.28",NA,NA,NA,NA,NA,NA,"08","08"
"36","2020-08-31 09:19:44-03","INPA","INPA","153973","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Ferreira, CAC","9185","1987","08","25","Southern America","Brasil","Roraima","BR 174, km 522 a 524, BR-174. Estrada Manaus-Caracaraí. Entre os kms 522 e 524, próximo a Novo Paraíso no entroncamento com a BR-210. Perimetral Norte.",NA,NA,NA,"INPA0153973","-60.583333","1.3","INPA0153973 INPA0153973_e INPA0153973_e1","Caracaraí",NA,"Cardoso, A","2000","-60.583333","1.3",NA,NA,NA,NA,NA,NA,"03",NA
"37","2014-11-06 16:18:35-02","UFPB","EAN","3784","S","Plantae",NA,NA,"Orchidaceae","Oncidium","pirarense","Oncidium pirarense","Rchb. F.","L. P. Felix ; G. V. Dornelas","751","1987","09","10",NA,"Brasil","Minas Gerais",NA,NA,NA,"Herbácea; flores amarelas. Cedida por Vitorino - São Bernardo.",NA,NA,NA,NA,NA,NA,"L. P. Felix & G. V. Dornelas","1987",NA,NA,NA,NA,NA,NA,NA,NA,"10","21"
"38","2021-03-01 11:50:07-03","UFPE","UFP","75554","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Nohawilliamsia","orthostates","Nohawilliamsia orthostates","Ridl.","Pessoa, E; Mota, NSF; Melo, A; Araújo, AAM","746","2011","10","17",NA,"Brasil","Roraima",NA,NA,NA,"Terrestre com flores de pétala e sépalas marrons e labelo amarelo.","UFP075554","-61","-1.28",NA,"Caracaraí",NA,NA,NA,"-61","-1.28",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 11:50:09-03","UFPE","UFP","78488","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","Rchb.f.","Pessoa, E; Mota, NSF; Melo, A; Araújo, AAM","746","2011","10","17",NA,"Brasil","Roraima",NA,NA,NA,"Terrestre com florse de pétalas e sépalas marrons e labelo amarelo.Campina.","UFP078488","-61","1.28",NA,"Caracaraí",NA,NA,NA,"-61","1.28",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 11:50:09-03","UFPE","UFP","75684","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","Rchb.f.","Pessoa, E; Melo, A; Vasconcelos, S","746","2010","10","18",NA,"Brasil","Roraima",NA,NA,NA,"Terrestre com flores amarelas com pintas marrons.","UFP075684","-6.086111","-1.347222",NA,"Caracaraí",NA,"Pessoa, E","2010","-6.086111","-1.347222",NA,NA,NA,NA,NA,NA,"01",NA
"41","2021-03-01 11:50:07-03","UFPE","UFP","75350","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","Rchb.f.","Pessoa, E; Melo, A","1005","2012","08","26",NA,"Brasil","Roraima",NA,NA,NA,"Erva terrestre com flores amarelas e frutos verdes.","UFP075350",NA,"-1.466667",NA,"Caracaraí",NA,"Pessoa, E","2012",NA,"-1.466667",NA,NA,NA,NA,NA,NA,"08",NA
"42","2021-03-01 11:50:07-03","UFPE","UFP","75350","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Nohawilliamsia","pirarensis","Nohawilliamsia pirarensis","Rchb.f.","Pessoa, E; Melo, A","1005","2012","08","26",NA,"Brasil","Roraima",NA,NA,NA,"Erva terrestre com flores amarelas e frutos verdes.","UFP075350","-61.128101348877","1.81611001491547",NA,"Caracaraí",NA,"Pessoa, E","2012",NA,NA,NA,NA,"365858","auto",NA,NA,"08",NA
"43","2020-09-12 05:00:02-03","US","US","3332830","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl. ex Thurn","T. Henkel, M. Chin & L. Williams","5660","1994","7","16","South America - Neotropics","Guyana","Potaro-Siparuni",NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,"Christenson, E. A.",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA
"44","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl. ex Thurn","T. Henkel & M. Chin","5669","1994","7","16","South America - Neotropics","Guyana","Potaro-Siparuni",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,"Christenson, E. A.",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,"1",NA,NA
"45","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Quelch, JJ","281",NA,NA,NA,NA,"?",NA,"ad Kwaimalta Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Campbell, WH","23?",NA,NA,NA,NA,"?",NA,"ad Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","Campbell, WH","23",NA,NA,NA,NA,"?",NA,"ad Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:12:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Oncidium","orthostates","Oncidium orthostates","Ridl.","MacConnell, ?","s.n.",NA,NA,NA,NA,"?",NA,"ad Kwaimalta Savannah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
