"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","fieldNumber","individualCount","class"
"30","2008-05-27 22:02:00-03","MO","MOBOT","1614247","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Howard S. Irwin|et al.","Irwin 28565","1970","3","29","South America","Brazil","Minas Gerais",NA,"Serra do espinhaco; rosette herb, the inflorescences ascending to ca. 20 Cm. Brejo. Cerrado on outcrops, brejo, and gallery forest, ca. 7 Km. N of sao joao Da chapada, road to campo do sampaio",NA,NA,"1150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2012-05-17 05:02:00-03","MO","MOBOT","3050532","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Carl Schwacke","Schwacke 12040",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-08-10 05:49:00-03","MO","MOBOT","3050564","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","H.N. Moldenke","Amaro Macedo","Macedo 2760","1950",NA,NA,"South America","Brazil","Minas Gerais",NA,"Municipio: Ouro Preto. Localidade: Lavras Novas. Campestre de solo umido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-06-15 15:30:18-03","UNESP-RC","HRCB","63537","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","Sauthier, L.J.","Lombardi",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto, MG-129, estrada Ouro Preto/Ouro Branco, junto a bifurcação para Lavras Novas",NA,"-43.563972","-20.4425",NA,NA,NA,NA,NA,NA,NA,"2018","43º33'50.3W","20º26'33.0S","05","14",NA,NA,NA,NA,NA,NA
"34","2019-06-10 10:10:38-03","FZB-BH","BHZB","5839","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra",NA,"L. J., Sauthier","Rezende, S.G.","1227","2005","09","22",NA,"Brasil","MG","Ouro Preto","Área da CVRD, região de Gambá,Coord. UTM Lat. 7.739.016 e Long. 618.535.","-43.863611","-20.443611",NA,NA,NA,"Anteriormente identificada como P. cf. vellozoides Korn por L. Echternacht ( 11/2012)",NA,NA,NA,"2017","43W 51' 49","20S 26' 37","06","14",NA,NA,NA,NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","2435328","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"B. Maguire, G. Mendes Magalhaes & C. K. Maguire","49305","1960","8","26","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra Lavras Novas, about 20km south of Ouro Preto",NA,NA,NA,NA,NA,NA,"US01932950","US01932950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"36","2020-09-12 05:00:02-03","US","US","2758997","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"H. S. Irwin, R. R. Santos, R. Souza, R. R. Santos & J. Ramos","28565","1970","3","29","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Ca. 7 km N of São João da Chapada, road to Campo do Sampaio",NA,NA,"1150",NA,NA,NA,"US01932951","US01932951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
"37","2019-10-07 09:21:21-03","UEFS","HUEFS","153150","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland",NA,"Ribeiro, K.",NA,"1999","04",NA,NA,"Brasil","Rio de Janeiro",NA,"Planalto do Itatiaia.",NA,NA,"2400","2400",NA,NA,"HUEFS0153150","HUEFS0153150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae"
"38","2019-09-04 19:43:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Paepalanthus","corymboides","Paepalanthus corymboides epilosus",NA,NA,"C. A. W. Schwacke","14514","1901","5","26","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,"epilosus",NA,NA,"Monocotyledoneae"
"39","2019-09-04 19:12:19-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra",NA,NA,"C. A. W. Schwacke","12040",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae"
"40","2020-04-29 16:30:32-03","UFVJM","HDJF","3106","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","Otoni, TJO; Vieira, AD","Vieira, AD","s.n.","2014","09","30","Southern America","Brasil","Minas Gerais","Ouro Preto","Travessia Caraça","-43.577778","-20.231389",NA,NA,NA,NA,"HDJF003106","HDJF003106_01",NA,"2014","-43.577778","-20.231389","10","06",NA,NA,NA,NA,NA,NA
"41","2020-04-29 16:30:32-03","UFVJM","HDJF","3107","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","Otoni, TJO; Vieira, AD","Vieira, AD","s.n.","2014","09","30","Southern America","Brasil","Minas Gerais","Ouro Preto","Travessia Caraça","-43.577778","-20.231389",NA,NA,NA,NA,"HDJF003107","HDJF003107_01",NA,"2014","-43.577778","-20.231389","10","06",NA,NA,NA,NA,NA,NA
"42","2019-11-01 15:14:52-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Eriocaulaceae","Paepalanthus","hydra","Paepalanthus hydra","Ruhland","Moldenke, HN","Maguire, B; Magalhães, GM; Maguire, CK","49305","1960","08","26","Southern America","Brasil","Minas Gerais",NA,"Serra de Lavras Novas, about 20 km south of Ouro Preto",NA,NA,NA,NA,NA,"Occasional; In drier places among rocks","UB0012788","UB0012788",NA,"1962",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA
