"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"17","2020-02-08 08:51:01-03","NBC","NL-BOTANY","WAG.1877454","PreservedSpecimen","Plantae","Compositae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.",NA,NA,NA,NA,"Cordeiro J; Zelma FJ","1987","07","24","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1877454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1877454",NA,"Morro Mae Catira (mun. Quatro Barras) Parana.",NA,NA,"NL-WAG1877454",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"18","2020-11-04 11:02:10-03","ESALQ","ESA","3715","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia",NA,"Monge, M. & Semir, J.","2010",NA,NA,"Romaniuc Neto, S. ; Custódio Filho, A.","1984","09","13","Brasil","São Paulo","Biritiba Mirim",NA,NA,NA,NA,NA,"ESA003715","221.0",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-19 08:07:58-03","FPS","FPS","4150","MachineObservation","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.L Smith","Volet, D.P.","2019","10","29","Schwirkowski, P.; Hantschel, C.R.","2019","10","26","Brasil","Santa Catarina","Campo Alegre","-49.191809","-26.200742","-49.191809","-26.200742",NA,"FPS04150,FURB65437","3573","Rio dos Bugres, localidade de São Miguel",NA,NA,"FPS04150_v01 FPS04150_v02 FPS04150_v03 FPS04150_v04 FPS04150_v05 FPS04150_v06 FPS04150_v07 FURB65437",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 65437",NA,NA,NA
"20","2020-01-15 20:52:03-03","FPS","FPS","913","MachineObservation","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.L Smith","Pereira, R.C.","2019","01","09","Schwirkowski, P.","2015","08","15","Brasil","Santa Catarina","São Bento do Sul","-49.216591","-26.29284","-49.216591","-26.29284",NA,"FPS00913,FURB48546","1175","Minas de caulim",NA,NA,"FPS00913_v01 FPS00913_v02 FPS00913_v03 FPS00913_v04 FURB48546",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 48546",NA,NA,NA
"21","2019-02-15 11:34:25-02","IPA","IPA","50552","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Smith","Semir, J.","1997",NA,NA,"Barreto, R.A.A.","1981","06","26","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,"Árvore 80, terrestre.","IPA0050552","274",NA,NA,NA,"IPA0050552","Plantae",NA,"Southern America",NA,"21048","auto",NA,NA,NA,NA,NA,NA
"22","2019-08-27 13:27:48-03","IAP","PACA-AGP","69631","PreservedSpecimen","Plantae","Compositae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén","G. Hatschbach","1988",NA,NA,"F. C. da Silva","1983","08","09","Brasil","PR","Morretes","-48.834400177002","-25.476900100708",NA,NA,"arbusto de 3m de alt.","PACA069631","701","trilha para o Pico Marumbi",NA,NA,NA,"Magnoliophyta","Asterales",NA,NA,"30514","auto","Magnoliatae",NA,NA,NA,NA,NA
"23","2019-11-21 14:32:04-03","UFJF","CESJ","65580","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.L. Smith","D.B. Falkenberg","2004",NA,NA,"A. Bresolin","1973","11","21","Brasil","Santa Catarina","Paulo Lopes","-48.6836013793945","-27.9617004394531",NA,NA,"Ver Brittonia 34(2): 214-6, 1982 (mas não citada aí).; Altura: 10m; Hábito: árvore; Habitat: Mata; Flor: branca.","CESJ065580","965","Bom Retiro","400","400",NA,"Angiosperma",NA,"América do Sul",NA,"23385","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:24:56-03","UNICAMP","UEC","122033","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2017","02",NA,"Souza, FM; et al.","2001","04","12","Brazil","São Paulo","São Paulo","-46.7","-23.983333","-46.7","-23.983333","Arbusto, 2m alt. Botões creme.; Transição floresta altomontana floresta de encosta com campos adjacentes.","UEC113126","91","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Rio Branco.","700","800","UEC113126","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:24:56-03","UNICAMP","UEC","161700","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2017","02",NA,"Romaniuc; Custódio-Filho, A","1984","09","13","Brazil","São Paulo","Biritiba Mirim",NA,NA,NA,NA,"Árvore da mata, ca. 6m de altura. Flores creme.","UEC039007","221","Estação biológica de Boráceia, Guaratuba.",NA,NA,"UEC039007","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:24:56-03","UNICAMP","UEC","3259","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Hatschbach, G","1972","07","11","Brazil","Paraná","São José Dos Pinhaes",NA,NA,NA,NA,"Árvore, 8m capítulos vinosos.; Matinha junto ao campo ácido, solo úmido.","UEC113056","29796",NA,NA,NA,"UEC113056","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:24:56-03","UNICAMP","UEC","64379","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Garcia, RJF; et al.","1996","12","19","Brazil","São Paulo","São Paulo","-46.752222","-23.986944","-46.752222","-23.986944","Árvore, 4m alt. DAP 9cm, papus brancos.","UEC113057","1005","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para rio Embu-Guaçú.",NA,NA,"UEC113057","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:24:56-03","UNICAMP","UEC","3258","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Hatschbach, G","1977","08","25","Brazil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,"Árvore 6m, capítulos vinosos.; Mata","UEC113051","40170","Tabatinga",NA,NA,"UEC113051","Magnoliopsida",NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:24:56-03","UNICAMP","UEC","77359","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Kiyama, CY; et al.","1994","09","04","Brazil","São Paulo","Salesópolis","-45.8400001525879","-23.5300006866455",NA,NA,"Árvore na margem da represa, folhas discolores.","UEC113053","47","Estação Biológica de Boracéia. Mata próxima a barragem do Rio Claro.",NA,NA,"UEC113053","Magnoliopsida",NA,NA,NA,"18032","auto",NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:24:56-03","UNICAMP","UEC","106654","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Moraes, PLR","1990","07","27","Brazil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"Árvore 7m de altura; Mata atlântica","UEC113054","217","P.E.C. Botelho","700","700","UEC113054","Magnoliopsida",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:24:56-03","UNICAMP","UEC","88950","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Moraes, PLR","1991","07","29","Brazil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"Árvore 5m altura com flores com tépalas brancas - estilete vinho-estigma branco.; Mata atlântica","UEC113050","468","P.E.C. Botelho","700","700","UEC113050","Magnoliopsida",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:24:56-03","UNICAMP","UEC","121940","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2017","02",NA,"Dias, AC","1984","10","02","Brazil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"Arbusto alto, 2m altura; flores em capítulos cor creme; folhas cor verde brilhante na face superior e esbranquiçada na inferior.","UEC113088","5","P.E.C. Botelho",NA,NA,"UEC113088","Magnoliopsida",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:24:56-03","UNICAMP","UEC","24594","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Dias, AC","1980","09","02","Brazil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,"Arbusto ca de 2,5m de alt., folhas brancas na face inferior e verde na superior.","UEC030699","12673","Represa estadual de Carlos Botelho. A beira da represa.",NA,NA,"UEC030699","Magnoliopsida",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:24:56-03","UNICAMP","UEC","133332","S","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G.Lom.Sm.","Volet, DP","2016","02",NA,"Hoehne, W","1945","08","06","Brazil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"Árvore","UEC113055","1787","Parque do Estado de São Paulo",NA,NA,"UEC113055","Magnoliopsida",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
"35","2020-10-14 09:59:20-03","FURB","FURB","10494","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Pererira, RC","2018","08","13","Grippa, C.R.; Souza, N.L. de & Stano, F.","2007","11","08","Brasil","Santa Catarina","Blumenau","-49.1119444","-27.0077778","-49.1119444","-27.0077778","Florística do Plano de Manejo do Parque Nacional da Serra do Itajaí. Campo: VIII. Habitat: Floresta Ombrófila Densa; Habito: arbórea; flor branca","FURB18415","575","Morro do Spitzkopf.","160","160","FURB18415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 09:59:20-03","FURB","FURB","10645","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Colares, R.","2019","01","09","Grippa, C.R.; Godoy, M.B. & Souza, N.L. de","2007","08","12","Brasil","Santa Catarina","Presidente Nereu","-49.2152778","-27.1738889","-49.2152778","-27.1738889","Florística do Plano de Manejo do Parque Nacional da Serra do Itajaí. Campo V. Habitat: Floresta Ombrófila Densa; Habito: arbórea; flor branca","FURB18278","642","Fazenda Agrião.","460","460","FURB18278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 09:59:20-03","FURB","FURB","15684","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Beckhauser, TA","2009","11","23","Stival-Santos, A.; Legal, E. & Silveira, S.","2009","10","15","Brasil","Santa Catarina","Gaspar","-48.9602778","-26.9994444","-48.9602778","-26.9994444","Florística IFFSC 638 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita;","FURB10645","1042","Gasparinho - aos fundos da capela Santo Antonio.","92","92","FURB10645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 09:59:20-03","FURB","FURB","19351","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Pererira, RC","2018","08","13","Korte, A.; Kniess, A.","2009","11","28","Brasil","Santa Catarina","Alfredo Wagner","-49.4108333","-27.6291667","-49.4108333","-27.6291667","Florística IFFSC 310 (Arbórea) Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; flor branca","FURB18406","1109","Soldadinho.","772","772","FURB18406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 09:59:20-03","FURB","FURB","30526","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Volet, D.P.","2016","08","18","Korte, A.; Kniess, A.","2010","08","19","Brasil","Santa Catarina","Joinville","-49.0497222","-26.1002778","-49.0497222","-26.1002778","Florística IFFSC 1065b (Arvoreta) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; interior do fragmento Habito: arvoreta; flor botão floral","FURB18381","4125","Serra Quimada.","1167","1167","FURB18381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 09:59:20-03","FURB","FURB","32610","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Volet, D.P.","2016","08","18","Verdi, M.; Martins, E.M. & Veiga, O.N.","2010","09","02","Brasil","Paraná","Guaratuba","-48.9566667","-25.8902777","-48.9566667","-25.8902777",NA,"FURB00888","5666","Morro dos Perdidos / APA Estadual de Guaratuba.","1444","1444","FURB00888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 09:59:20-03","FURB","FURB","36457","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Pererira, RC","2018","08","13","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","2010","06","15","Brasil","Santa Catarina","São Martinho","-48.87","-28.08","-48.8700000","-28.0800000","Fito IFFSC 173 /O/47 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arborescente;","FURB18395","3559","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","517","517","FURB18395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 09:59:20-03","FURB","FURB","39171","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Pererira, RC","2018","08","13","Maçaneiro, J.P.","2012","09","09","Brasil","Santa Catarina","Nova Trento","-49.0283334","-27.2644444","-49.0283334","-27.2644444",NA,"FURB18378","29","Monte Barão, RPPN Prima Luna.","1098","1098","FURB18378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 09:59:20-03","FURB","FURB","42220","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Volet, D.P.","2016","08","18","Funez, L.A.; Gasper, A.L. de; Bittencourt, F.; Vieira, C. & Kassner-Filho, A.","2013","10","05","Brasil","Santa Catarina","Blumenau","-49.0944444","-27.0644444","-49.0944444","-27.0644444",NA,"FURB18380","2232","Morro do Sapo, Parque Nacional Serra do Itajaí.","100","100","FURB18380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 09:59:20-03","FURB","FURB","44994","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Volet, D.P.","2016","08","18","Funez, L.A.; Zermiani, A.E.","2014","09","12","Brasil","Santa Catarina","Lontras","-49.5097222","-27.2652778","-49.5097222","-27.2652778",NA,"FURB18379","3009","Três Picos.","940","940","FURB18379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 09:59:20-03","FURB","FURB","46905","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Barboza, E","2014","08","21","Cordeiro, J.; Barboza, E. & Brotto, M.L.","2014","08","12","Brasil","Paraná","Guaratuba","-48.8727778","-25.9397222","-48.8727778","-25.9397222",NA,"FURB18277","5218","Pico Pedra Branca de Araraquara, cume.","1160","1160","FURB18277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-10-14 09:59:20-03","FURB","FURB","48546","PreservedSpecimen","Plantae","Asteraceae","Piptocarpha","densifolia","Piptocarpha densifolia","Dusén ex G. Lom. Sm.","Colares. R.","2019","01","09","Schwirkowski, P.","2015","08","15","Brasil","Santa Catarina","São Bento do Sul","-49.2166667","-26.2927777","-49.2166667","-26.2927777",NA,"FURB48546","1175",NA,"948","948","FURB48546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
