"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem"
"11","2020-12-11 11:45:25-03","UFMG","BHCB","186132","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Vidal, CV","1303","2014","11","20","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.357769","-19.737019",NA,"Herbáceo; Floração; Flor roxa. Altura 0,2m; Campo rupestre sobre formação ferruginosa","BHCB186132",NA,NA,NA,NA,NA,NA,NA,NA,"-43.357769","-19.737019",NA,NA,NA,NA,NA
"12","2020-12-11 11:45:25-03","UFMG","BHCB","163313","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Tameirão Neto, E","5189","2012","11","14","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.278333","-20.510556",NA,"Campo rupestre sobre formação ferrífera; Herbáceo","BHCB041024",NA,"2017",NA,NA,NA,NA,NA,NA,"-43.278333","-20.510556",NA,NA,NA,NA,NA
"13","2020-12-11 11:45:25-03","UFMG","BHCB","156193","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Pena, FSR","s.n.","2011","11",NA,"Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava do Sapo","-43.431944","-18.908056",NA,NA,"BHCB018653",NA,"2014",NA,NA,NA,NA,"09","09","-43.431944","-18.908056","1500","1500",NA,NA,NA
"14","2020-12-11 11:45:25-03","UFMG","BHCB","156202","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Pena, FSR","s.n.","2011","11",NA,"Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava do Sapo","-43.431944","-18.908056",NA,NA,"BHCB018652",NA,"2014",NA,NA,NA,NA,"09","09","-43.431944","-18.908056","1500","1500",NA,NA,NA
"15","2020-12-11 11:45:25-03","UFMG","BHCB","156213","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Pena, FSR","s.n.","2011","04",NA,"Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Cava do Sapo","-43.431944","-18.908056",NA,NA,"BHCB018651",NA,"2014",NA,NA,NA,NA,"09","09","-43.431944","-18.908056","1500","1500",NA,NA,NA
"16","2020-12-11 11:45:25-03","UFMG","BHCB","163314","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Vidal, CV; Paula, RL de","1073","2012","12","08","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.391111","-19.016389",NA,"Campo rupestre sobre formação ferrífera; Herbáceo","BHCB041023",NA,"2017",NA,NA,NA,NA,NA,NA,"-43.391111","-19.016389",NA,NA,NA,NA,NA
"17","2020-12-11 11:45:25-03","UFMG","BHCB","24034","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:45:25-03","UFMG","BHCB","26678","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:45:25-03","UFMG","BHCB","44555","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:45:25-03","UFMG","BHCB","190624","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Quaresma, AS; Oliveira, CT","802","2017","05","24","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4249992370605","-19.0372009277344",NA,"Campo rupestre ferruginoso.","BHCB190624",NA,"2017",NA,"60318","auto",NA,"07","05",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:45:25-03","UFMG","BHCB","49694","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu",NA,"Lombardi, JA","s.n.","1999","11","17","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.3908004760742","-18.0041999816895",NA,"Erva, flores brancas.; vegetação ripária próximo ao camping","BHCB046100",NA,"2010",NA,"26697","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","3031308","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu","L.B. Smith & Ayensu","Gert G. Hatschbach","Hatschbach 35399","1974",NA,NA,"South America","Brazil","Minas Gerais",NA,"Rio S. Antonio (mun. Conceicão de Mato Dentro).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","2754768","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"G. Hatschbach & L. Ferreira","35399",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US01329160","US01329160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"24","2020-09-12 05:00:02-03","US","US","2753072","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"L. B. Smith","15975","1972","1","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Rio Santo Antonio, Conceicao do Mato Dentro",NA,NA,NA,NA,"US00092438","US00092438_01",NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"25","2020-09-12 05:00:02-03","US","US","2754767","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"G. Hatschbach & L. Ferreira","35399","1974","10","27","South America - Neotropics","Brazil","Minas Gerais","Conceição do Mato Dentro","Rod. S. Antonio","-43.4249992370605","-19.0372009277344",NA,"Topotipo","US01329159","US01329159_01",NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"26","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"G. Hatschbach","30090","1972","8","8","South America - Neotropics","Brazil","Minas Gerais","Conceição do Mato Dentro","Rod. MG-2, Rio S. Antonio","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"27","2020-09-12 05:00:02-03","US","US","2628433","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B. Sm. & Ayensu",NA,"G. Hatschbach, L. B. Smith & E. S. Ayensu","28878","1972","1","18","South America - Neotropics","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio S. Antonio","-43.4249992370605","-19.0372009277344",NA,NA,"US01329161","US01329161_01",NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"28","2019-11-13 11:32:34-03","USP","SPF","228864","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Mello-Silva, R","Vidal, CV","1073","2012","12","08",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.391111","-19.016389",NA,NA,"SPF00228864",NA,"2017",NA,NA,NA,NA,"05",NA,"-43.391111","-19.016389",NA,NA,NA,NA,NA
"29","2019-11-13 11:32:34-03","USP","SPF","228863","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Mello-Silva, R","Tameirão Neto, E","5189","2012","11","14",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.278333","-20.510556",NA,NA,"SPF00228863",NA,"2017",NA,NA,NA,NA,"05",NA,"-43.278333","-20.510556",NA,NA,NA,NA,NA
"30","2020-07-23 12:24:08-03","CEPLAC","CEPEC","43551","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","delicatula","Pleurostima delicatula",NA,"R. de Mello-Silva","G. Hatschbach","50106","1985","11","23",NA,"Brasil","Bahia","ANDARAÍ","Rio Coisa Boa.","-41.3314018249512","-12.8072004318237",NA,NA,NA,NA,NA,NA,"58558","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1986"
"31","2019-11-21 10:19:48-03","IBt","SP","138173","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Smith, LB","Hatschbach, G","35399","1974","10","27",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","rio Santo Antonio","-43.4249992370605","-19.0372009277344",NA,"Nos lageados da beira do rio, prefere local levemente sombrio. Flor alva a lilás","SP003018","SP003018","1975","Paratype","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:19:48-03","IBt","SP","129559","S","Plantae",NA,NA,"Velloziaceae","Barbacenia","delicatula","Barbacenia delicatula","L.B.Sm. & Ayensu","Smith, LB","Hatschbach, G","35399","1974","10","27",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","rio Santo Antonio","-43.4249992370605","-19.0372009277344",NA,"Nos lageados da beira do rio, prefere local levemente sombrio. Flor alva a lilás","SP003017","SP003017","1975","Paratype","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
