"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"11","2019-08-20 10:27:11-03","UNICAMP","UEC",NA,"S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8798",NA,"Brazil","Rio de Janeiro","Serra do Mar, Pico Caledônia",NA,NA,"Windswept campo de altitude with scattered shrubs near the SE tower. Shrub 3 m tall. Flowers with fragrance of honey. Corolla muted gray-lavender; filaments pale pink; anthers yellow. Uncommon",NA,"Magnoliopsida",NA,"Brand",NA,"Aranha, JLM","2004",NA,NA,"-42","-22","2219","2219",NA,"2005",NA,NA,"-42","-22",NA,NA,NA,NA,NA
"12","2019-08-20 10:27:11-03","UNICAMP","UEC",NA,"S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8792",NA,"Brazil","Rio de Janeiro","Serra do Mar, Pico Caledônia. Dowslope from the summit near the NE tower facing Três Picos",NA,NA,"Windswept elfin forest. Much-branched shrub to 2.5 m. Corolla white with flush of pink at the base; anthers yellow. Flowers with a fragrance of honey. Ovary 3-locular at anthesis, but 2-locular on the mature purple fruits",NA,"Magnoliopsida",NA,"Brand",NA,"Aranha, JLM","2004",NA,NA,"-42","-22","2219","2245",NA,"2005",NA,NA,"-42","-22",NA,NA,NA,NA,NA
"13","2021-03-01 16:42:16-03","UNICAMP","UEC","185097","S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Rocha, LCF; Veiga, EB; Konopczyk, RMG; Lombardi, JA; Saka, MN","Azul75",NA,"Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos - Trilha do Abrigo 4 para a Pedra do Sino (Campos de Altitude) 2035-2248m.",NA,NA,"Prensado em álcool. Amostra em sílica. Arbórea, 4,5m. Folhas discolor, cartáceas. Flores cálice verde-arroxeado, corola roxa, filete alvo, antera amarela.","UEC011102","Magnoliopsida",NA,"Brand","UEC011102","Araújo, D","2012","10","25","-43.316667","-22.469444",NA,NA,"Teresópolis",NA,NA,NA,"-43.316667","-22.469444",NA,NA,NA,NA,NA
"14","2019-11-06 09:57:48-03","UFOP","OUPR","24335","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Almeda, F.; Fritsch, P.W.; Aranha-Filho, J.L.M. & Belinello, R.","8792",NA,"Brasil","Rio de Janeiro","Serra do Mar - Pico da Caledônia, Downslope from the summit near the NE tower facing Tres Picos",NA,NA,"Windswep elfin forest. Much - branched shrub to 2,5 m. Corolla white flush of pink at the base; anthers yellow. Flowers with a fragance of honey. Ovary 3 - locular at anthesis, but 2 - locular on the mature purple fruits",NA,NA,NA,"Brand",NA,"Aranha-Filho, J.L.M.","2004","11","11","-42.589139","-22.356194","2219","2245",NA,"2005","10",NA,"-42.589139","-22.356194",NA,NA,NA,NA,NA
"15","2019-12-18 15:50:58-03","UFOP","OUPR","33856","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Equipe Azul; Rocha, L.C.F.; Veiga, E.B.; Konopczyk, R.M.G.; Lombardi, J.A. & Saka, M.N.","73",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra do Órçãos, Trilha do abrigo 4 para a Pedra do Sino.",NA,NA,"Arbórea, 4,5m. Folhas discolor, cartáceas. Flores cálice verde, corola roxa na base, verde no ápice, filetes alvos, anteras amarelas. Amostra em sílica. Campos de altitude. Prensado em álcool.",NA,NA,NA,"Brand",NA,"Araújo, D.","2012","10","25","-43.316667","-22.469444","2035","2035","Teresópolis",NA,NA,NA,"-43.316667","-22.469444",NA,NA,NA,NA,NA
"16","2020-06-29 09:32:36-03","UFRRJ","RBR","42452","S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"L.F. Gonçalves","459",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Cume da Pedra do Sino. Parque Nacional da Serra dos Órgãos",NA,NA,NA,"RBR00042452",NA,NA,"Brand",NA,"L.F. Gonçalves","2017","07","08","-43.030833","-22.462222","2246","2246","Guapimirim",NA,NA,NA,"43º1'51''W","22º27'44''S",NA,NA,NA,NA,NA
"17","2017-04-20 10:57:38-03","MNHN","RECOLNAT_MNHN_P","P00648448","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis","syntype","Glaziou, A.|Landré, avec",NA,NA,"Brésil",NA,"Pedra Acu","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648448' target='other'> <mi>dwc_moreinfo</mi></a>","P00648448",NA,NA,"Brand","P00648448_01",NA,"1872","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6023",NA,NA
"18","2017-04-03 12:13:54-03","MNHN","RECOLNAT_MNHN_P","P00648449","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis","syntype","Glaziou, A.|Landré, avec",NA,NA,"Brésil",NA,"Pedra Acu","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648449' target='other'> <mi>dwc_moreinfo</mi></a>","P00648449",NA,NA,"Brand","P00648449_01","Bida","1872","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6023",NA,NA
"19","2015-09-26 01:03:07-03","MNHN","RECOLNAT_MNHN_P","P00648450","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis","syntype","Glaziou, A.",NA,NA,"Brésil",NA,"Rio de Janeiro: Haut des Orgues, Prov. 'Cayambée'","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00648450' target='other'> <mi>dwc_moreinfo</mi></a>","P00648450",NA,NA,"Brand","P00648450_01","Bida","1887","11","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17130",NA,NA
"20","2015-09-04 15:43:29-03","MNHN","RECOLNAT_MNHN_P","P04488236","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Pedra Açu","hb",NA,"Herbier A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04488236' target='other'> <mi>dwc_moreinfo</mi></a>","P04488236",NA,NA,"Brand","P04488236_01",NA,"1872","8","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6023",NA,NA
"21","2015-09-04 15:43:29-03","MNHN","RECOLNAT_MNHN_P","P04488237","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Glaziou, A.",NA,NA,"Brasil","Minas Gerais","Caraça au Morro da Carapuça.","hb",NA,"Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04488237' target='other'> <mi>dwc_moreinfo</mi></a>","P04488237",NA,NA,"Brand","P04488237_01",NA,"1884","6","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15202",NA,NA
"22","2015-09-04 15:43:29-03","MNHN","RECOLNAT_MNHN_P","P04488238","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Haut dos Organs","hb",NA,"Herbier A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04488238' target='other'> <mi>dwc_moreinfo</mi></a>","P04488238",NA,NA,"Brand","P04488238_01",NA,"1869","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3641",NA,NA
"23","2018-01-02 15:21:43-02","MNHN","RECOLNAT_MNHN_P","P04488239","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Haut des Organs par Caxambú","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04488239' target='other'> <mi>dwc_moreinfo</mi></a>","P04488239",NA,NA,"Brand","P04488239_01",NA,"1887","11","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17130",NA,NA
"24","2012-07-26 13:29:00-03","MO","MOBOT","100499152","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Frank Almeda|Peter W. Fritsch|J.L.M. Aranha F.|R. Belinello","Almeda 8792","South America","Brazil","Rio de Janeiro","Serra do Mar. Pico da Caledônia. Downslope from the summit near the NE tower facing Tres Picos.",NA,NA,NA,NA,NA,NA,"Brand",NA,"J.L.M. Aranhe Filho","2004","11","11","-42.5833333","-22.35","2219.00000000","2245.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2018-09-12 14:48:37-03","UNIOESTE","UNOP","961","S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Grupo Azul; Ferneda Rocha, L.C.; Veiga, E.B.; Konopczyk, R.M.G.; Lombardi, J.A.;; Ferneda Rocha, L.C.; Veiga, E.B.; Konopczyk, R.M.G.; Lombardi, J.A.; Saka, M.N.","75",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Abrigo 4 para a Pedra do Sino.",NA,NA,"PRENSADO EM ÁLCOOL. Amostra sílica. Arbórea, 3 m. Folhas discolor, cartácea. Flores cálice verde arroxeado, Corola roxa, filete alvo, antera amarela.",NA,NA,NA,"Brand",NA,"Araújo, D.","2012","10","25","-43.295331","-22.469444","2035","2035","Teresópolis",NA,NA,NA,"-43.295331","-22.469444",NA,NA,NA,NA,NA
"26","2018-09-12 14:48:37-03","UNIOESTE","UNOP","805","S","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Grupo Azul; Ferneda Rocha, L.C.; Veiga, E.B.; Konopczyk, R.M.G.; Lombardi, J.A.;; Ferneda Rocha, L.C.; Veiga, E.B.; Konopczyk, R.M.G.; Lombardi, J.A.; Saka, M.N.","73",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha do Abrigo 04 para a Pedra do Sino.",NA,NA,"PRENSADO EM ÁLCOOL.Amostra em sílica. Arbórea, 4,5m. Folhas discolor, cartáceas. Flores cálice verde, corola roxa na base, verde no ápice; filetes alvos, anteras amarelas.",NA,NA,NA,"Brand",NA,"Araújo, D.","2012","10","25","-43.316667","-22.469444","2035","2035","Teresópolis",NA,NA,NA,"-43.316667","-22.469444",NA,NA,NA,NA,NA
"27","2020-07-24 17:21:15-03","MBML","MBML-HERBARIO","42084",NA,"Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"F. Almeda; J.L.M. Aranha Filho, P.W. Fritsch & R. Belinello","8792",NA,"Brasil","Rio de Janeiro","Serra do Mar, Pico da Caledônia. Downslope from the summit near the NE tower facing Tres Picos",NA,NA,"Windswept elfin forest. Much-branched shrub to 2.5m. Corolla white with flush of pink at the base; anthers yellow. Flowers with a fragrance of honey. Ovary 3-locular at anthesis, but 2-locular on the mature purple fruits","MBML042084",NA,NA,"Brand",NA,"J.L.M. Aranha Filho","2004","11","11","-42.589139","-22.356194","2219","2219","Nova Friburgo",NA,NA,NA,"42W35'20,9","22S21'22,3",NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2405456","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"ex herb. Glaziou","6023","South America - Neotropics","Brazil","Rio de Janeiro","Brésil. R. J.",NA,NA,NA,"US03135889",NA,"Ebenales","Brand","US03135889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"29","2019-09-04 18:18:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","Isosyntype","A. Glaziou","6023","South America","Brazil",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"1872","10","21","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"30","2019-01-23 10:09:40-02","F","FMNH-SEEDPLANTS","V0044561F","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","Isosyntype","A. Glaziou","6023","South America","Brazil",NA,NA,NA,NA,NA,"V0044561F","Spermatophyta",NA,NA,"V0044561F_01",NA,"1872","10","21","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"31","2019-01-23 10:09:40-02","F","FMNH-SEEDPLANTS","V0073740F","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis","Isosyntype","A. Glaziou","6023","South America","Brazil",NA,NA,NA,NA,NA,"V0073740F","Spermatophyta",NA,NA,"V0073740F_01",NA,"1872","10","21","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"32","2018-09-25 11:42:39-03","CAS","CAS-BOT","592447","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Almeda, F.; Fritsch, P. W.; Aranha Filho, J. L. M.; Belinello, R.","8792","South America","Brazil","Rio de Janeiro","Serra do Mar. Pico da Caledônia. Downslope from the summit near the NE tower facing Tres Picos.",NA,NA,"Much-branched shrub to 2.5 m. Corolla white with flush of pink at the base; anthers yellow. Flowers with a fragrance of honey. Ovary 3-locular at anthesis, but 2-locular on the mature purple fruits.",NA,"Magnoliophyta","Ebenales","Brand",NA,NA,"2004","11",NA,"-42.5868166667","-22.3537166667","2219","2245",NA,NA,NA,NA,"42° 35.209' W","22° 21.223' S",NA,NA,NA,NA,"Magnoliopsida"
"33","2018-09-25 11:43:11-03","CAS","CAS-BOT","592446","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","organensis","Symplocos organensis",NA,"Almeda, F.; Fritsch, P. W.; Aranha Filho, J. L. M.; Belinello, R.","8798","South America","Brazil","Rio de Janeiro","Serra do Mar. Pico da Caledônia. Near the SE tower.",NA,NA,"Shrub 3 m tall. Flowers with a fragrance of honey. Corolla muted gray-lavender; filaments pale pink; anthers yellow. Uncommon.",NA,"Magnoliophyta","Ebenales","Brand",NA,NA,"2004","11",NA,"-42.5850555556","-22.3542222222","2219",NA,NA,NA,NA,NA,"42° 35' 6.2 W","22° 21' 15.2 S",NA,NA,NA,NA,"Magnoliopsida"
"34","2013-10-24 17:32:44-02","UM","RECOLNAT_UM_MPU","MPU022708","PreservedSpecimen",NA,"Symplocaceae","Symplocos","organensis","Symplocos organensis","isosyntype","Glaziou, A.",NA,NA,"Brésil",NA,"Rio de Janeiro: Haut des Orgues, Prov. 'Cayambée'","hb",NA,"Double de P00648450 <a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu022708' target='other'> <mi>dwc_moreinfo</mi></a>","MPU022708",NA,NA,"Brand",NA,NA,"1887","11","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17130",NA,NA
