"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class"
"11","2019-11-21 14:47:47-03","UFJF","CESJ","56947","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","F.R.G. Salimena","2992","2010","11","03","América do Sul","Brasil","Minas Gerais","Estação Experimental de Botânica, Campus UFJF.",NA,NA,NA,"Arbusto, ca. 1m. alt., brácteas róseas, flores rosa-magenta, fauce amarela. Cultivada.","CESJ056947",NA,NA,"Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","auto","2010",NA,NA,"11",NA
"12","2019-11-21 14:47:47-03","UFJF","CESJ","54854","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","J.N. Nakajima; F.N.A.Mello; P.O.Rosa; P.N.Soares;","4773","2008","05","16","América do Sul","Brasil","Minas Gerais","Serra da Canastra, acesso pela estrada para Canta Galo. 18º50'02 S, 43º02'44 W, 1243msm.",NA,NA,NA,"Campo rupestre. Subarbusto, ca. 1m.alt. Brácteas arroxeadas, corola lilás.","CESJ054854",NA,NA,"Botumirim","-43.010799407959","-16.872200012207","39434","auto","2010",NA,NA,"09",NA
"13","2020-07-02 19:03:31-03","UFJF","CESJ","67524","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","M. Verdi; N. Pougy; G. Martinelli; D. Maurenza; E. Martins","7097","2014","06","24","América do Sul","Brasil","Minas Gerais","Parque Estadual de Grão Mogol, Serra do Curiacá, a partir do meio da encosta até o topo no ponto georreferenciado.","1202","1202",NA,"Folhas verdes; cálice rosa-esverdeado e corola rosa pink; frequente; encontrada em solo pedregoso em afloramentos rochosos; no interior do parque há incêndios devido a presença de arbustos queimados e no entorno encontram-se extensos plantios de Eucalypt","CESJ067524",NA,NA,"Grão Mogol","-42.875","-16.359444",NA,NA,"2016","-42.875","-16.359444",NA,NA
"14","2019-11-21 14:47:47-03","UFJF","CESJ","28626","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"M. G. C.; S. T. S.","533","1991","09","13","América do Sul","Brasil","Minas Gerais","Morro do Chapéu, NULL",NA,NA,NA,"Arbustivo. Habitat: campo quartzítico.","CESJ028626",NA,NA,"Cristália","-42.8622016906738","-16.8003005981445","30029","auto",NA,NA,NA,NA,NA
"15","2019-11-21 14:47:47-03","UFJF","CESJ","28673","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","R. Mello-Silva; et al.","CFCR8499","1985","09","05","América do Sul","Brasil","Minas Gerais","Jambeiro, À 7km de Grão Mogol.",NA,NA,NA,"Subarbusto,ca. 1m. alt., flor lilás forte com tubo alvo. Odorífero. Entre pedras no alto do morro.","CESJ028673",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1996",NA,NA,NA,NA
"16","2019-11-21 14:47:47-03","UFJF","CESJ","28672","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G. Salimena","P.T.Sano; et al.","CFCR12474","1989","12","11","América do Sul","Brasil","Minas Gerais","Trilha da Tropa, Alto da Serra.","1","1",NA,"Arbusto entre rochas,ca. 0,5m. alt., brácteas vináceas, cálice branco e corola roxa.","CESJ028672",NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1996",NA,NA,NA,NA
"17","2020-12-21 16:47:11-03","MBM","MBM","262927","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, F.R.","Cordeiro, I.; et al.; et al.","s.n.","1986","09","02","Southern America","Brazil","Minas Gerais","Córrego das Taiobeiras",NA,NA,NA,NA,"MBM262927","MBM262927",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:47:11-03","MBM","MBM","263512","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Stehmann, J.R.; et al.; et al.","2731","2001","02","13","Southern America","Brazil","Minas Gerais","COPASA",NA,NA,NA,NA,"MBM263512","MBM263512",NA,"Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:47:11-03","MBM","MBM","139271","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena, F.R.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54261","1990","06","14","Southern America","Brazil","Minas Gerais","Trilha dos Garimpeiros",NA,NA,NA,NA,"MBM139271","MBM139271",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:47:11-03","MBM","MBM","126772","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, F.R.","Hatschbach, G.; Cordeiro, J.; Cordeiro, J.","52703","1989","02","19","Southern America","Brazil","Minas Gerais","Rosa Cruz",NA,NA,NA,NA,"MBM126772","MBM126772",NA,"Medina","-41.4768981933594","-16.2224998474121","44236","auto",NA,NA,NA,NA,NA
"21","2020-12-11 11:42:43-03","UFMG","BHCB","26851","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:42:43-03","UFMG","BHCB","59587","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Hatschbach, G; et al.","54261",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA
"23","2020-12-11 11:42:43-03","UFMG","BHCB","59734","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Cordeiro, I; et al.","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA
"24","2020-12-11 11:42:43-03","UFMG","BHCB","107455","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Mendes, MS; Brina, AE","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Mineração Casa de Pedra, Corpo Norte - CSN",NA,NA,NA,"Hábito: herbáceo",NA,NA,NA,"Congonhas","-43.8577995300293","-20.4997005462646","16368","auto",NA,NA,NA,NA,NA
"25","2020-12-11 11:42:43-03","UFMG","BHCB","83668","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Markgraf, F; Brade, AC; Barreto, HLM","3369","1938","11","11","Southern America","Brasil","Minas Gerais","Serra de São Calixto.","1000","1000",NA,"Entre pedras","BHCB000443","BHCB000443","Isotypus","Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1949",NA,NA,NA,NA
"26","2019-11-13 11:32:45-03","USP","SPF","68203","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Freire-Fierro, A","CFCR12795","1989","12","14",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00068203","SPF00068203",NA,"Itacambira","-43.833333","-17",NA,NA,"2011","-43.833333","-17","09",NA
"27","2019-11-13 11:32:45-03","USP","SPF","69540","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Zappi, DC","CFCR13147","1990","06","16",NA,"Brasil","Minas Gerais",NA,"950","1000",NA,NA,"SPF00069540","SPF00069540",NA,"Grão Mogol","-42.9","-16.55",NA,NA,"2011","-42.9","-16.55","09",NA
"28","2019-11-13 11:32:45-03","USP","SPF","41061","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Mello-Silva, R","CFCR8904","1986","01","06",NA,"Brasil","Minas Gerais","Morro do Chapéu","1200","1200",NA,NA,"SPF00041061","SPF00041061",NA,"Cristália","-42.8622016906738","-16.8003005981445","30029","auto","2011",NA,NA,"09",NA
"29","2019-11-13 11:32:45-03","USP","SPF","67957","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Sano, PT","CFCR12474","1989","12","11",NA,"Brasil","Minas Gerais",NA,"1000","1200",NA,NA,"SPF00067957","SPF00067957",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1997",NA,NA,NA,NA
"30","2019-11-13 11:32:45-03","USP","SPF","47642","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Mello-Silva, R","CFCR10781","1987","05","21",NA,"Brasil","Minas Gerais",NA,"1000","1000",NA,NA,"SPF00047642","SPF00047642",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1997",NA,NA,NA,NA
"31","2019-11-13 11:32:45-03","USP","SPF","44494","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Cordeiro, I","CFCR10029","1986","09","02",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00044494","SPF00044494",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1997",NA,NA,NA,NA
"32","2019-11-13 11:32:45-03","USP","SPF","39828","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Mello-Silva, R","CFCR8499","1985","09","05",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00039828","SPF00039828",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto","1997",NA,NA,NA,NA
"33","2019-11-13 11:32:45-03","USP","SPF","36196","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","Salimena-Pires, FRG","Kawasaki, ML","CFCR6596","1984","11","29",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00036196","SPF00036196",NA,"Itacambira","-43.3088989257812","-17.0646991729736","48089","auto","1997",NA,NA,NA,NA
"34","2020-06-15 07:53:28-03","UEFS","HUEFS","221635","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke","F.R.G.Salimena","Verdi, M.","7095","2014","06","24",NA,"Brasil","Minas Gerais","Parque Estadual de Grão Mogol. Serra do Curiacá, a partir do meio da encosta até o topo no ponto georreferenciado.","1202","1202",NA,"Campo rupestre.","HUEFS0221635","HUEFS0221635 HUEFS0221635_e1",NA,"Grão Mogol","-42.875","-16.359444",NA,NA,"2016","42W52'30''","16S21'34''",NA,"Asteranae"
"35","2019-10-07 09:17:09-03","UEFS","HUEFS","64039","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Cordeiro, I.","CFCR10029","1986","09","02",NA,"Brasil","Minas Gerais","Nascente do Córrego das Taiobeioras.",NA,NA,NA,NA,"HUEFS0064039","HUEFS0064039",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,"Asteranae"
"36","2020-10-22 10:13:53-03","IBt","SP","348779","S","Plantae",NA,NA,"Verbenaceae","Lippia","bradei","Lippia bradei","Moldenke",NA,"Mello-Silva, R","CFCR10781","1987","05","21",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA
