"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","monthIdentified","class"
"15","2019-11-13 11:15:13-03","USP","SPF","179007","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","inconspicua","Minaria inconspicua","(Rapini) Rapini","Rapini, A","Pirani, JR","5686","2007","01","23",NA,"Brasil","Minas Gerais","Diamantina","Estrada para Biribiri, ca. 2 km aquém da cidade. Brejo estacional e campos rupestres.","-43.616667","-18.156111",NA,"Ervas muito pequenas, em solo francamente arenoso de brejo, ao sol. Flor creme, pendentes. Escassa. Unicata.","SPF00179007",NA,"2008",NA,NA,NA,"-43.616667","-18.156111","950","950",NA,NA,NA
"16","2019-11-13 11:15:13-03","USP","SPF","40609","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Kameyama, C","CFSC9448","1985","12","13",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Alto do Palácio.","-43.7144012451172","-19.1688995361328",NA,"Erva 10 cm. Flores róseas.","SPF00040609",NA,"2008","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-13 11:15:13-03","USP","SPF","20406","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Sajo, MG","CFSC7610","1981","10","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 132 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro. Campo rupestre.","-43.7144012451172","-19.1688995361328",NA,"Herbácea. Flores lilás. Fruto castanhos.","SPF00020406",NA,"2008","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-07 09:13:39-03","UEFS","HUEFS","162756","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","A.Rapini","Ribeiro, P.L.","263","2008","01","27",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia S.Cipó - Conceição do Mato Dentro, MG010, km 129.","-43.506111","-19.236111",NA,"Campo rupestre.","HUEFS0162756","HUEFS0162756","2010",NA,NA,NA,"43W30'22''","19S14'10''","1345","1345",NA,"11","Asteranae"
"19","2019-10-07 09:13:39-03","UEFS","HUEFS","79342","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","A.Rapini","Mota, R.C.","1803","2002","10","08",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.","-34.4675","-19.103333",NA,NA,"HUEFS0079342","HUEFS0079342","2006",NA,NA,NA,"34W28'3''","19S6'12''",NA,NA,NA,"07","Asteranae"
"20","2019-11-01 14:52:48-03","UnB","UB","117834","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Minaria","inconspicua","Minaria inconspicua","(Rapini) Rapini","Rapini, A","Splett, S","652","1994","09","23","Southern America","Brasil","Minas Gerais",NA,"Estrada de terra , 8,6km depois do asfalto","-43.883333","-18.333333",NA,"Fruto vazio; pouco frequente; Erva 0,1m; solo arenoso","UB0036709","UB0036709","2010",NA,NA,"paratype","-43.883333","-18.333333",NA,NA,NA,"04",NA
"21","2019-11-01 14:52:48-03","UnB","UB","117835","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Minaria","inconspicua","Minaria inconspicua","(Rapini) Rapini","Rapini, A","Splett, S","1015","1995","03","22","Southern America","Brasil","Minas Gerais",NA,"Estrada Diamantina-Medanha, km 578, entrada depois da ponte sobre o Córrego Soberbo","-44.6","-18.183333",NA,"Flores creme-brancas.; pouco frequente; areia branca","UB0036693","UB0036693","2010",NA,NA,"paratype","-44.6","-18.183333",NA,NA,NA,"04",NA
"22","2021-02-23 13:21:49-03","MN","R-TIPOS","102532","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","polygaloides","Ditassa polygaloides","Silveira",NA,"Silveira, A.A.","HS - 392","1905","04",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"R000102532","R000102532_001",NA,NA,NA,"Isolectotypus",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 09:58:40-03","IBt","SP","28568","S","Plantae",NA,NA,"Apocynaceae","Ditassa","polygaloides","Ditassa polygaloides","Silveira","Rapini, A","Magalhães Gomes","2835",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Ex Herb. Schwacke nº 8184","SP000337","SP000337","2000",NA,NA,"Lectotype",NA,NA,NA,NA,NA,"08",NA
"24","2019-11-21 09:58:51-03","IBt","SP","219175","S","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Barros, F","1343","1987","02","02",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó, Alto do Palácio. Km 126 da estrada Lagoa Santa a Conceição do Mato Dentro",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,NA,NA,"1300","1300",NA,"07",NA
"25","2019-11-21 09:58:51-03","IBt","SP","349577","S","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Konno, T; Prata, AP; Mansanares, ME","710","2000","12","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada para Conceição do Mato Dentro, ca. 6 km N da entrada da Fazenda Palácio","-43.539444","-19.254722",NA,NA,NA,NA,"2008",NA,NA,NA,"-43.539444","-19.254722",NA,NA,NA,"07",NA
"26","2019-11-21 09:58:51-03","IBt","SP","144976","S","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Joly, AB; Gemtchújnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","CFSC1295","1972","03","06",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 140 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"2008","31264","auto",NA,NA,NA,NA,NA,NA,"07",NA
"27","2019-11-21 09:58:51-03","IBt","SP","184878","S","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Sajo, MG; Castro, NM","CFSC7610","1981","10","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 132 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"2008","26557","auto",NA,NA,NA,NA,NA,NA,"07",NA
"28","2019-11-21 09:58:51-03","IBt","SP","180052","S","Plantae",NA,NA,"Apocynaceae","Minaria","polygaloides","Minaria polygaloides","(Silveira) T.U.P.Konno & Rapini","Rapini, A","Menezes, NL; Hensold, N","CFSC7695","1981","11","03",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 133 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"2008","26557","auto",NA,NA,NA,NA,NA,NA,"07",NA
