"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus"
"13","2019-06-10 10:11:49-03","FZB-BH","BHZB","2189","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis",NA,"M.G.L, Wanderley","Mendonça, M.P.",NA,"1999","04","20",NA,"Brasil","MG","Serra do Cipó/ Juquinha","-43.553056","-19.257778",NA,NA,NA,NA,"Cornélio","1326","1326","1999","09","02",NA,NA,NA,"43W 33' 11","19S 15' 28",NA,NA,NA
"14","2019-06-10 10:11:49-03","FZB-BH","BHZB","2493","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis",NA,"confirmada por M.G.L, Wanderley","Mendonça, M.P.",NA,"2000","03","22",NA,"Brasil","MG","Serra do Cipó/ Km 118 Mg 010","-43.553056","-19.257778",NA,"Altitude: 1326m. Coordenadas: 19°15'28 S 43°33'11 W.",NA,NA,"Santana do Riacho","1326","1326","2013","11",NA,NA,NA,NA,"43W 33' 11","19S 15' 28",NA,NA,NA
"15","2021-03-01 11:53:03-03","UFPE","UFP","11651","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","Smith & Downs","Wanderley, MGL","Benko-Iseppon, AM","s.n.","1993","07","21",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"UFP011651",NA,"Conceição do Mato de Dentro",NA,NA,"1994","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2782431","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs",NA,"G. Hatschbach",NA,"1973","8","6","South America - Neotropics","Brazil","Rio Grande do Sul","Serra do Cipó","-53.2771987915039","-27.6308002471924",NA,NA,"US01915599","US01915599_01","Jaboticaba",NA,NA,NA,NA,NA,"12616","auto",NA,NA,NA,"Monocotyledonae","1",NA
"17","2020-09-12 05:00:02-03","US","US","2121733","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs",NA,"W. A. Archer & M. Barreto","4914","1936","7","6","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo, km 121, Santa Luzia.",NA,NA,NA,NA,"US00088133","US00088133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1","Holotype"
"18","2020-09-12 05:00:02-03","US","US","2829752","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs",NA,"B. Maguire, G. Mendes Magalhaes & C. K. Maguire",NA,"1960","8","7","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo, km 112-128 from Hotel Chapeu do Sol.",NA,NA,NA,NA,"US01915600","US01915600_01",NA,"1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"19","2021-03-15 18:30:22-03","USP","SPF","207722","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Pirani, JR; Cordeiro, I; Loeuille, B; Keeley, S","6024","2009","07","12",NA,"Brasil","Minas Gerais","Serra do Cipó, APA do Morro da Pereira, rodovia Belo Horizonte - Conceição do Mato Dentro (MG010), Alto do Palácio, trilha da Estátua do Juca para a elevação dominada por densa população de Vellozia piresiana.","-43.549444","-19.264722",NA,"Ervas em touceiras pequenas, entre gramíneas, no campo brejoso, ao sol. Brácteas castanho-escuras, flores amarelas.; Brejos, campo limpo, campo rupestre e vegetação dos afloramentos rochosos.","SPF00207722",NA,"Santana do Riacho","1272","1272","2014","04","17",NA,NA,NA,"-43.549444","-19.264722",NA,NA,NA
"20","2021-03-15 18:30:22-03","USP","SPF","209360","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Antar, GM","Antar, GM; Antar, HP","94","2012","09","03",NA,"Brasil","Minas Gerais","Serra do Cipó, Rodovia MG 010, Santana do Riacho-Conceição do Mato Dentro. Km 121. Próximo à estátua do velho Juca.","-43.554722","-19.253333",NA,"Erva cespitosa ca. 60 cm alt. Base da folha vinácea. Tépalas amareladas.","SPF00209360",NA,"Santana do Riacho","1200","1200","2012","10",NA,NA,NA,NA,"-43.554722","-19.253333",NA,NA,NA
"21","2019-01-23 11:08:19-02","F","FMNH-SEEDPLANTS","V0047112F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis",NA,"L. B. Smith","W. A. Archer & Mello Barreto","4914","1936","8","6","South America","Brazil","Paraíba","Santa Luzia","-36.8667","-6.8",NA,NA,"V0047112F","V0047112F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Isotype"
"22","2021-03-08 15:44:12-03","MN","R-TIPOS","111726","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs","Wanderley, M.G.L.","Archer, W.A.; Mello Barreto, H.L.","4914",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"R000111726","R000111726_001","Jaboticatuba",NA,NA,"1989","07","20",NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"23","2021-03-08 15:44:12-03","MN","R-TIPOS","76926b","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs","Smith, L.B.","Smith, L.B.; Segadas-Vianna, F.; Egler, W.; Dau, L.; Silva, Z.; Ormond, W. & Machline, G.","6872",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó","-43.583333","-19.166667",NA,NA,"R000076926b","R000076926b_001","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,"43°35'W","19°10'S",NA,NA,"Isoparatypus"
"24","2021-03-08 15:44:12-03","MN","R-TIPOS","76926a","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs","Smith, L.B.","Smith, L.B.; Segadas-Vianna, F.; Egler, W.; Dau, L.; Silva, Z.; Ormond, W. & Machline, G.","6872",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó","-43.583333","-19.166667",NA,NA,"R000076926a","R000076926a_001","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,"43°35'W","19°10'S",NA,NA,"Isoparatypus"
"25","2021-03-08 15:44:12-03","MN","R-TIPOS","76926","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B. Sm. & Downs","Smith, L.B.","Smith, L.B.; Segadas-Vianna, F.; Egler, W.; Dau, L.; Silva, Z.; Ormond, W. & Machline, G.","6872",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó","-43.583333","-19.166667",NA,NA,"R000076926","R000076926_001","Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,"43°35'W","19°10'S",NA,NA,"Paratypus"
"26","2019-11-21 10:19:55-03","IBt","SP","247173","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Arbo, MM; et al.","4203","1990","05","15",NA,"Brasil","Minas Gerais","Serra do Cipó, 10-20 km NE de Cardeal Mota, camino a Conceição do Mato Dentro","-43.583333","-19.333333",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"1991","02",NA,NA,NA,NA,"-43.583333","-19.333333",NA,NA,NA
"27","2021-01-07 09:34:38-03","IBt","SP","454747","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Wanderley, MGL","2823","2009","04","26",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-07 09:34:38-03","IBt","SP","454756","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Wanderley, MGL","2809","2009","04","25",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:19:55-03","IBt","SP","204739","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Kral, R; Lopes, EA; Lima, E","72994","1985","08","01",NA,"Brasil","Minas Gerais",NA,"-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"Conceição do Mato Dentro",NA,NA,NA,NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:19:55-03","IBt","SP","204621","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Kral, R; Lopes, EA; Lima, E","73006","1985","08","01",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"Conceição do Mato Dentro",NA,NA,NA,NA,NA,"60318","auto",NA,NA,NA,NA,NA,NA
"31","2021-01-21 15:30:05-03","IBt","SP","488979","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Antar, GM","94","2012","09","03",NA,"Brasil","Minas Gerais",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"32","2021-01-11 11:20:41-03","IBt","SP","472126","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Pirani, JR","CFSC12287","1991","09","27",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"33","2021-01-11 11:20:41-03","IBt","SP","487274","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Pirani, JR","6024","2009","07","12",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"34","2020-10-08 08:53:42-03","IBt","SP","337898","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Pimentel, M","s.n.","1999","04","20",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"35","2020-05-07 17:16:21-03","IBt","SP","258340","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Wanderley, MGL","1974","1991","11","23",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:19:55-03","IBt","SP","245333","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Wanderley, MGL; Salimena Pires, FR","CFSC11524","1989","05","20",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:19:55-03","IBt","SP","234960","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs",NA,"Wanderley, MGL; et al.","CFSC11565","1989","07","05",NA,"Brasil","Minas Gerais","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:19:55-03","IBt","SP","221689","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Wanderley, MGL; et al.","CFSC10689","1987","07","12",NA,"Brasil","Minas Gerais","Serra do Cipó, Córrego da Água Preta. Serra da Salitreira. Próximo à sede do Parque Nacional","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2014","02","18","26557","auto",NA,NA,NA,NA,NA,NA
"39","2019-11-21 10:19:55-03","IBt","SP","221688","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Wanderley, MGL; et al.","CFSC10686","1987","07","12",NA,"Brasil","Minas Gerais","Serra do Cipó, Córrego da Água Preta. Serra da Salitreira. Próximo à sede do Parque Nacional","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2008","02","18","26557","auto",NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:19:55-03","IBt","SP","225564","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Cordeiro, I; et al.","CFSC11180","1988","06","28",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 110","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2008","02","18","26557","auto",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:19:55-03","IBt","SP","225579","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Cordeiro, I; et al.","CFSC11192","1988","06","29",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 110","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2008","02","18","26557","auto",NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:19:55-03","IBt","SP","221146","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Wanderley, MGL; Sajo, MG","CFSC11057","1988","03","27",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 117 antigo. Próximo à Fazenda Palácio","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2008","02","18","26557","auto",NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:19:55-03","IBt","SP","224861","S","Plantae",NA,NA,"Xyridaceae","Xyris","cipoensis","Xyris cipoensis","L.B.Sm. & Downs","Wanderley, MGL","Wanderley, MGL","CFSC11094","1988","05","01",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 126 antigo","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Santana do Riacho",NA,NA,"2014","02","18","26557","auto",NA,NA,NA,NA,NA,NA
