"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem","sex"
"11","2019-10-09 11:09:39-03","UFBA","ALCB","135380","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Amorim, VO; Coelho, J","452","2015","10","28","Southern America","Brasil","Bahia","Abaíra","Catolés. Início da trilha para Ouro Fino.","-41.898333","-13.265","1252",NA,"Alt.: 1,70. Folhas coriáceas, concolores. Inflorescência em capítulo, brácteas involucrais verdes, flores e ramos do estilete lilases.","ALCB063653","ALCB063653",NA,"-41.898333","-13.265","Amorim, VO","2015","10",NA,"1252",NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:09:39-03","UFBA","ALCB","82285","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Lima, DS; Valadão, RM","14311","2007","12","19","Southern America","Brasil","Bahia","Caetité","Serra Geral, Brejinho das Ametistas, Bloco III","-42.466667","-14.066667",NA,NA,"de ca 1,60 m de altura, com bastante óleo essencial, ramos vináceos. Folhas cartáceas, discolores. Inflorescência com botões esverdeados, flores liláses. frutos passados. Freqüente.",NA,NA,NA,"-42.466667","-14.066667","Guedes, ML","2008","02",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:09:39-03","UFBA","ALCB","82874","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Gomes, FS; Alunos de Botânica III","14517","2008","03","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Morrão","-41.2075","-11.591111",NA,NA,"de ca 1 m de altura. Folhas cartáceas. Inflorescência com capítulos esbranquiçados.",NA,NA,NA,"-41.2075","-11.591111","Liro, RM","2008","04",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:09:39-03","UFBA","ALCB","83503","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Gomes, FS; Prates, ARS","14275","2008","04","28","Southern America","Brasil","Bahia","Caetité","Serra Geral, Brejinho das Ametistas, Bloco III , fora da parcela","-42.538333","-14.350556","1031",NA,"Folhas cartáceas, discolores. Inflorescência capítulos com flores liláses.",NA,NA,NA,"-42.538333","-14.350556","Guedes, ML","2008","05",NA,"1031",NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:09:39-03","UFBA","ALCB","88757","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Guedes, ML; Sanches, FG; Alunos de Botânica III","14770","2009","05","02","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Caminho para os Três morros. Ponto 04","-41.894167","-13.08","1391",NA,"de ca 1 m de altura. Folhas cartáceas. Inflorescência passada.",NA,NA,NA,"-41.894167","-13.08","Roque, N","2009","07",NA,"1391",NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:09:39-03","UFBA","ALCB","94448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Abreu, IS","91","2010","01","04","Southern America","Brasil","Bahia","Arapiranga","Chapada Diamantina, Rio da Água Suja, estrada para Arapiranga",NA,NA,NA,NA,"Cerca de 2,5m de altura; folhas discolores; brácteas involucrais verdes; flores de corola rósea à branca; estiletes alvos.",NA,NA,NA,NA,NA,"Ogasawara, HA","2010","05",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:09:39-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Moraes, AO; França, F; Lima, CT de; Souza, D","310","2006","08","25","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, outro lado da estrada Várzea Nova ( roça do Sr. Gileno)","-41.068889","-11.470278","895",NA,"ca. 2,0 m alt. Folhas cartáceas, discolores. Botões verdes.",NA,NA,NA,"-41.068889","-11.470278",NA,NA,NA,NA,"895",NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:09:39-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Ganev, W","2617","1993","12","13","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Caminho Capão de Levi - Serrinha","-41.85","-13.316667","1260",NA,"De ca. 1,2m. Pouco ramificado. Folhas brilhantes cartáceas, verdes com margem vináceas. Caule castanho-vinháceo.Pedúnculo e pedicelo vináceos.Flores com sépalas verde-claro. Pétalas roxo-rosadas. Planta comum em início de floração.; Carrasco de campo",NA,NA,NA,"-41.85","-13.316667","Bautista, HP","2000","02",NA,"1260",NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:09:39-03","UFBA","ALCB","106550","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & H.P.Bautista","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","310","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral, Trilha p/ o Garimpo das Ametistas","-42.5074996948242","-14.6822004318237",NA,NA,"ca 1,80 alt. Folhas discolores; brácteas involucrais verdes; corola rosa; ramos do estilete róseos.",NA,NA,NA,NA,NA,"Afonso, F","2013","02",NA,NA,"31339","auto",NA,NA,NA,NA
"20","2020-12-21 16:13:58-03","MBM","MBM","346256","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","Hind, D.J.N. & Bautista","Guedes, M.L.; et al.; et al.","14518","2008","03","15","Southern America","Brazil","Bahia","Chapada Diamantina","Morro do Chapéu, Morrão",NA,NA,NA,NA,"Campo rupestre. Arbusto de ca. 2m de altura. com resina. Folhas cartáceas, discolores. Inflorescência terminal, capítulos com flores liláses, frequente","MBM346256","MBM346256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:13:58-03","MBM","MBM","388129","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","Hind, D.J.N. & Bautista","Santana, F.A.; Hurbath, F.; Alves, M.; Azevedo, F.P.; Hurbath, F.; Alves, M.; Azevedo, F.P.","124","2012","02","26","Southern America","Brazil","Bahia","Licínio de Almeida","Cachoeirão, Serra Geral.","-42.548889","-14.698889","971",NA,"Arbusto ca. 2,5m. Viscosa. Folhas discolores. Brácteas involucrais verdes. Flores e estames lilases.; Caatinga.","MBM388129","MBM388129",NA,"-42.548889","-14.698889",NA,NA,NA,NA,"971",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:13:58-03","MBM","MBM","266953","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","Hind, D.J.N. & Bautista","Hind, D.J.N.; et al.; et al.","H51333","1992","01","30","Southern America","Brazil","Bahia","Abaíra","Bam Querer","-41.6636009216309","-13.2496995925903","1300",NA,"Arvoreta até 2,0m alt. Ramificando no ápice, ramos fl. avermelhados. Capoeira à beira da mata, perto da mina","MBM266953","MBM266953",NA,NA,NA,NA,NA,NA,NA,"1300","26531","auto",NA,NA,NA,NA
"23","2020-12-21 16:13:58-03","MBM","MBM","151343","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","Hind, D.J.N. & Bautista","Harley, R.M.; et al.; et al.","27238","1988","12","14","Southern America","Brazil","Bahia","Rio de Contas","Pico das Almas, Campo do Queiroz","-41.8114013671875","-13.5789003372192",NA,NA,NA,"MBM151343","MBM151343",NA,NA,NA,"Bautista, H.P.",NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA
"24","2020-08-28 16:22:08-03","UESC","UESC","13140","S","Plantae","Angiospermae","Florideophycidae","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","Guedes, M.L.","14311","2007","12","19",NA,"Brasil","Bahia","Caetité",NA,"-42.466667","-14.066667",NA,NA,"Canga.; Arbusto, ca. 1,60m de altura, com bastante óleo essencial, ramos vináceos.; Frequente.","UESC0013140",NA,"Dicotyledoneae","42W28'0''","14S4'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","1814590","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","David J.N. Hind","Hind 51222","1992","1","30","South America","Brazil","Bahia",NA,"Abaira: Bam Querer.","-41.88333","-13.26666","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA
"26","2020-11-18 11:39:43-03","UERJ","HRJ","10353","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","?","s.n.","1999","07","08",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,NA,"HRJ00010353",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA
"27","2019-07-31 14:32:07-03","CPATSA","HTSA","5445","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritoppapus","catolesensis","Acritoppapus catolesensis","D. J. N. Hind. & Bautista","Ogasawara, H.A.; Hurbath, F.; Lopes, R. & Stadnik, A.","310","2013","01","22",NA,"Brasil","Bahia","Serra Geral, Licínio Almeida","Trilha para o Garimpo das Ametistas",NA,NA,NA,NA,"Arbusto: ca 1,80 alt. Folhas dicolores, brácteas involucrais verdes, corola rosa, ramos do estilete róseos.",NA,NA,NA,NA,NA,"Afonso, F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","3372761","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","A. M. Carvalho, J. G. Járdim, F. Juchum & M. Landi","6424","1997","12","29","South America - Neotropics","Brazil","Bahia",NA,"Bahia. Municipio de Rio de Contas, Ca. 1 km antes do distrito de Mato Grosso. Campo Ruperstre.",NA,NA,"1300",NA,NA,"US01644348","US01644348_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2020-09-12 05:00:02-03","US","US","3409949","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","R. M. Harley, A. Giuletti, S. Mayo & A. Mayo","27778","1988","12","26","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Mun.: Abaira. As vertentes das serras ao oeste de Catoles, perto de Catoles de Cima.","-41.88","-18","1450",NA,NA,"US01644355","US01644355_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2020-09-12 05:00:02-03","US","US","3409950","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","R. M. Harley, D. J. N. Hind, E. Nic Lughadha, V. C. Souza & et al.","H50342","1991","12","24","South America - Neotropics","Brazil","Bahia",NA,"Bahia. Mun. Abaira: Arredores de Catoles.","-41.85","13.28","1000",NA,NA,"US01644353","US01644353_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1100",NA,NA,NA,"1",NA,NA
"31","2020-09-12 05:00:02-03","US","US","2776957","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","R. M. Harley, S. A. Renvoize, C. Erskine, C. Brighton & R. Pinheiro","15356","1974","1","21","South America - Neotropics","Brazil","Bahia",NA,"Brazil : Estado de Bahia. Serra do Rio de Contas. About 3km. N. of the town of Rio de Contas.",NA,NA,NA,NA,NA,"US01644351","US01644351_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"32","2020-09-12 05:00:02-03","US","US","3404158","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","W. Ganev","1717","1992","12","20","South America - Neotropics","Brazil","Bahia",NA,"Catoles, Brasil, estado da Bahia, municipio de Piata: Serra do Santana, atras da igreja.","-41.75","-13.15","1300",NA,NA,"US01644360","US01644360_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1400",NA,NA,NA,"1",NA,NA
"33","2020-09-12 05:00:02-03","US","US","3015856","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","G. Hatschbach","47417","1984","1","22","South America","Brazil",NA,NA,"Mato Grosso (mun. Rio de Contas) Bahia.",NA,NA,"1350",NA,NA,"US01644357","US01644357_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"34","2020-09-12 05:00:02-03","US","US","3473167","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","G. Hatschbach","47417","1984","1","22","South America","Brazil",NA,NA,"Mato Grosso (mun. Rio de Contas) Bahia.",NA,NA,"1350",NA,NA,"US01644358","US01644358_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"35","2020-09-12 05:00:02-03","US","US","3255436","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","R. M. Harley & D. J. N. Hind","27238","1988","12","14","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Mun.: Rio de Contas. Pico das Almas, Vertente leste, Campo do Queiroz.","-41.95","-13.53","1500",NA,NA,"US01644349","US01644349_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"36","2020-09-12 05:00:02-03","US","US","3713365","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","M. L. Guedes, Sanches, F. G. & Alunos de Bot. III","14770","2009","5","2","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Chapada Diamantina, Piatã, Caminho para os Três morros. Ponto 04.","-41.8942","-13.08","1391",NA,NA,"US03066839","US03066839_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"37","2020-09-12 05:00:02-03","US","US","3404156","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","D. J. N. Hind & J. R. Pirani","H 51333","1992","1","30","South America - Neotropics","Brazil","Bahia",NA,"Abaira, Bam Querer.","-41.8833","13.2667","1300",NA,NA,"US00610755","US00610755_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1300",NA,NA,"Isotype; Isotype","1",NA,NA
"38","2020-09-12 05:00:02-03","US","US","3409951","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","W. Ganev","2889",NA,NA,NA,"South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia. Municipio de Abaira: Caminho-Boa Vista - Riacho Fundo pelo Toucinho.","-41.82","-13.37",NA,NA,NA,"US01644354","US01644354_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"39","2020-09-12 05:00:02-03","US","US","2855676","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","R. M. King, S. A. Mori, T. S. Santos & J. Hage","8065","1979","7","21","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Brazil. Municipio de Rio de Contas, a 4 km as NW de Rio de Contas., Campo Rup [illegible text]tre.",NA,NA,"1000",NA,NA,"US01644352","US01644352_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"40","2020-09-12 05:00:02-03","US","US","3404157","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","W. Ganev","1621","1992","12","5","South America - Neotropics","Brazil","Bahia",NA,"Catoles, Brasil, estado da Bahia, municpio de Piata: Tres, Morros estrada Piata-Inubla.","-41.88","-13.08","1400",NA,NA,"US01644361","US01644361_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"41","2020-09-12 05:00:02-03","US","US","3256674","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","W. Ganev","1496","1992","9","18","South America - Neotropics","Brazil","Bahia",NA,"Brasil, estado da Bahia, municipio de Abaira: Serrinha.","-41.85","-13.32",NA,NA,NA,"US01644347","US01644347_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"42","2020-09-12 05:00:02-03","US","US","2904804","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","S. Mori & F. P. Benton","13514","1980","3","21","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Brasil. Municipio de Rio de Contas, Serra das Almas. A 5 km ao NW de Rio de Contas.",NA,NA,"1000",NA,NA,"US01644350","US01644350_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1200",NA,NA,NA,"1",NA,NA
"43","2020-09-12 05:00:02-03","US","US","3409953","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","B. L. Stannard & R. Queiroz","H51053","1992","2","7","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Mun. Abairo: Campo de Ouro Fino (baixo).","-41.9","13.25","1600",NA,NA,"US01644356","US01644356_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"1700",NA,NA,NA,"1",NA,NA
"44","2020-09-12 05:00:02-03","US","US","3404159","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N. Hind & Bautista","W. Ganev","1763","1993","1","2","South America - Neotropics","Brazil","Bahia",NA,"Barsil, estado da Bahia, Municipio de Abairo: Mata do outeiro , proximo ao caminho Engenho-Marques.",NA,NA,"1100",NA,NA,"US01644359","US01644359_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"45","2021-03-15 18:25:15-03","USP","SPF","92094","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","catolesensis","Acritopappus catolesensis","D.J.N.Hind & Bautista","Hind, DJN; Pirani, JR","H51333","1992","01","30",NA,"Brasil","Bahia","Abaíra","Bem Querer.","-41.883333","-13.266667","1300",NA,"Arvoreta até 2.0m alt., ramificando no ápice, ramos fl. avermelhados.; Capoeira à beira da mata, perto da mina.","SPF00092094",NA,NA,"-41.883333","-13.266667",NA,NA,NA,NA,"1300",NA,NA,"holotype",NA,NA,NA
