"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","county","minimumElevationInMeters","imagecode","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"21","2021-03-15 16:37:00-03","NY","NYBG","01081339","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","G. Pereira-Silva","1995","10","11","South America","Brazil","Bahia","BA-314 a 7.5 km do entroncamento com a BR-407.","-40.23","-9.98",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081339","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","3092","Jaguarari","480","NY01081339_01","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00835942","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","W. W. Thomas","2001","05","19","South America","Brazil","Bahia","Serra do Castanhao, 14.5 km S of Jequié on BR 116 to paved road (at Churrascaria Corujao); then 7.3 km W of BR 116","-40.1892","-13.95",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=469181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835942","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","12526","Jequié","575","NY00835942_01","575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","437940","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","J. R. Pirani","1998","05","11","South America","Brazil","Minas Gerais","BR 122 para Monte Azul, 8 km N de Mato Verde.","-42.88","-15.33",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437940","Magnoliophyta","Sapindales","Engl.","J. R. Pirani","1451","Mato Verde","600","NY00437940_01","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","437933","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","J. M. Pires","1964","07","02","South America","Brazil","Goiás","Bahia. Alvorada, a 270 km de Brasília para Fortaleza. Rio Correntes.","-46.4919","-14.4808",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437933","Magnoliophyta","Sapindales","Engl.","G. T. Prance","58117","Alvorada do Norte",NA,"NY00437933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","437938","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","J. N. Rose","1915","06","09","South America","Brazil","Bahia","Queimadas",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00437938","Magnoliophyta","Sapindales","Engl.",NA,"19854",NA,NA,"NY00437938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1030781","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","B. A. S. Pereira","1997","05","09","South America","Brazil","Goiás","Km 12 da estrada Buritinópolis/Mambaí.","-46.08","-15.58",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1122204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030781","Magnoliophyta","Sapindales","Engl.","B. A. S. Pereira","3379","Buritinópolis",NA,"NY01030781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1145651","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","C. Correia","2003","07","15","South America","Brazil","Bahia","Estrada de terra para o Morro do Estreito.","-44.63","-13.33",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320957' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145651","Magnoliophyta","Sapindales","Engl.","C. Correia","283","Correntina",NA,"NY01145651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","887097","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","L. P. de Queiroz","2002","06","28","South America","Brazil","Bahia","Canudos: Ca. 3.6 km E de Canudos na estrada para Jeremoabo.","-38.9997","-9.8789",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887097","Magnoliophyta","Sapindales","Engl.","J. D. Mitchell","7254",NA,"349","NY00887097_01","349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1019284","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","L. P. de Queiroz","2004","03","17","South America","Brazil","Bahia","Estrada para Iaçu, ca. 5.4 km da entrada para Iaçu.","-39.8911","-12.8192",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280262' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019284","Magnoliophyta","Sapindales","Engl.","L. P. de Queiroz","9160","Iaçú","326","NY01019284_01","326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1145659","PreservedSpecimen","Plantae","Anacardiaceae","Schinopsis","brasiliensis","Schinopsis brasiliensis","E. B. Miranda-Silva","2004","08","30","South America","Brazil","Bahia","Fazenda ao lado esquerdo da BR 324, trecho Feira da Santana - Tanquinho.","-39.0603","-12.0314",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320979' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145659","Magnoliophyta","Sapindales","Engl.","C. Correia","640","Tanquinho","179","NY01145659_01","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
