"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","barcode","imagecode","infraspecificEpithet","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem","fieldNumber","sex"
"24","2015-07-02 14:01:18-03","JBP","HPL","7664","S","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus",NA,NA,"R. Tsuji","1746","2007","03","04",NA,"Brasil","Coletado nas proximidades da BR-293 (km 230).",NA,NA,NA,NA,"RS","Bagé","-54.1069","-31.3314",NA,NA,"R. Tsuji",NA,NA,"74087","auto",NA,"2007","03","04",NA,NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:28:35-03","IAP","PACA-AGP","1915","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.","Habitat: In rupestribus dumetosis. Fenofase: flor","Rambo, B.",NA,"1935","05","14",NA,"Brasil","Ad montem das Cabras.",NA,"PACA001915",NA,NA,"RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"N.P.Zaylor",NA,NA,"10287","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:28:35-03","IAP","PACA-AGP","73457","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Eggli","2493","1994","02","05",NA,"Brasil","Rodovia Quevedo a São Pedro do Sul.",NA,"PACA073457",NA,NA,"RS","São Pedro do Sul","-54.1789016723633","-29.6205997467041",NA,NA,"N.P.Zaylor",NA,NA,"32227","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"27","2019-08-27 13:28:35-03","IAP","PACA-AGP","99559","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Livramento et Zoldan","14","2007","02","02",NA,"Brasil","Zortéa, Passo Alto",NA,"PACA099559",NA,NA,"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-08-27 13:28:35-03","IAP","PACA-AGP","99560","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Murilo J. Durli","01","2007","02","08",NA,"Brasil","Zórtea, Passo Alto",NA,"PACA099560",NA,NA,"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-27 13:28:35-03","IAP","PACA-AGP","73494","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Eggli","2437","1994","01","31",NA,"Brasil",NA,NA,"PACA073494",NA,NA,"RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555",NA,NA,"N.P.Zaylor",NA,NA,"50525","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"30","2019-08-27 13:28:35-03","IAP","PACA-AGP","73445","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Eggli","2484","1994","02","05",NA,"Brasil","1,5 Km SEE de Quevedos, em direção a Usina Quebra Dentes.",NA,"PACA073445",NA,NA,"RS","Quevedos","-54.0717010498047","-29.3525009155273",NA,NA,"N.P.Zaylor",NA,NA,"28027","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"31","2019-08-27 13:28:35-03","IAP","PACA-AGP","73630","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.",NA,"Eggli","2484","1994","02","05",NA,"Brasil","ca. 1,5Km SEE de Quevedos, em direção a rodovia da Usina Quebra Dentes",NA,"PACA073630",NA,NA,"RS","Quevedos","-54.0717010498047","-29.3525009155273",NA,NA,"N.P.Zaylor",NA,NA,"28027","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"32","2019-08-27 13:28:35-03","IAP","PACA-AGP","25480","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K. Schum.","Habitat: In rupestribus dumetosis. Fenofase: estéril","Reitz, R.",NA,"1943","04","27",NA,"Brasil",NA,NA,"PACA025480",NA,NA,"RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"N.P.Zaylor",NA,NA,"10287","auto","Magnoliatae","2010","08","20",NA,NA,NA,NA,NA,NA,NA
"33","2020-12-20 21:16:31-03","UFV","VIC","41170","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Mata seca. Frutos imaturos verdes. 2,5m.","Duarte, T.","52","2005","10","10",NA,"Brasil","Mata do Aceiro #?# RPPN SESC",NA,"VIC041170","VIC041170",NA,"Mato Grosso","Melgaço",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-29 14:13:05-03","ASU","ASU-PLANTS","ASU0107619","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","peruvianus","Cereus peruvianus","Mill.","Cactu columnar 8m, flores: tubo floral e hipantio verde con gloquideos blancos y espinas negras, petalos rosados a fuchsias, androceo y gineco blanco. tallo con 8 costillas.","J. Campus","6125","1999","7","29",NA,"Peru","El Almendro. Bosque secundario",NA,NA,NA,NA,"Cajamarca",NA,"-78.8025","-5.712778","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 14:33:02-03","UFJF","CESJ","X-044","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Cereus","peruvianus","Cereus peruvianus","J.S. Muell","Nome vulgar:Mandacaru.Planta arborescente,até 8m; de regiões secas do norte do Brasil.Madeira leve,macia,pqrdacenta,muito fragil.","?","s.n.",NA,NA,NA,NA,"?",NA,NA,"CESJ00X044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-07 11:42:02-03","UFMS","CGMS","6905","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Cactoideae. Flor rósea. Vegetação de transição cerrado-mata de agaleria ;3,00 metros de altura.","A. Amaral-Júnior; J.O. Mendonça; O. Dias","212","1998","10","15",NA,"Brasil","Estrada Bataguassu-Anaurilândia . Ribeirão Caraguatá.",NA,"CGMS1012688",NA,NA,"Mato Grosso do Sul","Bataguassu","-52.4852777","-21.8938889","278","278",NA,"-52,4852777","-21,8938889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-07 11:42:02-03","UFMS","CGMS","46169","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Flor branca. Fruto não visto. Pétalas comestíveis. Flor com muitos coleópteros; antese noturna. Habitat: Borda não alagável de cordilheira (paleodique) com Cerradão. Solo arenoso (podzol hidromórfico). Relevo plano convexo. Habito: C","A. Pott; O.C. de Souza","5725","1990","11","17",NA,"Brasil","Fazenda Nhumirim; Nhecolândia; Pantanal.",NA,"CGMS1076140",NA,NA,"Mato Grosso do Sul","Corumbá","-56.65","-18.9833333","90","90",NA,"-56,65","-18,9833333",NA,NA,NA,"2020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:27:12-03","UNICAMP","UEC","151654","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","cacto, ca. 10 cm. Interior da mata.","Costa, ACM","230","2009","09","18",NA,"Brazil","Clube de Campo Valinhos, mata ciliar.",NA,"UEC041426","UEC041426",NA,"São Paulo","Valinhos","-46.931944","-22.956667","955","955","Costa, ACM","-46.931944","-22.956667",NA,NA,NA,"2009","12",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:27:12-03","UNICAMP","UEC","55189","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Planta arborescente, flores brancas, levemente rosadas, invólucro vinoso, na transição lajeado/mata.","Meira Neto, JAA; Bernacci, LC; Grombone-Guaratini, MT; Leitão Filho, HF; Tamashiro, JY","21372","1987","11","16",NA,"Brazil","Fazenda Grota Funda.",NA,"UEC041421","UEC041421",NA,"São Paulo","Atibaia","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:27:12-03","UNICAMP","UEC","116151","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Até 6 m de altura. 4-5 costelas, perianto externo rosado, perianto interno branco, flor 18-19 cm de comprimento, flor jovem esverdeada, 4,5 cm.","Aona, LYS; Faria, AD; Singer, R; Belinello, R","781","2000","10","22",NA,"Brazil","Grota Funda, afloramento dentro de mata.",NA,"UEC041424","UEC041424",NA,"São Paulo","Atibaia","-46.5499992370605","-23.1100006103516","900","950","Aona, LYS",NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:27:12-03","UNICAMP","UEC","128935","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Ocorre em touceiras, flor 18 cm de comprimento, pericarpelo 3 cm x 1,5 cm, estilete 13 cm, estigma 1,8, câmara nectarífera 4,5 cm de comprimento.","Válio, IFM","s.n.","2002","11","24",NA,"Brazil","Fazenda Limoeiro, na altura de km 154, mata seca.",NA,"UEC041419","UEC041419",NA,"São Paulo","Brotas","-48.1199989318848","-22.2800006866455",NA,NA,"Aona, LYS",NA,NA,"26585","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-08-20 10:08:42-03","UNICAMP","UEC","133352","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.",NA,"Válio, IFM","s.n.","2004","02","20",NA,"Brazil","Colinas do Atibaia (antiga Fazenda do Pico).",NA,"UEC041422","UEC041422",NA,"São Paulo","Campinas","-47.060001373291","-22.8999996185303",NA,NA,"Aona, LYS",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:27:12-03","UNICAMP","UEC","22579","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Árvore de 3 a 5 metros. Perianto com elementos externos esverdeados e carnosos; elementos internos petalóides e brancos. Frutos ovalados e vermelhos. Em campo pedregoso.","Silva, PM","11067","1979","10",NA,NA,"Brazil","Serra do Japi, Fazenda Ermida.",NA,"UEC041416","UEC041416",NA,"São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,"Taylor, NP",NA,NA,"17840","auto",NA,"1993","12","15",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:27:12-03","UNICAMP","UEC","22580","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Árvore de 3 a 5 metros. Perianto com elementos externos esverdeados e carnosos; elementos internos petalóides e brancos. Frutos ovalados e vermelhos. Em campo pedregoso.","Silva, PM","11067","1979","10",NA,NA,"Brazil","Serra do Japi, Fazenda Ermida.",NA,"UEC041418","UEC041418",NA,"São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,"Taylor, NP",NA,NA,"17840","auto",NA,"1993","12","15",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-01 16:27:12-03","UNICAMP","UEC","25870","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Porte arbóreo + ou - 5 m, elementos externos do jerianto, verdes com manchas avermelhados, elementos internos variando de creme a branco.","Silva, WR","13230","1981","12","11",NA,"Brazil","Serra do Japi, Fazenda Ermida.",NA,"UEC041420","UEC041420",NA,"São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,"Taylor, NP",NA,NA,"17840","auto",NA,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-01 16:27:12-03","UNICAMP","UEC","24139","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Arbórea (6 m). Flores com elementos petalóides internos brancos e externos esverdeados. Em campo pedregoso.","Silva, WR","12453","1981","03","27",NA,"Brazil","Serra do Japi, Fazenda Ermida.",NA,"UEC041417","UEC041417",NA,"São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,"Taylor, NP",NA,NA,"17840","auto",NA,"1993","12","15",NA,NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:27:12-03","UNICAMP","UEC","15193","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","hildmannianus","Cereus hildmannianus","K.Schum.","Flores esbranquiçadas. Periante com elementos externos esverdeados e carnosas, elementos internos petalóides e brancos. Árvore de 3 a 5 metros, frutos ovalados e alaranjados. Em campo pedregoso.","Silva, WR","12090","1980","11","18",NA,"Brazil","Serra do Japi, Fazenda Ermida.",NA,"UEC041415","UEC041415",NA,"São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758",NA,NA,"Taylor, NP",NA,NA,"17840","auto",NA,"1993","12","15",NA,NA,NA,NA,NA,NA,NA
