"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount"
"16","2021-04-07 11:41:25-03","UFMS","CGMS","71708","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"D.P.F.L. Maidana; W.L.C. Tabosa, D.P.F.L. Maidana, V.J. Pott.","17",NA,"Brasil",NA,"Flores amarelas Habitat: Campo aberto transição cerrado - floresta Habito: Planta Aquática Emergente","CGMS1104511",NA,"V.J. Pott","2018","2018","11","06","Mato Grosso do Sul","Bonito","Fazenda Princesinha. Estrada. Nascente do Rio Perdido, próximo ao Parque Nacional da Serra da Bodoquena","-56.8016667","-21.0419444","-56,8016667","-21,0419444","11",NA,NA,"602","602","06",NA,NA
"17","2021-04-07 11:41:25-03","UFMS","CGMS","36755","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"A. Pott; V.J. Pott; G. Hatschbach; J. Silva; A.C.M. Cristaldo","10510",NA,"Brasil",NA,"Flor amarela. Habitat: Campo cerrado. Solo argiloso vermelho. Relevo quase plano. Habito: Erva ereta com xilopódio. Ocasional.","CGMS1066166",NA,"B. Loeuille",NA,"2002","11","08","Mato Grosso do Sul","Bonito","MS-382, Km W de Bonito.","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"18","2021-03-01 16:23:59-03","UNICAMP","UEC","116812","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Pott, VJR; Scremin-Dias, E; et al.","4154",NA,"Brazil",NA,"Nome comum : Margarida- Amarela;&nf;Erva ereta, 50-60 cm alt.; flor amarela. Muito frequente.; Ambiente : plano com aflroamento rochoso, mal drenado; ruderal ;&nf;Substrato : solo calcário ;&nf;Relevo : plano.","UEC122499","UEC122499","Moraes, MD","2000","2000","03","23","Mato Grosso do Sul","Bonito","Lagoa das Pedras, na época da seca.","-56.55","-21.25","-56.55","-21.25","12",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:23:59-03","UNICAMP","UEC","118906","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Moraes, MD; Pott, A; Pott, VJR; Sartori, A; et al.","629",NA,"Brazil",NA,"Suabrbusto de 0,40-1m, poucos indíviduoscrescendo nas margens inundadas da lagoa.; Lagoa de Pedras, Rochas calcáreas,área periodicamente inundada.","UEC122500","UEC122500","Moraes, MD","2001","2001","04","03","Mato Grosso do Sul","Bonito","Fazenda Formoso, propr. Flávio Gazal Betoni.","-56.626306","-21.336306","-56.626306","-21.336306",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-10-14 09:59:08-03","FURB","FURB","739","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Hatschbach, G.; Hatschbach, M. & Silva, J.M.","73968",NA,"Brasil",NA,"Habitat: depressão arenosa Habito: ereta; flor capítulo amarelo","FURB00782","FURB00782","Robinson, H","2003","2002","11","09","Mato Grosso do Sul","Bonito","Projeto Guaicurus.","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"21","2021-03-16 17:50:45-03","UCS","HUCS","25041","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Hatschbach, G.","73968",NA,"Brasil",NA,"Herbario MBM; Depressão arenosa",NA,NA,"Robinson, H.","2003","2002","11","09","Mato Grosso do Sul","Bonito","Projeto Guaicurus","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"22","2019-08-16 08:38:32-03","UTFPR","HCF","2110","S","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach","76112",NA,"Brasil",NA,"ereta, flor amarela. Depressão arenosa e úmida.",NA,NA,"H. Robinson","2004","2003","10","10","MS","Bonito","Projeto Guaicurus, arredores","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"23","2020-12-21 16:15:45-03","MBM","MBM","290031","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","76112","Southern America","Brazil",NA,NA,"MBM290031","MBM290031","Robinson, H.",NA,"2002","10","10","Mato Grosso do Sul","Bonito","Projeto Guaicurus, arredores","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"24","2020-12-21 16:15:45-03","MBM","MBM","293391","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","77022","Southern America","Brazil",NA,NA,"MBM293391","MBM293391","Robinson, H.",NA,"2004","03","12","Mato Grosso do Sul","Caracol","Rodovia Bela Vista - Caracol, ca. 35km","-57.0243988037109","-22.0139007568359",NA,NA,NA,"53879","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:15:45-03","MBM","MBM","322068","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Silva, J.M.; Barboza, E.; Barboza, E.","5272","Southern America","Brazil",NA,"Ereta, capítulo amarelo.; Cerrado.","MBM322068","MBM322068","Robinson, H.","2007","2006","09","13","Mato Grosso do Sul","Bela Vista","Rio Guaviral","-56.5210990905762","-22.1089000701904",NA,NA,NA,"66197","auto",NA,NA,NA,NA,NA
"26","2020-12-21 16:15:45-03","MBM","MBM","279579","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","74434","Southern America","Brazil",NA,NA,"MBM279579","MBM279579","Robinson, H.",NA,"2003","03","10","Mato Grosso do Sul","Bonito","Rodovia Bonito - Campo dos Índios, próximo a Três Morros","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"27","2009-12-05 05:17:00-02","MO","MOBOT","3317101","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach s.n.","South America","Brazil",NA,NA,NA,NA,"H. Robinson",NA,"2002",NA,NA,NA,NA,"Projecto Guaicurus (Mun. Bonito) Mato Grosso do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-08-31 08:52:53-03","INPA","INPA","217243","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Hatschbach, GG","76112","Southern America","Brasil",NA,NA,"INPA0217243","INPA0217243 INPA0217243_e","Robinson, HE","2004","2003","10","10","Mato Grosso do Sul","Bonito","Projeto Guaicurus,arredores. Depressão arenosa e úmida.","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","3422821","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","73968","South America - Neotropics","Brazil",NA,NA,"US01772293","US01772293_01",NA,NA,"2002","11","9","Mato Grosso do Sul",NA,"Projecto Guaicurus (Mun. Bonito)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"30","2020-09-12 05:00:02-03","US","US","3450325","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","74434","South America - Neotropics","Brazil",NA,NA,"US01772294","US01772294_01",NA,NA,"2003","3","10","Mato Grosso do Sul",NA,"Rodovia Bonito - Campo dos Indios, Proximo de Tres Morros (Mun. Bonito)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"31","2020-09-12 05:00:02-03","US","US","3463921","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","77022","South America - Neotropics","Brazil",NA,NA,"US01772292","US01772292_01",NA,NA,"2004","3","12","Mato Grosso do Sul",NA,"Rodovia Bela Vista a Caracol, ca. km 35 (Mun. Cacracol)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"32","2020-09-12 05:00:02-03","US","US","3467096","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","76112","South America - Neotropics","Brazil",NA,NA,"US01772295","US01772295_01",NA,NA,"2003","10","10","Mato Grosso do Sul",NA,"Projeto Guaicurus, arredores (Mun. Bonito)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"33","2021-03-04 11:15:06-03","UEFS","HUEFS","83036","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Hatschbach, G.","73968",NA,"Brasil",NA,NA,"HUEFS0083036","HUEFS0083036",NA,NA,"2002","11","09","Mato Grosso do Sul","Bonito","Projeto Guaicurus","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,"Asteranae",NA
"34","2021-03-04 11:15:06-03","UEFS","HUEFS","86141","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Hatschbach, G.","74434",NA,"Brasil",NA,NA,"HUEFS0086141","HUEFS0086141",NA,NA,"2003","03","10","Mato Grosso","Bonito","Campo dos Índios, próximo de Três Morros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"35","2019-09-05 15:26:55-03","F","FMNH-SEEDPLANTS","V0050835F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Oyedaea","annua","Oyedaea annua",NA,"Isotype","E. Hassler","11030","South America","Paraguay",NA,NA,"V0050835F","V0050835F_01",NA,NA,NA,NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"36","2019-11-01 14:53:44-03","UnB","UB","123537","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Hatschbach, G","77022","Southern America","Brasil",NA,"Capítulo amarelo.; Ereta.; Vergedo arenoso",NA,NA,"Robinson, H",NA,"2004","03","12","Mato Grosso do Sul","Caracol","Rodovia Bela Vista a Caracol, ca. km 35","-57.0243988037109","-22.0139007568359",NA,NA,NA,"53879","auto",NA,NA,NA,NA,NA
"37","2019-05-06 11:53:08-03","UFU","HUFU","23552","S","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Pott, V.J.; et al.","4154",NA,"Brasil",NA,"Erva, ca. 0,5 m. Flor amarela.; Plano com afloramento rochoso, mal drenado, ruderal. Solo calcário. Relevo plano.","HUFU00045485","HUFU00045485","Justino, G.S.","2016","2000","03","23","Mato Grosso do Sul","Bonito","Lagoa das Pedras, Na época seca.","-56.55","-21.25","-56.55","-21.25",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:42:32-03","IF","SPSF","41334","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassler) H.Rob.",NA,"G.Hatschbach & M.Hatschbach & E.Barbosa","76112","América do Sul","Brasil",NA,"COLETA: Ereta, flor amarela.&nf;Depressão arenosa e úmida.;",NA,NA,"H.Robinson",NA,"2003","10","10","MS","Bonito","Projeto Guaircurus, arredores","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,"Magnoliopsida",NA
"39","2019-11-21 10:00:28-03","IBt","SP","370755","S","Plantae",NA,NA,"Asteraceae","Dimerostemma","annuum","Dimerostemma annuum","(Hassl.) H.Rob.",NA,"Hatschbach, G; Hatschbach, M; Silva, JM","73968",NA,"Brasil",NA,NA,NA,NA,"Robinson, H","2003","2002","11","09","Mato Grosso do Sul","Bonito","Projeto Guaicurus","-56.4818992614746","-21.1210994720459",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA
