"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","01058545","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","E. P. Heringer","10519","1965","08","31","South America","Brazil","Distrito Federal","Brasília","Zoobotânico","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058545","NY01058545_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02679182","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"C. E. O. Kuntze",NA,NA,NA,NA,"South America","Brazil","Mato Grosso",NA,"Jacobina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941875' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679182","NY02679182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01058523","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","A. F. M. Glaziou","12586",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Brésil (Minas)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058523","NY01058523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","755375","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","B. A. Krukoff","5334","1933","08","08","South America","Brazil","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755375","NY00755375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","755374","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","R. C. Barneby","L. C. L. Meneses Filho","26",NA,NA,NA,"South America","Brazil","Acre","Cruzeiro do Sul","Rio Juruá, near mouth of Rio Moa.","-72.67","-7.67","sheet","specimens for a green manure investigation <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755374","NY00755374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01058520","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","G. G. Hatschbach","34560","1974","07","18","South America","Brazil","Minas Gerais","Frutal","Rod. BR 153","-48.9406","-20.0247","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058520","NY01058520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","600993","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","Wahuschoff","s.n.","1932","09","19","South America","Brazil","São Paulo","Sao Paulo","Capital","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600993","NY00600993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","600996","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","S. R. Lowrie","573","1980","10","18","South America","Brazil","Acre","Rio Branco","Km 11 on Rio Branco-Quixada road","-67.7103388","-9.9224166","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600996","NY00600996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02679186","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"J. Evangelista de Oliveira","1095","1942","09","16","South America","Brazil","Minas Gerais","Belo Horizonte","Estação Experimental","-43.937801361084","-19.9207992553711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941881' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679186","NY02679186_01",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","02679187","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"M. Barreto","16347","1942","08","19","South America","Brazil","Minas Gerais","Belo Horizonte","Parque Florestal Estação Agr. da Agr. de Belo Horizonte","-43.937801361084","-19.9207992553711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941882' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679187","NY02679187_01",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02679188","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"Wahnschaffe",NA,"1932","09","19","South America","Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941885' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679188","NY02679188_01",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02679184","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"E. P. Heringer","15166","1975","09","23","South America","Brazil","Minas Gerais","Bom Jesus do Galhos","On east bank of the Rio Doce, ca. 25 km east of Marliéria, in small village at Ponta Queimada","-42.47","-19.77","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941879' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679184","NY02679184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","600995","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","W. Mantovani","T. Sendulsky","841","1969","09","03","South America","Brazil","São Paulo","Sao Paulo","Jardim Botânico e Parque do Estado","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600995","NY00600995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","600986","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","D. Constantino","s.n.","1920","08",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600986","NY00600986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","600992","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","M. Koscinsky","s.n.",NA,NA,NA,"South America","Brazil","São Paulo",NA,"Horto Florestal",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600992","NY00600992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02474116","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"H. C. de Lima","7700","2013","07","27","South America","Brazil","Rio de Janeiro","Duas Barras","Monerat, RJ-116, km 116","-42.4053","-22.0806","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685448' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474116","NY02474116_01","643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","600994","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","F. C. Hoehne","s.n.","1933","09","19","South America","Brazil","São Paulo",NA,"Morro Vermelho, S. P. Capital",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600994","NY00600994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02679185","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"E. P. Heringer","15166","1975","09","23","South America","Brazil","Minas Gerais","Bom Jesus do Galhos","On east bank of the Rio Doce, ca. 25 km east of Marliéria, in small village at Ponta Queimada","-42.47","-19.77","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941880' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679185","NY02679185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","755376","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","S. R. Lowrie","573","1980","10","18","South America","Brazil","Acre",NA,"Quixadá. Km 11 on Rio Branco-Quixada road","-67.72","-9.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755376","NY00755376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","600991","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","F. C. Hoehne","s.n.","1933","09","19","South America","Brazil","São Paulo",NA,"Morro Vermelho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00600991","NY00600991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02679183","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"C. E. O. Kuntze",NA,NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2941877' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679183","NY02679183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01058521","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","B. A. Krukoff","G. G. Hatschbach","34560","1974","07","18","South America","Brazil","Minas Gerais","Frutal","Rod. BR 153","-48.9406","-20.0247","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058521","NY01058521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01058525","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Erythrina","verna","Erythrina verna","Vell.","R. C. Barneby","B. M. T. Walter","3824","1997","08","07","South America","Brazil","Goiás","Campinaçu","Região do córrego Boa Nova. Antiga estrada Minaçú- AHE Serra da Mesa. Cerca de 9 km da GO-241. Futuro reservatório do AHE Serra da Mesa","-48.3836","-13.7658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058525","NY01058525_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","34764","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.","Martins, M.V.","Martins, M.V.","166","2010","08","05",NA,"Brasil","São Paulo","Campinas","Rodovia Dom Pedro, sentido Campinas, KM 130",NA,NA,NA,NA,"BOTU034764",NA,"854","854",NA,NA,"2010","08","05","9999","9999",NA,NA,NA,NA
"35","2021-02-18 09:29:41-03","UNESP-IBB","BOTU","32702","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.","Fortuna-Perez, A.P.","Dias, H.B.A.","1","2016","08","12",NA,"Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, campus da UNESP, Jardim Botânico, margem do lago","-48.433333","-22.983333",NA,"<ll>dwc_commonname:</ll> Mulungu","BOTU032702",NA,NA,NA,NA,NA,"2016","08","19","48º26'w","22º59's",NA,NA,NA,NA
"36","2021-02-19 11:35:08-03","UFPI-MRV","HDELTA","5806","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.","Arruda, A. A.","Douglas, F.",NA,"2018","11","14",NA,"Brasil","São Paulo","Botucatu",NA,"-48.440278","-22.880556",NA,"<ll>dwc_commonname:</ll> Mulungu","HDELTA005806",NA,NA,NA,NA,NA,"2018","11","14","48º26'25,00W","22°52'50,00S",NA,NA,NA,NA
"37","2020-06-29 11:30:31-03","UFRJ","RFA","18911","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"P. Occhioni","8402","1977","11","22",NA,"Brasil","São Paulo","Apiaí","Estrada Apiaí - Curitiba, próximo a fronteira","-48.8400001525879","-24.5",NA,"Árvore10-12 m altura. Canducifolia,'tijolo', muito ornamental.","RFA15876",NA,NA,NA,"37738","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:19:47-03","UFRJ","RFA","24650","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.","H. C. de Lima & L. F. G. da Silva","Flávio Britto Pereira","30/24","2000","08","01",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","1° Distrito, Fazenda Belém","-42.911667","-22.118611",NA,"Árvore com 12m de altura e 38cm de DAP, flores vermelhas, folas verdes com odor desagradável, na época de floração ocorre a caducifolia completa, comum no local.","RFA40359",NA,"641","641",NA,NA,"2002","06","03","42º54'42''W","22º7'7''S",NA,NA,NA,NA
"39","2020-06-29 11:30:31-03","UFRJ","RFA","39497","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.","N.G. Antas","N.G. Antas",NA,"2012","04","11",NA,"Brasil","Rio de Janeiro","Magé","Surui, Estrada Rio-Teresópolis s/n. Fazenda da Craft Engenharia","-43.040599822998","-22.6527996063232",NA,"Árvore 12 m altura, tronco cilíndrico. Flores vermelhas","RFA52257",NA,NA,NA,"20531","auto","2013","06","25",NA,NA,NA,NA,NA,NA
"40","2020-06-29 11:30:31-03","UFRJ","RFA","21391","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"J.P. Lanna Sobrinho; V. Rudd.",NA,"1969","08","16",NA,"Brasil","Minas Gerais","Simonésia",NA,"-42.0013999938965","-20.1238994598389",NA,NA,"RFA17691",NA,NA,NA,"37999","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-13 09:19:47-03","UFRJ","RFA","15381","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,"P. Occhioni","6232","1974","09","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada para Caxambu, próximo à Engenheiro Passos. Cultivada ?","-43.2075004577637","-22.9027996063232",NA,"Árvore de 8 a 12 m. de altura, flor vermelho alaranjado vivo","RFA13390",NA,NA,NA,"57442","auto","1975",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-08 17:41:39-03","EAO","IAN","140670","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Erythrina","verna","Erythrina verna","Vell.","Krukoff, BA","Pires, JM; Rosa, NA","13773","1972","07",NA,"Southern America","Brasil","Acre",NA,"Seringal Boa Água. Amostra 2-31-257.",NA,NA,NA,NA,"IAN140670",NA,NA,NA,NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-08 17:41:39-03","EAO","IAN","139127","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Erythrina","verna","Erythrina verna","Vell.","Lima, HC de","Heringer, EP","10519",NA,NA,NA,"Southern America","Brasil","Distrito Federal","Brasília","Zoobotânico Brasília.","-47.9296989440918","-15.7797002792358",NA,"Arbusto cultivado; flores vermelhas.","IAN139127",NA,NA,NA,"70570","auto","2006","07","01",NA,NA,NA,NA,NA,NA
"44","2021-04-08 17:41:39-03","EAO","IAN","15242","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Erythrina","verna","Erythrina verna","Vell.","Krukoff, BA","Oliveira, JE de","1095","1942","09","16","Southern America","Brasil","Minas Gerais","Belo Horizonte","Estação Experimental.","-43.937801361084","-19.9207992553711",NA,"Árvore 8 m de altura. Flores vermelhas. Cultivada.","IAN015242","IAN015242 IAN015242_e",NA,NA,"17082","auto","1967",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:16:04-03","UFBA","ALCB","08983","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Erythrina","verna","Erythrina verna","Malme","Pinto, GCP","Pinto, GCP","40/68","1968","07",NA,"Southern America","Brasil","Bahia","Itambé","Sudoeste, Serra Marçal","-40.616667","-15.233333",NA,NA,"ALCB030877","ALCB030877",NA,NA,NA,NA,"1968",NA,NA,"-40.616667","-15.233333",NA,NA,NA,NA
"46","2019-10-09 11:16:04-03","UFBA","ALCB","115367","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Erythrina","verna","Erythrina verna","Malme","Guedes, ML; Cardoso, D","Guedes, ML; Roque, N; Campos, L; Gandara, A","22103","2014","08","05","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral, Saco da Onça.","-42.5525","-14.710833",NA,"de ca 10 m de altura, decídua. Inflorescência panícula , flores com cálice com genículo verde, pétalas alaranjada.","ALCB030878","ALCB030878","870","870",NA,NA,"2014","08",NA,"-42.5525","-14.710833",NA,NA,NA,NA
"47","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U.1243354","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Erythrina","verna","Erythrina verna","Vell.",NA,"Constantino D",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Santa Maria Magdalena (civ. Rio de Janeiro).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1243354 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1243354","NL-U1243354",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"48","2020-02-08 09:13:00-03","NBC","NL-BOTANY","U.1243356","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Erythrina","verna","Erythrina verna","Vell.",NA,"Constantino D",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Santa Maria Magdalena (civ. Rio de Janeiro).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1243356 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1243356","NL-U1243356",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
