"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount"
"11","2019-12-19 08:08:28-03","FPS","FPS","1310","MachineObservation","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Schwirkowski, P.",NA,"2015","10","03",NA,"Brasil","Santa Catarina","São Bento do Sul","Localidade: Turvo. Minas de Caulin","-49.21484","-26.294685",NA,NA,NA,NA,"FPS01310","FPS01310_v01 FPS01310_v02 FPS01310_v03 FPS01310_v04","-49.21484","-26.294685",NA,NA,"2018","07","29",NA,NA,NA,NA,NA
"12","2019-12-19 08:08:28-03","FPS","FPS","2703","MachineObservation","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Schwirkowski, P.","2131","2016","11","26",NA,"Brasil","Santa Catarina","São Bento do Sul","Minas de caulin.","-49.224649","-26.290754",NA,NA,NA,NA,"FPS02703,ASE0041919,MBM423623,FURB55465","FPS02703_v01 FPS02703_v02 FPS02703_v03 FPS02703_v04 FURB55465","-49.224649","-26.290754",NA,NA,"2018","07","29","voucher","FURB 55465, ASE 40398, MBM 423623",NA,NA,NA
"13","2019-08-27 13:26:43-03","IAP","PACA-AGP","65525","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","L. B. Smith","Reitz, R.","5872","1957","12","22",NA,"Brasil","SC","São Francisco do Sul","Guaruva, Monte Crista","-48.6380996704102","-26.2432994842529","800","800",NA,"Habitat: campo Fenofase: flor amarela Hábito: erva","PACA065525",NA,NA,NA,"Liliopsida",NA,"1958",NA,NA,NA,NA,"23627","auto",NA
"14","2019-11-21 14:49:03-03","UFJF","CESJ","9811","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","M.G.L. Wanderley","L. Krieger","CESJ9811","1970","12","28","América do Sul","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"No campo, em lugares úmidos, em touceiras. Flores amarelas.","CESJ009811",NA,NA,NA,NA,NA,"2006","06","11",NA,NA,"46557","auto",NA
"15","2020-10-14 10:07:08-03","FURB","FURB","33779","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Mota, NFO","Dreveck, S.; Verdi, M.","2452","2010","10","11",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho Estação - APA Rio Vermelho/Humbold.","-49.2638889","-26.2705556","1010","1010",NA,"Plano de Manejo APA do Rio Vermelho/Humbold Habitat: Campos naturais; Estágio Médio; campo turfoso Habito: erva terrícola; flor amarela","FURB04006","FURB04006","-49.2638889","-26.2705556",NA,NA,"2012","05",NA,NA,NA,NA,NA,NA
"16","2019-11-08 08:57:01-03","FURB","FURB","50097","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, ED","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","3906","2014","11","04",NA,"Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","1200","1200",NA,NA,"FURB50097","FURB50097","-48.9544444","-26.0391666",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-08 08:57:01-03","FURB","FURB","50100","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, ED","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","3908","2014","11","04",NA,"Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.9544444","-26.0391666","1200","1200",NA,NA,"FURB50100","FURB50100","-48.9544444","-26.0391666",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:54:43-03","UCS","HUCS","38921","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Irgang, B.E.","s.n.","2002","12","19",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682",NA,NA,NA,"Herbário ICN 125370; turfeira",NA,NA,NA,NA,NA,NA,"2015",NA,NA,NA,NA,"42598","auto",NA
"19","2019-08-16 08:41:26-03","UTFPR","HCF","21686","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","E.D. Lozano","V. Ariati","1031","2014","10","25",NA,"Brasil","PR","Tijucas do Sul","Morro Araçatuba","-49","-25.883333",NA,NA,NA,NA,NA,NA,"49°00'00 W","25°53'00 S",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"20","2019-08-16 08:41:26-03","UTFPR","HCF","20602","S","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","E.D. Lozano","E.D. Lozano","1223","2013","02","16",NA,"Brasil","PR","Guaratuba","Morro dos Perdidos/ APA de Guaratuba","-48.956389","-25.8925",NA,NA,NA,"formando touceira, 1,2 m, flores amarelas, muita mucilagem na base.",NA,NA,"48°57'23 W","25°53'33 S",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:47:49-03","MBM","MBM","401929","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Lozano, E.D.; Canestraro, B.K.; Meyer, F.S.; Canestraro, B.K.; Meyer, F.S.","2624","2014","02","12","Southern America","Brazil","Paraná","Guaratuba","Morro dos Perdidos","-48.956389","-25.889722",NA,NA,NA,"Cespitosa, 40-90cm, flores amarelas, mucilagem na bainha, campo sujo.; Refúgio Vegetacional Altomontano.","MBM401929","MBM401929","-48.956389","-25.889722",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:47:49-03","MBM","MBM","401930","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Lozano, E.D.","1223","2013","02","16","Southern America","Brazil","Paraná","Guaratuba","Morro dos Perdidos","-48.956389","-25.889722",NA,NA,NA,"Formando touceira, 1,2m, flores amarelas, muita mucilagem na base, campo de altitude.; Refúgio Vegetacional Altomontano.","MBM401930","MBM401930","-48.956389","-25.889722",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:47:49-03","MBM","MBM","401988","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Ariati, V.; Bonaldi, R.A.; Peffer, R.A.; Bonaldi, R.A.; Peffer, R.A.","1031","2014","10","25","Southern America","Brazil","Paraná","Tijucas do Sul","Morro Araçatuba","-49","-25.883333",NA,NA,NA,NA,"MBM401988","MBM401988","-49","-25.883333",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:47:49-03","MBM","MBM","35971","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Smith, L.B.","Reitz, R.; Klein, R.M.; Klein, R.M.","5872","1957","12","22","Southern America","Brazil","Santa Catarina","São Francisco do Sul","Monte Crista, Garuva","-48.6380996704102","-26.2432994842529",NA,NA,NA,NA,"MBM035971","MBM035971",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23627","auto",NA
"25","2020-12-21 16:47:49-03","MBM","MBM","245671","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Wanderley, M.G.L.","Prata, A.P.; et al.; et al.","818","2000","02","09","Southern America","Brazil","São Paulo","Itararé","Fazenda Santa Isabel","-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"MBM245671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27729","auto",NA
"26","2020-12-21 16:47:49-03","MBM","MBM","408831","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Silva, J.M.; Brotto, M.L.; Brotto, M.L.","9165","2015","11","26","Southern America","Brazil","Santa Catarina","Garuva","Serra do Quiriri","-48.963889","-26.029722","1300","1300",NA,"Erva cespitosa; flor amarela.; Campo de altitude, em solo bastante úmido.","MBM408831",NA,"-48.963889","-26.029722",NA,NA,"2017","03","31",NA,NA,NA,NA,NA
"27","2020-12-21 16:47:49-03","MBM","MBM","20442","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Smith, L.B.","Hatschbach, G.","28099","1971","11","19","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM020442","MBM020442",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"28","2020-12-21 16:47:49-03","MBM","MBM","165455","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Kral, R.","Kummrow, R.; Silva, J.M.; Cordeiro, J.; Silva, J.M.; Cordeiro, J.","3364","1994","01","21","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM165455","MBM165455",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"29","2020-12-21 16:47:49-03","MBM","MBM","239128","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Guimarães, O.","Santos, E.P.; et al.; et al.","275","1996","11","23","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM239128","MBM239128",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"30","2020-12-21 16:47:49-03","MBM","MBM","239129","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Guimarães, O.","Santos, E.P.; et al.; et al.","354","1997","10","15","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM239129","MBM239129",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"31","2020-12-21 16:47:49-03","MBM","MBM","161215","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Kral, R.","Cordeiro, J.; Barboza, E.; Barboza, E.","924","1992","11","19","Southern America","Brazil","Santa Catarina","Campo Alegre","Serra do Iquererim","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"MBM161215","MBM161215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37493","auto",NA
"32","2020-12-21 16:47:49-03","MBM","MBM","35969","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Smith, L.B.","Hatschbach, G.","6583","1959","11","22","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM035969","MBM035969",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"33","2021-02-11 17:22:10-03","UFPR","UPCB","49563","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E. D.","Mocochinski, A.Y.","136","2003","10","19",NA,"Brasil","Paraná","Paranaguá","Serra da Prata, Torre da Prata","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Herbácea ereta 50cm, flores amarelas. Refúgio vegetacional altomontano..",NA,NA,NA,NA,NA,NA,"2013",NA,NA,NA,NA,"24916","auto",NA
"34","2021-02-11 17:22:10-03","UFPR","UPCB","34420","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Guimarães, O.A.","Santos, E.P.","275","1996","11","23",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Erva com ca. de 20cm, flores amarelas. Campo de altitude, solo inundado, 1400m de altitude..",NA,NA,NA,NA,NA,NA,"1999","05",NA,NA,NA,"41937","auto",NA
"35","2021-02-11 17:22:10-03","UFPR","UPCB","11859","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Smith, L.B.","Hatschbach, G.","28099","1971","11","19",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596","1300","1300",NA,"Flor amarela. Encosta úmida do morro..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"36","2021-02-11 17:22:10-03","UFPR","UPCB","34421","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Guimarães, O.A.","Santos, E.P.","354","1997","10","15",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Erva com ca. de 40cm, flor amarela. Campo de altitude, 1200m de altitude..",NA,NA,NA,NA,NA,NA,"1999","05",NA,NA,NA,"41937","auto",NA
"37","2021-02-11 17:22:10-03","UFPR","UPCB","50941","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Cordeiro, J.","Cervi, A.C.","8548","2003","11","12",NA,"Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Erva ereta, flor amarela, local úmido..",NA,NA,NA,NA,NA,NA,"2004","12",NA,NA,NA,"41937","auto",NA
"38","2010-07-23 16:42:00-03","MO","MOBOT","3000068","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"J.H.R. Schenck","Schenck 1347","1886","11","26","South America","Brazil",NA,NA,"Prov. La Cath. Quilbbluhend. Auf lumppfizen Wiesen. Zwirchen Km. 50 and Campo Allegre au de Serra shasse Fouville-Sái Bente.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","2782390","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"G. Hatschbach","28099","1971","11","19","South America - Neotropics","Brazil","Paraná","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"US01916033","US01916033_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"41937","auto","1"
"40","2020-09-12 05:00:02-03","US","US","2829747","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"L. Smith & R. Klein","8380","1956","12","6","South America - Neotropics","Brazil","Santa Catarina","Curitibanos","By Alto da Serra Hotel, on the Estrada de Rodagem Federal, Serra Geral.","-50.584400177002","-27.2828006744385","1200","1250",NA,NA,"US01916029","US01916029_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"25987","auto","1"
"41","2020-09-12 05:00:02-03","US","US","2324926","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"G. Hatschbach","6583","1959","11","22","South America - Neotropics","Brazil","Paraná","Guaratuba","Serra de Araçatuba.","-48.5746994018555","-25.8827991485596","1300",NA,NA,NA,"US01916028","US01916028_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"41937","auto","1"
"42","2020-09-12 05:00:02-03","US","US","2271821","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"R. Reitz & D. Klein","5872","1957","12","22","South America - Neotropics","Brazil","Santa Catarina","Garuva","Monte Crista","-48.8549995422363","-26.0266990661621","800",NA,NA,NA,"US01916031","US01916031_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"22441","auto","1"
"43","2020-09-12 05:00:02-03","US","US","2427222","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"R. Reitz & D. Klein","10566","1960","12","26","South America - Neotropics","Brazil","Santa Catarina","São José","Serra da Boa Vista","-48.627498626709","-27.6152992248535","1000",NA,NA,NA,"US01916034","US01916034_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"12814","auto","1"
"44","2020-09-12 05:00:02-03","US","US","2320803","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"G. Hatschbach","6469","1959","11","11","South America - Neotropics","Brazil","Paraná","Bocaiúva do Sul","Campina dos Tavares","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"US01916032","US01916032_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"61623","auto","1"
"45","2020-09-12 05:00:02-03","US","US","2282269","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"L. Smith & R. M. Klein","8512","1956","12","9","South America - Neotropics","Brazil","Santa Catarina","Campo Alegre","Slopes oforro Iquererim","-49.2655982971191","-26.1924991607666","1500",NA,NA,NA,"US01916030","US01916030_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,"37493","auto","1"
"46","2019-12-09 17:31:05-03","UFPR","EFC","9492","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Roderjan, C.V.","1691","2000","06","14",NA,"Brasil","Paraná","Campina Grande do Sul","Serra da Bocaina","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Erva 50cm, comum em pastagem degradada, ambiente de campo de altitude a 1500m s.n.m. Frutos maduros. __COMMOM_NAME__: Botão-de-ouro","EFC009492",NA,NA,NA,NA,NA,"2014","10","08",NA,NA,"55154","auto",NA
"47","2019-10-07 09:22:44-03","UEFS","HUEFS","232630","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme",NA,"Ariati, V.","1032","2014","10","25",NA,"Brasil","Paraná","Tijucas do Sul","Morro Araçatuba.","-49","-25.883333",NA,NA,NA,NA,"HUEFS0232630","HUEFS0232630","49W0'","25S53'","Lilianae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-09-04 19:48:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Xyridaceae","Xyris","lucida","Xyris lucida",NA,NA,"J. H. R. Schenck","1347","1886","11","26","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-11-12 17:02:39-03","UEL","FUEL","53026","PreservedSpecimen","Plantae","Tracheophyta","Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Mota, NFO","Dreveck, S; Verdi, M","2452","2010","10","11",NA,"Brasil","Santa Catarina","São Bento do Sul","rio Vermelho Estação, APA rio Vermelho/Humbold","-49.263889","-26.270556","1010","1010",NA,NA,"FUEL016953",NA,"-49.263889","-26.270556",NA,NA,"2012","05",NA,NA,NA,NA,NA,NA
"50","2020-08-20 20:41:48-03","UFSC","FLOR","59582","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Funez, L.A.","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","3906","2014","11","04",NA,"Brasil","Santa Catarina","Campo Alegre","Campos do Quiriri.","-48.953333","-26.036667",NA,NA,NA,"erva, flores amarelas","FLOR0059582","FLOR0059582","48º57'12''W","26º2'12''S",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"51","2020-08-20 20:41:48-03","UFSC","FLOR","59585","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Funez, L.A.","Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","3908","2014","11","04",NA,"Brasil","Santa Catarina","Campo Alegre","Campos do Quiriri.","-48.953333","-26.036667",NA,NA,NA,"erva, flores amarelas","FLOR0059585","FLOR0059585","48º57'12''W","26º2'12''S",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
"52","2020-08-20 20:41:48-03","UFSC","FLOR","64258","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","lucida","Xyris lucida","Malme","Lozano, E.D.","Lozano, E.D.; Canestraro, B.K.; Meyer, F.S.","2624","2014","02","12",NA,"Brasil","Paraná","Guaratuba","Morro dos Perdidos.","-48.956389","-25.889722",NA,NA,NA,"Cespitosa, 40-90cm, flores amarelas, mucilagem na bainha","FLOR0064258","FLOR0064258","48º57'23''W","25º53'23''S",NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA
