"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","typeStatus"
"13","2019-08-20 10:14:08-03","UNICAMP","UEC","110991","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","470","1999","09","07",NA,"Brazil","Rio de Janeiro","Cabo Frio","Morro em frente a Ponte do Canal, Do lado oposto ao centro da cidade.. Mata seca (remanescente).","-42.0186004638672","-22.8794002532959",NA,"Arbusto 1,5-2m. Folhas maduras. Frutos imaturos, restos de flores. Folhas em FAA.","UEC170522","UEC170522",NA,"40069","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:14:08-03","UNICAMP","UEC","114664","S","Plantae","Magnoliopsida",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Mendonça Filho, CV","Mendonça Filho, CV","551","2000","05","19",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico, Restinga.","-43.2075004577637","-22.9027996063232",NA,"Tronco acinzentado, lenticelas horizontais e acúleos robustos, aos pares, ca. 1cm de largura na base. Folíolos em sílica gel.","UEC184153","UEC184153",NA,"57442","auto",NA,"2002","05",NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:30:28-03","UFRRJ","RBR","37366","S","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,"A.T.L. Brandão","68",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Cabo Frio","Fazenda Itapeba, Centro de Diversidade Vegetal de Cabo Frio., CDVCF- Fazenda Itapeba, cordenada UTM; 23 k 807214 7473943 Elev: 13 m.","-42.0186004638672","-22.8794002532959",NA,NA,"RBR00037366",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-04-01 09:18:15-03","IPT","BCTW","19427","S","Plantae","Magnoliophyta",NA,NA,"Machaerium","obovatum","Machaerium obovatum","Kuhl. & Hoehne","Haroldo C. Lima",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Iguaba Grande","Capoeira no morro, final da Rua Portugal","-42.2289","-22.8392",NA,NA,NA,NA,NA,"5839","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:27:01-03","MBM","MBM","119016","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Lima, H.C. de","Lima, H.C. de; et al.; et al.","2695",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Cabo Frio","Morro do Farol, próximo a Barra","-42.0186004638672","-22.8794002532959",NA,NA,"MBM119016",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:36:09-03","UFMG","BHCB","48886","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:36:09-03","UFMG","BHCB","48881","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:36:09-03","UFMG","BHCB","48882","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:36:09-03","UFMG","BHCB","48883","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:36:09-03","UFMG","BHCB","48884","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:36:09-03","UFMG","BHCB","48887","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-10 04:40:00-03","MO","MOBOT","3207427","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","G.P. Lewis","Bente B. Klitgaard|H. C. de Lima","Klitgaard 3","1993","11","3","South America","Brazil","Rio de Janeiro",NA,"Mun. Cabo Frio.Near dried out lake - Lagoa Araruama, on rd. to Praia das Conchas. Forest on small litoral hills,on pebery, rocky, sandy soil.","-41.91666","-22.83333",NA,NA,NA,NA,"10.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0E8",NA
"25","2021-03-03 13:56:18-03","UFF","NIT","NITw606","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,"A.F.N. Brandes","738","2016","04","28",NA,"Brasil","Rio de Janeiro","Iguaba Grande","NEIG - Núcleo Experimental de Iguaba Grande, próximo a lagoa de Araruama, restinga.","-42.166667","-22.85",NA,"Liana, coleta de secção de caule e folhas","NITw00002816",NA,NA,NA,NA,NA,NA,NA,NA,"42º10'W","22º51'S",NA,NA,NA
"26","2021-04-07 16:08:49-03","UENF","HUENF","9646","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Lima, H.C.","Lima, H.C.; Machado, D.; Lopez-Roberts, M.C.",NA,"2015","05","11",NA,"Brasil","Rio de Janeiro","Cabo Frio","APA Pau-Brasil, Peró, Dunas do Peró. Mata de restinga, solo arenoso.","-42.0186004638672","-22.8794002532959",NA,"Arvoreta com 3,5 m de altura. Ramos com espinhos. Frutos castanho-avermelhados com indumento. Muito frequente.","HUENF00009650",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:22:34-03","USP","SPF","200158","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Anônimo","Lima, HC","5184","1995","11","07",NA,"Brasil","Rio de Janeiro","Armação dos Búzios",NA,NA,NA,NA,NA,"SPF00200158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:22:34-03","USP","SPF","200159","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Anônimo","Lima, HC","5193","1995","11","08",NA,"Brasil","Rio de Janeiro","Armação dos Búzios",NA,NA,NA,NA,NA,"SPF00200159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:22:34-03","USP","SPF","200164","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Anônimo","Farney, C","4107","2000","08","22",NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,"SPF00200164",NA,NA,"25964","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:22:34-03","USP","SPF","200157","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Ribeiro, RD","Farney, C","4492","2002","10","09",NA,"Brasil","Rio de Janeiro","Cabo Frio","Ilha do Japonês","-42.0186004638672","-22.8794002532959",NA,NA,"SPF00200157",NA,NA,"40069","auto",NA,"2005","03",NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:22:34-03","USP","SPF","200162","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Ribeiro, RD","Farney, C","4181","2000","09","11",NA,"Brasil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba","-42.1027984619141","-22.8391990661621",NA,NA,"SPF00200162",NA,"300","20879","auto",NA,"2005","03",NA,NA,NA,NA,"100",NA
"32","2019-11-13 11:22:34-03","USP","SPF","200163","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Lima, HC","Lima, HC","5539","1998","02","19",NA,"Brasil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba","-42.1027984619141","-22.8391990661621",NA,NA,"SPF00200163",NA,"280","20879","auto",NA,"1998","02",NA,NA,NA,NA,"200",NA
"33","2017-11-07 16:42:09-02","F","FMNH-SEEDPLANTS","V0372164F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum",NA,NA,"H. C. de Lima et al.","6067","2003","2","18","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0372164F","V0372164F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-23 12:07:47-03","CEPLAC","CEPEC","41972","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum",NA,"H. C. de Lima","H. C. de Lima","2695","1986","08","29",NA,"Brasil","Rio de Janeiro","cabo frio","Prox. a Barra, Morro do farol, morretes prox. ao litoral.","-42.0186004638672","-22.8794002532959",NA,NA,NA,NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,"30/12/1986",NA,NA
"35","2021-02-23 13:22:28-03","MN","R-TIPOS","21463","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne",NA,"Ule, E.H.G.","s.n.","1899","10",NA,NA,"Brasil","Rio de Janeiro","Cabo Frio","Ilha de Cabo Frio","-42.0186004638672","-22.8794002532959",NA,NA,"R000021463","R000021463_001",NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Holotypus"
"36","2020-11-19 09:29:11-03","IBt","SP","35641","S","Plantae",NA,NA,"Fabaceae","Machaerium","obovatum","Machaerium obovatum","Kuhlm. & Hoehne","Rudd, VE","Ule, EHG","s.n.","1899","10",NA,NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959",NA,NA,"SP003424","SP003424",NA,"40069","auto",NA,"1976","05",NA,NA,NA,NA,NA,"Isotype"
