"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode","verbatimLongitude","verbatimLatitude","phylum","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","order","typeStatus","continentOcean","individualCount"
"11","2021-02-11 17:19:52-03","UFPR","UPCB","84930","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","Goldenberg, R.","2015",NA,NA,"Goldenberg, R | Kollmann, L.","2124","2015","04","13","Brasil","Espírito Santo","Santa Teresa","Museu Mello-Leitão. Planta Cultivada","-40.6002998352051","-19.9356002807617","23813","auto","Arbusto 1,5m. Frutos maduros castanhos..","UPCB0014852",NA,NA,NA,NA,NA,"UPCB0014852",NA,NA,NA,NA,NA
"12","2021-02-11 17:19:52-03","UFPR","UPCB","89322","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","cf. burlemarxii","Merianthera cf. burlemarxii","Wurdack","Fontana, A.P.","2009","01","15","Fontana, A.P. et al.","5797","2009","01","15","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Fazenda da Neblina, base da Pedra da Torre. Inselbergue","-40.445556","-18.786944",NA,NA,"Arbusto, ca. 1,2m. Flores lilás. Fruto, ovário e parte abaxial da folha com tricomas creme. Material em sílica..","UPCB0030986","-40.445556","-18.786944",NA,"150","150","UPCB0030986",NA,NA,NA,NA,NA
"13","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","38345",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","A.P. Fontana/15-01-2009",NA,NA,NA,"A. P. Fontana; et al","5797","2009","01","15","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.445556","-18.786944",NA,NA,NA,"MBML038345","40W26'44","18S47'13",NA,NA,NA,"MBML038345",NA,NA,NA,NA,NA
"14","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","26351",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","L. Kollmann/08-03-2007",NA,NA,NA,"V. Demuner; L.F.S Magnago, T. Cruz, Elias Bausen, Giovani e Bruno","2250","2006","04","26","Brasil","Espírito Santo","Águia Branca","São Pedro, pedra do CEIER","-40.648","-19.022833",NA,NA,"Arbusto 1m, flor lilás, fruto seco, (CULTIVO). Sobre a rocha.","MBML026351","40W38'52,8","19S1'22,2",NA,"200","200","MBML026351",NA,NA,NA,NA,NA
"15","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","27379",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","L. Kollmann/08-03-2007",NA,NA,NA,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2925","2006","10","18","Brasil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.665556","-18.977778",NA,NA,"Arbusto 2,5m, botões florais, flores lilás, frutos verdes. Vegetação rupestre.","MBML027379","40W39'56","18S58'40",NA,"170","170","MBML027379",NA,NA,NA,NA,NA
"16","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","33322",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","R.Goldenberg",NA,NA,NA,"R. Goldenberg; A.P. Fontana, C.N. Fraga, C. Esgario","1154","2008","05","11","Brasil","Espírito Santo","Águia Branca","Santa Luzia, Córrego Taquaral","-40.648056","-19.022778",NA,NA,"Arbusto 1,5m, sobre pedra pouco inclinada; inflorescências pêndulas; flores com pétalas purpúreas; estames maiores muito finos, rosados, estames menores creme/amarelados","MBML033322","40W38'53","19S1'22",NA,NA,NA,"MBML033322",NA,NA,NA,NA,NA
"17","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","40195",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","R. Goldenberg/2011",NA,NA,NA,"R. C. Forzza; J. Silva, K.V. Hmeljeviski & E.S. Leal","5747","2009","11","18","Brasil","Espírito Santo","Pancas","Afloramento em frente a Pedra do Camelo, na margem da rodovia Pancas-Colatina, há 5 km do centro de Pancas. Inselbergue","-40.805","-19.239444",NA,NA,"Arbusto ca 40cm alt., folhas discolores. Flores com hipanto ferrugineo, corola, filetes e gineceu róseos, anteras amarelas","MBML040195","40W48'18","19S14'22",NA,NA,NA,"MBML040195",NA,NA,NA,NA,NA
"18","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","48568",NA,"Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack","R. Goldenberg/2015",NA,NA,NA,"R. Goldenberg; L. Kollmann","2124","2015","04","13","Brasil","Espírito Santo","Santa Teresa","Museu Mello-Leitão. PLANTA CULTIVADA","-40.6","-19.936111",NA,NA,"Arbusto 1,5m. Frutos maduros castanhos","MBML048568","40W36'0","19S56'10",NA,NA,NA,"MBML048568",NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2980063","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burlemarxii","Merianthera burlemarxii","Wurdack",NA,NA,NA,NA,"P. C. Hutchison","8472","1983","9","24","Brazil","Rio de Janeiro",NA,"Garden of Roberto Burlemarx, Rio de Janeiro.",NA,NA,NA,NA,NA,"US00120395",NA,NA,NA,NA,NA,"US00120395_01","Dicotyledonae","Myrtales","Isotype","South America - Neotropics","1"
"20","2020-07-23 12:13:03-03","CEPLAC","CEPEC","146788","PreservedSpecimen","Plantae","Melastomataceae","Merianthera","burle-marxii","Merianthera burle-marxii",NA,"A. P. Fontana",NA,NA,NA,"A. P. Fontana","5797",NA,NA,NA,"Brasil","Espírito Santo","NOVA VENÉCIA",NA,"-40.4006004333496","-18.710599899292","42400","auto","<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
