"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","class","infraspecificEpithet","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount"
"11","2019-11-21 14:39:43-03","UFJF","CESJ","24345","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","L. Krieger; et al.","CESJ24345","1981","05","31","América do Sul","Brasil","Minas Gerais","Serra São José",NA,"Arbustinho em Campo altos, flores vermelho-arroxeado.","CESJ024345",NA,NA,NA,"Tiradentes","-44.1781005859375","-21.1103000640869",NA,NA,"S.A.C. Chiea","1998","10355","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:39:43-03","UFJF","CESJ","25413","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","F.R.G. Salimena; R.F. Novelino","s.n","1990","10","13","América do Sul","Brasil","Minas Gerais","Cachoeira das Andorinhas",NA,"Arbusto ca. 50cm; flores magenta. Campo rupestre.","CESJ025413",NA,NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,"S.A.C. Chiea","1998","44599","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:34:51-03","UNICAMP","UEC","170553","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Almeida, F; Martins, AB; Belinello, R; Almeda, MB","9204","2005","09","30",NA,"Brazil","Minas Gerais","Serra do Cipó. About 23-24km from the bridge over the Rio Cipó on the road from Serra do Cipó (formerly Cardeal Mota), about 38km S of Conceição do Mato Dentro on a temporary detour road while the main Serra do Cipó/Conceição road was being paved.",NA,"Shrub to 0,5m tall. Filaments style, and pedoconnective red-pink. Large anthers pink turning black-brown with a white tip. Appendages of large anthers white at base, yellow distally. Leaves sessile and erect with the adaxial surface +/","UEC010116","UEC010116","1260","1260","Santana do Riacho","-43.511861","-19.247028",NA,NA,"Pacifico, R","2016",NA,NA,"05","-43.511861","-19.247028",NA,NA,NA,NA
"14","2021-03-01 16:34:51-03","UNICAMP","UEC","110537","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Vitta, FA; Passos, LC","335","1996","07",NA,NA,"Brazil","Minas Gerais","Serra do Cipó, Parque nacional da Serra do Cipó. Afloramento da Vellozia gigantea.",NA,"Pétalas cor de rosa intenso. Filetes e conectivos amarelos, anteras vermelhas.","UEC011357","UEC011357",NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,"Pacifico, R","2016","26557","auto","12",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:34:55-03","MBM","MBM","22186","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Hatschbach, G.","29953",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,"MBM022186","MBM022186",NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752",NA,"latifolia","Wurdack, J.J.",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:34:55-03","MBM","MBM","22186","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Hatschbach, G.","29953",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,"MBM022186","MBM022186",NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752",NA,"latifolia","Wurdack, J.J.",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"17","2015-09-28 17:21:49-03","MNHN","RECOLNAT_MNHN_P","P02428301","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Vauthier",NA,"1833",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428301' target='other'> <mi>dwc_moreinfo</mi></a>","P02428301","P02428301_01",NA,NA,NA,NA,NA,NA,"latifolia","Cogniaux",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA
"18","2015-11-06 16:25:26-02","MNHN","RECOLNAT_MNHN_P","P02428299","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas-Gerais, Ponte-Alta","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428299' target='other'> <mi>dwc_moreinfo</mi></a>","P02428299","P02428299_01",NA,NA,NA,NA,NA,NA,NA,"Cremers",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA
"19","2015-11-06 16:25:33-02","MNHN","RECOLNAT_MNHN_P","P02428300","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas-Gerais, Ponte-Alta","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428300' target='other'> <mi>dwc_moreinfo</mi></a>","P02428300","P02428300_01",NA,NA,NA,NA,NA,NA,NA,"Cremers",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA
"20","2015-09-04 20:14:00-03","MNHN","RECOLNAT_MNHN_P","P05316170","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1895","8","6",NA,"Brasil","Minas Gerais","Brésil (Minas) Manoel João, route de Paracatu à Abaete. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316170' target='other'> <mi>dwc_moreinfo</mi></a>","P05316170","P05316170_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"21297",NA,NA
"21","2015-09-04 20:14:00-03","MNHN","RECOLNAT_MNHN_P","P05316171","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1895","10","6",NA,"Brasil","Minas Gerais","Brésil. Minas. Manoel João, route de Paracatu à Abaeté. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . donné par Mme Simard, sa fille, em 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316171' target='other'> <mi>dwc_moreinfo</mi></a>","P05316171","P05316171_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"21297",NA,NA
"22","2015-09-04 20:14:00-03","MNHN","RECOLNAT_MNHN_P","P05316173","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1891","6","11",NA,"Brasil","Minas Gerais","Brésil (Minas) Fazenda da Amazôni. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316173' target='other'> <mi>dwc_moreinfo</mi></a>","P05316173","P05316173_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"21298",NA,NA
"23","2015-09-04 20:14:00-03","MNHN","RECOLNAT_MNHN_P","P05316174","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1897","6","11",NA,"Brasil","Minas Gerais","Brésil (Minas) Fazenda da Amoreira. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316174' target='other'> <mi>dwc_moreinfo</mi></a>","P05316174","P05316174_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"21298",NA,NA
"24","2015-09-04 20:14:00-03","MNHN","RECOLNAT_MNHN_P","P05316175","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1895","6","11",NA,"Brasil","Minas Gerais","Fazenda da Amoreira. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou. Donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316175' target='other'> <mi>dwc_moreinfo</mi></a>","P05316175","P05316175_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"21298",NA,NA
"25","2015-09-04 20:30:24-03","MNHN","RECOLNAT_MNHN_P","P05316241","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Gardner",NA,"3000",NA,NA,NA,"Brasil","Minas Gerais","Brésil. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316241' target='other'> <mi>dwc_moreinfo</mi></a>","P05316241","P05316241_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"4639",NA,NA
"26","2015-09-04 20:30:24-03","MNHN","RECOLNAT_MNHN_P","P05316242","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais","Brésil. Province. Minas Gerais, Sudeste, Brasil, América do Sul","hb","Voyage d'Auguste de Saint-Hilaire, de 1816 à 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316242' target='other'> <mi>dwc_moreinfo</mi></a>","P05316242","P05316242_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-09-04 20:30:24-03","MNHN","RECOLNAT_MNHN_P","P05316243","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Gardner",NA,"1842","1","1",NA,"Brasil","Minas Gerais",". Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier E. Drake <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316243' target='other'> <mi>dwc_moreinfo</mi></a>","P05316243","P05316243_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"4639",NA,NA
"28","2015-09-04 20:30:24-03","MNHN","RECOLNAT_MNHN_P","P05316245","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Gardner",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316245' target='other'> <mi>dwc_moreinfo</mi></a>","P05316245","P05316245_01",NA,NA,NA,NA,NA,NA,NA,"Romero",NA,NA,NA,NA,NA,NA,NA,"4639",NA,NA
"29","2015-09-04 21:04:07-03","MNHN","RECOLNAT_MNHN_P","P05316757","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1892","3","23",NA,"Brasil","Minas Gerais","Brésil. Biribiry. Diamantina, Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316757' target='other'> <mi>dwc_moreinfo</mi></a>","P05316757","P05316757_01",NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"Romero",NA,"101169","auto",NA,NA,NA,NA,"19215",NA,NA
"30","2015-09-04 21:04:07-03","MNHN","RECOLNAT_MNHN_P","P05316758","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, A.",NA,"1892","3","23",NA,"Brasil","Minas Gerais","Brésil. Biribiry. Diamantina, Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316758' target='other'> <mi>dwc_moreinfo</mi></a>","P05316758","P05316758_01",NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"Romero",NA,"101169","auto",NA,NA,NA,NA,"19215",NA,NA
"31","2015-09-28 17:21:49-03","MNHN","RECOLNAT_MNHN_P","P02428301","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans latifolia","Cogn.","Vauthier",NA,"1833",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428301' target='other'> <mi>dwc_moreinfo</mi></a>","P02428301","P02428301_01",NA,NA,NA,NA,NA,NA,"latifolia","Cogniaux",NA,NA,NA,NA,NA,NA,"holotype",NA,NA,NA
"32","2020-12-11 11:38:31-03","UFMG","BHCB","192647","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Paiva, JAM; Souza, JAM; Silva, SHA","1821","2018","08","07","Southern America","Brasil","Minas Gerais","Parque Nacional Serra do Cipó, Cardeal Mota",NA,"Subarbusto, 0,40m, terrestre; flor rosa, fruto castanho à marrom.; Campo Sujo","BHCB192647",NA,"1316","1316","Santana do Riacho","-43.526111","-19.265278",NA,NA,NA,"2018",NA,NA,"11","-43.526111","-19.265278",NA,NA,"30",NA
"33","2020-12-11 11:38:31-03","UFMG","BHCB","73596","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Barreto, HLM; Archer, WA","4957","1936","08","06","Southern America","Brasil","Minas Gerais","Serra do Cipó, km. 141 - estrada da Conceição",NA,"Arbusto 0,3m, alta frequência, flôr violacea; Campo.","BHCB040679","BHCB040679",NA,NA,"Conceição",NA,NA,NA,NA,NA,"2017",NA,NA,"02",NA,NA,NA,NA,"13",NA
"34","2020-12-11 11:38:31-03","UFMG","BHCB","73597","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Barreto, HLM","7012","1933","08","06","Southern America","Brasil","Minas Gerais","Serra do Cipó, Estrada de Conceição",NA,"Arbusto 0,3m, alta frequência, flôr violacea.; Campo.","BHCB040682","BHCB040682",NA,NA,"Conceição",NA,NA,NA,NA,NA,"2017",NA,NA,"02",NA,NA,NA,NA,"13",NA
"35","2020-12-11 11:38:31-03","UFMG","BHCB","73288","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Glaziou, AFM","19215","1892","03","23","Southern America","Brasil","Minas Gerais",NA,NA,"Frutescente, flôr rosa","BHCB041144","BHCB041144",NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,"2009","101169","auto","10",NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:38:31-03","UFMG","BHCB","73600","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Barreto, HLM","7011","1933","08","24","Southern America","Brasil","Minas Gerais","Serra do Cipó, km. 133 - estrada da Pilar",NA,"Arbusto 0,5m, alta frequência e flôr violacea; Campo - nas pedras","BHCB040680","BHCB040680",NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"2017","19939","auto","02",NA,NA,NA,NA,"13",NA
"37","2020-12-11 11:38:31-03","UFMG","BHCB","73599","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Barreto, HLM","7013","1933","08","24","Southern America","Brasil","Minas Gerais","Serra do Cipó, km. 140 - estrada da Pilar",NA,"Arbusto 0,4m, alta frequência, flôr violacea.; Campo","BHCB040681","BHCB040681",NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"2017","19939","auto","02",NA,NA,NA,NA,"13",NA
"38","2020-12-11 11:38:31-03","UFMG","BHCB","73598","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Barreto, HLM","7003","1936","08","17","Southern America","Brasil","Minas Gerais","Serra do Cipó, km. 143 - estrada da Pilar",NA,"Arbusto 0,25m, frequência regular, flôr violacea; Campo humido.","BHCB040678","BHCB040678",NA,NA,"Santa Luzia","-43.8513984680176","-19.7696990966797",NA,NA,NA,"2017","19939","auto","02",NA,NA,NA,NA,"13",NA
"39","2019-06-10 10:11:10-03","FZB-BH","BHZB","8533","S","Plantae",NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans",NA,"Abreu, M.E.",NA,"1999","08","10",NA,"Brasil","MG","Serra do Cipó, KM 126",NA,"19°13.#?#59S; 43°30'35W. Alt.: 1302m. Com duplicata",NA,NA,"1302","1302","Santana do Riacho","-43.509722","-19.233056",NA,NA,NA,NA,NA,NA,NA,"43W 30' 35","19S 13' 59",NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","2598130","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. Gardner","4639","1905","1","10","South America - Neotropics","Brazil",NA,"Piauhy, Goyaz",NA,NA,"US01896624","US01896624_01 US01896624_02",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"41","2020-09-12 05:00:02-03","US","US","2343809","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","B. Maguire, G. Mendes Magalhaes & C. K. Maguire","49096","1960","8","8","South America - Neotropics","Brazil","Minas Gerais","Summit of Serra do Cipó, road from Hotel Chapeu do Sol to Concepção, km 120-140",NA,NA,"US01896620","US01896620_01 US01896620_02","1200","1300",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","2020-09-12 05:00:02-03","US","US","2650851","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. Hatschbach","29953","1972","8","6","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipó",NA,NA,"US01896619","US01896619_01 US01896619_02",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","2444802","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","B. Maguire & C. K. Maguire","44651","1959","12","19","South America - Neotropics","Brazil","Minas Gerais","2iles from Hotel Chapéu do Sol",NA,NA,"US01896621","US01896621_01 US01896621_02","1128",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"44","2020-09-12 05:00:02-03","US","US","1066900","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","G. Gardner","4639",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US01896623","US01896623_01 US01896623_02",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"45","2020-09-12 05:00:02-03","US","US","2121762","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","A. W. Archer & M. Barreto","4957","1936","7","6","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipó, k. 141, estrada de Conceição",NA,NA,"US01896622","US01896622_01 US01896622_02",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"46","2020-09-02 16:33:14-03","Cenargen","CEN","62329","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","elegans","Microlicia elegans","Naudin","Robert Kral","72963","1985","07","31",NA,"Brasil","MG","Conceição do Mato Dentro km 132 el ca. 1300m, S aspect., Cerro do Cipó.","Exsicatas","Melastome of black sandy peat of arenaceous rocky grassy campo. Doação do Instituto de Botânica SP - São Paulo.","CEN00062329","CEN00062329","1300","1300","CONCEICAO DO MATO DENTRO",NA,NA,NA,NA,"R. Romero","1985",NA,NA,"01",NA,NA,NA,NA,NA,"1"
