"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"14","2021-03-01 16:26:08-03","UNICAMP","UEC","3586","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Sendulsky, T; Pereira, SMB; Joly, AM; Martins, F; Giulietti, AM","1702","1972","04","16",NA,"Brazil","Minas Gerais","Jaboticatubas","Estrada da Usina,à 10 km da Pensão Chapéu de Sol.","-43.7449989318848","-19.513599395752","1020","1020",NA,"Capítulo roxo, 25 a 30 cm, subarbusto.","UEC137300","UEC137300","Boun, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"15","2019-08-20 10:07:29-03","UNICAMP","UEC","61922","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Prado, PIKL","23842","1990","04","23",NA,"Brazil","Minas Gerais","Jaboticatubas","Fazenda Cipó. Km 114.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"UEC137304","UEC137304",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"16","2021-03-01 16:26:08-03","UNICAMP","UEC","3582","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Semir, J; Sazima, M; Menezes, N; Giulietti, AM","4059","1973","04","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Flor lilás.","UEC137297","UEC137297","Boun, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"17","2021-03-01 16:26:08-03","UNICAMP","UEC","3585","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Semir, J; Ugadim, Y","32","1970","06","05",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Dimantina.","-43.7449989318848","-19.513599395752","1150","1150",NA,"Flores cor de rosa, arbusto baixo.","UEC137301","UEC137301","Boun, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"18","2021-03-01 16:26:08-03","UNICAMP","UEC","3581","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Semir, J; Joly, AM; Martins, F","2502","1972","05","29",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 114 ao longo da rodovia Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Subarbusto 30 a 40 cm. Capítulos lilás.","UEC137296","UEC137296","Boun, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"19","2021-03-01 16:26:08-03","UNICAMP","UEC","3583","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Joly, AB; Semir, J; Ugadim, Y","112","1970","06","06",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 116 ao longo da Lagoa Santa - Santa Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752","1175","1175",NA,"Sub-arbusto mais ou menos 50 cm de altura.","UEC133247","UEC133247","Barroso, GM",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"20","2021-03-01 16:26:08-03","UNICAMP","UEC","3588","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Semir, J; Sazima, M","2063","1972","05","01",NA,"Brazil","Minas Gerais","Jaboticatubas","Km 120 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"capítulo lilás. altura 18 cm.","UEC137307","UEC137307","Leitão Filho, HF","1980","06","23",NA,NA,"31264","auto",NA,NA,NA,NA
"21","2021-03-01 16:26:08-03","UNICAMP","UEC","46989","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Martins, E","19621","1987","09","08",NA,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Erva até 15 cm. Inflorescência esbranquiçada.","UEC137303","UEC137303","Koch, I","1992","04",NA,NA,NA,"31264","auto",NA,NA,NA,NA
"22","2021-03-01 16:26:08-03","UNICAMP","UEC","52223","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Andrade, PM","1216","1988","05","26",NA,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipaca.","-43.793098449707","-21.8425006866455","1400","1400",NA,"flor cor de rosa forte.; Campo altimontano. Herbácea.","UEC137290","UEC137290","Sposito, TC","1992","06",NA,NA,NA,"30417","auto",NA,NA,NA,NA
"23","2021-03-01 16:26:08-03","UNICAMP","UEC","123526","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Roth, L","1355","1953","06","15",NA,"Brazil","Minas Gerais","Nova Lima","Serra do Curral.","-43.8466987609863","-19.9855995178223",NA,NA,NA,"Arbusto alto da serra, sobre canga. 30cm. flores roxas.","UEC133246","UEC133246","Barroso, GM",NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA
"24","2021-03-01 16:26:08-03","UNICAMP","UEC","51291","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Leitão Filho, HF; Carvalho-Okano, RM","21758","1989","07","02",NA,"Brazil","Minas Gerais","Santana do Riacho","Cadeia do Espinhaço, Serra do Cipó.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Sub-arbusto ca. 0.5 m altura. Flores roxas.; Campo Rupestre.","UEC137292","UEC137292","Sposito, TC","1992","05",NA,NA,NA,"26557","auto",NA,NA,NA,NA
"25","2021-03-01 16:26:08-03","UNICAMP","UEC","47579","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Leitão Filho, HF; Santin, DA; Grombone-Guaratini, MT; Meira Neto, JAA; Franco, GADC; Francini, R","19355","1987","07","01",NA,"Brazil","Minas Gerais","São Tomé das Letras",NA,"-44.9852981567383","-21.7222003936768","1300","1300",NA,"Subarbusto 40 cm. Flores roxas.","UEC137306","UEC137306","Sposito, TC","1992","06",NA,NA,NA,"16076","auto",NA,NA,NA,NA
"26","2020-10-14 09:59:13-03","FURB","FURB","41287","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","Bringel, J.B.; et al.","588","2010","02","04",NA,"Brasil","Goiás","Alto Paraíso de Goiás","16 Km N de Alto Paraíso, estrada Alto Paraíso/Teresina de Goiás. (Próximo a estação de tratamento de lixo.).","-47.5252778","-14.1022222","1329","1329",NA,NA,"FURB04267","FURB04267","Bringel, JB","2012","12",NA,"-47.5252778","-14.1022222",NA,NA,NA,NA,NA,NA
"27","2014-10-14 15:56:23-03","BS","M","M-0029376","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in campis Serro Frio locis altis; Provinciae Minas Geraes.",NA,NA,NA,NA,NA,NA,"M0029376",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"28","2020-12-21 16:16:27-03","MBM","MBM","36853","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36569","1975","02","28","Southern America","Brazil","Minas Gerais","São Tomé das Letras","São Tomé das Letras, arredores","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"MBM036853","MBM036853","Zardini, E.M.",NA,NA,NA,NA,NA,"16076","auto",NA,NA,NA,NA
"29","2020-12-21 16:16:28-03","MBM","MBM","68149","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Irwin, H.S.; et al.; et al.","12439","1966","02","09","Southern America","Brazil","Goiás","Chapada dos Veadeiros","Chapada dos Veadeiros, 20km E de Veadeiros",NA,NA,NA,NA,NA,NA,"MBM068149","MBM068149","Robinson, H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:16:27-03","MBM","MBM","116304","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Hatschbach, G.; et al.; et al.","51078","1987","03","18","Southern America","Brazil","Minas Gerais","Datas","Ligação da Rod. BR-259 a Costa Sena","-43.6557998657227","-18.4456005096436",NA,NA,NA,NA,"MBM116304","MBM116304","Robinson, H.",NA,NA,NA,NA,NA,"23532","auto",NA,NA,NA,NA
"31","2020-12-21 16:16:27-03","MBM","MBM","205629","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","66346","1997","03","16","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Armazém da Laje","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"MBM205629","MBM205629","Robinson, H.",NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,NA
"32","2020-12-21 16:16:27-03","MBM","MBM","56801","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Joly, A.M.; et al.; et al.","1697","1972","04","16","Southern America","Brazil","Minas Gerais","Jaboticatubas","Jaboticatubas","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"MBM056801","MBM056801","Leitão f.; H.F.",NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"33","2020-12-21 16:16:27-03","MBM","MBM","259937","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","72051","2001","05","15","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"MBM259937","MBM259937","Dematteis, M.",NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,NA
"34","2020-12-21 16:16:27-03","MBM","MBM","256530","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","Roth, L.","1355","1953","06","15","Southern America","Brazil","Minas Gerais","Nova Lima","Serra do Curral","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"MBM256530","MBM256530","Barroso, G.M.",NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA
"35","2015-09-03 19:57:12-03","MNHN","RECOLNAT_MNHN_P","P00372491","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Baker","Glaziou, A.",NA,"1895","1","6",NA,"Brésil",NA,NA,"Goyaz. Chapadao dos Veadeiros",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372491' target='other'> <mi>dwc_moreinfo</mi></a>","P00372491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21604",NA
"36","2020-10-01 14:15:39-03","JBB","HEPH","26448","S","Plantae","Dicotyledon","Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Backer) H.Rob.","Bringel Júnior, JBA; et al.","588","2010","02","04","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","16 Km N de Alto Paraíso, estrada Alto Paraíso/Teresina de Goiás. (Próximo a estação de tratamento de lixo.)","-47.525278","-14.102222","132","132",NA,NA,NA,NA,"Bringel Júnior, JBA","2012","12",NA,"-47.525278","-14.102222",NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:33:46-03","UFMG","BHCB","49252","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Lombardi, JA","3215","1999","10","01","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó., Próximo à estrada junto ao Juquita.","-43.551111","-19.258056",NA,NA,NA,"Plantas do Brasil. Campo rupestre. Herbáceo. Folhas cinza na face abaxial. Brácteas cinzentas. Flores lilás.",NA,NA,NA,NA,NA,NA,"-43.551111","-19.258056",NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:33:46-03","UFMG","BHCB","56022","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Glaziou, AFM","21605","1895","01","06","Southern America","Brasil","Goiás",NA,"Chapadão dos Veadeiros.",NA,NA,NA,NA,NA,"Subfrutescente. Flor rosa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:33:46-03","UFMG","BHCB","57991","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Roth, L","1355","1955","06","15","Southern America","Brasil","Minas Gerais","Nova Lima","Serra do Curral.","-43.8466987609863","-19.9855995178223",NA,NA,NA,"Canga; alto da serra. Arbustivo, 0,3m. Flores roxas.",NA,NA,NA,NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA
"40","2009-08-28 05:32:00-03","MO","MOBOT","3350332","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart. ex Baker","Robert M. King|Luther E. Bishop","King 8834","1981","2","7","South America","Brazil","Goiás",NA,"West of road to Monte Alegre de Goias, 12-20 km. N of Alto Paraiso de Goias.",NA,NA,"1219.20000000","1341.12000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2010-10-07 15:27:00-03","MO","MOBOT","3353048","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart. ex Baker","Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Irwin 12430","1966","2","9","South America","Brazil",NA,NA,"Chapada dos Veadeiros, ca. 20 km W of Veadeiros, Goias.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2014-01-08 09:49:00-02","MO","MOBOT","3355871","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart. ex Baker","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 36205","1972","2","18","South America","Brazil","Minas Gerais",NA,"Serra do Cipo. Rocky campo and cerrado, sloping down to wet sand meadow adjacent to gallery forest along stream; sandy soil and sandstone outcrops.",NA,NA,"1225.00000000",NA,NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","2020-06-15 15:28:58-03","UNESP-RC","HRCB","1156","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","stoechas","Vernonia stoechas","Mart.","Cesar, O.","s.n.","1979","06","01",NA,"Brasil","Minas Gerais","Jaboticatubas",NA,"-43.7449989318848","-19.513599395752",NA,NA,NA,"Arbusto até 1,5m. de altura.",NA,NA,"Semir, J.","1996",NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA
"44","2019-05-23 11:07:53-03","UFLA","ESAL","28094","S","Plantae",NA,NA,"Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H.Rob.","Mansanares, ME; Campos, CCF; Pifano, DS","802",NA,NA,NA,NA,"Brasil","Minas Gerais","Diamantina","São João da Chapada, Parque Nacional das Sempre-vivas","-43.6002998352051","-18.2493991851807",NA,NA,NA,"; ; lilases;",NA,NA,"M.E.Mansanares",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","2818762","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","12430","1966","2","9","South America - Neotropics","Brazil","Goiás",NA,"Creek margin, among rocks, Chapada dos Veadeiros, ca. 20 km. W. of Veadeiros, Goias",NA,NA,"1000",NA,NA,NA,"US01631305","US01631305_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"46","2020-09-12 05:00:02-03","US","US","2818782","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","W. Anderson, M. Stieber & J. H. Kirkbride","36205","1972","2","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Espinhaco, Serra do Cipo",NA,NA,"1225",NA,NA,NA,"US01631306","US01631306_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"47","2020-09-12 05:00:02-03","US","US","3353713","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","66346","1997","3","16","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cabral, Armazem da Laje (Mun. Joaquim Felicio) Minas Gerais",NA,NA,NA,NA,NA,NA,"US01631310","US01631310_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"48","2020-09-12 05:00:02-03","US","US","3120870","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","G. Hatschbach, A. C. Cervi & J. Cordeiro","51078","1987","3","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Ligacao Rod. BR- 259 a Costa Sena (mun. Datas) Minas Gerais",NA,NA,NA,NA,NA,NA,"US01631308","US01631308_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"49","2020-09-12 05:00:02-03","US","US","2818495","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","H. S. Irwin, R. M. Harley & G. L. Smith","32173","1971","3","19","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, Gallery forest a",NA,NA,"1250",NA,NA,NA,"US01631311","US01631311_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"50","2020-09-12 05:00:02-03","US","US","2922615","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lessingianthus","stoechas","Lessingianthus stoechas","(Mart. ex Baker) H. Rob.","R. M. King & L. E. Bishop","8834","1981","2","7","South America - Neotropics","Brazil","Goiás",NA,"Goias: West of road to Monte Alegre de Goias, 12-20 Km. N of Alto Paraiso de Goias",NA,NA,"1219","1341",NA,NA,"US01631307","US01631307_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
