"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"27","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","33780","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Coradin, L.","4274","1981","08",NA,"Brasil","Goiás","Rodovia Brasília- Fortaleza BR - 020 km 115",NA,NA,"BOTU033780",NA,"18","Formosa","-47.25","-16.433333","Bezerra, L.M.P.A.",NA,NA,"2019","08","47°15'00w","16°26'00s",NA,NA,NA,NA,NA,NA,NA
"28","2021-02-18 09:29:48-03","UNESP-IBB","BOTU","33800","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Coradin, L.","8394","1987","09",NA,"Brasil","Minas Gerais","Rodovia Barbacena - São João Del Rei (BR - 265), km 40",NA,NA,"BOTU033800",NA,"01","Prados","-44.133333","-21.15","Schultze-Kraft, R.",NA,NA,"1987","09","44°08'00w","21°09'00s",NA,NA,NA,NA,NA,NA,NA
"29","2021-04-08 17:42:00-03","EAO","IAN","13958","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Magalhães, MG","53","1940","01","Southern America","Brasil","Minas Gerais","Sujo. Vila Santa Terezinha.",NA,"Trepadeira. Flores amarelas. Pouco frequente.","IAN013958","IAN013958 IAN013958_e","05","Belo Horizonte","-43.937801361084","-19.9207992553711","Barreto, M",NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA
"30","2013-07-03 10:59:33-03","EBDA","BAH","7685","S","Plantae",NA,NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:16:59-03","UFBA","ALCB","09116","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","DC.",NA,"Pinto, GCP","42582","1974","06","Southern America","Brasil","Bahia","Paraguaçu",NA,"Volúvel, muito robusta","ALCB032279","ALCB032279",NA,"Itaberaba","-40.3069000244141","-12.5275001525879","Pinto, GCP",NA,NA,NA,NA,NA,NA,NA,"39857","auto",NA,NA,NA,NA
"32","2020-02-08 09:14:30-03","NBC","NL-BOTANY","U.1332284","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Prance GT; Steward JR; Ramos JF; Farias LG",NA,"1969","01","Southern America","Brazil",NA,"Plants of Brazilian Amazonia. Territory of Roraima. Serra de Loa. Dormida, foothills of Serra da Lua.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332284 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332284","NL-U1332284","12",NA,"-66.208333","2.45",NA,NA,NA,NA,NA,"-66.208333","2.45",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"33","2020-02-08 09:14:30-03","NBC","NL-BOTANY","U.1332282","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Jansen-Jacobs MJ; et al.",NA,"1994","01","Southern America","Guyana",NA,"Rupununi Distr., N of Shea, Camp 1. Savanna.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332282 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332282","NL-U1332282","19",NA,"-59.15","2.95",NA,NA,NA,NA,NA,"-59.15","2.95",NA,NA,NA,"Magnoliopsidae","U 0192275",NA,NA
"34","2020-02-08 09:14:30-03","NBC","NL-BOTANY","U.1332283","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata",NA,"Rhynchosia reticulata","(Sw.) DC.",NA,"Jansen-Jacobs MJ; et al.",NA,"1994","01","Southern America","Guyana",NA,"Rupununi Distr., N of Shea, Camp 1. Savanna.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332283 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332283","NL-U1332283","19",NA,"-59.15","2.95",NA,NA,NA,NA,NA,"-59.15","2.95",NA,NA,NA,"Magnoliopsidae","U 0192274",NA,NA
"35","2020-02-08 09:14:30-03","NBC","NL-BOTANY","L.2044848","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2044848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2044848","NL-L2044848","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"36","2020-02-08 09:14:30-03","NBC","NL-BOTANY","L.2044849","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2044849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2044849","NL-L2044849","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"37","2020-02-08 09:14:30-03","NBC","NL-BOTANY","U.1332321","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332321","NL-U1332321","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"38","2020-02-08 09:14:30-03","NBC","NL-BOTANY","WAG.1042214","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Hatschbach GG",NA,"1976","07","Southern America","Brazil",NA,"Rio Corumba (mun. Ipameri) Goias.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1042214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1042214","NL-WAG1042214","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"39","2020-02-08 09:14:30-03","NBC","NL-BOTANY","WAG.1042215","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1042215 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1042215","NL-WAG1042215","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"40","2020-02-08 09:14:30-03","NBC","NL-BOTANY","WAG.1042216","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1042216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1042216","NL-WAG1042216","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"41","2020-02-08 09:14:30-03","NBC","NL-BOTANY","L.2044848","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2044848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2044848","NL-L2044848","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"42","2020-02-08 09:14:30-03","NBC","NL-BOTANY","L.2044849","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2044849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2044849","NL-L2044849","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"43","2020-02-08 09:14:30-03","NBC","NL-BOTANY","U.1332321","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Rhynchosia","reticulata","kuntzei","Rhynchosia reticulata kuntzei","(Harms ex Kuntze) Grear",NA,"Breteler FJ",NA,"1965","01","Southern America","Venezuela",NA,"Venezuela. State of Barinas. Near Barinitas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332321","NL-U1332321","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
