"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber"
"12","2021-03-15 16:37:00-03","NY","NYBG","688146","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus obtusangulus","C. E. O. Kuntze","s.n.","South America","Bolivia","Santa Cruz","Yapacani [Río Yapacani]",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688146","Magnoliophyta","Poales","Kuntze",NA,"1892","04",NA,"Ichilo",NA,NA,"NY00688146_01","obtusangulus","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","688147","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus obtusangulus","C. E. O. Kuntze","s.n.","South America","Bolivia","Santa Cruz","Yapacani [Río Yapacani]",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688147","Magnoliophyta","Poales","Kuntze",NA,"1892","04",NA,"Ichilo",NA,NA,"NY00688147_01","obtusangulus","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","688146","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus obtusangulus","C. E. O. Kuntze","s.n.","South America","Bolivia","Santa Cruz","Yapacani [Río Yapacani]",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688146","Magnoliophyta","Poales","Kuntze",NA,"1892","04",NA,"Ichilo",NA,NA,"NY00688146_01","obtusangulus","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","11780","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus trigonus","G. H. E. W. Hieronymus","s.n.","South America","Argentina","Córdoba","Pr. urbom.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011780","Magnoliophyta","Poales","Kuntze","M. F. Denton","1878","12","16",NA,NA,NA,"NY00011780_01","trigonus","lectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-06 11:42:08-03","UFPI-MRV","HDELTA","5951","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Barbosa, D.O",NA,NA,"Brasil","Piauí","BR-343",NA,NA,NA,NA,NA,"HDELTA005951",NA,NA,"Lam.",NA,"2019","06","05","Parnaíba","-41.7766990661621","-2.90472006797791",NA,NA,NA,"2019","06","19","25571","auto",NA,NA,NA,NA,NA
"17","2020-06-29 11:30:00-03","UFRJ","RFA","21864","PreservedSpecimen","Plantae","Cyperaceae","Chlorocyperus","eragrostis","Chlorocyperus eragrostis","A. A. M. de Barros; K. Tanizaki (6); A. L. Carvalho","73",NA,"Brasil","Rio de Janeiro","Barreto",NA,NA,NA,NA,"Erva ca. 30 cm de altura","RFA51657",NA,NA,"(Lam.) Rikli","Condorcet Aranha","1987","09","05","Niterói","-43.1035995483398","-22.88330078125",NA,NA,NA,"1988","07","11","14785","auto",NA,NA,NA,NA,NA
"18","2020-06-29 11:30:00-03","UFRJ","RFA","40015","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","J.M. Casanova","6",NA,"Brasil","Rio de Janeiro","APA de Grumari",NA,NA,NA,NA,"Herbácea com caule triangular, altura 30 cm, com inflorescência do tipo espigueta com as flores verdes reunidas em glomérulos","RFA43547",NA,NA,"Lam.","J.M. Casanova","2014","11","04","Rio de Janeiro","-43.520278","-23.046389",NA,NA,NA,"2014","11","18",NA,NA,"43º31'13''W","23º2'47''S",NA,NA,NA
"19","2021-03-30 12:51:55-03","EAO","IAN","108267","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Mason, HL; Grant, V","13117",NA,"Estados Unidos","Califórnia","Road to Lake County, 1.6 miles west of Willians. Colusa County.",NA,NA,NA,NA,NA,"IAN108267","Monocotiledônea",NA,"Lam.",NA,"1946","09","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:51:55-03","EAO","IAN","109624","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Irwin, HS; Pires, JM; Westra, LYT","48628",NA,"Guiana Francesa",NA,"Cachoeira Camarauá, About 3Km south of mouth of river Camopi. Growing in pure stands, in sand-filled depressions amog rocks, on river island, inundated during very high water. Frequent.",NA,NA,NA,NA,NA,"IAN109624","Monocotiledônea",NA,"Lam.","Koyama, T","1960","10","03","Oiapoque","-52.316667","3.166667",NA,NA,NA,"1963",NA,NA,NA,NA,"-52.316667","3.166667",NA,NA,NA
"21","2021-03-30 12:51:55-03","EAO","IAN","53397","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Krapovickas, A","2569","Southern America","Argentina",NA,"Buenos Aires. Parque 3 de febrero.",NA,NA,NA,NA,NA,"IAN053397","Monocotiledônea",NA,"Lam.","Barros, M","1945","10","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:51:55-03","EAO","IAN","53398","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Huidobro, AMR","111","Southern America","Argentina",NA,"Provincia Cordoba. Localidad: Rodriguez del Busto.",NA,NA,NA,NA,NA,"IAN053398","Monocotiledônea",NA,"Lam.","Barros, M","1944","02","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:51:58-03","EAO","IAN","45887","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Black, GA","5200",NA,"Estados Unidos","Califórnia",NA,NA,NA,NA,NA,NA,"IAN045887","Monocotiledônea",NA,"Willd.",NA,"1935",NA,NA,"Riverside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:51:58-03","EAO","IAN","47620","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Black, GA","6918",NA,"Estados Unidos","Califórnia",NA,NA,NA,NA,NA,NA,"IAN047620","Monocotiledônea",NA,"Willd.",NA,"1936","09","25","Riverside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:51:58-03","EAO","IAN","47636","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Black, GA","s.n.",NA,"Estados Unidos","Califórnia","Ao Sul do Estado.",NA,NA,NA,NA,NA,"IAN047636","Monocotiledônea",NA,"Willd.",NA,"1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:27:49-03","UFBA","ALCB","029552","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Guedes, ML; Accioly, M","4801","Southern America","Brasil","Bahia","Morro de São Paulo",NA,NA,NA,NA,"Erva: ca. 1,0 m. Espiguetas maduras marrons. Ocasional.; Mata de restinga. Solo areno-argiloso","ALCB017587","Monocotyledon",NA,"Lam.","Araújo, AC","1996","10","26","Cairu","-38.914722","-13.410556","ALCB017587",NA,NA,"1998","11",NA,NA,NA,"-38.914722","-13.410556",NA,NA,NA
"27","2020-02-08 10:13:13-03","NBC","NL-BOTANY","L.3780253","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Pedersen TM",NA,"Southern America","Argentina",NA,"Plantae Argentinae. Paso Córdoba. Dep. General Roca. Prov. Rio Negro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3780253 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3780253",NA,"Poales","Lam.",NA,"1981","12","30",NA,NA,NA,"NL-L3780253",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"28","2020-02-08 10:13:13-03","NBC","NL-BOTANY","WAG.1770233","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Huidobro AMR",NA,"Southern America","Argentina",NA,"Provincia Buenos Aires. Olavarria.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1770233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1770233",NA,"Poales","Lam.",NA,"1944","12","23",NA,NA,NA,"NL-WAG1770233",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"29","2020-02-08 10:13:39-03","NBC","NL-BOTANY","AMD.57395","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Herter WG",NA,"Southern America","Uruguay",NA,"Plantae Uruguayenses. Atahualpa. Ad vias.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.57395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD57395",NA,"Poales","Willd.",NA,"1925","12","01",NA,NA,NA,"NL-AMD57395",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"30","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1299331","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Herter WGF",NA,"Southern America","Uruguay",NA,"Uruguayenses, montevideo - lista de coreros, edaph. lapicidin, loc dic. la paz, departamento de montevideo, republica oriental del uruguay.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1299331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1299331",NA,"Poales","Willd.",NA,"1924","02","01",NA,NA,NA,"NL-U1299331",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"31","2020-02-08 10:13:39-03","NBC","NL-BOTANY","U.1299332","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","vegetus","Cyperus vegetus","Rodriguez",NA,"Southern America","Argentina",NA,"Provincia Bs. Aires.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1299332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1299332",NA,"Poales","Willd.",NA,"1912","11","26",NA,NA,NA,"NL-U1299332",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"32","2020-11-04 11:05:42-03","ESALQ","ESA","118563","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Rodrigues, M.E.F.","19.0",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"ESA118563","Magnoliophyta",NA,NA,"Rodrigues, M.E.F.","2005","04","01","São Bernardo do Campo","-46.560001373291","-23.6900005340576","ESA118563",NA,NA,NA,NA,NA,"31119","auto",NA,NA,NA,NA,NA
"33","2020-11-04 11:05:42-03","ESALQ","ESA","570","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Santoro, J.",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"ESA000570","Magnoliophyta",NA,"Lam.","Killip, E.P.","1936","10","23","Campinas","-47.060001373291","-22.8999996185303","ESA000570",NA,NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA
"34","2020-11-04 11:05:42-03","ESALQ","ESA","118329","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Macedo, C.C.L.","82.0",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"ESA118329","Magnoliophyta",NA,NA,"Macedo, C.C.L.","2009","01","01","Mairiporã","-46.5800018310547","-23.3099994659424","ESA118329",NA,NA,NA,NA,NA,"15840","auto",NA,NA,NA,NA,NA
"35","2019-02-15 11:37:25-02","IPA","IPA","89011","S","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Lima, P.B.; Lima, L.F.; Lima, L.F.","82","Southern America","Brasil","Alagoas","Usina Serra Grande, Aquidaban II.",NA,NA,NA,NA,"Fragmento de Floresta Atlântica.","IPA0089011","Plantae",NA,"Lam.","Costa; Silva, M.B.","2010","10","25","Ibateguara","-35.919444","-8.974722",NA,NA,NA,"2011","04","23",NA,NA,"-35.919444","-8.974722",NA,NA,NA
"36","2019-08-27 13:25:29-03","IAP","PACA-AGP","70252","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Bertels, A.",NA,NA,"Brasil","RS","Seival",NA,NA,NA,NA,"oxhydrophytia.; Herb. PEL 10953","PACA070252","Magnoliophyta","Cyperales","Lam.","Barros","1953","01","16","Bagé","-54.1068992614746","-31.3313999176025",NA,NA,NA,NA,NA,NA,"74087","auto",NA,NA,"Liliatae",NA,NA
"37","2020-12-21 11:49:46-03","IAP","PACA-AGP","59781","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Camargo, O. R.","1339",NA,"Brasil","RS",NA,NA,NA,NA,NA,"Aquênio apiculado e um pouco tipitado. Gluma reticulada. Habitat: In paludosis. Fenofase: flor","PACA059781","Magnoliophyta","Cyperales","Lam.","Matzenauer, W.","1957","04","17","Farroupilha","-51.3478012084961","-29.2250003814697",NA,NA,NA,"2018","09","15","19545","auto",NA,NA,"Liliatae",NA,NA
"38","2020-03-11 15:09:24-03","IAP","PACA-AGP","96881","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Mauhs, J.",NA,NA,"Brasil","RS","Captação água Novo Hamburgo (SI-S)",NA,NA,NA,NA,"HASU 2428.","PACA096881","Magnoliophyta","Cyperales","Lam.","Matzenauer, W.","1992","12","22","Novo Hamburgo","-51.1305999755859","-29.6783008575439",NA,NA,NA,"2018","09","28","20722","auto",NA,NA,"Liliatae",NA,NA
"39","2019-08-27 13:25:29-03","IAP","PACA-AGP","2859","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","C. Orth SJ",NA,NA,"Brasil","RS",NA,NA,NA,NA,NA,"Habitat: In paludosis graminosis. Fenofase: flor e fruto","PACA002859","Magnoliophyta","Cyperales","Lam.","Emrich-Rambo","1937","12","15","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,NA,"1954","07","23","29946","auto",NA,NA,"Liliatae",NA,NA
"40","2019-08-27 13:25:29-03","IAP","PACA-AGP","58703","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Camargo, O. R.","68",NA,"Brasil","RS","Esta. Silvicultura",NA,NA,NA,NA,"SEM MATERIAL Habitat: in paludosis graminosis alte Fenofase: flor","PACA058703","Magnoliophyta","Cyperales","Lam.","Emrich-Rambo","1956","03","01","Santa Maria","-53.8069000244141","-29.6842002868652",NA,NA,NA,"1957","05","06","37819","auto",NA,NA,"Liliatae",NA,NA
"41","2020-12-21 11:49:46-03","IAP","PACA-AGP","2914","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Baglione",NA,NA,"Brasil","RS",NA,NA,NA,NA,NA,"Acho que não é C. virens. O caule não tem escabrosidade tornea do fruto diferente dos outros exemplares. Habitat: In humidis graminosis. Fenofase: flor e fruto","PACA002914","Magnoliophyta","Cyperales","Lam.","Matzenauer, W.","1942",NA,NA,"São Borja","-56.0043983459473","-28.6606006622314",NA,NA,NA,"2018","09","28","75549","auto",NA,NA,"Liliatae",NA,NA
"42","2019-08-27 13:25:29-03","IAP","PACA-AGP","106603","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Consoni & Pereira",NA,NA,"Brasil","RS","Arroio Capivara.",NA,NA,NA,NA,NA,"PACA106603","Magnoliophyta","Cyperales","Lam.","Hefler, S.M.","1998","09","19","Triunfo","-51.7181015014648","-29.9433002471924",NA,NA,NA,"2002","12","29","41194","auto",NA,NA,"Liliatae",NA,NA
"43","2019-08-27 13:25:29-03","IAP","PACA-AGP","9857","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","Rambo, B.",NA,NA,"Brasil","RS",NA,NA,NA,NA,NA,"det. (Emrich-Rambo 23.07.1954): Cyperus virens Michx. Habitat: In paludosis alte dumetosis. Fenofase: flor e fruto","PACA009857","Magnoliophyta","Cyperales","Lam.","A. C. Araujo","1942","01","29","Tupanciretã","-53.8358001708984","-29.0806007385254",NA,NA,NA,"1990","10","24","59498","auto",NA,NA,"Liliatae",NA,NA
"44","2018-06-27 12:59:35-03","ASU","ASU-PLANTS","ASU0006436","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","C. M. Taylor;","10203",NA,"Chile","Biobio","Concepcion Province Hills above and behind the University of Concepcion","100",NA,NA,NA,"Occasional, densely cespitose, spikelets green.",NA,"Magnoliophyta","Poales","Lam.","Gordon Tucker","1990","11","18",NA,"-73.0333","-36.8167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-07 11:42:35-03","UFMS","CGMS","23036","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","F. Matos-Alves; A.L.B. Sartori; G.M. Silva","391",NA,"Brasil","Mato Grosso do Sul","Fazenda Agro-Comercial Aubi (ex-São Roque).",NA,NA,NA,NA,"Flor verde. Habitat: Chaco (Savana Estépica Arbórea, sendo IBGE). Habito: Erva. 0,20m de comprimento.","CGMS1052443",NA,NA,"Lam.","F.J.M. Caporal","2007","05","09","Porto Murtinho","-57.6880555","-21.6844444",NA,NA,NA,NA,NA,NA,NA,NA,"-57,6880555","-21,6844444",NA,NA,NA
"46","2021-04-07 11:42:35-03","UFMS","CGMS","7043","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","V.J. Pott; P. Robson; C. Rosso; H. Araújo","3826",NA,"Brasil","Mato Grosso do Sul","Fazenda Cabeceira do Formoso, próximo 200 m à nascente do Rio Formoso, ± 50 km de Bonito.","350","350",NA,NA,"A mesma espécie ocorre na entrada da nascente (1ª) com clareira (barranco pouco perturbado). Habitat: Borda de barranco de rio altamente calcário. Solo orgânico sobre sedimento calcário xaraés e conchas. Relevo levemente inclinado. O","CGMS1017076",NA,NA,"Lam.","S.M. Hefler","1998","12","03","Bonito","-56.55","-21.25",NA,NA,NA,"2005","11","07",NA,NA,"-56,55","-21,25",NA,NA,NA
"47","2021-04-07 11:42:35-03","UFMS","CGMS","74079","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","N.C. Bueno; V.J. Pott, A. Pott & J. Ratter","217",NA,"Brasil","Mato Grosso do Sul","Estrada para Forte Coimbra a 15 Km da BR-262, lado direito, sentido Morrinho-Corumbá.","100","100",NA,NA,"CPAP - 8283. Habitat: Aquático. Solo calcário. Relevo plano. Habito: Erva 50 cm de altura. Freqüente.","CGMS1106945",NA,NA,"Lam.","Sônia M. Hefler","1991","01","27","Corumbá","-57.4833333","-19.45",NA,NA,NA,"2005","11","07",NA,NA,"-57,4833333","-19,45",NA,NA,NA
"48","2021-04-07 11:42:35-03","UFMS","CGMS","74086","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","eragrostis","Cyperus eragrostis","A. Pott; V.J. Pott","4143",NA,"Brasil","Mato Grosso do Sul","Fazenda Coqueiro, estrada para Forte Coimbra, Pantanal.","90","90",NA,NA,"CPAP - 4921. Habitat: Vegetação de Chaco, eventualmente alagável. Solo argiloso mal drenado. Relevo plano com microrelevo. Habito: Erva cespitosa. Ocasional.","CGMS1106952",NA,NA,"Lam.","Sônia M. Hefler","1988","05","02","Corumbá","-57.8166667","-19.3333333",NA,NA,NA,"2005","11","07",NA,NA,"-57,8166667","-19,3333333",NA,NA,NA
