"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","typeStatus","sex"
"11","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1463339","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.",NA,"Harley RM; et al.",NA,"1980","03","23","Southern America","Brazil",NA,"Estado da Bahia. Serra do Sincorá. 3-13km W. of Barra da Estiva on the road to Jussiape.","-41.416667","-13.666667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1463339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1463339","NL-U1463339",NA,"Magnoliopsidae","-41.416667","-13.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:48-03","MN","R","13833","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pansarin, E.R.","Gehrt, A.",NA,"1921","03","07",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"S. Botanica M. Paulista",NA,NA,NA,NA,NA,NA,"2005","05",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:48-03","MN","R","198379","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pansarin, E.R.","Luetzelburg, P. von","21869","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005","02",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:40:48-03","MN","R","3491","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pansarin, E.R.","Ule, E.H.G.","287","1894","03",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005","02",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-31 13:40:48-03","MN","R","3492","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pansarin, E.R.","Ule, E.H.G.",NA,"1892","04",NA,NA,"Brasil","Minas Gerais",NA,"-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,NA,"Itabirito",NA,NA,NA,"2005","02","20553","auto",NA,NA,NA,NA,NA
"16","2021-03-31 13:40:48-03","MN","R","121737","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pansarin, E.R.","Araujo, H.S.","124","1954",NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"Ouro Preto",NA,NA,NA,"2005","02","44599","auto",NA,NA,NA,NA,NA
"17","2016-02-02 14:38:42-02","BGBM","B","B 10 0057632","S","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis",NA,NA,"Campos Porto","2811 / 282",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100057632 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100057632","B100057632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-02-02 14:38:42-02","BGBM","B","B 10 0057633","S","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis",NA,NA,"Campos Porto","2811 / 282",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100057633 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100057633","B100057633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-02-15 11:46:52-02","IPA","IPA","51183","S","Plantae","Plantae",NA,"Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.",NA,"Harley, R.M.","20803","1980","03","23","Southern America","Brasil","Bahia","Serra do Sincorá, W of Barra da Estiva on the road to Jussiape.","-41.416667","-13.666667","1000","1300",NA,"Ground orchid with single stems up to about 80cm often less. Stems and leaves glaucous green; flowers deep rose-pink never opening widely; labellum bright yellow.; Low grassland with scattered woodland & small streams on white qua","IPA0051183",NA,NA,NA,"-41.416667","-13.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:40:39-03","UFJF","CESJ","62686","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","L. Menini Neto","A. Cabral; L. Menini Neto; S.G. Furtado; M.Lima","38","2013","02","10","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Borda da mata de Araucária (Serra do Cambuí), na transição entre a floresta ombrófila mista e o campo de altitude.","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Erva terrícola. Folhas levemente discolores com face adaxial acinzentada. Pétalas e sépalas róseas. Labelo com centro amarelo.","CESJ062686",NA,"Baependi",NA,NA,NA,"2013","07","29865","auto",NA,NA,NA,NA,NA
"21","2019-11-21 14:40:39-03","UFJF","CESJ","48827","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","N.L. Abreu","N.L. Abreu; K. Antunes; P.L. Viana; F.S. Souza; N.F.O. Mota; T.E. Almeida; A.M. Teles; B.No","173","2007","04","10","América do Sul","Brasil","Minas Gerais","Serra Negra, Região do Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Erva terrestre no campo. Botão floral róseo.","CESJ048827",NA,"Rio Preto",NA,NA,NA,"2007","05","20815","auto",NA,NA,NA,NA,NA
"22","2019-11-21 14:40:39-03","UFJF","CESJ","63361","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","L. Menini Neto","L. Menini Neto; S.G. Furtado","1113","2013","02","09","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista, próximo ao Centro de Apoio ao Pesquisador. A ca. 1700 m.s.m.","-44.8899993896484","-21.9589004516602","1700","1700",NA,"Terrícola, na Floresta Ombrófila Mista, em ambiente úmido. Folhas discolores, flores com sépalas e pétalas róseas, labelo lilacíneo com mácula amarela central.","CESJ063361",NA,"Baependi",NA,NA,NA,"2013","09","29865","auto",NA,NA,NA,NA,NA
"23","2021-03-01 16:20:09-03","UNICAMP","UEC","117489","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Simões, AO","832","2001","02","14",NA,"Brazil","Minas Gerais","Estrada de terra sentido Serro-Milho Verde, a cerca de 10 km de Serro.",NA,NA,NA,NA,NA,"Em borda de riacho, entre gramíneas e arbustos, solo úmido e muito escuro.","UEC017571","UEC017571","Milho Verde",NA,NA,NA,"2005","05",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:20:09-03","UNICAMP","UEC","12375","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Gibbs, PE; Abbott, JR; Andrade, JB","s.n.","1977","05","13",NA,"Brazil","Minas Gerais","Serra do Cabral, 85km N de Corinto. Estrada para Joaquim Felício.",NA,NA,NA,NA,NA,"Pétalas lilás-roxas, labellum com manchas-estrias escuras.; Cerrado. Campo rupestre.","UEC017607","UEC017607",NA,NA,NA,NA,"2005","02",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:20:09-03","UNICAMP","UEC","129633","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1019","2003","03","06",NA,"Brazil","Rio de Janeiro","Reserva do David Miller, barrancos e áreas perturbadas ca. 2 km da casa.",NA,NA,NA,NA,NA,"Flor montada antes da antese.","UEC017566","UEC017566","Macaé de Cima",NA,NA,NA,"2005","05",NA,NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:00:37-03","UNICAMP","UEC","134128","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Mickeliunas, L; Pansarin, ER","46","2004","01","22",NA,"Brazil","Minas Gerais","Parque Estadual de Ibitipoca, no fim da trilha que leva a Prainha, em barranco ao lado do Rio.",NA,NA,NA,NA,NA,NA,"UEC017580","UEC017580","Conceição de Ibitipoca",NA,NA,NA,"2005","05",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:20:09-03","UNICAMP","UEC","157817","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Matsumoto, K; Gonçalves, APS; Belinello, R","780","2002","03","08",NA,"Brazil","Rio de Janeiro","Estrada para Macaé de Cima, Em barranco.","-42.490694","-22.385583","1155","1155",NA,"Flores branco róseas.","UEC015718","UEC015718",NA,NA,"-42.490694","-22.385583","2002","09",NA,NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:00:37-03","UNICAMP","UEC","129650","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1002","2003","03","02",NA,"Brazil","Minas Gerais","Estrada de terra que liga Itamonte a Alagoa, em barrancos úmidos as margens da estrada.","-44.6418991088867","-22.1706008911133",NA,NA,NA,NA,"UEC017579","UEC017579","Alagoa",NA,NA,NA,"2005","05","13155","auto",NA,NA,NA,NA,NA
"29","2019-08-20 10:00:37-03","UNICAMP","UEC","129651","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1001","2003","03","02",NA,"Brazil","Minas Gerais","Estrada de terra que liga Itamonte a Alagoa, em barrancos úmidos as margens da estrada.","-44.6418991088867","-22.1706008911133",NA,NA,NA,NA,"UEC017569","UEC017569","Alagoa",NA,NA,NA,"2005","05","13155","auto",NA,NA,NA,NA,NA
"30","2021-03-01 16:20:09-03","UNICAMP","UEC","105571","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Feres, FR; Crespo, S; Belinello, R","99/63","1999","03","05",NA,"Brazil","Minas Gerais","BR 367, sentido Diamantina - Couto de Magalhães de Minas, km 578, afloramento rochoso ao lado direito da estrada.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Perianto lilás.; Em solo encharcado, perianto lilás.","UEC017570","UEC017570","Diamantina",NA,NA,NA,"2005","05","101169","auto",NA,NA,NA,NA,NA
"31","2019-08-20 10:00:37-03","UNICAMP","UEC","110437","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER","698","2000","02","02",NA,"Brazil","São Paulo","Pedra Grande.","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"UEC017572","UEC017572","Atibaia",NA,NA,NA,"2005","02","21675","auto",NA,NA,NA,NA,NA
"32","2019-08-20 10:00:37-03","UNICAMP","UEC","129063","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","987","2003","01","26",NA,"Brazil","Paraná","BR 116, Km 30, Serra do Capivari, estrada com entrada no Posto Alpino, pico ao leste da torre da Embratel.","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"UEC017565","UEC017565","Campina Grande do Sul",NA,NA,NA,"2005","02","55154","auto",NA,NA,NA,NA,NA
"33","2021-03-01 16:20:09-03","UNICAMP","UEC","129628","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1025","2003","03","07",NA,"Brazil","Rio de Janeiro","Estrada que liga Teresópolis a Petrópolis, na Serra dos Orgãos.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Flor montada antes da antese. A partir do botão floral.","UEC017564","UEC017564","Teresópolis",NA,NA,NA,"2005","02","38539","auto",NA,NA,NA,NA,NA
"34","2019-08-20 10:00:37-03","UNICAMP","UEC","137652","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER","1169","2005","02","01",NA,"Brazil","São Paulo","Pedra Grande","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"UEC064543","UEC064543","Atibaia",NA,NA,NA,"2005","05","21675","auto",NA,NA,NA,NA,NA
"35","2019-08-20 10:00:37-03","UNICAMP","UEC","129081","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","963","2003","01","15",NA,"Brazil","São Paulo","Pedra Grande","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"UEC064547","UEC064547","Atibaia",NA,NA,NA,"2005","05","21675","auto",NA,NA,NA,NA,NA
"36","2019-08-20 10:00:37-03","UNICAMP","UEC","122527","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","908","2002","01","24",NA,"Brazil","São Paulo","Pedra Grande","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"UEC064546","UEC064546","Atibaia",NA,NA,NA,"2005","05","21675","auto",NA,NA,NA,NA,NA
"37","2019-08-20 10:00:37-03","UNICAMP","UEC","134131","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Pansarin, ER","Pansarin, ER; Mickeliunas, L","1123","2004","02","13",NA,"Brazil","São Paulo","Pedra Grande, Nas Ilhas de Vegetação.","-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"UEC064548","UEC064548","Atibaia",NA,NA,NA,"2005","05","21675","auto",NA,NA,NA,NA,NA
"38","2021-03-01 16:20:09-03","UNICAMP","UEC","42609","S","Plantae","Liliopsida",NA,"Orchidaceae","Cleistes","ionoglossa","Cleistes ionoglossa","Hoehne & Schltr.","Harley, RM","Harley, RM; et al.","20803","1980","03","23",NA,"Brazil","Bahia","Serra do Sincorá, 3-13km W. of Barra da Estiva on the road to Jussiape.","-41.416667","-13.666667","1000","1300",NA,"Ground orchid with single stems up to about 80cm. often less. Stems and leaves glaucous green. Flowers deep rose-pink never opening widely. Labellum bright yellow.; This plant growing on slopes of sandstone ridge. Low grassland with sc","UEC017461","UEC017461","Barra da Estiva",NA,"-41.416667","-13.666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-06 09:56:49-03","UFOP","OUPR","24901","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.","Vieira, T.L.","Cândido, E.S.; Silva, J.L. & Vitor, B.","365","2010","03","26",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Estrada da subida para Fazendo do Manso","-43.510417","-20.414806","1245","1245",NA,"Herbacea 30-40cm. Pétalas róseas com ápice roxo escuro. Labelo com centro amarelo e margem roxa. Sepalas róseas. Coletado na beira da estrada. Floresta",NA,NA,"Ouro Preto",NA,"-43.510417","-20.414806","2015","01",NA,NA,"27",NA,NA,NA,NA
"40","2020-12-21 16:38:19-03","MBM","MBM","9597","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pabst, G.","Hatschbach, G.","21211","1969","03","06","Southern America","Brazil","Paraná","Serra Capivari Grande","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Terrícola.","MBM009597","MBM009597","Campina Grande do Sul",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
"41","2020-12-21 16:38:19-03","MBM","MBM","34480","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb. Rodr.) Schltr.","Pabst, G.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36562","1975","02","08","Southern America","Brazil","Minas Gerais","São Tomé das Letras, arredores","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Terrícola.","MBM034480",NA,"São Tomé das Letras",NA,NA,NA,NA,NA,"16076","auto",NA,NA,NA,NA,NA
"42","2015-09-04 15:19:34-03","MNHN","RECOLNAT_MNHN_P","P00367150","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cleistes","rodriguesii","Cleistes rodriguesii","(Cogn.) Campacci",NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00367150' target='other'> <mi>dwc_moreinfo</mi></a>","P00367150","P00367150_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1187",NA,NA,NA
"43","2020-12-11 11:44:24-03","UFMG","BHCB","119652","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.",NA,"Batista, JAN","1974","2007","03","08","Southern America","Brasil","Minas Gerais","Serra da Moeda, Entrada para Moeda, cerca de 33 km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR-040. Morros a esquerda da pista em direção a Moeda, cerca de 1 km após o entroncamento com a BR-040.","-43.95775","-20.273972","1466","1466",NA,"Erva terrestre, em campo limpo em encosta. Solo areno-argiloso, ligeiramente úmido. Área queimada durante a seca.",NA,NA,"Moeda",NA,"-43.95775","-20.273972",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:44:24-03","UFMG","BHCB","120277","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.",NA,"Batista, JAN; Borba, EL; Oliveira, HO; Lau, BL","2596","2008","02","27","Southern America","Brasil","Minas Gerais","Serra da Moeda. Entrada para Moeda, cerca de 33 km","-43.950417","-20.28625","1420","1420",NA,"Erva terrestre, em barranco associado com campo limpo seco em encosta com campo rupestre.",NA,NA,"Moeda",NA,"-43.950417","-20.28625",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:44:24-03","UFMG","BHCB","134699","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.",NA,"Carvalho, BM de","25","2009","02","19","Southern America","Brasil","Minas Gerais","Serra do Caraça, Próximo entrada do Santuário do Caraça","-43.490111","-20.040444","792","792",NA,"Erva terrestre, em barranco de borda de mata.",NA,NA,"Catas Altas",NA,"-43.490111","-20.040444",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-11 11:44:24-03","UFMG","BHCB","190935","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.",NA,"Vidal, CV","s.n.","2018","04","25","Southern America","Brasil","Minas Gerais","Complexo Germano","-43.535556","-20.161667","1422","1422",NA,"Campo Rupestre sobre Canga","BHCB190935",NA,"Mariana",NA,"-43.535556","-20.161667","2018","10",NA,NA,"25",NA,NA,NA,NA
"47","2021-03-19 17:59:23-03","UFMG","BHCB","195274","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cleistes","gracilis","Cleistes gracilis","(Barb.Rodr.) Schltr.",NA,"Batista, JAN; Lustre, GMC","3501","2018","02","01","Southern America","Brasil","São Paulo","Parque Nacional da Serra da Bocaina, Estrada para o parque.","-44.629722","-22.698333",NA,NA,NA,"Erva terrestre. Ocasional. Em plena floração. Sépalas lilázes; pétalas rosa com ápice arroxeado; labelo branco com estrias arroxeadas, lobo terminal roxo escuro, crista amarela. Ovário verde, coluna branco-roseada, antera roxo claro,","BHCB195274",NA,"São José do Barreiro",NA,"-44.629722","-22.698333","2018","02",NA,NA,"01",NA,NA,NA,NA
