"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","fieldNumber","typeStatus"
"12","2020-12-21 16:23:31-03","MBM","MBM","408532","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Sauthier, L.J.","Romero, R.; Nakajima, J.N.; Nakajima, J.N.","6128","2001","04","02","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada para Serra do Cabral, ca. 20km NE da cidade.","-44.268889","-17.698056",NA,"Planta, ca. 0,5m. Flores alvas.; Campo rupestre, solo arenoso.","MBM408532","MBM408532","1161","1161","2018",NA,NA,"-44.268889","-17.698056","08","17",NA,NA,NA,NA
"13","2020-12-21 16:23:31-03","MBM","MBM","296719","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Trovó, M.I.O.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77492","2004","06","07","Southern America","Brazil","Minas Gerais","Joaquim Felício","Derra do Cabral, entre o Rio Embaiassaia e o Rio Preto","-44.1721992492676","-17.7574996948242",NA,"Campop rupestre, solo arenoso","MBM296719","MBM296719",NA,NA,"2010","37503","auto",NA,NA,"03","26",NA,NA,NA,NA
"14","2020-12-21 16:23:31-03","MBM","MBM","334647","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Trovó, M.I.O.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","80021","2007","08","16","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,"Ereta, flor alva. Solo arenoso e úmido; campo rupestre","MBM334647","MBM334647",NA,NA,"2010","37503","auto",NA,NA,"03","26",NA,NA,NA,NA
"15","2020-12-11 11:43:57-03","UFMG","BHCB","188496","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silva, BMR; Santos, TR; Cruz, FVS; Gonçalves, AS; Bicalho, EM; Garcia, QS","s.n.","2017","06","27","Southern America","Brasil","Minas Gerais","Buenópolis","Parque Estadual da Serra do Cabral","-44.269056","-17.885639",NA,"Arbustiva. Inflorescências umbelares e pequenas.; Cerrado. Campo rupestre. Campo arenoso argiloso.","BHCB188496",NA,"1174","1174","2017",NA,NA,"-44.269056","-17.885639","10","19",NA,NA,NA,NA
"16","2020-12-11 11:43:57-03","UFMG","BHCB","168988","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Magalhães, M","6020","1953","12","13","Southern America","Brasil","Minas Gerais","Buenópolis","Serra do Cabral","-44.1800003051758","-17.8733005523682",NA,"Subarbusto 0,60 m de altura.; Campo com cascalho de quartzo fragmentado (seco).","BHCB013318",NA,"1000","1000","2014","42854","auto",NA,NA,"04","30",NA,NA,NA,NA
"17","2020-12-11 11:44:03-03","UFMG","BHCB","38399","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","cabralensis","Paepalanthus cabralensis","Silveira",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:44:03-03","UFMG","BHCB","63195","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","cabralensis","Paepalanthus cabralensis","Silveira",NA,"Magalhães, GM","6020","1953","12","13","Southern America","Brasil","Minas Gerais","Buenópolis","Serra do Cabral","-44.1800003051758","-17.8733005523682",NA,NA,NA,NA,"1000","1000",NA,"42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-08-13 05:50:00-03","MO","MOBOT","3040949","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","P.T. Sano","R.M. Harley","Harley 24995","1988","10","13","South America","Brazil","Minas Gerais",NA,"Mun. Buenópolis. Serra do Cabral, a 10-15 km da cidade na estrada para a Lapa Pintada. Campo arenoso e brejo com mata de galeria. Capítulos alvos. Em solo arenoso. N.v. chuveirinho.","-44.25","-17.8833333",NA,NA,NA,NA,"1100.00000000","1200.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-06-15 15:30:17-03","UNESP-RC","HRCB","33803","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Sano, P.T.","Sano, P.T.","s.n.","1994","03","20",NA,"Brasil","Minas Gerais","Augusto de Lima","Serra do Cabral","-44.328056","-18.011111",NA,"Plantas até 1m alt.; em solo arenoso entre gramíneas. Indivíduos vegetativos com roseta basal presente, férteis com roseta ausente. Presença de vários brotamentos na base do caule. População com muito",NA,NA,"1000","1000","1998",NA,NA,"44º19'41W","18º00'40S","06",NA,NA,NA,NA,NA
"21","2020-08-26 10:08:45-03","UFMA","BMA","1807","PreservedSpecimen","Plantae",NA,"Poales","Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano DD",NA,"Elidio A.E Guarçoni 2520; Marcos A. Sartoni & Renato Costa",NA,"2017","02","17",NA,"Brasil","MG","Buenópolis","Fazenda Vitória, Ribeirão da Prata.","-44.354722","-17.921667",NA,"Área antropizada. Área de turfa. Comum.",NA,NA,"1114","1114",NA,NA,NA,"44°21'17W","17°55'18S",NA,NA,NA,NA,NA,NA
"22","2018-04-04 16:46:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis",NA,"RRC ID Flag","G. Hatschbach","64212",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae","64212",NA
"23","2019-05-06 11:55:19-03","UFU","HUFU","25090","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Echternacht, L.","Romero, R.; Nakajima, J.N.","6128","2001","04","02",NA,"Brasil","Minas Gerais","Joaquim Felício","Estrada para Serra do Cabral, Ca. de 20 km NE da cidade.","-44.1721992492676","-17.7574996948242",NA,"Planta ca. de 0,5 m. Flores alvas.; Campo rupestre. Solo arenoso.","HUFU00029073","HUFU00029073",NA,NA,"2015","37503","auto",NA,NA,"08",NA,NA,NA,NA,NA
"24","2019-05-06 11:55:19-03","UFU","HUFU","72529","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Echternacht, L.","Oliveira, L.F.A.; Romero, R.; Versiane, A.F.A.; Castro, M.S. & Caetano, A.P.","78","2016","06","16",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada Real, a 9 km de Joaquim Felício.","-44.192222","-17.708611",NA,"Brácteas amarronzadas, flores alvas.; Campo Rupestre.","HUFU00060262","HUFU00060262","922","922","2016",NA,NA,"-44.192222","-17.708611","08","19",NA,NA,NA,NA
"25","2021-02-23 13:22:06-03","MN","R-TIPOS","139226a","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silveira, A.A.","HS - 592","1910","05",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cabral",NA,NA,NA,NA,"R000139226a","R000139226a_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus de Paepalanthus cabralensis Silveira"
"26","2021-02-23 13:22:06-03","MN","R-TIPOS","139226c","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silveira, A.A.","HS - 592","1910","05",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cabral",NA,NA,NA,NA,"R000139226c","R000139226c_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus de Paepalanthus cabralensis Silveira"
"27","2021-02-23 13:22:06-03","MN","R-TIPOS","139226b","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silveira, A.A.","HS - 592","1910","05",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cabral",NA,NA,NA,NA,"R000139226b","R000139226b_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus de Paepalanthus cabralensis Silveira"
"28","2021-02-23 13:22:06-03","MN","R-TIPOS","139226d","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silveira, A.A.","HS - 592","1910","05",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cabral",NA,NA,NA,NA,"R000139226d","R000139226d_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus de Paepalanthus cabralensis Silveira"
"29","2021-02-23 13:22:06-03","MN","R-TIPOS","139226","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano",NA,"Silveira, A.A.","HS - 592","1910","05",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cabral",NA,NA,NA,NA,"R000139226","R000139226_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotypus de Paepalanthus cabralensis Silveira"
"30","2020-08-20 14:59:21-03","UFSC","FLOR","30308","PreservedSpecimen","Plantae",NA,"Poales","Eriocaulaceae","Paepalanthus","cabralensis","Paepalanthus cabralensis","Silveira","Bautista, H.P.; Almeida, E.F.","Bautista, H.P.","637","1982","05","24",NA,"Brasil","Minas Gerais","Várzea da Palma","Serra do Cabral, estrada que liga Várzea da Palma a Joaquim Felício.","-44.966667","-17.583333",NA,"erva ereta, ramificada na base, flor várias umbelas de capítulos. Folha SE.23-X-C; ponto 306; muito freqüente","FLOR0030308",NA,"1000","1000",NA,NA,NA,"44º58'W","17º35'S",NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:03:37-03","IBt","SP","204836","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Ramos, R","Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72671","1985","07","07",NA,"Brasil","Minas Gerais","Joaquim Felício",NA,"-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,NA,NA,"2017","37503","auto",NA,NA,"03","21",NA,NA,NA,NA
"32","2019-11-21 10:03:37-03","IBt","SP","203719","S","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","cabralensis","Actinocephalus cabralensis","(Silveira) Sano","Ramos, R","Wanderley, MGL; Cerati, TM; Kral, R","813","1985","07","07",NA,"Brasil","Minas Gerais","Joaquim Felício","Serra do Cabral, Armazem da Lage, ca. 15 km NNW de Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"1000","1000","2017","37503","auto",NA,NA,"03","21",NA,NA,NA,NA
