"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"17","2016-11-07 11:39:00-02","NY","NYBG","01091851","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","J. R. Pirani","CFCR11337","1987","11","02","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264642' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091851","Magnoliophyta","Fabales",NA,"Grão Mogol","Bacia do Córrego Escurona","-42.9633","-16.595","750","800","NY01091851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1040190","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","W. Mantovani","1517","1980","12","23","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502851' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040190","Magnoliophyta","Fabales","Vogel","Moji-Guaçu","Martinho Prado, Reserva Biologica da Fazenda Campininha","-47.164784","-22.242395",NA,NA,"NY01040190_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-11-02 13:33:00-02","NY","NYBG","1040262","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","A. F. M. Glaziou","13724",NA,NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503116' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040262","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,"NY01040262_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-11-02 13:31:00-02","NY","NYBG","1040230","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. C. de Mendonça","1215","1989","02","28","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502950' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040230","Magnoliophyta","Fabales",NA,NA,"BR - 365 (Uberlândia - Patos de Minas)","-46.9153","-18.885",NA,NA,"NY01040230_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-11-02 13:32:00-02","NY","NYBG","1040235","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. Souza","6835","1968","09","03","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502964' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040235","Magnoliophyta","Fabales",NA,NA,"Base Camp Square, R 11, near 'Terra preta camp'.","-51.77","-12.82",NA,NA,"NY01040235_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-10-19 10:50:00-02","NY","NYBG","1040424","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","N. T. da Silva","57183","1963","10",NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504986' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040424","Magnoliophyta","Fabales",NA,NA,"Probably in or near the Distrito Federal or Goiás, further field data is lacking.",NA,NA,NA,NA,"NY01040424_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-11-02 13:35:00-02","NY","NYBG","1040289","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","L. Riedel","1125","1827","09",NA,"South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040289","Magnoliophyta","Fabales",NA,NA,"In campis siccis Cuyaba.","-56.043867","-15.612755",NA,NA,"NY01040289_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-10-28 16:24:00-02","NY","NYBG","00982578","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","B. M. T. Walter","925","1991","12","09","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982578","Magnoliophyta","Fabales",NA,"Minaçú","Em frente ao antigo viveiro da UHE Serra da Mesa; mais ou menos 5 Km da entrada norte do canteiro de obras. Área de infuência da UHE Serra da Mesa.","-48.28","-13.8","500","500","NY00982578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-11-02 13:31:00-02","NY","NYBG","1040234","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","N. T. da Silva","57725","1963","11","08","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502962' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040234","Magnoliophyta","Fabales",NA,NA,"258 km de Anápolis para Belém",NA,NA,"220","220","NY01040234_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-11-02 13:34:00-02","NY","NYBG","1040284","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","B. A. S. Pereira","3343","1997","01","15","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503198' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040284","Magnoliophyta","Fabales",NA,"Posse","Km 2 da estrada de Posse/Alvorada do Norte.","-46.17","-14.08","800",NA,"NY01040284_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1040341","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","H. S. Irwin","20347","1968","02","17","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504655' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040341","Magnoliophyta","Fabales","Vogel",NA,"Serra do Cipó, ca. km. 105 (ca. 130km N. of Belo Horizonte).","-43.4","-19","1150","1150","NY01040341_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-11-02 13:34:00-02","NY","NYBG","1040266","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","J. H. Kirkbride Jr.","5414a","1983","10","11","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503124' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040266","Magnoliophyta","Fabales",NA,"Brasília","Entre DF 6 e Córrego Fazendinha.","-47.88","-15.77","1000","1000","NY01040266_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1040120","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. M. Harley","11079","1968","11","15","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040120","Magnoliophyta","Fabales","Vogel",NA,"Olaria, near Xavantina.","-52.23","-14.63",NA,NA,"NY01040120_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1040121","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. M. Harley","16497","1974","02","27","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040121","Magnoliophyta","Fabales","Vogel","Senhor do Bonfim","Serra da Jacobina, 8 km N of Senhor do Bonfim on the BA 130 to Juazeiro, on side road from Carrapichel towards the Serra","-40.25","-10.38","600","600","NY01040121_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-11-02 13:33:00-02","NY","NYBG","1040256","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","A. P. Duarte","5723","1961","11","01","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503099' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040256","Magnoliophyta","Fabales",NA,"Unaí","Fazenda do Chupador.","-46.9061","-16.3575",NA,NA,"NY01040256_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-11-02 13:37:00-02","NY","NYBG","1040358","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","E. P. Heringer","9394","1955","04","28","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040358","Magnoliophyta","Fabales",NA,"Paraopeba","Paraopeba","-44.4042","-19.2744",NA,NA,"NY01040358_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1040118","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. M. Harley","11046","1968","11","12","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040118","Magnoliophyta","Fabales","Vogel",NA,"Near Xavantina.","-52.23","-14.63",NA,NA,"NY01040118_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-11-02 13:34:00-02","NY","NYBG","1040278","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. C. de Mendonça","2171","1994","10","24","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040278","Magnoliophyta","Fabales",NA,"Vila Propício","Chapada dos Veadeiros - Estrada de Chao entre Goianesia e Vila Propicio. 18 km de Goianesia.","-48.9661","-15.3853",NA,NA,"NY01040278_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00982577","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","E. P. Heringer","385","1978","03","06","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982577","Magnoliophyta","Fabales","Vogel","Brasília","Picada 5. Reserva Ecológica do IBGE","-47.9294","-15.7797",NA,NA,"NY00982577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-11-02 13:27:00-02","NY","NYBG","1040167","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","O. Handro","823","1958","11","20","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040167","Magnoliophyta","Fabales",NA,"Moji-Guaçu","Reserva Florestal, perto de Padua Sales",NA,NA,NA,NA,"NY01040167_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-11-02 13:33:00-02","NY","NYBG","1040253","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","L. Cobra","112-61","1961","12",NA,"South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503088' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040253","Magnoliophyta","Fabales",NA,"Brasília","Vargem Bonita.","-47.9297","-15.7797",NA,NA,"NY01040253_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1040119","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","R. M. Harley","10864","1968","10","26","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040119","Magnoliophyta","Fabales","Vogel",NA,"R12, c. 5 km. S. of base camp.","-51.77","-12.82",NA,NA,"NY01040119_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","777552","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","N. Roque","s.n.","1994","03","05","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777552","Magnoliophyta","Fabales","Vogel","Rio de Contas","Ca. 7 km da cidade, em direçao ao vilarejo de Bananal","-41.8536","-13.5272","1200","1250","NY00777552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-11-02 13:34:00-02","NY","NYBG","1040280","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","F. C. A. Oliveira","452","1995","12","12","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040280","Magnoliophyta","Fabales",NA,"Niquelândia","Fazenda Traíras. Estrada de chão no Km 8 da rodovia Niquelândia/ Uruaçú.","-48.5572","-14.4886",NA,NA,"NY01040280_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-10-19 10:50:00-02","NY","NYBG","00982503","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","B. M. T. Walter","4073","1998","01","29","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982503","Magnoliophyta","Fabales",NA,"Colinas do Sul","Vale do Rio Tocantinzinho (próximo à foz). Reservatório em formação do AHE Serra da Mesa- Segmento IV","-48.28","-13.93","440","440","NY00982503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1040336","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","dasycarpum","Leptolobium dasycarpum","H. S. Irwin","8341","1965","09","15","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1504639' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040336","Magnoliophyta","Fabales","Vogel","Brasília","Córrego Jeriva, ca. 10 km E. of Brasília","-47.82337","-15.7833","975","975","NY01040336_01","R. Schütz Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
