"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"12","2021-02-11 17:17:57-03","UFPR","UPCB","4902","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Matelea","glaziovii","Matelea glaziovii","(Fourn.) G.Morillo","Fontella Pereira, J.","Hatschbach, G.","8632","1961","11","12",NA,"Brasil","Paraná","Campina Grande do Sul","Jaguatirica","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Liana lacticífera, pétalas verdes. Orla da mata..",NA,NA,"1986",NA,NA,NA,"12","11","55154","auto",NA,NA,NA
"13","2021-02-11 17:17:57-03","UFPR","UPCB","4888","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Matelea","glaziovii","Matelea glaziovii","(Fourn.) G.Morillo","Fontella Pereira, J.","Hatschbach, G.","7409","1960","11","06",NA,"Brasil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,"Volúvel, lacticífera, flor verde. Da mata pluvialda encosta da serra..",NA,NA,"1986",NA,NA,NA,"11","11","41937","auto",NA,NA,NA
"14","2011-03-22 12:00:00-03","MO","MOBOT","100301432","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo",NA,"Ludwig Riedel","Riedel s.n.","1821",NA,NA,"South America","Brazil","São Paulo",NA,"In umbrosis pr. Taubaté, Octobre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype",NA,"1"
"15","2011-03-22 12:00:00-03","MO","MOBOT","100301433","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo",NA,"Ludwig Riedel","Riedel s.n.","1821",NA,NA,"South America","Brazil","São Paulo",NA,"pr. Escada, Noviembre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isosyntype",NA,"1"
"16","2010-09-02 13:38:00-03","MO","MOBOT","100301437","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","W.D. Stevens","Auguste F.M. Glaziou","Glaziou 18362","1890","10","20","South America","Brazil","Rio de Janeiro",NA,"Alto Macahé.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2010-09-02 13:47:00-03","MO","MOBOT","100301442","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","W.D. Stevens","Auguste F.M. Glaziou","Glaziou 19626","1891","11","8","South America","Brazil","Rio de Janeiro",NA,"Nova Friburgo","-42.5166667","-22.2666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2010-09-02 13:19:00-03","MO","MOBOT","1241036","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","J. Fontella P.","Gustaf Anders Lindberg","Lindberg 617","1854","1",NA,"South America","Brazil","Minas Gerais",NA,"pr. Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,"1"
"19","2010-09-02 13:47:00-03","MO","MOBOT","1241037","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","J. Fontella P.","Auguste F.M. Glaziou","Glaziou 1584","1867","10","9","South America","Brazil","Rio de Janeiro",NA,"St. Louis (Os Orgaos)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype",NA,"1"
"20","2009-07-09 17:05:00-03","MO","MOBOT","1241039","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","J. Fontella P.","Gert G. Hatschbach","Hatschbach 7409","1960","11","6","South America","Brazil","Paraná",NA,"Mpio. Guaratuba, Pedra Branca de Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-07-09 17:05:00-03","MO","MOBOT","1241040","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","J. Fontella P.","Gert G. Hatschbach","Hatschbach 8334","1961","10","3","South America","Brazil","Paraná",NA,"Mpio. de Cerro Azul, Morro Grande",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2009-07-09 17:05:00-03","MO","MOBOT","1241041","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo","J. Fontella P.","Gert G. Hatschbach","Hatschbach 3632","1961","11","12","South America","Brazil","Paraná",NA,"Mpio. Campina Grande do Sul, Jaguatirica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2009-07-09 17:05:00-03","MO","MOBOT","2458352","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morillo",NA,"Gert G. Hatschbach","Hatschbach 7409","1960","11","6","South America","Brazil","Paraná",NA,"Guaratuba. Pedra Branca de Araquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-07-12 12:08:00-03","MO","MOBOT","1241038","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Phaeostemma","brandonianum","Phaeostemma brandonianum","Silveira",NA,"F. de F. Brandão","Brandão 286","1899","11",NA,"South America","Brazil","Minas Gerais",NA,"Serra das Aguas, prope Aguas Virtuosas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,"1"
"25","2015-10-27 18:17:00-02","MO","MOBOT","2193000","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E. Fourn.","G. Morillo","Osvaldo Morrone|Norma B. Deginani|Diego Giraldo-Cañas","Morrone 1528","1996","10","17","South America","Argentina","Misiones","San Pedro","Parque Prov. Cruce Caballero","-53.9833333","-26.5166667","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2019-11-13 11:15:10-03","USP","SPF","119161","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo","Rapini, A","Hoehne, W","s.n.","1958","10","06",NA,"Brasil","São Paulo","São Paulo","Serra da Cantareira","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Escandente, pilosa, flores amarelas,na mata.","SPF00119161",NA,"1999",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"27","2014-04-04 18:26:08-03","PNFM","IRAI","7121","S","Plantae","Magnoliophyta",NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo","Villagra, B.L.P.","Villagra, B.L.P.","334","2011","04","06",NA,"Brasil","São Paulo","Santo André","Reserva Biológica do Alto da Serra de Paranapiacaba, estrada SP 122, próximo a casa do Sr. Vitor","-46.343083","-23.769056","775","775",NA,"Trepadeira herbácea volúvel, flores esverdeadas","IRAI00007121",NA,"2011","-46.343083","-23.769056",NA,"10",NA,NA,NA,NA,NA,NA
"28","2019-09-04 18:54:32-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii",NA,NA,"A. Glaziou","1584","1867","10","9","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Type [status unknown]",NA,NA
"29","2019-07-09 14:14:24-03","F","FMNH-SEEDPLANTS","V0361187F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii",NA,NA,"A. Glaziou","1584","1867","10","9","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0361187F","V0361187F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Isolectotype",NA,NA
"30","2021-02-23 13:21:49-03","MN","R-TIPOS","102133","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E. Fourn.) Morilo","Fontella, J.P.","Brandão, F.","286","1899","11",NA,NA,"Brasil","Minas Gerais","Águas Virtuosas","Serra das Águas",NA,NA,NA,NA,NA,NA,"R000102133","R000102133_001 R000102133_002 R000102133_003 R000102133_004","1984",NA,NA,NA,"10","24",NA,NA,"Holotypus de Phaeostemma brandonianum Silveira",NA,NA
"31","2017-09-11 17:06:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii","E.Fourn.",NA,"Lindberg, GA","617",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Caldas",NA,"-46.3861","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA
"32","2017-09-11 17:06:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Phaeostemma","glaziovii","Phaeostemma glaziovii","E.Fourn.",NA,"Glaziou, AFM","1584",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:06:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"In umbrosis pr. Taubaté et pr. Escada, prov. S. Paulo.",NA,NA,NA,NA,NA,NA,NA,"P06P4N0091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 09:58:48-03","IBt","SP","2308","S","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo","Fontella, JP","Campos Novaes, J","CGG2978","1894","11",NA,NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,"nº 511 do coletor","SP022529","SP022529","1984",NA,NA,NA,"10","24","23900","auto",NA,NA,NA
"35","2021-03-03 13:40:37-03","IBt","SP","426123","S","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo",NA,"Pastore, M","174","2010","10","10",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA
"36","2019-11-21 09:58:48-03","IBt","SP","44423","S","Plantae",NA,NA,"Apocynaceae","Matelea","glaziovii","Matelea glaziovii","(E.Fourn.) Morillo","Fontella, H","Gehrt, A","s.n.","1940","10","20",NA,"Brasil","São Paulo","São Paulo","Serra da Cantareira, Sítio Doll, além de Cachoeirinha","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"1984",NA,NA,NA,"10","24","53584","auto",NA,NA,NA
"37","2019-11-21 09:58:59-03","IBt","SP","15827","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Usteri, A","s.n.","1906","10","21",NA,"Brasil","São Paulo","São Paulo","Avenida Paulista","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030893","SP030893","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"38","2019-11-21 09:58:59-03","IBt","SP","29809a","Carpo","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Hoehne, FC","s.n.","1932","10","14",NA,"Brasil","São Paulo","São Paulo","Parque do Estado","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Veja frutos na coleção respectiva",NA,NA,"2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"39","2019-11-21 09:58:59-03","IBt","SP","29809","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Hoehne, FC","s.n.","1932","10","14",NA,"Brasil","São Paulo","São Paulo","Parque do Estado","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Veja frutos na coleção respectiva","SP030894","SP030894","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"40","2019-11-21 09:58:59-03","IBt","SP","113829","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Faria, R","s.n.","1968","01","10",NA,"Brasil","São Paulo","São Paulo","Parque do Estado, Jardim Botânico","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030895","SP030895","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"41","2019-11-21 09:58:59-03","IBt","SP","155312","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Makino, H; Kirizawa, M","143","1978","09","26",NA,"Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030898","SP030898","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"42","2019-11-21 09:58:59-03","IBt","SP","174960","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Wanderley, MGL","307","1981","10","20",NA,"Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030896","SP030896","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"43","2019-11-21 09:58:59-03","IBt","SP","150911a","Extra","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Kirizawa, M","138","1977","09","29",NA,"Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga, Beira da picada que leva ao Castelinho","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030902","SP030902","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"44","2019-11-21 09:58:59-03","IBt","SP","150911","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Kirizawa, M","138","1977","09","29",NA,"Brasil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga, Beira da picada que leva ao Castelinho","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030899","SP030899","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
"45","2019-11-21 09:58:59-03","IBt","SP","311689","S","Plantae",NA,NA,"Apocynaceae","Phaeostemma","riedelii","Phaeostemma riedelii","E.Fourn.","Morillo, GN","Hoehne, W","s.n.","1958","12","06",NA,"Brasil","São Paulo","São Paulo","Serra da Cantareira","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP030897","SP030897","2014",NA,NA,NA,"10","20","53584","auto",NA,NA,NA
