"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","dayIdentified"
"11","2020-09-12 05:00:02-03","US","US","3256902","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"R. M. Harley, A. M. Giulietti, B. Stannard, D. J. N. Hind & et al.","24878","1988","10","12","South America - Neotropics","Brazil","Minas Gerais","Minas Gerais. Mun.: Buenopolis. Serra do Cabral, a 6-7 km da cidade.","760",NA,NA,NA,"US01644421","US01644421_01",NA,NA,"-44.25","-17.88",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"12","2020-09-12 05:00:02-03","US","US","3381633","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"G. Hatschbach, E. L. Barbosa & L. Ferreira","69012","1999","3","13","South America - Neotropics","Brazil","Minas Gerais","Estrada Varzea da Palma a Serra do Cabral (Mun. Varzea da Palma) Minas Gerais.",NA,NA,NA,NA,"US01644415","US01644415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"13","2020-09-12 05:00:02-03","US","US","2901911","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"R. M. King & F. Almeda","8356","1980","1","30","South America - Neotropics","Brazil","Minas Gerais","Brasil: Minas Gerais, Serra do Cipo, 9-11 km beyond the Cipo Vernaeio Hotel which is is adjacent to the bridge over the Rio Cipo.","884","945",NA,NA,"US01644420","US01644420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"14","2020-09-12 05:00:02-03","US","US","2709226","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"H. S. Irwin, S. F. Fonsêca, R. Souza, R. Reis dos Santos & J. Ramos","28098","1970","3","22","South America - Neotropics","Brazil","Minas Gerais","Planalto do Brasil, Estado de Minas Gerais, Serra do Espinhaco, ca. 10 km N. of Sao Joao da Chapada, road to Inhai, MG.","1050",NA,NA,NA,"US01644414","US01644414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"15","2020-09-12 05:00:02-03","US","US","3542260","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"D. C. Zappi","1578","2009","2","25","South America - Neotropics","Brazil","Minas Gerais","Brasil, Minas Gerais, Santana do Riacho, Serra do Cipo acesso pela Faz.","1000",NA,NA,NA,"US01644417","US01644417_01",NA,NA,"-43.7372","-2.92",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"16","2020-09-12 05:00:02-03","US","US","3467107","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & O. S. Ribas","77498","2004","6","7","South America - Neotropics","Brazil","Minas Gerais","Serra do Cabral, entre o Rio Embaiassaia e o Rio Preto (Mun. Joaquiam Felicio) Minas Gerais.",NA,NA,NA,NA,"US01644416","US01644416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"17","2020-09-12 05:00:02-03","US","US","2630895","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. Fonsêca","23520","1969","2","18","South America - Neotropics","Brazil","Minas Gerais","Planalto do Brasil,. Estado de Minas Gerais, Serra do Espinhaco. Rio Itacambirucu, ca. 15 km north of Grao Mogol.","950",NA,NA,NA,"US01644419","US01644419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"18","2020-09-12 05:00:02-03","US","US","3062698","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.",NA,"A. P. Duarte","7752","1963","4","27","South America - Neotropics","Brazil","Minas Gerais","Minas Gerais, Varzea da Palma, Fazenda Mae d'Agua. [interpreted]",NA,NA,NA,NA,"US01644418","US01644418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"19","2020-09-12 05:00:02-03","US","US","2630868","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M. King & H. Rob.","Holotype","H. S. Irwin, R. G. P. Santos, R. Souza & S. F. Fonsêca","23621","1969","2","20","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, hilltop ca. 15 km W of Grao Mogol, road to Cristalia.","950","950",NA,NA,"US00145842","US00145842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"20","2021-03-15 18:25:15-03","USP","SPF","220368","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Zappi, DC","1696","2009","03","05",NA,"Brasil","Minas Gerais","Serra do Cipó, Serra do Cipó, estrada de terra ligando Capela de São José a Santana do Riacho.",NA,NA,NA,"Cerrado rupestre, em solo de pedregulhos alvos, terreno inclinado.","SPF00220368",NA,"Hind, DJN","Santana de Pirapama","-43.767589","-18.996531","2009","03",NA,NA,"-43.767589","-18.996531",NA,NA,"05"
"21","2021-03-15 18:25:15-03","USP","SPF","220369","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Zappi, DC","1578","2009","02","25",NA,"Brasil","Minas Gerais","Serra do Cipó, Trilha do João Carrinho.",NA,NA,NA,"Campo rupestre, entre rochas areníticas, em solo arenoso.","SPF00220369",NA,"Anônimo","Santana do Riacho","-43.737325","-19.048652",NA,NA,NA,NA,"-43.737325","-19.048652",NA,NA,NA
"22","2019-11-01 14:53:06-03","UnB","UB","163187","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Munhoz, CBR; Emmert, P; Mello, TRB","7175","2010","05","02","Southern America","Brasil","Minas Gerais","Fazenda do Seu Geraldão, acesso por Inhaí","1154","1154",NA,"Arbusto 1,8m. Flores murchas e frutos maduros; Cerrado rupestre",NA,NA,"Rivera, VL","Diamantina","-43.885556","-17.9275","2011","08",NA,NA,"-43.885556","-17.9275",NA,NA,NA
"23","2019-11-01 14:53:06-03","UnB","UB","11711","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.","isotype","Irwin, HS; Santos, RR; Souza, R; Fonsêca, SF","23621","1969","02","20","Southern America","Brasil","Minas Gerais","Serra do Espinhaço, 15km west of Grão Mogol, road to Cristália","950","950",NA,"Shrub 2.5 m, leaves gray green, phyllaries viscous, heads pale lilac.; Shrub 2,5m. Flor pale lilac; Dense cerrado. Topologia: Hilltop. Solo: Soil red clay.",NA,NA,"Bautista, HP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-01 14:53:06-03","UnB","UB","122324","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.","paratype","Irwin, HS","23520","1969","02","18","Southern America","Brasil","Minas Gerais","Ca. 15km north of Grão of Grão Mogol",NA,NA,NA,"Heads pale lilac.; Shrub 2,5m.","UB0036801","UB0036801","Rivera, VL",NA,NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-08 09:59:14-03","UFU","HUFU","78217","S","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Brandão, M.","21211","1993","04","14",NA,"Brasil","Minas Gerais","Serra de Itacambira",NA,NA,NA,NA,"HUFU00075715",NA,"Nakajima, J.N.",NA,NA,NA,"2019","11",NA,NA,NA,NA,NA,NA,NA
"26","2019-05-10 16:39:36-03","UFU","HUFU","72404","S","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Verdi, M.; Martins, E.; Pougy, N.; Martinelli, G.; Maurenza, D. & Martins, E.","7148","2014","06","25",NA,"Brasil","Minas Gerais","Morro do Chapéu, Alto do Morro. Encontrada em solo areno-pedregoso com afloramentos rochosos; no local encontram-se torres de transmissão de TV e no entorno encontram-se áreas utilizadas para pecuária.","1298","1298",NA,"Folhas verdes; flor lilás, altura 2m. arbusto.; Campo rupestre.","HUFU00059225","HUFU00059225","Nakajima, J.N.","Cristália","-42.923611","-16.721667","2019","04",NA,NA,"-42.923611","-16.721667",NA,NA,NA
"27","2019-05-06 11:52:21-03","UFU","HUFU","74683","S","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Bautista, H.P.","2683","1998","09","18",NA,"Brasil","Minas Gerais","Serra do Espinhaço, a 2km de Grão MOngol na estrda para Montes Claros.","850","850",NA,"Arbusto, inflorescências passadas. Ocasional.; Campo rupestre.","HUFU00072497","HUFU00072497","Ortiz, S.","Grão Mogol","-42.899444","-16.580556","1998","09",NA,NA,"-42.899444","-16.580556",NA,NA,NA
"28","2019-11-21 09:59:42-03","IBt","SP","454156","S","Plantae",NA,NA,"Asteraceae","Acritopappus","irwinii","Acritopappus irwinii","R.M.King & H.Rob.",NA,"Munhoz, CBR; Emmert, P; Mello, TRB","7175","2010","05","02",NA,"Brasil","Minas Gerais","Fazenda do Seu Geraldão, acesso por Inhaí.","1154","1154",NA,NA,"SP030322","SP030322","Rivera, VL","Diamantina","-43.885556","-17.9275","2011","08",NA,NA,"-43.885556","-17.9275",NA,NA,NA
