"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","individualCount","infraspecificEpithet","continentOcean","preparationType","relationshipType","relatedCatalogItem","class","fieldNumber"
"18","2021-03-15 16:37:00-03","NY","NYBG","376440","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","L. B. Smith","G. G. Hatschbach","19506","1968","07","16","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizario","-49.0553","-25.3058",NA,NA,NA,NA,"NY00376440","NY00376440_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762684' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"19","2016-09-30 16:10:00-03","NY","NYBG","2063231","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,NA,"M. B. Ferreira Canela","10","2003","06","24","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. caminho p/Maromba, prox. entrada p/Hotel Simon.","-44.73333","-22.35833",NA,NA,NA,NA,"NY02063231","NY02063231_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364825' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA
"20","2016-09-28 15:19:00-03","NY","NYBG","376499","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia distachia","(Vell.) Mez",NA,"E. Pereira","10611","1967","08","04","Brazil","Minas Gerais",NA,"Estrada para Caxambú km 22",NA,NA,NA,NA,NA,NA,"NY00376499","NY00376499_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149491' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,"distachia","South America","sheet",NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","376439","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia straussiana","(Wittm.) L.B.Sm.","R. Reitz","R. Reitz","780","1953","06","12","Brazil","Santa Catarina","Araquari","Barra do Sul, Araquari","-48.7219","-26.3703",NA,NA,NA,NA,"NY00376439","NY00376439_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257753' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Poales",NA,"straussiana","South America","sheet",NA,NA,NA,NA
"22","2020-06-29 11:29:37-03","UFRJ","RFA","30886","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","A. P. G. de Faria","A. P. G. de Faria","6","2000","09",NA,"Brasil","Santa Catarina","Santa Catarina","Planta cultivada na Casa de Vegetação do Laboratório de Taxonomia e Biologia de Plantas, Departamento de Botânica, UFRJ. Coletada por S. Potsh (340) 393. Floresceu em cultivo em setembro de 2000",NA,NA,NA,NA,NA,NA,"RFA52077",NA,NA,NA,NA,NA,"Bainha arroxeada internamente. Brácteas escapais e primárias rosas. Ovário sulcado, verde; brácteas florais verdes; sépalas verdes com ápice azul; pétalas totalmente verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:29:37-03","UFRJ","RFA","31224","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","L. O. F. de Sousa","N. Lemelle","1","2004","11","12","Brasil","Rio de Janeiro","Visconde de Mauá","Planta coletada na casa de vegetação, 12/11/2004. Foi coletada na natureza por S. Potsch no município de Visconde de Mauá. Flor e material para exsicata. Sépala e pétala verdes com ápice azul, brácteas escapais verdes",NA,NA,NA,NA,NA,NA,"RFA52094",NA,"2004","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:29:37-03","UFRJ","RFA","28613","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","L. M. Versieux","R. C. mota; S. P. Ribeiro","1276","2001","10","09","Brasil","Minas Gerais","Camanducaia","Fazenda Melhoramentos","-46.1446990966797","-22.7553005218506",NA,NA,NA,NA,"RFA52070",NA,"2004","06","16","22140","Planta coletada em mata ciliar; erva epífita; brácteas do escapo floral vermelhas; pétalas verdes com ápice roxo","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-13 09:19:15-03","UFRJ","RFA","22813","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia distachia",NA,"L.B. Smith","F. Segadas-Vianna",NA,"1943","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Monte Serrat","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA52082",NA,NA,NA,NA,"19648",NA,"auto",NA,NA,NA,"distachia",NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:26:25-03","PUCPR","HUCP","19585","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Kersten, RA","Michelon, C; Bianchi, J; Acra, LA; Kersten, RA; Selusniaki, M","s.n.","2008","09","03","Brasil","Paraná","Balsa Nova","São Luiz do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27346",NA,"auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:26:25-03","PUCPR","HUCP","24534","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Lago, GB","Lago, GB","01","2015","05","23","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24916",NA,"auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:26:25-03","PUCPR","HUCP","21740","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Kersten, RA","Kersten, RA","1535","2011","05","06","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00004687","HUCP00004687",NA,NA,NA,"12577",NA,"auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-04 15:26:25-03","PUCPR","HUCP","24771","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Kersten, RA","Kersten, RA","1718","2017","08","10","Brasil","Paraná","Piraquara","Parque Estadual do Marumbi, núcleo Cayuguava","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00024771","HUCP00024771","2017","08","10","12577","Ecótono FOM-FOD. Epífita, flores verders com o ápice da sepala azul. 1050m s.n.m.","auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-04 15:26:25-03","PUCPR","HUCP","23251","S","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Kersten, RA; Hekavey, C","Hekavey, C","s.n.","2011","04","22","Brasil","Paraná","São José dos Pinhais","RPPN Nhandara Guaricana da Usina","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00004903","HUCP00004903",NA,NA,NA,"45291",NA,"auto","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:27:32-03","UFBA","ALCB","101067","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Schltdl.","Farias, APG de","Hatschbach, G","42189","1979","03","27","Brasil","Paraná","Cerro Azul","Rio Santa Ana.","-49.261100769043","-24.823600769043",NA,NA,NA,NA,"ALCB010889","ALCB010889","2003",NA,NA,"32006","Flor esverdeada, borda anil.","auto","Monocotyledon",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"32","2019-10-09 11:27:32-03","UFBA","ALCB","72992","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Schltdl.","Farias, APG de","Silva, JM; Abe, LM","2419","1998","08","20","Brasil","Paraná","Tunas do Paraná","Parque Estadual do Campinhos","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,"ALCB010911","ALCB010911","2003",NA,NA,"41885","rupícola. Flor verde, ápice violeta.; afloramento de calcário, junto à entrada de caverna.","auto","Monocotyledon",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"33","2020-11-04 11:03:43-03","ESALQ","ESA","98638","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"Monteiro, R.F.","Monteiro, R.F.","37.0","2004","10","26","Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"ESA098638","ESA098638","2004",NA,NA,"30417",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:03:43-03","ESALQ","ESA","11203","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"Wanderley, M.G.L.","Bernacci, L.C. et al.","28398.0",NA,NA,NA,"Brasil","São Paulo","Atibaia",NA,"-46.5499992370605","-23.1100006103516",NA,NA,NA,NA,"ESA011203","ESA011203",NA,NA,NA,"21675",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:03:43-03","ESALQ","ESA","83182","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Martins, S.E.","Matteo, B.C. et al.","538.0","1999","05","30","Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"ESA083182","ESA083182",NA,NA,NA,"21048",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:03:43-03","ESALQ","ESA","26081","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Proença, S.L.","Rodrigues, R.R. et al.","149.0","1995","09","03","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"ESA026081","ESA026081",NA,NA,NA,"38804",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:03:43-03","ESALQ","ESA","11745","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Wanderley, M.G.L.","Souza, V.C. et al.","4052.0","1993","09","06","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA011745","ESA011745",NA,NA,NA,"27729",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:03:43-03","ESALQ","ESA","83296","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Martins, S.E.","Matteo, B.C. et al.","445.0","1999","08","28","Brasil","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25",NA,NA,NA,NA,"ESA083296","ESA083296",NA,NA,NA,"22843",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:03:43-03","ESALQ","ESA","19899","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia",NA,"Proença, S.L.","Barreto, K.D. et al.","2816.0","1994","08","05","Brasil","São Paulo","São Pedro",NA,"-47.9099998474121","-22.5400009155273",NA,NA,NA,NA,"ESA019899","ESA019899",NA,NA,NA,"19379",NA,"auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-01-14 15:25:45-03","MN","R","212177","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Costa, A.F.",NA,NA,"1978","08","17","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010004916","R010004916","2011","02","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-14 15:25:45-03","MN","R","190563","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez",NA,"Magalhães, H.","1618","1896","07",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"R010004619","R010004619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-01-14 15:25:45-03","MN","R","190573","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez",NA,"Rabello, C.","2431","1847","07",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"R010004618","R010004618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-01-14 15:25:45-03","MN","R","212179","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Costa, A.F.",NA,NA,"1977","10","24","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"R010004914","R010004914","2011","02","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-01-14 15:25:45-03","MN","R","32382","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Foster, M.B. 136; Foster, R.",NA,"1939","07","01","Brasil","São Paulo","Itatiaia",NA,NA,NA,NA,NA,NA,NA,"R010004911","R010004911","1987","04","02",NA,NA,NA,NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"45","2021-01-14 15:25:45-03","MN","R","32471","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Foster, M.B. 341; Foster, R.",NA,"1939","08","15","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"341","341","R010004910","R010004910 R010004910_1","1987","04","02",NA,NA,NA,NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"46","2021-01-14 15:25:45-03","MN","R","32479","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Foster, M.B. 351; Foster, R.",NA,"1939","08","15","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"R010004925","R010004925","1987","04","02",NA,NA,NA,NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"47","2021-01-14 15:25:45-03","MN","R","212176","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Gomes, I.","Moura, R.","901","2009","05","06","Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,NA,NA,"R010004366","R010004366","2010","03","18","25710",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-01-14 15:25:45-03","MN","R","203000","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Versieux, L.M","Becker, J.","222",NA,NA,NA,"Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"R010004919","R010004919","2004","02","09","12338",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-01-14 15:25:45-03","MN","R","190236","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez",NA,"Vidal, J.","2151","1948","11",NA,"Brasil","Minas Gerais","Passa Quatro",NA,"-44.9667015075684","-22.3903007507324",NA,NA,NA,NA,"R010004617","R010004617 R010004617_1",NA,NA,NA,"17293",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-01-14 15:25:45-03","MN","R","32537","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez",NA,"Foster, M.B.","458","1939","09","02","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"R010004924","R010004924 R010004924_1",NA,NA,NA,"25180",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2021-01-14 15:25:45-03","MN","R","46417","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Dusén, P.K.H.","721","1902","07","13","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"900","900","R010004908","R010004908 R010004908_1","1987","04","02","19648",NA,"auto",NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"52","2021-01-14 15:25:45-03","MN","R","46416","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Dusén, P.K.H.","724","1902","07","23","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010004909","R010004909","1987","04","02","19648",NA,"auto",NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"53","2021-01-14 15:25:45-03","MN","R","22132","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia var.distachia","(Vell.) Mez","Fontoura, T.","Brade, A.C.","10078","1930","06","18","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"1000","1000","R010004912","R010004912","1987","04","02","19648",NA,"auto",NA,NA,NA,"var.distachia",NA,NA,NA,NA,NA,NA
"54","2021-01-14 15:25:45-03","MN","R","212180","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","distachia","Billbergia distachia","(Vell.) Mez","Aximoff, I.","Vargens, F.A.C.","12","2007","06","17","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010004913","R010004913","2007","06","17","19648",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
