"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","relatedCatalogItem","coordinatePrecision","geoFlag"
"11","2008-05-27 22:02:00-03","MO","MOBOT","1205348","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.",NA,"Erik Asplund","Asplund 19862",NA,NA,NA,"South America","Ecuador","Zamora-Chinchipe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2014-04-03 10:43:00-03","MO","MOBOT","1524149","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","M. Nee","Michael H. Nee","Nee 37709",NA,NA,NA,"South America","Bolivia","Santa Cruz","The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east","-63.2","-17.74166","420.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1545442","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Gerrit Davidse, May 2001 (MO)","Francisco J. Roldán|G. Sylva|et al.","Roldán 1496","1990","10","26","South America","Colombia","Córdoba","Corregimiento Marãonal, Cerro Queresa","-75.58333","8.46666","30.00000000",NA,NA,NA,NA,NA,"Planeta Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2011-06-09 17:53:00-03","MO","MOBOT","1706989","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","fide Pensiero","C. Vargas C.","Vargas Calderón 4222","1944","4","28","South America","Peru","Cusco","Valle Lucumayo, Amaibamba",NA,NA,"1700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1706990","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","fide Pansiero","OCHOA","OCHOA 448","1948","4","5","South America","Peru","Huánuco","Chinchao",NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-03-02 12:32:00-03","MO","MOBOT","1707389","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Fide: Darwiniana 37(1-2):109.","William Andrew Archer","Archer 713","1930","11","24","South America","Colombia","Antioquia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","232076","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.",NA,"Francisco Tamayo","Tamayo 2785",NA,NA,NA,"South America","Venezuela","Bolívar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2018-10-16 09:31:00-03","MO","MOBOT","241779","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Gerrit Davidse (MO)","Alwyn H. Gentry|Olga Salazar de Benavides|Phillip Keating","Gentry 60353","1988","1","4","South America","Colombia","Nariño","La Planada Reserve, 7 km from Chucunes.","-78.0166667","1.0833333","1800.00000000","1850.00000000",NA,NA,NA,NA,"Ricaurte",NA,NA,NA,NA,NA,NA,"2","88-7",NA,NA,NA
"19","2008-08-07 03:32:00-03","MO","MOBOT","2988146","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Hitchcock","Otto Buchtien","Buchtien 5329","1920",NA,NA,"South America","Bolivia",NA,"Hacienda Simaco sobre el camino a Tipuani.",NA,NA,"1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-08-07 03:32:00-03","MO","MOBOT","3033275","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Foster's catalog note file","Otto Buchtien","Buchtien 435",NA,NA,NA,"South America","Bolivia","La Paz","Sirupaya","-67.7355555","-16.3716667",NA,NA,NA,NA,NA,NA,"Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-08-13 05:51:00-03","MO","MOBOT","3033276","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad.","Foster's catalog note file","A.S. Hitchcock","Hitchcock 22717",NA,NA,NA,"South America","Bolivia","La Paz","Coroico","-67.733333","-16.183333",NA,NA,NA,NA,NA,NA,"Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","3049698","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Soreng, R. J., (US), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","Collector unknown","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,"ex herb Berlin, fragmentary materials",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","1910966","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.",NA,"F. Tamayo","2785","1946","2","13","South America - Neotropics","Venezuela","Bolívar","Gran Sabana, Sta. Elena, Las Delicias",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2206999","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.",NA,"E. Asplund","10490","1940","2","3","South America - Neotropics","Colombia",NA,"Dep Cauca, Chisquio, Finca Los Derrumbos.",NA,NA,"1700",NA,NA,NA,"US01165926",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2077748","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.",NA,"K. von Sneidern","s.n.","1959","6","5","South America - Neotropics","Colombia","Cauca",NA,NA,NA,"1700",NA,NA,NA,"US01165927","US01165927_01","El Tambo","Monocotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"26","2020-07-23 12:19:00-03","CEPLAC","CEPEC","9876","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima",NA,"I. Boldrini","R. M. Harley","16676","1974","03","04",NA,"Brasil","Bahia","16Km ao NW Lagoinha (5.5Km SW Delfino), Rod. p/ Minas do Mimoso.","-41.333333","-10.366667",NA,NA,NA,NA,NA,NA,"SENTO SÉ",NA,NA,NA,NA,"41W20'0","10S22'0",NA,NA,"22/01/1980",NA,NA
"27","2019-11-01 15:17:12-03","UnB","UB","76261","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Irwin, HS","15549","1966","05","02","Southern America","Brasil","Goiás","Ca. 30km N of Formosa",NA,NA,"850","850",NA,"Node-rooting, the culms ca. 1m tall; Creek margin. Gallery forest, Córrego Itaquera","UB0024284","UB0024284",NA,NA,"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-01 15:17:12-03","UnB","UB","76262","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Davidse, G","Anderson, WR","10191","1973","05","12","Southern America","Brasil","Goiás","Goiás, Ca. 17km (straight line) S of Goiás Velho, 6km NE of Mossamedes","-50.1403","-15.9344","700","780",NA,"In and along margin of forest on lower eastern slope of serra. Edge of stream","UB0024286","UB0024286","Goiás",NA,"1974",NA,NA,"-50.1403","-15.9344",NA,NA,NA,NA,NA
"29","2019-11-01 15:17:12-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Barroso, GM","s.n.","1967","05","04","Southern America","Brasil","Distrito Federal","Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"Brasília",NA,"1978",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"30","2019-11-01 15:17:12-03","UnB","UB","102524","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Maia, WD","s.n.","1967","05","25","Southern America","Brasil","Distrito Federal","Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"UB0027222","UB0027222","Brasília",NA,"1978",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"31","2019-11-01 15:17:12-03","UnB","UB","102522","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Jesus, JO","28","1964","04","22","Southern America","Brasil","Distrito Federal","Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Cerrado","UB0027226","UB0027226","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"32","2019-11-01 15:17:12-03","UnB","UB","102521","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Jesus, JO","54","1964","04","24","Southern America","Brasil","Distrito Federal","Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Planta 0,8m; Cerrado","UB0027218","UB0027218","Brasília",NA,"1978",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"33","2019-11-01 15:17:12-03","UnB","UB","102523","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Swallen, JR","Pires, JM","9232","1963","04","18","Southern America","Brasil","Distrito Federal","Zoobotânico","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"UB0027224","UB0027224","Brasília",NA,"1964","02","12",NA,NA,NA,NA,NA,"70570","auto"
"34","2021-03-04 15:42:14-03","IF","SPSF","52845","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.",NA,"R.T.Shirasuna","3718","2014","09","24","América do Sul","Brasil","SP",NA,"-46.4675","-23.410556",NA,NA,NA,"COLETA: Herbácea. Inflorescência verde-vinácea.; GEOGRAFIA: No campo.;",NA,NA,"Guarulhos","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-22 16:23:49-03","FEPAGRO","BLA","8972","PreservedSpecimen","Plantae","Spermatophyta",NA,"Poaceae","Setaria","cf. tenacissima","Setaria cf. tenacissima","Schrad. ex Schult",NA,"E. C. Santos & J. C. Sacco","1711 & 1944","1963","04","12",NA,"Brasil","Distrito Federal","Universidade de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Ex UFPel 5349.Habitat: Comum em beira de estrada.","BLA008972",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"36","2019-11-21 10:16:55-03","IBt","SP","36218","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Chase, A","Swallen, JR","4586","1934","05",NA,NA,"Brasil","Ceará","Campo grande.",NA,NA,NA,NA,NA,NA,"SP038976","SP038976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:16:55-03","IBt","SP","488166","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Shirasuna, RT","Shirasuna, RT","3718","2014","09","24",NA,"Brasil","São Paulo","Lote 6. OAE 703-704.","-46.467389","-23.4105",NA,NA,NA,NA,NA,NA,"Guarulhos",NA,"2014","09","24","-46.467389","-23.4105",NA,NA,NA,NA,NA
"38","2019-11-21 10:16:55-03","IBt","SP","225231","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Heringer, EP; et al.","3783","1980","03","11",NA,"Brasil","Distrito Federal","Área de inundação do Rio São Bartolomeu.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"SP038977","SP038977","Brasília",NA,"1987",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"39","2019-11-21 10:16:55-03","IBt","SP","221005","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Jesus, JO","54","1964","04","24",NA,"Brasil","Distrito Federal","Campus UNB.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"Brasília",NA,"1978",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"40","2019-11-21 10:16:55-03","IBt","SP","221002","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Jesus, JO","28","1964","04","22",NA,"Brasil","Distrito Federal","Campus UNB.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"Brasília",NA,"1978",NA,NA,NA,NA,NA,NA,NA,"70570","auto"
"41","2019-11-21 10:16:55-03","IBt","SP","9954","S","Plantae",NA,NA,"Poaceae","Setaria","tenacissima","Setaria tenacissima","Schrad. ex Schult.","Boldrini, I","Usteri, A","s.n.","1907","03","17",NA,"Brasil","São Paulo","Jaraguá","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SP038978","SP038978","São Paulo",NA,"1996","01","30",NA,NA,NA,NA,NA,"53584","auto"
