"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2020-06-29 11:30:06-03","UFRJ","RFA","37097","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R. S. Couto; J.M.A. Braga","107","2007","07","15",NA,"Brasil","Distrito Federal","Fercal-Sobradinho, Contagem. Próximo a Empresa Planalto Extração de Areia Ltda",NA,NA,NA,NA,NA,"Trepadeira de folhas aveludadas de cor verde-claro. Caule na parte basal vinoso. Parte subterrânea com sistema radicular ramificado e com um prolongamento com dois pequenos tuérculos na extremidade. Material estéril. Mudas coletadas par","RFA23857",NA,"R. S. Couto","Distrito Federal",NA,NA,"2011","05","17",NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:06-03","UFRJ","RFA","37303","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto; J.M.A. Braga","101","2007","08","14",NA,"Brasil","Distrito Federal","DF-150, km 11. Rua do Mato. Fazenda Morada do Sol",NA,NA,NA,NA,NA,"Trepadeira de folhas aveludadas de cor verde-claro. Caule na parte basal vinoso. Parte subterrânea com sistema radicular ramificado e com um prolongamento com dois pequenos tubérculos na extremidade. Material estéril. Mudas coletadas pa","RFA24129",NA,"R.S. Couto","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:30:06-03","UFRJ","RFA","39888","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"Dario, F.R; Nave, A.G, Lopes, R.F, Carneiro, P.H.M.","1146","1997","03","29",NA,"Brasil","Mato Grosso","Estrada Gaúcha do Norte - Rio Coluene","-53.034444","-13.382778",NA,NA,NA,"Liana. Flor amarela","RFA30387",NA,"R.S.Couto","Gaúcha do Norte",NA,NA,"2011","03","25","53º2'4''W","13º22'58''S",NA,NA,NA,NA
"14","2020-06-29 11:30:06-03","UFRJ","RFA","37170","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto; J.M.A.Braga","87","2007","12","10",NA,"Brasil","Rio de Janeiro","Morro de Itaoca","-41.3244018554688","-21.7541999816895",NA,NA,NA,"Trepadeira de folhas verde-claro, aveludadas, discolores. Face abaxial mais clara que a face adaxial. Caule na parte basal marrom escuro, na parte apical verde-claro pintalgado de marrom-escuro. Tubérculo enterrado superficialmente, com","RFA30395",NA,"R.S.Couto","Campos dos Goytacazes","62761","auto","2011","05","17",NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:30:06-03","UFRJ","RFA","37062","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto; J.M.A. Braga; L.J.T. Cardoso.","238","2009","08","29",NA,"Brasil","Rio de Janeiro","Morro Itaóca, subindo para as antenas","-41.3244018554688","-21.7541999816895",NA,NA,NA,"Trepadeira de folhas verde-claro, aveludadas. Material estéril. Tubérculo coletado.","RFA23804",NA,"R.S. Couto","Campos dos Goytacazes","62761","auto","2009","08","29",NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:30:06-03","UFRJ","RFA","36992","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","281","2009","10","22",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, parte baixa, borda da mata em frente ao centro de visitantes","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Material estéril. Trepadeira de folhas verde-claras.","RFA23724",NA,"R.S. Couto","Itatiaia","19648","auto","2009","10","22",NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:30:06-03","UFRJ","RFA","37156","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto; M.Nadruz, L.A.F.Santos Filho, M.J.F.Barros, P.Godinho","321","2010","04","01",NA,"Brasil","Rio de Janeiro","Distrito de Santo Aleixo, final da rua do cemitério, início da trilha Santo Aleixo - Alta ventania. Próximo à construção da CEDAE","-43.040599822998","-22.6527996063232",NA,NA,NA,"Trepadeira vigorosa a cerca de 3,5 m do solo. Folhas lúcidas levemente discolores, verde-claro. Flores masculinas amarelo esverdeado, anteras amareladas a marrom. Pistilódio verde-escuro (caule basal de coloração marrom a vinoso, afilo)","RFA30393",NA,"R.S.Couto","Magé","20531","auto","2010","04","01",NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:30:06-03","UFRJ","RFA","37182","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","476","2011","01","25",NA,"Brasil","Rio de Janeiro","cacminho para o córrego dos micos, estrada para o morro da pedra rolada","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Trepadeira crescendo na beira da estrada, bastante frequente, local com muito sol. Flores verde-claras, aveluladas. Material coletado para anatomia.","RFA23989",NA,"R.S. Couto","Paraty","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:30:06-03","UFRJ","RFA","37185","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","478","2011","01","25",NA,"Brasil","Rio de Janeiro","caminho para o córrego dos micos, estrada para o morro da pedra rolada","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Trepadeira crescendo na beira da estrada, bastante frequente, local com muito sol. Flores verde-claras, aveluladas. Material coletado para anatomia.","RFA23993",NA,"R.S. Couto","Paraty","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-06-29 11:30:06-03","UFRJ","RFA","37184","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","477","2011","01","25",NA,"Brasil","Rio de Janeiro","Caminho para o 'córrego dos micos', estrada para o morro da Pedra Rolada","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Trepadeira crescendo na beira da estrada, bastante frequente, local com muito sol. Folhas verde-claras, aveludadas. Material coletado para anatomia.","RFA23991",NA,"R. S. Couto","Paraty","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:30:06-03","UFRJ","RFA","36975","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto; L.J.T.Cardoso","259","2009","10","19",NA,"Brasil","Rio de Janeiro","Serrinha do Alambari, margem esquerda do Rio Alambari","-44.4467010498047","-22.468900680542","554","554",NA,"Trepadeira de folhas verde-claro. Material estéril","RFA30386",NA,"R.S.Couto","Resende","36089","auto","2009","10","19",NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:30:06-03","UFRJ","RFA","36995","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","248","2009","09","26",NA,"Brasil","Rio de Janeiro","Estrada das Paineiras. Em frente à praça de exercícios","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Folhas verde aveludada, material estéril coletado para cultivo.","RFA23726",NA,"R.S. Couto","Rio de Janeiro","57442","auto","2009","09","26",NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:30:06-03","UFRJ","RFA","37164","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto; M.Nadruz, L.A.F.Santos Filho, M.J.F.Barros, P.Godinho","302","2010","03","30",NA,"Brasil","Rio de Janeiro","PNSO. Trilha da Cabeça-de-Peixe, próximo à parte onde se inicia as rochas. (Subida com cordas)","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Trepadeira de grácil de flores femininas verdes","RFA30774",NA,"R.S.Couto","Teresópolis","38539","auto","2011","05","17",NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:06-03","UFRJ","RFA","37258","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","440","2010","08","16",NA,"Brasil","Rio de Janeiro","Ilha Grande, trilha da feiticeira, após o Aqueduto","-44.3180999755859","-23.0067005157471",NA,NA,NA,"Trepadeira estéril de folhas verde-claro.","RFA24076",NA,"R.S. Couto","Angra dos Reis","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:30:06-03","UFRJ","RFA","37149","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto; J.M.A.Braga, L.J.T.Cardoso","239","2009","08","29",NA,"Brasil","Rio de Janeiro","Morro Itaoca, subindo para as Antenas","-41.3244018554688","-21.7541999816895",NA,NA,NA,"Trepadeira fenescendo com frutos marrom-claros, com muitas sementes de coloração marrom-escura. Sementes em cultivo.","RFA30394",NA,NA,"Campos dos Goytacazes","62761","auto",NA,NA,NA,"75º88'79''W","2º47'81''S",NA,NA,NA,NA
"26","2020-06-29 11:30:06-03","UFRJ","RFA","37152","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R. S. Couto","326","2010","05","02",NA,"Brasil","Rio de Janeiro","Distrito de Lumiar, beira da estrada de terra, para a cachoeira Indiana Jones (Boa Esperança) próximo à entrada","-42.5311012268066","-22.2819004058838",NA,NA,NA,"Trepadeira de crescimento vigoroso, atingindo a copa das árvores, frequente no local. Folhas verde-claro, aveludadas, flores femininas de ovário verde-claro, tépalas branco-amarelados. frutos imaturos verde-claros","RFA23948",NA,"R. S. Couto","Nova Friburgo","33190","auto","2010","05","02",NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:30:06-03","UFRJ","RFA","37151","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R. S. Couto","325","2010","05","01",NA,"Brasil","Rio de Janeiro","Lumiar, beira da estrada, próximo à entrada do Encontro das Águas","-42.5311012268066","-22.2819004058838",NA,NA,NA,"Trepadeira de crescimento vigoroso (5m), muito frequente, de folhas verde-claro, aveludadas. Flores masculinas começando a passar, de coloração branco-amarelada","RFA23946",NA,"R. S. Couto","Nova Friburgo","33190","auto","2010","05","01",NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:30:06-03","UFRJ","RFA","37160","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.C. Lopes","382","2010","05","14",NA,"Brasil","Rio de Janeiro",NA,"-43.4185981750488","-22.4286003112793",NA,NA,NA,"Trepadeira, folhas verde clara, papirácea, velutina.","RFA28351",NA,"R.S. Couto","Paty do Alferes","18359","auto","2010","05","14",NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:30:06-03","UFRJ","RFA","37056","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","330","2010","05","29",NA,"Brasil","Rio de Janeiro","APA Palmares","-43.4185981750488","-22.4286003112793",NA,NA,NA,"Trepadeira com folhas femininas passadas e frutos jovens verde-claros. Folhas verde-clara e amareladas, começando a fenecer.","RFA23796",NA,"R.S. Couto","Paty do Alferes","18359","auto","2010","05","29",NA,NA,NA,NA,NA,NA
"30","2020-06-29 11:30:06-03","UFRJ","RFA","39892","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S.Couto","138","2006","09","29",NA,"Brasil","Rio de Janeiro","Urca. Pista Claudio Coutinho, próximo aos 800 metros","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Material com frutos passados. Tubérculo coletado para cultivo","RFA30411",NA,"R.S.Couto","Rio de Janeiro","57442","auto","2006","10","01",NA,NA,NA,NA,NA,NA
"31","2020-06-29 11:30:06-03","UFRJ","RFA","36999","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"R.S. Couto","254","2009","10","02",NA,"Brasil","Rio de Janeiro","REBIO Poço das Antas, atrás do ccentro de visitação","-42.3917007446289","-22.6508007049561",NA,NA,NA,"Trepadeira de folhas verde-claro, aveludadas, crescendo na sombra, estéril, trepadeira de até 1,5m.","RFA23730",NA,"R.S. Couto","Silva Jardim","29995","auto","2009","10","02",NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:52:20-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","ferruginicaulis","Dioscorea ferruginicaulis","Clayton",NA,"sc","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:52:20-03","EAO","IAN","146794","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth",NA,"Pires, JM; Marinho, LR","146794","1975","03","17","Southern America","Brasil","Amazonas","Rio Negro - Próximo ao Aeroporto de S. Gabriel.",NA,NA,NA,NA,NA,NA,"IAN146794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:52:20-03","EAO","IAN","16490","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth",NA,"Fróes, RL","21118","1945","10","08","Southern America","Brasil","Amazonas","São Gabriel. Rio Negro, terreno rochoso, alto da serra.",NA,NA,NA,NA,NA,"Liana trepadeira.","IAN016490","IAN016490 IAN016490_1 IAN016490_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:52:20-03","EAO","IAN","28496","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth",NA,"Pires, JM","537","1947","05","01","Southern America","Brasil","Amazonas","Rio Negro; Vaupés, capoeira.&nf;Cipó pequeno.",NA,NA,NA,NA,NA,"Cipó pequeno.","IAN028496","IAN028496 IAN028496_1 IAN028496_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:52:20-03","EAO","IAN","82626","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth",NA,"Moraes, CJ","1032","1953","07","10",NA,NA,NA,"Escola de Agronomia.",NA,NA,NA,NA,NA,NA,"IAN082626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:52:20-03","EAO","IAN","82978","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth","isotipo","Ule, EHG","9178",NA,NA,NA,"Southern America","Brasil","Acre","Rio Acre, Seringal S. Francisco.",NA,NA,NA,NA,NA,NA,"IAN082978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:52:20-03","EAO","IAN","152495","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","Knuth",NA,"Cordeiro, MR","956","1976","05","01","Southern America","Brasil","Rondônia","Sub-base proj. RADAM SC-20-VB, fronteira Brasil e Bolívia.","-65.3394012451172","-10.7827997207642",NA,NA,NA,"Cipó sobre árvore de 6m, frutos verdes.","IAN152495",NA,"Mendes-Silva, V","Guajará-mirim","205539","auto","2014","06",NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 09:00:12-03","NBC","NL-BOTANY","U.1291513","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","ferruginicaulis","Dioscorea ferruginicaulis","Rusby",NA,"Tessmann G",NA,"1937","03","19","Southern America","Brazil",NA,"Sud-Brasulien. Nord-Parana: Gebiet des mittleren Ivahy; ca. 700 m ü. M. Schlujer.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291513 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291513","NL-U1291513",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"40","2020-02-08 09:00:17-03","NBC","NL-BOTANY","L 0041255","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth","isotype","Ule EHG",NA,"1911","04","01","Southern America","Brazil",NA,"BrasilienseRio AcreS. Francisco",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200041255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0041255","NL-L0041255","Clayton T",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","915108451",NA,NA
"41","2020-02-08 09:00:17-03","NBC","NL-BOTANY","U.1291412","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"Davidse G; Gonzáles AC",NA,"1982","11","06","Southern America","Venezuela",NA,"Tachira: Distrito Córdoba: Cerro La Camiri, just south of the town of Río Negro.","-72.166667","7.6",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291412","NL-U1291412",NA,NA,NA,NA,NA,NA,NA,"-72.166667","7.6","Magnoliopsidae",NA,NA,NA
"42","2020-02-08 09:00:17-03","NBC","NL-BOTANY","U.1291413","PreservedSpecimen","Plantae",NA,"Dioscoreales","Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"Meyer G",NA,"1922","02","01","Southern America","Bolivia",NA,"Dept.Beni; Cachuela Esperanza, Rio Bani. Clearing in forest.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1291413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1291413","NL-U1291413",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"43","2020-11-04 11:06:12-03","ESALQ","ESA","31865","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"Guedes, M.L. et al.","26657.0","1994","10","05",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"ESA031865","ESA031865","Couto, R.S.","Lamares do Passé",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:06:12-03","ESALQ","ESA","43324","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dioscoreaceae","Dioscorea","stegelmanniana","Dioscorea stegelmanniana","R.Knuth",NA,"Dário, F.R.; Nave, A.G.; Lopes, R.F.; Bertani, D.F.","1146.0","1997","03","29",NA,"Brasil","Mato Grosso","Estrada Gaúcha do Norte - Rio Coluene. Floresta Ombrófila Aberta/Mata Ciliar. Beira de afluente do rio Coluene","-530.204","-132.258",NA,NA,NA,"Liana. Flor amarela.","ESA043324","ESA043324","Couto, R.S.","Gaúcha do Norte",NA,NA,"2011",NA,NA,"-530,204","-132,258",NA,NA,NA,NA
