"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00893780","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","R. Goodland","512","1966","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893780","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","Alto Garças","± 3 km W of Alto Garcas, N side of road.","-53.5281","-16.9442",NA,NA,"NY00893780_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00893526","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Taxonomy Class Of Univ De Brasilia","507","1977","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893526","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","Brasília","South side of campus of Universidade de Brasília.","-47.85","-15.75",NA,NA,"NY00893526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00893781","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","W. R. Anderson","11371","1975","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893781","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","Chapada dos Guimaraes","At western edge of the Chapada dos Guimarães","-55.75","-15.4333","550","680","NY00893781_01","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00893527","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","G. J. Shepherd","3611","1976","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893527","Magnoliophyta","Malpighiales","A.Juss.","Goiás","Anápolis","Estrada de Goiania a Anápolis, km. 42.","-48.9528","-16.3269",NA,NA,"NY00893527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00893519","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","H. S. Irwin","10758","1965","11","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893519","Magnoliophyta","Malpighiales","A.Juss.","Goiás","Abadiânia","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","-48.8086111","-16.05012","975","975","NY00893519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00893520","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","H. S. Irwin","25576","1970","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893520","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","Patrocínio","Morro da Pedras, ca. 26 km N.E. of Patrocínio","-46.9925","-18.9439","1050","1050","NY00893520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00893521","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","H. S. Irwin","25281","1970","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893521","Magnoliophyta","Malpighiales","A.Juss.","Goiás","Catalão","Contraforte Central, Serra do Facão, ca. 35 km N.E. of Catalão","-47.71609","-17.9431","900","900","NY00893521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00893518","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","H. S. Irwin","10717","1965","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893518","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","Brasília","Immediately west of Setor Industrial, Brasilia","-47.9296989440918","-15.7797002792358","1100","1100","NY00893518_01",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:43:31-03","EAO","IAN","148728","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Irwin, HS; Onishi, E","25576","1970","01","29","Southern America","Brasil",NA,NA,"Sessile subshrub, in small patches. Corolla pink in bud, nearly white in antesis. Fruit green.","IAN148728","Dicotiledônea",NA,"A.Juss.","Minas Gerais",NA,"Campo on red clay, with very low generally sparse shrubs, ca. 26km N.E. of patrocínio.",NA,NA,"1000","1000",NA,"Elias, J",NA,NA,"2002","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:43:31-03","EAO","IAN","148728","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Irwin, HS; Onishi, E","25576","1970","01","29","Southern America","Brasil",NA,NA,"Sessile subshrub, in small patches. Corolla pink in bud, nearly white in antesis. Fruit green.","IAN148728","Dicotiledônea",NA,"A.Juss.","Minas Gerais",NA,"Campo on red clay, with very low generally sparse shrubs, ca. 26km N.E. of patrocínio.",NA,NA,"1000","1000",NA,"Elias, J",NA,NA,"2002","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-08 17:42:20-03","EAO","IAN","41511","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Gaudichaud","152",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN041511","Dicotiledônea",NA,"A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-07-03 11:07:58-03","EBDA","BAH","1085","S","Plantae","Malpighiaceae","Byrsonima","gaultherioides","Byrsonima gaultherioides","Clotildes F. da Costa",NA,"1956","01","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Griseb.","Bahia","Ituassú","Serra do Ouro.","-41.2967","-13.8133","800","800",NA,"Edmundo Pereira e Red. Ana Grilichf","36625","auto","1971","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-26 18:08:40-03","CPAN-UFMS","COR","16498","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Quinet, A.; Martinelli, G.; Borges, R.; Bevacqua, A.; Serrano, T.; Pougy, N.; Moraes, M.","2110","2010","11","28",NA,"Brasil",NA,NA,"3 m de altura; folhas discolores verdes, cartáceas; Com Fruto: Frutos imaturos verdes, maduros de cor laranja Habito: Árvore",NA,NA,NA,"A.Juss.","Mato Grosso do Sul","Corumbá","Igarapé próximo a Ilha São Pedro. Floresta estacional decidual aluvial.","-57.372222","-18.343056",NA,NA,NA,"Guimarães, E.F.; Mendes, T.S.",NA,NA,NA,NA,"57º22'20''W","18º20'35''S",NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:55:04-03","NBC","NL-BOTANY","U.1372416","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Oldenburger FHF; Mecenas VV",NA,"1975","11","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1372416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1372416",NA,"Malpighiales","A.Juss.",NA,NA,"D.F. Along road to Planaltina.",NA,NA,NA,NA,"NL-U1372416",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:12:35-03","ESALQ","ESA","88608","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Lenza, E.O.","190.0","1995","11","24",NA,"Brasil",NA,NA,NA,"ESA088608","Magnoliophyta",NA,"A.Juss.","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,"ESA088608","Elias, S.I.","58223","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:12:35-03","ESALQ","ESA","88611","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Arantes, A.A.","117.0","1993","11","30",NA,"Brasil",NA,NA,NA,"ESA088611","Magnoliophyta",NA,"A.Juss.","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,"Elias, S.I.","58223","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:12:35-03","ESALQ","ESA","88609","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Lenza, E.O.","226.0","1995","12","15",NA,"Brasil",NA,NA,NA,"ESA088609","Magnoliophyta",NA,"A.Juss.","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,"Elias, S.I.","58223","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:12:35-03","ESALQ","ESA","88607","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Barbosa, A.A.A.","733.0","1993","10","30",NA,"Brasil",NA,NA,NA,"ESA088607","Magnoliophyta",NA,"A.Juss.","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,"Elias, S.I.","58223","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:12:35-03","ESALQ","ESA","90358","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Paula-Souza, J.; Ferrucci, M.S.; Duarte, A.R.; Rando, J.G.; Tsuji, R.","4752.0","2005","01","26",NA,"Brasil",NA,NA,"Arbusto, ca. 20cm alt. Flores róseas. Entre rochas","ESA090358","Magnoliophyta",NA,"A.Juss.","Tocantins","Taguatinga","Serra Geral de Goiás. 9,5km de Taguatinga (a partir do trevo para Palmas) em direção ao distrito de Luís Eduardo Magalhães (BA). Cerrado pedregoso com afloramentos rochosos","-46.4361000061035","-12.4039001464844","815","815",NA,"Elias, S.I.","53768","auto",NA,NA,"-46,338,056","-12,347,222",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:12:35-03","ESALQ","ESA","88595","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Batalha, M.A.","2135.0","1998","11","01",NA,"Brasil",NA,NA,NA,"ESA088595","Magnoliophyta",NA,"A.Juss.","Goiás","Chapadão do Céu",NA,"-52.548900604248","-18.4074993133545",NA,NA,NA,"Batalha, M.A.","44163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:12:35-03","ESALQ","ESA","88606","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Batalha, M.A.","2640.0","1999","01","04",NA,"Brasil",NA,NA,NA,"ESA088606","Magnoliophyta",NA,"A.Juss.","Goiás","Chapadão do Céu",NA,"-52.548900604248","-18.4074993133545",NA,NA,NA,"Batalha, M.A.","44163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:12:35-03","ESALQ","ESA","28090","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Dubs, B.","1508.0","1994","07","12",NA,"Brasil",NA,NA,NA,"ESA028090","Magnoliophyta",NA,NA,"Mato Grosso","Chapada dos Guimarães",NA,"-55.749698638916","-15.460599899292",NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:12:35-03","ESALQ","ESA","93402","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Souza, L.R.M. et al.",NA,"1997","02","17",NA,"Brasil",NA,NA,NA,"ESA093402","Magnoliophyta",NA,"A.Juss.","Mato Grosso","Chapada dos Guimarães",NA,"-55.749698638916","-15.460599899292",NA,NA,NA,"Elias-Rolim, S.I.","107042","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:12:35-03","ESALQ","ESA","88612","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Araújo, G.M.",NA,"1997","11","28",NA,"Brasil",NA,NA,NA,"ESA088612","Magnoliophyta",NA,"A.Juss.","Minas Gerais","Uberlândia",NA,"-48.2771987915039","-18.9186000823975",NA,NA,NA,"Elias, S.I.","58223","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 11:12:35-03","ESALQ","ESA","101961","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Scaramuzza, C.A.M.","927.0","1993","07","03",NA,"Brasil",NA,NA,NA,"ESA101961","Magnoliophyta",NA,NA,"São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"Scaramuzza, C.A.M.","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 10:56:03-03","ESALQ","ESA","137707","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Souza, V.C.; Flores, T.B.; Colletta, G.D.; Coelho, R.L.G.; Souza, M.A.S.S.C.","39654.0","2015","12","15",NA,"Brasil",NA,NA,"Subarbusto, ca. 20 cm alt.; pétalas róseas.","ESA137707",NA,NA,NA,"Distrito Federal","Brasília","Reserva Ecológica do IBGE. Cerrado.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Souza, V.C.","70570","auto","2015","12",NA,NA,NA,"16",NA,NA,NA,NA,NA
"37","2020-11-19 10:24:07-03","CPAP","CPAP","16701","PreserverdSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Hatschbach, G.","63620","1995","10","20",NA,"Brasil",NA,NA,"Xilopodífera, ascendente. FLOR: rosada. AMBIENTE: Campo limpo.",NA,NA,NA,"A.Juss.","MT","Chapa dos Guimarães","Chapada dos Guimarães, arredores",NA,NA,NA,NA,NA,"W. R. Anderson",NA,NA,"1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:55:33-03","JBP","HPL","2755","S","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","R. Tsuji, L.C. Bernacci & E. Franco","734","2004","11","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,"A.Juss.","MT","Chapada dos Guimarães","Sentido Morro São Geronimo , na trilha do cerrado.","-55.842917","-15.381028","537","537",NA,"V.C. Souza",NA,NA,"2012","07","55° 50' 34,5 W","15° 22' 51,7 S",NA,"03",NA,NA,NA,NA,NA
"39","2019-02-15 11:44:52-02","IPA","IPA","17924","S","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Barroso, G.M.; Mª José; Giulietti, A.M.; Mª José; Giulietti, A.M.","654","1968","12","21","Southern America","Brasil",NA,NA,"Subarbusto de 30cm, flores amarelas.; Cerrado.","IPA0017924","Plantae",NA,"A. Juss.","Goiás",NA,"beira da estrada São João da Aliança - Alto Paraíso.",NA,NA,NA,NA,NA,"Francener, A.",NA,NA,"2015","08",NA,NA,NA,"11",NA,NA,NA,NA,NA
"40","2021-04-07 11:45:35-03","UFMS","CGMS","35321","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","A. Francener; C.F. Hall; R.D. Sartin; M.V. Dantas-Queiroz; C.O. Martins","1057","2011","01","07",NA,"Brasil",NA,NA,"Corola rósea. Frutos verdes. Folhas verdes discolores. Habitat: Cerrado pós-fogo. Habito: Erva cespitosa a arbustiva.","CGMS1064720",NA,NA,"A.Juss.","Mato Grosso","Araguainha","Rio Diamantino.","-53.1633333","-16.5983333","705","705",NA,NA,NA,NA,"2011","01","-53,1633333","-16,5983333",NA,"07",NA,NA,NA,NA,NA
"41","2021-04-07 11:45:35-03","UFMS","CGMS","18427","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","G.A. Damasceno-Junior; A. Guglieri; F.J.M. Caporal; F. Macedo-Alves; E.C. Bertazzoni","4518","2006","12","10",NA,"Brasil",NA,NA,"Flor branca. Habitat: Cerrado. Mata mais fechada. Solo arenoso. Relevo plano ondulado. Habito: Erva. 0,40m de altura.","CGMS1047726",NA,NA,"A.Juss.","Mato Grosso do Sul","Campo Grande","APA do Guariroba.","-54.3647222","-20.5944444","625","625",NA,"A. Francener",NA,NA,"2012","07","-54,3647222","-20,5944444",NA,"03",NA,NA,NA,NA,NA
"42","2021-04-07 11:45:35-03","UFMS","CGMS","18432","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","G.A. Damasceno-Junior; A. Guglieri; F.J.M. Caporal; F. Macedo-Alves; E.C. Bertazzoni","4523","2006","12","10",NA,"Brasil",NA,NA,"idem D 4438 Habitat: Cerrado. Mata mais fechada. Solo arenoso. Relevo plano ondulado. Habito: Trepadeira.","CGMS1047731",NA,NA,"A.Juss.","Mato Grosso do Sul","Campo Grande","APA do Guariroba.","-54.3647222","-20.5944444","625","625",NA,"A. Francener",NA,NA,"2009","02","-54,3647222","-20,5944444",NA,"13",NA,NA,NA,NA,NA
"43","2021-04-07 11:45:35-03","UFMS","CGMS","18344","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","G.A. Damasceno-Junior; A. Guglieri; F.J.M. Caporal; F. Macedo-Alves; E.C. Bertazzoni","4438","2006","12","09",NA,"Brasil",NA,NA,"Flor rosada. Habitat: Borda de cerrado. Solo arenoso. Relevo plano ondulado. Habito: Trepadeira.","CGMS1047639",NA,NA,"A.Juss.","Mato Grosso do Sul","Campo Grande","APA do Guariroba.","-54.4058333","-20.5322223",NA,NA,NA,"A. Francener",NA,NA,"2009","02","-54,4058333","-20,5322223",NA,"13",NA,NA,NA,NA,NA
"44","2021-04-07 11:45:35-03","UFMS","CGMS","11374","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","U.M. Resende; et al.",NA,"1997","10","08",NA,"Brasil",NA,NA,"Flor rósea.","CGMS1040694",NA,NA,"A.Juss.","Mato Grosso do Sul","Campo Grande","Reserva do Guariroba.","-54.6464004516602","-20.4428005218506",NA,NA,NA,"A. Francener","161190","auto","2009","02",NA,NA,NA,"13",NA,NA,NA,NA,NA
"45","2021-04-07 11:45:35-03","UFMS","CGMS","1000","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","R. Stuki",NA,"1982","11","01",NA,"Brasil",NA,NA,"Flor amarela. Fruto baciforme. Filotaxia oposta. Habitat: Terrestre. Habito: Arbustivo.","CGMS1015404",NA,NA,"A.Juss.","Mato Grosso do Sul","Pedro Gomes","Fazenda Sonora.","-54.5518989562988","-18.1005992889404",NA,NA,NA,"A. Francener","93377","auto","2009","02",NA,NA,NA,"13",NA,NA,NA,NA,NA
"46","2019-08-20 10:17:32-03","UNICAMP","UEC","117651","S","Plantae","Malpighiaceae","Byrsonima","rigida","Byrsonima rigida","Batalha, MA","2924","1999","02","04",NA,"Brazil",NA,NA,"fruto, Herb. Planta inteira. Frutos verdes, em campo sujo com indaiá.",NA,"Magnoliopsida",NA,"A.Juss.","Goiás","Chapadão do Céu","Parque Nacional das Emas. Próxima ao pon","-52.883333","-17.816667",NA,NA,NA,"Batalha, MA",NA,NA,"2000","02","-52.883333","-17.816667",NA,NA,NA,NA,NA,NA,NA
