"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2019-12-04 15:26:11-03","PUCPR","HUCP","17955","S","Plantae","Monilofita",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin.",NA,"Cruz, ICB; Paula, FS; Guidolin, JC","035",NA,"Brasil","Paraná","Jardim Paulista","-49.0553016662598","-25.3055992126465",NA,NA,"HUCP00000371","HUCP00000371","Kersten, RA","2007","06","20","Campina Grande do Sul",NA,NA,"2007","09","26","55154","auto",NA,NA,NA,NA,NA
"12","2020-02-08 10:41:06-03","NBC","NL-BOTANY","L.1284609","PreservedSpecimen","Plantae",NA,"Cyatheales","Cyatheaceae","Alsophila","glaziovii","Alsophila glaziovii","Baker",NA,"Düsen P",NA,"Southern America","Brazil",NA,"Fernandes Pinheiro, in siloa primava.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1284609 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1284609","NL-L1284609",NA,"1904","01","05",NA,NA,NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA
"13","2020-02-08 10:41:06-03","NBC","NL-BOTANY","U.1005900","PreservedSpecimen","Plantae",NA,"Cyatheales","Cyatheaceae","Alsophila","glaziovii","Alsophila glaziovii","Baker",NA,"Duarte AP; Ferreira CCS",NA,"Southern America","Brazil",NA,"Paraná. Parque Vacional do Iguassér-Palmital.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1005900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1005900","NL-U1005900",NA,"1949","05","09",NA,NA,NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA
"14","2020-11-04 11:21:13-03","ESALQ","ESA","72757","PreservedSpecimen","Plantae","Pteridophyta",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii",NA,NA,"Salino, A.","6494.0",NA,"Brasil","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"ESA072757",NA,"Salino, A.","2001","04","10","São Paulo",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"15","2021-01-14 15:27:39-03","MN","R","211630","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Glaziou, A.F.M.; Galvão, F.R.",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Gabinete de Botânica da Escola Polytechnica, 5555; Herb. J. de Saldanha","R000211630","R000211630_001","Fernandes, I.",NA,NA,NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-02-15 11:37:17-02","IPA","IPA","2535","S","Plantae","Plantae",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Brade, A.C.","s.n.","Southern America","Brasil","Rio de Janeiro","Tijuca-Excelsior","-43.2075004577637","-22.9027996063232",NA,"Mata.","IPA0002535",NA,"Fernandes, I.","1929","06","30","Rio de Janeiro",NA,NA,"1998","06","08","57442","auto",NA,NA,NA,NA,NA
"17","2019-08-27 13:35:01-03","IAP","PACA-AGP","71932","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"H. E. Strang",NA,NA,"Brasil","RJ","Estr. Dona Castorina","-43.2075004577637","-22.9027996063232",NA,"Herb.GUA 5249","PACA071932",NA,"I. Fernandes","1965","09","02","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"18","2019-08-27 13:35:01-03","IAP","PACA-AGP","71885","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"D. Araujo","1197",NA,"Brasil","RJ","Parque Nacional da Tijuca, Riacho Padrão, acima da Vista Chinasa","-43.2075004577637","-22.9027996063232",NA,"Herb. GUA 12123&nf;feto arbóreo com 4 m de altura; esciófilo","PACA071885",NA,"I. Fernandes","1976","09","01","Rio de Janeiro","480","480","1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"19","2019-08-27 13:35:01-03","IAP","PACA-AGP","85068","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"I. Fernandes","1324",NA,"Brasil","RJ","próx. Parque Nacional da Tijuca, Estrada do Alto da Boa Vista","-43.2075004577637","-22.9027996063232",NA,"caule 2,20m alt. e 5cm diam. - sem as bases dos peciolos Habitat: interior da mata","PACA085068",NA,NA,"1995","09","15","Rio de Janeiro",NA,NA,NA,NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"20","2020-12-21 16:37:27-03","IAP","PACA-AGP","71882","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Castellanos, A.","25658",NA,"Brasil","RJ","Estrada Visconde de Bom Retiro",NA,NA,NA,"Herb. GUA 4385","PACA071882",NA,"I. Fernandes","1964","09","24",NA,NA,NA,"1995",NA,NA,NA,NA,"Filicopsida",NA,NA,NA,NA
"21","2019-08-27 13:35:01-03","IAP","PACA-AGP","71881","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"H. E. Strang",NA,NA,"Brasil","RJ","Estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,"folha com 1,8m comprimento Habitat: in silva Hábito: arbusto","PACA071881",NA,"I. Fernandes","1965","09","02","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"22","2019-08-27 13:35:01-03","IAP","PACA-AGP","71884","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"J. P. P. Carauta","2054",NA,"Brasil","RJ","Parque Nacional da Tijuca, caminho do encanamento","-43.2075004577637","-22.9027996063232",NA,"feto arbóreo caído no chão devido a recentes vendavais&nf;duplicata em RB","PACA071884",NA,"I. Fernandes","1976","05","31","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"23","2019-08-27 13:35:01-03","IAP","PACA-AGP","71886","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"J. P. P. Carauta","1835",NA,"Brasil","RJ","Parque Nacional da Tijuca, caminho do encanamento","-43.2075004577637","-22.9027996063232",NA,"Inst. Cons. Nat. 11243&nf;feto arbóreo com 3 m de alt.; frondes com 1,5 m Habitat: crescia à beira do riacho, local sombrio","PACA071886",NA,"I. Fernandes","1975","11","20","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"24","2020-12-21 16:37:27-03","IAP","PACA-AGP","71933","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Castellanos, A.",NA,NA,"Brasil","RJ","Tijuca - Caminho da Saudade","-43.2075004577637","-22.9027996063232",NA,"Herb.GUA 5324","PACA071933",NA,"I. Fernandes","1965","11","06","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto","Filicopsida",NA,NA,NA,NA
"25","2020-12-20 21:16:44-03","UFV","VIC","044798","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Vilela, E.A.; et al.","s.n.",NA,"Brasil","Minas Gerais","Mata dos Dourados, Mata ciliar.","-47.5416984558105","-19.9372005462646",NA,"Mata ciliar","VIC044798","VIC044798",NA,"1994","09","05","Conquista",NA,NA,NA,NA,NA,"30156","auto",NA,NA,NA,NA,NA
"26","2019-11-21 14:52:02-03","UFJF","CESJ","46715","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"F.S. Souza; P.L. Viana; N.L. Abreu; L. Menini Neto","122","América do Sul","Brasil","Minas Gerais","Serra Negra, Serra da Caveira D'Anta","-43.8278007507324","-22.0891990661621",NA,"Feto arborescente em interior de mata com 2,5m. Fronde com 2m.","CESJ046715",NA,"A. Salino","2006","01","21","Rio Preto",NA,NA,"2008","09",NA,"20815","auto",NA,NA,NA,NA,NA
"27","2019-11-21 14:52:02-03","UFJF","CESJ","30100","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"I.Fernandes; M.G. Bovini","1327","América do Sul","Brasil","Rio de Janeiro","próximo ao Parque Nacional da Tijuca, Estrada do Alto da Boa Vista","-43.2075004577637","-22.9027996063232",NA,"Interior de mata. caule 70 cm de altura.","CESJ030100",NA,"I.Fernandes","1995","09","15","Rio de Janeiro",NA,NA,"1995",NA,NA,"57442","auto",NA,NA,NA,NA,NA
"28","2019-11-21 14:52:02-03","UFJF","CESJ","57265","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"A. Salino","6494","América do Sul","Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo de Curucutu, em afluente do rio Capivari. 23º59'46 S; 46º44'12 W; 800m de altitude.",NA,NA,NA,"Floresta Nebular. Terrestre e arborescente, na margem de córrego e interior de floresta. Caule com 1,5m de altura.","CESJ057265",NA,"A. Salino","2001","04","10",NA,NA,NA,"2013","07",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 14:52:02-03","UFJF","CESJ","58399","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"V.A.O. Dittrich; R.A.F. Lima","1553","América do Sul","Brasil","São Paulo","Sertão do Una, Coordenadas geográficas aproximadas de 23°43'18S e 45°45'14w.","-45.753889","-23.721667",NA,"Arborescente de 1,7m de altura e 15cm de PAP. Restos de pecíolos ao longo do caule, folhas de 139-173cm compr., pecíolos de 30-42cm compr., lâmina de 106-131cm compr.. Interior de Floresta Ombrófila Densa de encosta.","CESJ058399",NA,"A. Salino","2008","03","13","São Sebastião",NA,NA,"2008","04",NA,NA,NA,NA,"-45.753889","-23.721667",NA,NA
"30","2021-03-01 16:43:35-03","UNICAMP","UEC","163975","S","Plantae","Pteridophyta",NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Nóbrega, GA","796",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar Núcleo Picinguaba, fazenda Capricórnio, parcela J.","-45.0699996948242","-23.4300003051758",NA,"Planta arborescente.","UEC036878","UEC036878","Nóbrega, GA","2009","05","11","Ubatuba","390","390","2009",NA,NA,"34265","auto",NA,NA,NA,NA,NA
"31","2020-07-07 12:09:31-03","UFPB","JPB","24535","PreservedSpecimen","Plantae","Fungi","Pteridophyta","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Feé) Domin",NA,"Pietrobom, Silva","4499","Southern America","Brasil","Pernambuco",NA,"-35.4914016723633","-7.59111022949219",NA,NA,NA,NA,NA,"1998","12","07","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"32","2020-07-07 12:09:31-03","UFPB","JPB","24542","PreservedSpecimen","Plantae","Fungi","Pteridophyta","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Feé) Domin",NA,"Pietrobom, Silva","4403","Southern America","Brasil","Pernambuco",NA,"-35.4914016723633","-7.59111022949219",NA,NA,NA,NA,NA,"1998","08","17","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"33","2020-07-07 12:09:31-03","UFPB","JPB","24543","PreservedSpecimen","Plantae","Fungi","Pteridophyta","Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Feé) Domin",NA,"Pietrobom, Silva","4417","Southern America","Brasil","Pernambuco",NA,"-35.4914016723633","-7.59111022949219",NA,NA,NA,NA,NA,"1998","09","16","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"34","2019-08-16 08:39:04-03","UTFPR","HCF","18581","S","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"J.M.A. Braga","5404",NA,"Brasil","RJ","Reserva da Petrobrás. Garrão, Sítio","-43.3116989135742","-22.7856006622314",NA,"feto arborescente; ca. 2,5 m de altura, ciófilo. Escamas castanho-claras. Pacíolo castanho. Soros castanhos. Soros verdes acastanhados. Proximidades do topo de marrons mamelomar. Coordenadas: 22°31'00 S, 43°14'00 W/ 22°33'00 S, 43°16'00 W.",NA,NA,"L. Sylvestre","1999","08","30","Duque de Caxias","190","190","2012",NA,NA,"34388","auto",NA,NA,NA,NA,NA
"35","2020-06-29 09:30:08-03","UFRRJ","RBR","5515","S","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"C.G.R. Ramos; L.S. Sylvestre, G.D.W. Cattan, M. Moraes, S.J. Silva-Neto, W. Silva","1",NA,"Brasil","Rio de Janeiro","Reserva Biológica do Tinguá, Caminho para a Toca do Ronca. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"RBR00005515",NA,NA,"2000","08","14","Nova Iguaçu",NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"36","2020-06-29 09:30:08-03","UFRRJ","RBR","14296","S","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"E.M.R. Silva","36",NA,"Brasil","Rio de Janeiro","Ilha da Marambaia, Gruta acima da senzala, mata de encosta, com sombra.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00014296",NA,NA,"2003","08","20","Mangaratiba",NA,NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA
"37","2020-06-29 09:30:08-03","UFRRJ","RBR","5516","S","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"C.G.R. Ramos; L.S. Sylvestre, G.D.W. Cattan, M. Moraes, S.J. Silva-Neto, W. Silva","4",NA,"Brasil","Rio de Janeiro","Reserva Biológica do Tinguá, Trilha para o Pico do Tinguá. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"RBR00005516",NA,NA,"2000","08","14","Nova Iguaçu","1320","1320",NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:21:50-03","MBM","MBM","242928","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pietrobom da Silva, M.R.","443","Southern America","Brazil","Pernambuco","Serra do Mascarenhas","-35.4914016723633","-7.59111022949219",NA,NA,"MBM242928","MBM242928","Fernandes, I.","1998","08","17","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"39","2020-12-21 16:21:50-03","MBM","MBM","242925","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pietrobom da Silva, M.R.","4510","Southern America","Brazil","Pernambuco","Serra do Mascarenhas","-35.4914016723633","-7.59111022949219",NA,NA,"MBM242925","MBM242925","Fernandes, I.","1999","01","29","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"40","2020-12-21 16:21:50-03","MBM","MBM","18449","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Brade, A.C.","8605","Southern America","Brazil","Rio de Janeiro","Sumaré, na Serra Carioca","-43.2075004577637","-22.9027996063232",NA,NA,"MBM018449","MBM018449","Fernandes, I.","1929","03","03","Rio de Janeiro",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"41","2020-12-21 16:21:50-03","MBM","MBM","242924","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pietrobom da Silva, M.R.; Fernandez, I.; Fernandez, I.","4537","Southern America","Brazil","Pernambuco","Serra do Mascarenhas",NA,NA,NA,NA,"MBM242924","MBM242924","Fernandes, I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:21:50-03","MBM","MBM","405233","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Braga, J.M.A.","5404","Southern America","Brazil","Rio de Janeiro","Reserva da Petrobras, Garrão, Sítio Riacho dos Beija-flores, rpox. Barragem de Saracuruna","-43.233333","-22.516667",NA,"Feto arborescente; ca. 2,5 m de altura, ciófilo. Escamas castanho-claras. Pecíolo castanho. Soros verdes acastanhados. Proximidades do topo de marrons mamelomar.","MBM405233","MBM405233","Sylvestre, L.","1999","08","30","Duque de Caxias","190","190","2012",NA,NA,NA,NA,NA,"-43.233333","-22.516667",NA,NA
"43","2020-12-21 16:21:50-03","MBM","MBM","242927","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pietrobom da Silva, M.R.","4417","Southern America","Brazil","Pernambuco","Serra do Mascarenhas","-35.4914016723633","-7.59111022949219",NA,NA,"MBM242927","MBM242927","Fernandes, I.","1998","09","16","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"44","2020-12-21 16:21:50-03","MBM","MBM","242926","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Pietrobom da Silva, M.R.","4554","Southern America","Brazil","Pernambuco","Serra do Mascarenhas","-35.4914016723633","-7.59111022949219",NA,NA,"MBM242926","MBM242926","Pietrobom da Silva, M.R.","1999","05","05","São Vicente Ferrer",NA,NA,NA,NA,NA,"11339","auto",NA,NA,NA,NA,NA
"45","2015-09-05 07:45:04-03","MNHN","RECOLNAT_MNHN_P","P00642314","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Rio de Janeiro, Corcovado",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642314' target='other'> <mi>dwc_moreinfo</mi></a>","P00642314","P00642314_01",NA,"1867","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"985",NA
"46","2015-09-24 20:11:52-03","MNHN","RECOLNAT_MNHN_P","P00642315","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Rio de Janeiro, Corcovado",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642315' target='other'> <mi>dwc_moreinfo</mi></a>","P00642315","P00642315_01",NA,"1867","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"985",NA
"47","2015-09-24 19:49:50-03","MNHN","RECOLNAT_MNHN_P","P00642316","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Rio de Janeiro, Corcovado",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642316' target='other'> <mi>dwc_moreinfo</mi></a>","P00642316","P00642316_01",NA,"1867","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"985",NA
"48","2015-09-24 20:34:57-03","MNHN","RECOLNAT_MNHN_P","P00642317","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Cyathea","glaziovii","Cyathea glaziovii","(Fée) Domin",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"Corcovado",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00642317' target='other'> <mi>dwc_moreinfo</mi></a>","P00642317","P00642317_01",NA,"1867","8","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1710",NA
