"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","order","fieldNumber","preparationType","class","individualCount"
"27","2020-07-10 09:46:12-03","MBML","MBML-HERBARIO","19283",NA,"Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","J. Rossini/Março-2003",NA,NA,NA,"L. Kollmann; et al","5920","2003","01","20","Brasil","Espírito Santo","Santa Maria de Jetibá","Rio das Pedras","-40.725556","-20.069167",NA,NA,NA,"Epífita, 3m de altura do solo, meia sombra. Flores vermelhas com listras amarelas no ápice.","MBML019283",NA,NA,"MBML019283",NA,"40W43'32","20S4'9",NA,NA,NA,NA,NA
"28","2020-06-15 15:30:46-03","UNESP-RC","HRCB","35086","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanstein)","Tannus, J.L.S.","2001","06",NA,"Disciplina princípios e métodos em taxonomia vegetal","158","2001","11","22","Brasil","São Paulo","São Luis do Paraitinga","Núcleo Sta Virgínia","-45.121944","-23.311244",NA,"928","928","Epífita, ciófita, cálice verde, corola laranja",NA,NA,NA,NA,NA,"45°7'19W","23°18'40.48S",NA,NA,NA,NA,NA
"29","2020-06-15 15:30:46-03","UNESP-RC","HRCB","6161","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanstein)","Chautems, A.","1997","01",NA,"Cesar, O.","685","1985","11","30","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,NA,"Pétala alaranjada.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-06-15 15:30:46-03","UNESP-RC","HRCB","36138","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanstein)","Dittrich, V.A.O.","2002","05",NA,"Dittrich,V.A.O.","974","2001","10","29","Brasil","São Paulo","São Luis do Paraitinga","Núcleo Sta Virgínia","-45.310001373291","-23.2199993133545","27362","800","800","Epífito a aproximadamente 2m de altura na floresta ombrófila densa montana. Corola alaranjado-avermelhada",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2959581","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","Chautems, A. P.",NA,NA,NA,"G. Martinelli & C. Farney","8740","1982","9","16","Brazil","Rio de Janeiro",NA,"Mun. of Macae, Pico do frade de Macae, camp",NA,NA,NA,"1200",NA,NA,"US00246198",NA,NA,"US00246198_01","South America - Neotropics",NA,NA,"Scrophulariales",NA,NA,"Dicotyledonae","1"
"32","2020-09-12 05:00:02-03","US","US","2724200","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"P. Occhioni","s.n.","1951",NA,NA,"Brazil",NA,NA,"Parque Nac Serra dos Orjas",NA,NA,NA,NA,NA,NA,"US00246197",NA,NA,"US00246197_01","South America - Neotropics",NA,NA,"Scrophulariales",NA,NA,"Dicotyledonae","1"
"33","2020-09-12 05:00:02-03","US","US","2724201","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"P. Occhioni","s.n.","1946",NA,NA,"Brazil",NA,NA,"Est do rio, terra dos Gajas",NA,NA,NA,NA,NA,NA,"US00246196",NA,NA,"US00246196_01","South America - Neotropics",NA,NA,"Scrophulariales",NA,NA,"Dicotyledonae","1"
"34","2019-11-13 11:20:19-03","USP","SPF","60064","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","Chautems, A","1989","04",NA,"Zappi, DC","CFSC9978","1987","02","02","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557",NA,NA,NA,"SPF00060064","auto",NA,"SPF00060064",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-13 11:20:19-03","USP","SPF","134532","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","Anônimo",NA,NA,NA,"Buzato, S","27994","1992","11","29","Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar","-44.9599990844727","-23.0699996948242","38855",NA,NA,NA,"SPF00134532","auto",NA,"SPF00134532",NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-03-13 19:26:08-03","F","FMNH-SEEDPLANTS","V0279918F","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0279918F",NA,"Spermatophyta","V0279918F_01","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"37","2015-03-13 19:26:08-03","F","FMNH-SEEDPLANTS","V0279919F","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0279919F",NA,"Spermatophyta","V0279919F_01","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"38","2015-03-13 19:26:08-03","F","FMNH-SEEDPLANTS","V0279920F","PreservedSpecimen","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0279920F",NA,"Spermatophyta","V0279920F_01","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"39","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Gesneriaceae","Hypocyrta","sericea","Hypocyrta sericea","Hanst.",NA,NA,NA,NA,"Riedel, L","s.n.",NA,NA,NA,"Brazil",NA,NA,"Crescit in arboribus prope Morro queimado etc",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P08P1N0067","Southern America",NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Gesneriaceae","Hypocyrta","sericea","Hypocyrta sericea","Hanst.",NA,NA,NA,NA,"Langsdorff, GH (Baron)","s.n.",NA,NA,NA,"Brazil",NA,NA,"Crescit in arboribus prope Morro queimado etc",NA,NA,NA,NA,NA,"Dryas",NA,NA,NA,"P08P1N0067","Southern America",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:07:00-03","IBt","SP","219158","S","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems","Chautems, A","1987","02","02","Barros, F","1321","1987","02","02","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 126, Alto do Palácio","-43.7144012451172","-19.1688995361328","26557","1300","1300",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:07:00-03","IBt","SP","205253","S","Plantae","Gesneriaceae","Nematanthus","sericeus","Nematanthus sericeus","(Hanst.) Chautems",NA,NA,NA,NA,"Barros, F","1235","1985","12","14","Brasil","São Paulo","Natividade da Serra",NA,"-45.439998626709","-23.3700008392334","28529",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
