"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","dayIdentified"
"11","2021-02-12 18:11:50-03","UFES","VIES","39499","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Oliveira, S.C.","2015","09","01",NA,"Brasil","Universidade de Brasília.","-47.871389","-15.763889","47º52'17''W","15º45'50''S",NA,"VIES039499","VIES039499",NA,NA,"s.n.","Distrito Federal","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:11:34-03","MBM","MBM","70338","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Hatschbach, G.","1980","08","16","Southern America","Brazil","Cristalina, arredores","-47.6136016845703","-16.7686004638672",NA,NA,"Campo, flor creme","MBM070338","MBM070338",NA,"Ravenna, P.","43166","Goiás","Cristalina","85457","auto","1983","01",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:11:34-03","MBM","MBM","48075","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Hatschbach, G.","1975","09","27","Southern America","Brazil","Sobradinho, Distrito Federal",NA,NA,NA,NA,"Flor creme, do cerrado","MBM048075","MBM048075",NA,"Ravenna, P.","37189","Distrito Federal",NA,NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:11:34-03","MBM","MBM","48068","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Hatschbach, G.","1975","09","19","Southern America","Brazil","Serra do Mocambo","-49.4636001586914","-24.1128005981445",NA,NA,"Campo, orla matinha. Flor verde, ápice vermelho","MBM048068",NA,NA,"Ravenna, P.","37104","Paraná","Sengés","55682","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-03 20:14:34-03","MNHN","RECOLNAT_MNHN_P","P02054761","PreservedSpecimen",NA,NA,NA,"Amaryllidaceae","Crinum","stapfianum","Crinum stapfianum","Kraenzl.","Argent, G.|Ramos, J.|Souza, R.|Richards, P.W.","1967","10","12",NA,"Brasil","Brickworks near Olaria, just S.W. of Xavantina",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054761' target='other'> <mi>dwc_moreinfo</mi></a>","P02054761","P02054761_01",NA,NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"6727","hb",NA,NA
"16","2020-10-01 14:25:45-03","JBB","HEPH","28086","S","Plantae",NA,"Asparagales","Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Parralego, Y","2011","09","29","Southern America","Brasil","Estação Ecológica do Jardim Botânico de Brasília - Caminho para o Cristo Redentor, divisa com o IBGE.","-47.9296989440918","-15.7797002792358",NA,NA,"Pós fogo, mais ou menos 25 dias. Endêmica (GO e DF.)",NA,NA,"Monocotyledon","Oliveira, MS","1","Distrito Federal","Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-10-01 14:25:45-03","JBB","HEPH","23293","S","Plantae",NA,"Asparagales","Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Azevedo, INC de","2007","08","29","Southern America","Brasil","Rota do Cavalo","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"Monocotyledon","Oliveira, MS; Azevedo, INC de","384","Distrito Federal","Brasília","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2018-05-22 13:41:00-03","MO","MOBOT","3031398","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Ezechias P. Heringer","1974",NA,NA,"South America","Brazil","De cerrado seco, sujeito acos incêndios, florecendo apos dos incêdios.",NA,NA,NA,NA,NA,NA,NA,NA,"A. Campos-Rocha","Heringer 13933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2927053","PreservedSpecimen","Plantae","Monocotyledonae","Liliales","Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum",NA,"E. P. Heringer, J. E. de Paula, R. C. Mendonça & A. Salles","1979","10","9","South America - Neotropics","Brazil","Estrada alto paraiso",NA,NA,NA,NA,NA,"US00511288","US00511288_01",NA,NA,"2373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-09-02 16:19:17-03","Cenargen","CEN","45579","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","aff. goianum","Hippeastrum aff. goianum","(Ravenna) Meerow","João Aguiar Nogueira Batista","2002","09","07",NA,"Brasil","RA-I, Brasília - Plano Piloto. Final da Asa Norte. Área entre o Parque Ecológico Norte e o Parque Nacional de Brasília. Local do futuro Setor Noroeste. Área ao lado do Parque Ecológico.","-47.9296989440918","-15.7797002792358",NA,NA,"Latossolo avermelhado. Área anteriormente queimada, com a vegetação ainda em início de brotação. Em final de floração, somente um ou outro exemplar ainda com flores. Flores com cor creme.","CEN00045579","CEN00045579",NA,"R. S. Oliveira","1301","DF","BRASILIA","70570","auto","2012","03",NA,NA,NA,"Unicata","1",NA
"21","2020-09-02 16:19:17-03","Cenargen","CEN","57036","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","aff. goianum","Hippeastrum aff. goianum","(Ravenna) Meerow","Antônio Fernando Caetano Tombolato","1995","11","12",NA,"Brasil","9km do início da estrada para São Jorge, brejo do lado direito da estrada em direção ao São Jorge.","-47.5099983215332","-14.1324996948242",NA,NA,"Plena florada. Doação do Instituto Agronômico de Campinas - IAC (17807). Campinas.","CEN00057036","CEN00057036",NA,NA,"982","GO","ALTO PARAISO DE GOIAS","44724","auto",NA,NA,"1130","1130",NA,"Exsicatas","1",NA
"22","2020-09-02 16:19:17-03","Cenargen","CEN","87573","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","cf. goianum","Hippeastrum cf. goianum","(Ravenna) Meerow","João Benedito Pereira","2010","11","18",NA,"Brasil","Estrada antiga que ligava Palmeirante à TO-010, próximo a uma ponte quebrada.","-47.937777","-7.7605555","-47.937777","-7.7605555",NA,"CEN00087573","CEN00087573",NA,"A. C. Amaral-Lopes","300","TO","PALMEIRANTE",NA,NA,"2011","05","160","160",NA,"Exsicatas","3",NA
"23","2020-09-02 16:19:17-03","Cenargen","CEN","75692","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","09","29",NA,"Brasil","Ceilândia. Rodovia que liga Ceilândia a Brazlândia VC 561.","-47.996111","-15.811111","-47.996111","-15.811111",NA,"CEN00075692","CEN00075692",NA,NA,"9","DF","BRASILIA",NA,NA,NA,NA,"1261","1261",NA,"Exsicatas","2",NA
"24","2020-09-02 16:19:17-03","Cenargen","CEN","113553","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Aécio Amaral-Santos","2009","09","21",NA,"Brasil","Rodovia TO-222, sentido Distrito de Bielândia - Filadélfia, cerca de 15,6 km após Bielândia.","-47.74","-7.4622222","-47.74","-7.4622222",NA,"CEN00113553","CEN00113553",NA,"A. C. Amaral-Lopes","3200","TO","FILADELFIA",NA,NA,"2011","05","240","240",NA,"Exsicatas","2",NA
"25","2020-09-02 16:19:17-03","Cenargen","CEN","75693","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","09","29",NA,"Brasil","DF 180 km 22,5, sentido Brazlândia.","-48.203333","-15.696666","-48.203333","-15.696666",NA,"CEN00075693","CEN00075693",NA,NA,"10","DF","BRASILIA",NA,NA,NA,NA,"1081","1081",NA,"Unicata","1",NA
"26","2020-09-02 16:19:17-03","Cenargen","CEN","75702","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2006","01","31",NA,"Brasil","APA da Cafuringa.","-47.966666","-15.4575","-47.966666","-15.4575","O local da coleta apresentava manchas de afloramento rochoso.","CEN00075702","CEN00075702",NA,"G. G. Lyra Marques","25","DF","BRASILIA",NA,NA,"2014","07",NA,NA,NA,"Unicata","1",NA
"27","2020-09-02 16:19:17-03","Cenargen","CEN","75574","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Roberta Gomes Chacon","2010","11","01",NA,"Brasil","Ponto 01. APA da Cafuringa, próximo cerca de 50 m da estrada. Fazenda Mata do Sucuri.","-47.968333","-15.473333","-47.968333","-15.473333",NA,"CEN00075574","CEN00075574",NA,"A. C. Amaral-Lopes","740","DF","BRASILIA",NA,NA,"2010","11",NA,NA,NA,"Unicata","1",NA
"28","2020-09-02 16:19:17-03","Cenargen","CEN","54774","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","José Floriano Barêa Pastore","2004","11","05",NA,"Brasil","Fazenda Água Fria (entrada).","-47.509166","-14.0725","-47.509166","-14.0725",NA,"CEN00054774","CEN00054774",NA,"A. C. Amaral-Lopes","1069","GO","ALTO PARAISO DE GOIAS",NA,NA,"2005","11",NA,NA,NA,"Exsicatas","2",NA
"29","2020-09-02 16:19:17-03","Cenargen","CEN","68734","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","A. G. Miranda","1981","09","13",NA,"Brasil","Estrada Brasília - Anápolis, km 15. Retirada em área de brejo.",NA,NA,NA,NA,"Planta herbácea, caule oco. flores pálidas, em grupo. Folhas sem pecíolo. Doação.","CEN00068734","CEN00068734",NA,"A. C. Amaral-Lopes","8",NA,NA,NA,NA,"2016","05",NA,NA,NA,"Exsicatas","1",NA
"30","2020-09-02 16:19:17-03","Cenargen","CEN","75687","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","08","22",NA,"Brasil","DF-001 sentido Brasília - Brazlândia, em frente a Chácara Morada dos Pássaros e ao portão 9 do Parque Nacional de Brasília.","-48.053888","-15.6175","-48.053888","-15.6175","Perianto de cor creme com faixa central de cor púrpura no lado abaxial das tétalas. As folhas foram acrescentadas a exsicata em junho de 2006.","CEN00075687","CEN00075687",NA,NA,"1","DF","BRASILIA",NA,NA,NA,NA,"1282","1282",NA,"Unicata","1",NA
"31","2020-09-02 16:19:17-03","Cenargen","CEN","75689","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","08","25",NA,"Brasil","Planaltina. DF-130 km 23 entrada para Chácara Santo Ivo, Núcleo Rural Café sem Troco.","-47.624444","-15.851111","-47.624444","-15.851111","Perianto de cor creme com faixa central de cor púrpura no lado abaxial das tétalas. Bulbo com cerca de 23,5 cm de diâmetro e 2 escapos com 4 flores cada.","CEN00075689","CEN00075689",NA,NA,"4","DF","BRASILIA",NA,NA,NA,NA,"1054","1054",NA,"Unicata","1",NA
"32","2020-09-02 16:19:17-03","Cenargen","CEN","75690","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","09","01",NA,"Brasil","Lago Oeste. DF 001 km 125 sentido Brasília - Brazlândia ,em frente ao Lago Oeste, rua 00.","-47.913055","-15.645833","-47.913055","-15.645833","População com 3 indivíduos, sendo um deles com características bem contrastantes (ápice das tépalas de cor púrpura). Folhas foram adicionadas a exsicata em maio de 2006.","CEN00075690","CEN00075690",NA,NA,"5","DF","BRASILIA",NA,NA,NA,NA,"1255","1255",NA,"Unicata","1",NA
"33","2020-09-02 16:19:17-03","Cenargen","CEN","75691","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2005","09","01",NA,"Brasil","Brazlândia. DF 180, entre os km 17 e 20, em frente a Floresta Nacional de Brasília.","-48.201111","-15.638888","-48.201111","-15.638888","Folhas foram adicionadas a exsicata em maio de 2006.","CEN00075691","CEN00075691",NA,NA,"6","DF","BRASILIA",NA,NA,NA,NA,"1140","1140",NA,"Exsicatas","2",NA
"34","2020-09-02 16:19:17-03","Cenargen","CEN","75707","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2006","09","01",NA,"Brasil","Lago Oeste - Vegetação na borda do Parque Nacional de Brasilia entre os portões 7 e 7 1/2","-47.968333","-15.605555","-47.968333","-15.605555","Escapo e pedicelo glauco, flores odoríferas, sem corona evidente.","CEN00075707","CEN00075707",NA,"A. C. Amaral-Lopes","31","DF","BRASILIA",NA,NA,NA,NA,"1225","1225",NA,"Unicata","1",NA
"35","2020-09-02 16:19:17-03","Cenargen","CEN","26741","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Marta Camargo de Assis","1995","10","30",NA,"Brasil","Beira da BR-020 à 6 km do Povoado Bezerra; trecho Povoado Bezerra - Alvorada.","-47.334400177002","-15.5371999740601",NA,NA,"Filetes verdes; estames creme; estiletes verdes; estigma branco.","CEN00026741","CEN00026741",NA,"A. C. Amaral-Lopes","282","GO","FORMOSA","113054","auto","2015","08","850","850",NA,"Exsicatas","3",NA
"36","2020-09-02 16:19:17-03","Cenargen","CEN","26740","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Marta Camargo de Assis","1995","10","30",NA,"Brasil","Beira da BR-020 à 6 km do Povoado Bezerra; trecho Povoado Bezerra - Alvorada.","-47.334400177002","-15.5371999740601",NA,NA,"Tépalas esverdeadas, filetes e estiletes cremes. Anteras amarelas. Escapo e folhas verdes-cinéreas, margens das folhas vináceas. Botões verdes.","CEN00026740","CEN00026740",NA,"A. C. Amaral-Lopes","281","GO","FORMOSA","113054","auto","2016","08","850","850",NA,"Exsicatas","3",NA
"37","2020-09-02 16:19:17-03","Cenargen","CEN","18446","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Bruno Machado Teles Walter","1994","11","25",NA,"Brasil","Fazenda Água Limpa - UnB. Coletado no cerrado s.s. antropizado entre talhões de Pinus próximo à mata de galeria do Córrego da Onça.","-47.916666","-15.95","-47.916666","-15.95","Erva com até 50 cm de altura (do pendão floral). Catáfilos brancos, aquosos, subterrâneos (bulbos), e poucas folhas verdes aéreas. Flor amarela. Pétalas amarelas, na face interna com faixas vináceas longitudinais destacadas, e base verde. Anteras amarelo-ouro, estigma creme. Filetes e estilete brancos, com base verde. Flores com odor agradável. Espécie rara no local, porém com população agrupada com mais de 20 indivíduos. Local queimado há 12 dias. Doação da Flora do Brasil - Distrito Federal.","CEN00018446","CEN00018446",NA,"A. C. Amaral-Lopes","2250","DF","BRASILIA",NA,NA,"2006","10","1070","1070",NA,"Exsicatas","1",NA
"38","2020-09-02 16:19:17-03","Cenargen","CEN","75722","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Andrielle Câmara Amaral","2008","10","03",NA,"Brasil","Campo limpo a beira da estrada, ao lado direito, sentido Alto Paraíso/Campos Belos.","-47.528055","-14.0225","-47.528055","-14.0225","População com mais de 100 indivíduos. Flores variando entre o creme ao creme com listra central vinácea na face abaxial das tépalas. Estilete e filetes cremes, estigma rosa, capitado a trilobado, corona pouco conspícua.","CEN00075722","CEN00075722",NA,NA,"46","GO","ALTO PARAISO DE GOIAS",NA,NA,NA,NA,"1540","1540",NA,"Exsicatas","4",NA
"39","2020-09-02 16:19:17-03","Cenargen","CEN","38194","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","goianum","Hippeastrum goianum","(Ravenna) Meerow","Cláudia Mello","1995","11","12",NA,"Brasil","Km 9 da estrada para São Jorge, lado direito.","-63.32080078125","-9.71306037902832",NA,"0.0",NA,"CEN00038194","CEN00038194",NA,"G. G. Lyra Marques","73","RO","ALTO PARAISO","58624","auto","2014","07","1130","1130",NA,"Exsicatas","4",NA
"40","2020-10-23 09:26:02-03","UFG","HJ","6511","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","stapfianum","Hippeastrum stapfianum","(Kraenzl.) R.S.Oliveira & Dutilh","Parralego, Y.","2011","09","29",NA,"Brasil","Estação Ecológica Jardim Botânico de Brasília","-47.893889","-15.92","47º53'38''W","15º55'12''S",NA,"HJ00006511",NA,NA,"Mariana Oliveira","1","Distrito Federal","Brasília",NA,NA,"2011","09","1102","1102",NA,NA,NA,"30"
