"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"11","2020-12-21 16:20:08-03","MBM","MBM","255117","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","71621",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Urubici","Rod. SC-430, 10km S de Vaca Gorda","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM255117","MBM255117","Meyer","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:20:08-03","MBM","MBM","262801","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","72648",NA,NA,NA,"Southern America","Brazil","Santa Catarina","Urubici","Rod. SC-420, próximo ao alto da serra","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"MBM262801","MBM262801","Meyer","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:42:40-03","UFMG","BHCB","71218","PreservedSpecimen","Plantae","Dicotyledon",NA,"Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Hatschbach, G","72468",NA,NA,NA,"Southern America","Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,"F.G.Mey.","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-11 17:18:28-03","UFPR","UPCB","45197","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Rabuske-Silva, C.","Hatschbach, G.","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rod. SC 420, próximo do alto da serra","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Reptante, radicante, flor alva. Campo, solo turfoso e úmido..","UPCB0042168",NA,"F.G.Meyer","30102","auto","2019","08",NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","3254820","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","G. Hatschbach","Gert G. Hatschbach","Hatschbach 72468","2001",NA,NA,"South America","Brazil",NA,NA,"rod. SC-420, proximo do alto da serra (Mun. Urubici) Santa Catatina.",NA,NA,NA,NA,NA,NA,NA,NA,"F.G. Mey.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-22 14:17:54-03","UNESP-IBILCE","SJRP","27473","PreservedSpecimen","Plantae","Tracheophyta","Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","G. Hatschbach","G. Hatschbach",NA,NA,NA,NA,"América do Sul","Brasil","Santa Catarina","Urubici","alto da serra","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Reptante, radicante, flor alva;",NA,NA,"F.G. Meyer","30102","auto",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"17","2021-01-26 14:12:30-03","CPACT","ECT","3788","PreservedSpecimen","Plantae","Embryophyta",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","D.R.Vahl","M.Sobral","7733","1994","11","01",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Região de Campos rupestres. Campo junto ao arroio Manoel Leão. Coordenadas geográficas obtidas secundariamente. Sede do município.","-50.065833","-28.748333","116","116",NA,NA,"ECT0003788","ECT0003788","F.G.Mey.",NA,NA,"2018","05","30",NA,"50º3'57''W","28º44'54''S",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2403638","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"L. Smith & R. Reitz","10383","1957","1","24","South America","Brazil","Santa Catarina",NA,"Between Fazenda Santo Antônio and Fazenda Campo dos Padres, Bom Retiro.",NA,NA,"1400","1650",NA,NA,"US02784636","US02784636_01","F.G. Mey.",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"19","2020-09-12 05:00:02-03","US","US","3463176","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"M. Sobral","7733","1994","11",NA,"South America","Brazil","Rio Grande do Sul",NA,"São José dos Ausentes.",NA,NA,"1000",NA,NA,NA,"US02784635","US02784635_01","F.G. Mey.",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"20","2020-09-12 05:00:02-03","US","US","2622946","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"L. B. Smith & R. M. Klein","7800","1956","11","21","South America","Brazil","Santa Catarina","Bom Retiro","Between Fazendo Campo dos Padres & Fazendo Santo Antonio, Campo dos Padres.","-49.489200592041","-27.7971992492676","1400","1650",NA,NA,"US01094571","US01094571_01","F.G. Mey.","35974","auto",NA,NA,NA,"Dicotyledonae",NA,NA,"1","Isotype"
"21","2020-09-12 05:00:02-03","US","US","2622947","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"L. B. Smith & R. M. Klein","7800","1956","11","21","South America","Brazil","Santa Catarina","Bom Retiro","Campos dos Padres.","-49.489200592041","-27.7971992492676",NA,NA,NA,NA,"US00139121","US00139121_01","F.G. Mey.","35974","auto",NA,NA,NA,"Dicotyledonae",NA,NA,"1","Holotype"
"22","2020-09-12 05:00:02-03","US","US","3442649","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"E. Boldo","05","2002","10","7","South America","Brazil","Rio Grande do Sul",NA,"RS - São José dos Ausentes - Faz. Ilgo Burigo",NA,NA,"1100",NA,NA,NA,"US02784634","US02784634_01","F.G. Mey.",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"23","2019-11-13 11:17:39-03","USP","SPF","153395","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G","Hatschbach, G","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rod. SC-420, próximo do alto da serra.","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"SPF00153395","SPF00153395","F.G.Mey.","30102","auto","2001",NA,NA,NA,NA,NA,NA,NA
"24","2019-10-07 09:12:37-03","UEFS","HUEFS","64735","PreservedSpecimen","Plantae","Angiospermae","Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Hatschbach, G.","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rod. SC-420, próximo do alto da serra.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Campo; solo turfoso e úmido.","HUEFS0064735","HUEFS0064735","F.G.Mey.","30102","auto",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"25","2020-11-12 16:59:03-03","UEL","FUEL","33831","PreservedSpecimen","Plantae","Tracheophyta","Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G","Hatschbach, G; et al.","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici","Rod. SC-420, 420 SC","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,"F.G.Meyer","30102","auto","2001",NA,NA,NA,NA,NA,NA,NA
"26","2021-02-23 13:22:01-03","MN","R-TIPOS","115664","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Meyer, F.G.","Smith, L.B.; Reitz, R.","7800","1956","11","21",NA,"Brasil","Santa Catarina","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676","14001650","14001650",NA,NA,"R000115664","R000115664_001","F.G. Mey.","35974","auto",NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"27","2021-02-23 13:22:01-03","MN","R-TIPOS","211124","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Smith, L.B.","Smith, L.B.; Reitz, R.","10383","1957","01","24",NA,"Brasil","Santa Catarina","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676","14001650","14001650",NA,NA,"R000211124","R000211124_001","F.G. Mey.","35974","auto",NA,NA,NA,NA,NA,NA,NA,"Isoparatypus"
"28","2020-08-20 14:55:45-03","UFSC","FLOR","51294","PreservedSpecimen","Plantae",NA,"Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Rabuske da Silva, C.","Trevisan, R.","1409","2013","12","08",NA,"Brasil","Santa Catarina","Urubici","Parque Nacional (PARNA) São Joaquim.","-49.612778","-28.162222","1624","1624",NA,"flores creme claro (branca); (Nota do revisor Cássio Rabuske da Silva em 5/2018: flores hermafroditas, frutos) Habitat: beira da estrada","FLOR0051294",NA,"F.G.Mey.",NA,NA,"2018","05",NA,NA,"49º36'46''W","28º9'44''S",NA,NA
"29","2020-08-20 14:55:45-03","UFSC","FLOR","35772","PreservedSpecimen","Plantae",NA,"Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Souza, M.L.; Zanin, A.; Longhi-Wagner, H.M. & Rieper, M.","1766","2006","12","06",NA,"Brasil","Santa Catarina","Urubici","Fazenda do Sr. Arno Philippe, campo entre a casa da fazenda e a casa azul (vizinho), em direção ao Morro dos Padres, Campo dos Padres.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"erva rasteira, flor creme; comum Habitat: banhado","FLOR0035772","FLOR0035772","F.G.Mey.","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-08-20 14:55:45-03","UFSC","FLOR","35728","PreservedSpecimen","Plantae",NA,"Dipsacales","Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Souza, M.L.; Zanin, A.; Longhi-Wagner, H.M. & Rieper, M.","1715","2006","12","05",NA,"Brasil","Santa Catarina","Urubici","Fazenda do Sr. Arno Philippe, proximidades da casa da fazenda, Campo dos Padres.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"erva, rasteira; rara Habitat: campo, solo rochoso","FLOR0035728","FLOR0035728","F.G.Mey.","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:39:09-03","UFRGS","ICN","123055","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Hatschbach, G","Hatschbach, G; et al.","72468","2001","11","08","América do Sul","Brasil","SC","Urubici","Rod. SC 420 próximo do alto da serra","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Reptante; radicante; flor alva.; Campo; solo turfoso e úmido.","ICN00030522",NA,"F.G. Meyer","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-08 12:39:09-03","UFRGS","ICN","123689","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Sobral, M; Pinheiro, M; Miotto, STS","8974",NA,NA,NA,"América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682","850","850",NA,"Espécie ameaçada de extinção (Vulnerável).; Erva prostrada; frutos imaturos.; Região de campos rupestres entremeados com mata nebular ou matas de araucária. Em campo.","ICN00030523",NA,"F.G. Meyer","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-08 12:39:09-03","UFRGS","ICN","123674","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Sobral, M","7733b",NA,NA,NA,"América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva; flores creme, pistiladas.; em campo próximo à ponte sobre o arroio Manoel Leão.","ICN00030524",NA,"F.G. Meyer","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:39:09-03","UFRGS","ICN","123310","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Sobral, M","Sobral, M","7733",NA,NA,NA,"América do Sul","Brasil","RS","São José dos Ausentes",NA,"-50.0657997131348","-28.7483005523682",NA,NA,NA,"Espécie ameaçada de extinção (Vulnerável).; Erva 0,1m; flores brancas.; Região de campos rupestres. em campo junto ao arroio Manoel Leão.","ICN00030525",NA,"F.G. Meyer","42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 12:39:09-03","UFRGS","ICN","184850","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia","Bordignon, SAL","Vogel-Ely, C; Bordignon, SAL","CVE425","2015","11","14","América do Sul","Brasil","RS","São José dos Ausentes","estrada dos Silveira","-50.019722","-28.721111","1212","1212",NA,"WGS84.; prostada; beira da estrada","ICN00030521",NA,"F.G. Meyer",NA,NA,"2015","11","14",NA,"-50.019722","-28.721111",NA,NA
"36","2021-03-22 16:23:57-03","FEPAGRO","BLA","13164","PreservedSpecimen","Plantae","Spermatophyta",NA,"Valerianaceae","Valeriana","glechomifolia","Valeriana glechomifolia","H. Longhi-Wagner","J. F. M. Valls & A. Pott","1083","1969","11","02",NA,"Brasil","Rio grande do Sul","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: Barranco","BLA013164",NA,"F.G. Meyer","55856","auto","1979","05","01",NA,NA,NA,NA,NA
"37","2020-11-05 09:51:21-03","IBt","SP","357607","S","Plantae",NA,NA,"Caprifoliaceae","Valeriana","glechomifolia","Valeriana glechomifolia",NA,"Hatschbach, G","72468","2001","11","08",NA,"Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,NA,"F.G.Mey.","30102","auto",NA,NA,NA,NA,NA,NA,NA,NA
