"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","typeStatus"
"11","2020-07-02 18:51:26-03","UFJF","CESJ","25842","PreservedSpecimen","Plantae","Angiosperma",NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","L.R. Noblink; G.Duarte","4857","1992","04","03","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Museu Mariano Procópio","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Palmeira solitária de tronco 8 x 10-12 cm, anéis presentes 7-8 cm comp. 18-20 folhas contemporâneas. Folhas, pecíolo e bainha, ca. 1m e de pecíolo 28-43 cm comp.ráquis 164-190 cm, número de folíolos 110-114 inseridos em vários planos ao longo da ráquis;","CESJ025842",NA,"L.R.Noblick",NA,NA,"36144","auto","1992","04","03",NA,NA,NA,NA
"12","2019-11-05 16:43:25-03","UFOP","OUPR","14111","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","s.col.","s.n.",NA,NA,NA,NA,"Indisponível",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Henderson, A.; Galenao, G.; Bernal, R (tropico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:43:25-03","UFOP","OUPR","14112","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Novo","Rio Novo","-43.125301361084","-21.4575004577637",NA,NA,NA,NA,NA,NA,"Henderson, A.; Galenao, G.; Bernal, R (tropico",NA,NA,"14119","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:13:36-03","MBM","MBM","170145","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","Noblick, L.R.; et al.; et al.","4841","1992","03","15","Southern America","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9494018554688","-18.8511009216309",NA,NA,NA,NA,"MBM170145","MBM170145 MBM170145_1","Noblick, L.R.",NA,NA,"50833","auto",NA,NA,NA,NA,NA,NA,NA
"15","2010-09-08 11:06:26-03","MNHN","RECOLNAT_MNHN_P","P00726078","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,NA,"Prov. Rio de Janeiro: Larangeiras",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00726078' target='other'> <mi>dwc_moreinfo</mi></a>","P00726078","P00726078_01",NA,NA,NA,NA,NA,NA,NA,NA,"9015",NA,NA,NA
"16","2015-10-06 09:04:49-03","MNHN","RECOLNAT_MNHN_P","P00726079","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,NA,"Prov. Rio de Janeiro: Larangeiras",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00726079' target='other'> <mi>dwc_moreinfo</mi></a>","P00726079","P00726079_01",NA,NA,NA,NA,NA,NA,NA,NA,"9015",NA,NA,NA
"17","2015-10-03 04:00:27-03","MNHN","RECOLNAT_MNHN_P","P00726080","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1877","4","22",NA,"Brésil",NA,NA,"Prov. Rio de Janeiro: Larangeiras",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00726080' target='other'> <mi>dwc_moreinfo</mi></a>","P00726080","P00726080_01",NA,NA,NA,NA,NA,NA,NA,NA,"9015",NA,NA,NA
"18","2015-09-03 20:44:52-03","MNHN","RECOLNAT_MNHN_P","P01797760","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Blanchet",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,"Brésil: Bahia",NA,NA,NA,NA,"hb","Nome vulgar: ariburyroba [aricuriroba] <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797760' target='other'> <mi>dwc_moreinfo</mi></a>","P01797760","P01797760_01",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA,NA
"19","2015-09-03 20:44:52-03","MNHN","RECOLNAT_MNHN_P","P01797762","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1867","10","1",NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,"hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797762' target='other'> <mi>dwc_moreinfo</mi></a>","P01797762","P01797762_01",NA,NA,NA,"36144","auto",NA,NA,NA,"2145",NA,NA,NA
"20","2015-09-03 20:44:52-03","MNHN","RECOLNAT_MNHN_P","P01797763","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1867","10","1",NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,"hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797763' target='other'> <mi>dwc_moreinfo</mi></a>","P01797763","P01797763_01",NA,NA,NA,"36144","auto",NA,NA,NA,"2145",NA,NA,NA
"21","2015-09-03 20:44:52-03","MNHN","RECOLNAT_MNHN_P","P01797761","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou",NA,"1867","8","1",NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797761' target='other'> <mi>dwc_moreinfo</mi></a>","P01797761","P01797761_01",NA,NA,NA,"36144","auto",NA,NA,NA,"2145",NA,NA,NA
"22","2015-09-03 20:44:52-03","MNHN","RECOLNAT_MNHN_P","P01797764","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Glaziou, A.",NA,"1867","10","1",NA,"Brasil","Minas Gerais","Juiz de Fora","Brésil. Minas Geraes. Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01797764' target='other'> <mi>dwc_moreinfo</mi></a>","P01797764","P01797764_01",NA,NA,NA,"36144","auto",NA,NA,NA,"2145",NA,NA,NA
"23","2020-12-11 11:43:25-03","UFMG","BHCB","23594","PreservedSpecimen","Plantae","Monocotyledon",NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"Noblick, LR","4841","1992","03","15","Southern America","Brasil","Minas Gerais","Governador Valadares",NA,"-41.933333","-18.85","150","300",NA,"Palm once a common component but populations substantially reduced, but still locally common.; Maria Rosa is the common name. Solitary palm with 4-5 m x 15-20 cm trunk and 15-20 cm internodes. ca. 20 LEAVES in crown, spirally arranged","BHCB050519","BHCB050519 BHCB050519_1 BHCB050519_2",NA,"-41.933333","-18.85",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:43:25-03","UFMG","BHCB","23598","PreservedSpecimen","Plantae","Monocotyledon",NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa",NA,"Noblick, LR","4842","1992","03","16","Southern America","Brasil","Minas Gerais","Governador Valadares",NA,"-41.933333","-18.85","150","300",NA,"Maria Rosa is the common name. Solitary palm with 7-8 m x 16-20 cm smooth trunk and 10-15 cm internodes. 20 LEAVES in crown, spirally arranged and spreading. Leaf sheath plus petiole (pseudopetiole) is 90+ cm long with a true leaf pet","BHCB050520","BHCB050520 BHCB050520_1",NA,"-41.933333","-18.85",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2009-07-27 09:31:00-03","MO","MOBOT","1953941","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","Auguste F.M. Glaziou","Glaziou 2145","1861",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S.F. Glassman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-28 04:12:00-03","MO","MOBOT","3358678","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","H.Q.B. Fernandes","Fernandes 2008","1986","7","30","South America","Brazil","Espírito Santo",NA,"Santa Teresa. MG, Juiz de Fora, Parque Mariano Procópio.",NA,NA,NA,NA,NA,NA,NA,NA,"H.Q.B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","5800",NA,"Plantae",NA,NA,"Palmae","Syagrus","getuliana","Syagrus getuliana","(Bondar) Glassman","H. Q. Boudet Fernandes; et al","2886","1989","11","03",NA,"Brasil","Espírito Santo","Linhares","Próximo Rio do Norte","-40.072222","-19.391389",NA,NA,NA,"Arborescente, 7m, caule simples, anelado. Folhas crispadas com fibras na base, ca., 13 contemporâneas. Estéril. Observados uns 8 individuos adultos alinhados no bordo 10 jovens no acaules no interior.","MBML005800",NA,"H. Q. B. Fernandes/1989","40W4'20","19S23'29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","5804",NA,"Plantae",NA,NA,"Palmae","Syagrus","getuliana","Syagrus getuliana","(Bondar) Glassman","H. Q. Boudet Fernandes; et al","2887","1989","11","03",NA,"Brasil","Espírito Santo","Linhares","Próximo Rio do Norte","-40.072222","-19.391389",NA,NA,NA,"Jovem, caule subterrâneo. Folhas crispadas, 6 contemporâneas. Estéril. Observados 8 indivíduos adultos no bordo da mata e 10 jovens no interior.","MBML005804",NA,"H. Q. B. Fernandes/1989","40W4'20","19S23'29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-23 12:13:33-03","MBML","MBML-HERBARIO","5805",NA,"Plantae",NA,NA,"Palmae","Syagrus","getuliana","Syagrus getuliana","(Bondar) Glassman","H. Q. Boudet Fernandes; et al","2885","1989","11","03",NA,"Brasil","Espírito Santo","Aracruz","Jacupemba","-40.199444","-19.596111",NA,NA,NA,"Caule solitário 4,8 x 20cm, anelado. Folhas 18 contemporâneas e mais algumas secas persistentes, crispadas e com fibras basais. Raque 2,05m. Pecíolo 1m; folíolos 142 pares. Inflorescência infrafoliar, uma com poucos frutos, de cor verd","MBML005805",NA,"H. Q. B. Fernandes/1989","40W11'58","19S35'46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-23 12:13:33-03","MBML","MBML-HERBARIO","5877",NA,"Plantae",NA,NA,"Palmae","Syagrus","getuliana","Syagrus getuliana","(Bondar) Glassman","H. Q. Boudet Fernandes","2894","1990","02","23",NA,"Brasil","Espírito Santo","Aracruz","Jacupemba","-40.199444","-19.596111",NA,NA,NA,"Altura 18m, PAP 53cm, caule interno róseo, com odor. Estéril.","MBML005877",NA,"H. Q. B. Fernandes/1990","40W11'58","19S35'46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-14 16:46:06-03","MBML","MBML-HERBARIO","155",NA,"Plantae",NA,NA,"Palmae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","H. Q. Boudet Fernandes","2000","1986","07","27",NA,"Brasil","Rio de Janeiro","Três Rios","Estrada Rio x Juiz de Fora, entre Três Rios e a divisa de estado","-43.196111","-22.051111",NA,NA,NA,"Arbusto 5m, estipe 3m x 16cm, encoberto por bainhas de folhas moratas, folhas crispadas, 20 conteporâneas, foliolos patentes nas extremidades, heliófila, esteril, vegetação campestre degradada, encosta a beira de uma savina, peciolo +","MBML000155",NA,"H. Q. B. Fernandes/05-12-1986","43W11'46","22S3'4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","162",NA,"Plantae",NA,NA,"Palmae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","H. Q. Boudet Fernandes","2001","1986","06","26",NA,"Brasil","Minas Gerais","Juíz de Fora","Parque Mariano Procópio","-43.349722","-21.764167",NA,NA,NA,"Planta perdida.","MBML000162",NA,"H. Q. B. Fernandes/Jun.1986","43W20'59","21S45'51",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","168",NA,"Plantae",NA,NA,"Palmae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","H. Q. Boudet Fernandes","2008","1986","07","30",NA,"Brasil","Minas Gerais","Juíz de Fora","Parque Mariano Procópio","-43.349722","-21.764167",NA,NA,NA,"Arvoreta 6m, estipe 4,5m X 18cm liso cinza com 18cm de entrenós, folha crispada arqueada, pêndulos nas extremidades com 3,4m, limbo 2,2m, bainha bastante fibrosa, flores amarelas, frutos verdes acinzentados, pedúnculo da espádice com i","MBML000168",NA,"H. Q. B. Fernandes/1986","43W20'59","21S45'51",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","6274",NA,"Plantae",NA,NA,"Palmae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","G. F. E. Abrahão",NA,"1992","02","14",NA,"Brasil","Minas Gerais","Governador Valadares","KM 5","-41.948333","-18.850278",NA,NA,NA,"*Folha crispada, raque 1,9 m, pecíolo (incompleto?) 0,85m. Folíolo mediano 45 x 2,5cm. (48 x 2,5cm, mais para a base). Fruto verde, mesocarpo verde amarelado, fibroso, oleoso?; endocarpo aparentemente tricristado (em corte transversal","MBML006274",NA,"H.Q.B. Fernandes, Noblick/1992","41W56'54","18S51'1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-25 10:11:24-03","CVRD","CVRD","10548","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","Folli, D.A.","5766","2007","11","11","América do Sul","BRASIL","MG","Nanuque",NA,"-40.3539009094238","-17.8391990661621",NA,NA,NA,"dets conforme livro de palmeiras Pag. 219 Lorenzi <ll>dwc_commonname:</ll> Patioba branca","CVRD010548",NA,"Harri Lorenzi",NA,NA,"46980","auto","2010","02","09",NA,"Liliopsida",NA,NA
"36","2020-09-12 05:00:02-03","US","US","3240106","PreservedSpecimen","Plantae",NA,"Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","L. R. Noblick & M. De Gracas Duarte","4857","1992","4","3","South America - Neotropics","Brazil","Minas Gerais","Juiz de Fora","Museu mariano procopio, located within the city limits","-43.3333","-21.75","650","750",NA,NA,"US00424296","US00424296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"37","2021-03-15 18:25:12-03","USP","SPF","209520","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Medeiros, BAS; Gudin, FM","112","2013","12","03",NA,"Brasil","Minas Gerais","Governador Valadares","À beira da rodovia Rodovia Engenheiro Benedito Quintino (BR-381).","-41.766578","-18.842556","167","167",NA,"Caule solitário, ca. 3,5 m alt. Folhas verde-escuras na face adaxial, verde-claras na abaxial. Espata verde externamente, creme internamente. Flores masculinas amarelo-vivo, femininas amarelo-esverdeadas. Raque e ráquila amarelo-esve","SPF00209520",NA,"Medeiros, BAS","-41.766578","-18.842556",NA,NA,"2013","12","03",NA,NA,NA,NA
"38","2021-03-15 18:25:12-03","USP","SPF","209521","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.","Medeiros, BAS; Gudin, FM","115","2013","12","04",NA,"Brasil","Minas Gerais","Turmalina","À beira da rodovia Rodovia Oscar Von Bentzen Rodrigues (BR-367/MG-308).","-42.827117","-17.280353","670","670",NA,"Caule solitário, ca. 4 m alt, em pasto. Folhas verde-escuras na face adaxial, verde-claras na abaxial. Espata verde externamente, creme internamente. Flores masculinas amarelo-alaranjadas, femininas amarelo-pálido. Raque e ráquila am","SPF00209521",NA,"Medeiros, BAS","-42.827117","-17.280353",NA,NA,"2013","12","04",NA,NA,NA,NA
"39","2019-01-23 12:58:32-02","F","FMNH-SEEDPLANTS","V0092030F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Arecaceae","Cocos","getuliana","Cocos getuliana",NA,"G. Bondar","19",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,"-42","-11",NA,NA,NA,NA,"V0092030F","V0092030F_01 V0092030F_02 V0092030F_03 V0092030F_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Lectotype"
"40","2019-09-04 19:24:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Arecaceae","Cocos","procopiana","Cocos procopiana",NA,"A. Glaziou","9015",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,"Type [status unknown]"
"41","2017-09-11 17:07:15-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Arecaceae","Cocos","procopiana","Cocos procopiana","Glaz.","?","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Crescit haec pulcherrima et a Brailiensibus Maria Rosa denominata et celebrata species in Brasilia tropica orientali littorali, et in extratropica usque ad rempublicam Argentinam distributa: e. gr. in vallibus flum. Parahyba! et pr. Juiz de Fora plur",NA,"P03P2N0087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 16:26:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Arecaceae","Cocos","procopiana","Cocos procopiana","Glaz.","Sello, HL","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"sine loco speciali.",NA,NA,NA,NA,NA,NA,NA,"P03P2N0087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2014-09-23 10:56:47-03","G","G","G00025065","S","Plantae",NA,NA,"Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb. Rodr.","Glaziou, A. F. M.","9015","1886",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=98457&base=img&lang=en","G00025065","G00025065","?","-42.9125","-22.48222222",NA,NA,NA,NA,NA,NA,NA,NA,"TYPUS of Cocos procopiana Drude"
