"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","previousCatalogNumber"
"11","2017-04-07 16:26:58-03","MNHN","RECOLNAT_MNHN_P","P00683125","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner","isotype","Gardner, G.",NA,NA,"Brésil","s.loc.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683125' target='other'> <mi>dwc_moreinfo</mi></a>","P00683125","P00683125_01","Semir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4824",NA,NA,NA,NA,NA
"12","2015-09-04 05:13:27-03","MNHN","RECOLNAT_MNHN_P","P02538899","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Saint-Hilaire, A.",NA,NA,"Brasil","Brésil. Province de Minas Geraes, Retiro.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02538899' target='other'> <mi>dwc_moreinfo</mi></a>","P02538899","P02538899_01",NA,"1816","1","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"566",NA,NA,NA,NA,NA
"13","2015-09-04 05:13:27-03","MNHN","RECOLNAT_MNHN_P","P02538900","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Pohl, J.B.E.",NA,NA,"Brésil","Brasilia, inter viera do matro et columbis","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02538900' target='other'> <mi>dwc_moreinfo</mi></a>","P02538900","P02538900_01 P02538900_02","Semir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3167",NA,NA,NA,NA,NA
"14","2020-12-11 11:33:10-03","UFMG","BHCB","64864","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Lombardi, JA; Dulith, JHA; Semir, J","4473","Southern America","Brasil","Estrada Pau D'óleo/Itacambira.",NA,"Plantas do Brasil.; Arbusto, ca. 1,6m. Folhas cartáceas, amareladas. Flores lilases.; Encosta pedregosa recém-queimada.","BHCB025654",NA,NA,"2001","10","20","Minas Gerais","Itacambira","-43.563333","-16.963611",NA,NA,"2015","06","-43.563333","-16.963611",NA,NA,NA,NA,NA,NA,NA
"15","2021-01-29 15:21:00-03","MO","MOBOT","101246275","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner","Lectotype","George Gardner","Gardner 4824","South America","Brazil","between the Diamond District and the Rio de São Francisco",NA,NA,NA,NA,"fide Loeuille et al.","1840","7",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"16","2021-03-15 18:25:32-03","USP","SPF","227594","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Cota, MMT","822",NA,"Brasil","Escarpas do rio Jequitinhonha na rodovia Olhos dÁgua-São Gonçalo do Rio Preto (BR 451), próximo da divisa com a cidade de Diamantina.",NA,"Arbusto de 0,8-1,5 m alt. Flores lilases. Frutos imaturos e maduros.; Cerrado de encosta pedregoso.","SPF00227594",NA,"Loeuille, B","2016","05","02","Minas Gerais","Olhos-d'Água","-43.523056","-17.546944",NA,NA,"2017","07","-43.523056","-17.546944",NA,NA,NA,"710","710",NA,NA
"17","2019-09-04 19:48:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Lychnophora","lanigera","Lychnophora lanigera",NA,"Holotype","J. B. E. Pohl","569","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"18","2019-09-04 18:19:24-03","F","FMNH-SEEDPLANTS","V0077149F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Lychnophora","lanigera","Lychnophora lanigera",NA,"Isotype","J. B. E. Pohl","569","South America","Brazil",NA,NA,NA,"V0077149F","V0077149F_01",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"19","2020-04-29 16:29:34-03","UFVJM","HDJF","5764","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Chaves, DA; Gonçalves, MF","443","Southern America","Brasil","Cadeia do Espinhaço: Parque Estadual do Rio Preto, subida para a Chapada dos Coutos",NA,NA,"HDJF005764","HDJF005764_01","Chaves, DA","2014","05","03","Minas Gerais","São Gonçalo do Rio Preto","-43.33495","-18.153317",NA,NA,"2014","07","-43.33495","-18.153317","29",NA,NA,"1046","1046",NA,NA
"20","2016-08-23 10:58:50-03","NHMLondon","NHM-LONDON-BOT","BM001009192","S","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner","Holotype","George Gardner; b.1812; d.1849; Gardner","4824",NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/46eda2a3bdd2d940918974d645a491539aac8411/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Collaboration; S. B. Jones & N. C. Coile","1840","07",NA,"Piauí",NA,"-42.572108","-7.256631",NA,NA,"1992","11","-42.572108","-7.256631",NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:557219"
"21","2019-11-01 14:54:12-03","UnB","UB","207388","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Chaves, DA; Gonçalves, MF","442","Southern America","Brasil","Cadeia do Espinhaço: Parque Estadual do Rio Preto, subida para a Chapada dos Coutos",NA,"Complexo Rupestre",NA,NA,"Chaves, DA","2014","05","03","Minas Gerais","São Gonçalo do Rio Preto","-43.33495","-18.153317",NA,NA,"2014","07","-43.33495","-18.153317","29",NA,NA,"1046","1046",NA,NA
"22","2019-11-01 14:54:12-03","UnB","UB","207389","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Chaves, DA; Gonçalves, MF","443","Southern America","Brasil","Cadeia do Espinhaço: Parque Estadual do Rio Preto, subida para a Chapada dos Coutos",NA,"Complexo Rupestre",NA,NA,"Chaves, DA","2014","05","03","Minas Gerais","São Gonçalo do Rio Preto","-43.33495","-18.153317",NA,NA,"2014","07","-43.33495","-18.153317","29",NA,NA,"1046","1046",NA,NA
"23","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Pohl, JBE","s.n.","Southern America","Brazil","Habitat prov. Minas Geraes in montibus ditionis Adamantium et ad Rio S. Francisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Lychnophora","martiana","Lychnophora martiana","Gardner",NA,"Gardner, G","4824","Southern America","Brazil","Habitat prov. Minas Geraes in montibus ditionis Adamantium et ad Rio S. Francisco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
