"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","relatedCatalogItem","typeStatus","previousCatalogNumber"
"11","2020-06-29 09:32:02-03","UFRRJ","RBR","26476","S","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","H.C. Lima","G. Martinelli","3111","1977","04","20",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Serra dos Pretos Fôrros, Represa dos ciganos. Mais ou menos 200-300 m.s.m.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RBR00026476",NA,"57442","auto","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 14:02:52-03","MNHN","RECOLNAT_MNHN_P","P03985232","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03985232' target='other'> <mi>dwc_moreinfo</mi></a>","P03985232","P03985232_01",NA,NA,NA,NA,NA,NA,NA,"C2 72",NA,NA,NA,NA,NA
"13","2020-12-11 11:41:07-03","UFMG","BHCB","34943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:41:07-03","UFMG","BHCB","34943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-06-26 15:31:00-03","MO","MOBOT","100983769","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","C.P. Bruniera","C.P. Bruniera|W.S. da Silva","Bruniera 721","2012","3","30","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá. Rebio do Tinguá. Trilha da Catanuda, subindo pela Represa da Serra Velha.","-43.4166667","-22.5833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"16","2017-07-06 08:45:00-03","MO","MOBOT","100986251","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","C.P. Bruniera","Milton Groppo|C.P. Bruniera|G.M. Bueno","Groppo, Jr. 1867","2009","1","30","South America","Brazil","Rio de Janeiro","Mendes","Estrada trecho Paracambi-Mendes, Serra das Araras.","-43.695","-22.5497222","328.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"17","2017-07-05 16:59:00-03","MO","MOBOT","100986187","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","C.P. Bruniera","C.P. Bruniera|Adriana Lobão|M.M. Saavedra","Bruniera 432","2011","9","27","South America","Brazil","Rio de Janeiro","Rio de Janeiro (cidade)","Entorno do Jardim Botânico. Trilha para Cachoeira da Grutinha.","-43.2383333","-22.965","78.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"18","2020-07-24 17:21:15-03","MBML","MBML-HERBARIO","21048",NA,"Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","J. H. Kirkbride Jr./1977","L. Emygdio; et al","358","1945","10","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jacarepaguá, Estrada do Rio Grande","-43.2075","-22.903056",NA,NA,NA,"Sem informação.","MBML021048",NA,NA,NA,NA,NA,NA,"43W12'27","22S54'11",NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3124254","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"D. Sucre","1668","1967","10","11","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, matos do Parque Lagem",NA,NA,NA,NA,NA,NA,"US02743138","US02743138_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","67201","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Wilkes Explor. Exped.","s.n.","1838",NA,NA,"South America - Neotropics","Brazil",NA,NA,"Organ Mts",NA,NA,NA,NA,NA,NA,"US00828543","US00828543_01 US00828543_02",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3073017","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"E. Pereira","126","1942","11","3","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Serra Carioca",NA,NA,NA,NA,NA,NA,"US02743135","US02743135_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2542102","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"L. Emygdio de Mello Filho & P. Dansereau","358","1945","10","24","South America - Neotropics","Brazil","Distrito Federal",NA,"Procedencia. D. Federal. Jaerepagua-Estr. do R. rande posaimo da Pedra Grande [interpreted]",NA,NA,NA,NA,NA,NA,"US02743141","US02743141_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","249515","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Riedel, --","7",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Brasilia",NA,NA,NA,NA,NA,NA,"US02743142","US02743142_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2785382","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"M. C. Vianna","215","1964","9","20","South America","Brazil",NA,NA,"Guanabara, Pedra Branca",NA,NA,NA,NA,NA,NA,"US02743140","US02743140_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2888249","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"P. J. M. Maas & P. Carauta","3117","1977","10","8","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Corcovado, between Paineiras and Jardim Botanico",NA,NA,"200","450",NA,NA,"US02743139","US02743139_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","3124267","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"J. G. Kuhlmann","58","1934","3","25","South America - Neotropics","Brazil","Espírito Santo",NA,"Corrego Sao Goncalo, Estrada da Aguia Branca",NA,NA,NA,NA,NA,NA,"US02743136","US02743136_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","1706190","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"V. de Saint-Hilaire","72","1816",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Bresil",NA,NA,NA,NA,NA,NA,"US02743143","US02743143_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","3124266","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"J. G. Kuhlmann","58","1934","3","25","South America - Neotropics","Brazil","Espírito Santo",NA,"Corrego Sao Goncalo, Estrada da Aguia Branca",NA,NA,NA,NA,NA,NA,"US02743137","US02743137_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"29","2021-03-15 18:29:39-03","USP","SPF","212761","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Fiaschi, P","Fiaschi, P","3818","2012","01","11",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Ao longo da estrada para a Vista Chinesa, abaixo do acesso à trilha do Pai Ricardo.","-43.248333","-22.966111","300","300",NA,"Arvoreta com poucas ramificações, ca. 2,5 m alt. Folhas discolores. Frutos imaturos esverdeados, com lacínias persistentes verdes. Material prensado em álcool.; Floresta Ombrófila Densa (Mata Atlântica).","SPF00212761",NA,NA,NA,"2012","01","20","-43.248333","-22.966111",NA,NA,NA,NA,NA,NA
"30","2021-03-15 18:29:39-03","USP","SPF","212773","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Bruniera, CP","Fiaschi, P","3773","2012","01","09",NA,"Brasil","Rio de Janeiro","Casimiro de Abreu","Reserva Biológica União, BR-101, ca. 3 km após sede do parque, em direção a Campos dos Goytacazes. Estrada da Macuca, rumo a Rio das Ostras, entrada à dir. em frente ao cemitério de Rocha Leão. Trilha em meio a Eucalyptus, ca. 2 km da estrada da Macu","-42.026167","-22.436361",NA,NA,NA,"Planta monocaule, até ca. 50 cm alt., comum no chão da mata. Frutos imaturos verdes. Amostra em sílica-gel. Material prensado em álcool.; Floresta Ombrófila Densa (Mata Atlântica).","SPF00212773",NA,NA,NA,"2014",NA,NA,"-42.026167","-22.436361",NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:30:34-03","USP","SPF","221298","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Bruniera, CP","Bruniera, CP","430","2011","09","27",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Entorno do Jardim Botânico. Trilha para Cachoeira da Grutinha.","-43.238339","-22.965008","78","78",NA,NA,"SPF00221298",NA,NA,NA,"2011",NA,NA,"-43.238339","-22.965008",NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:30:34-03","USP","SPF","229066","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Anônimo","Monteiro, JRB","342","2012","06","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro","-43.245556","-22.965556","2","2",NA,NA,"SPF00229066",NA,NA,NA,NA,NA,NA,"-43.245556","-22.965556",NA,NA,NA,NA,NA,NA
"33","2019-11-13 11:30:34-03","USP","SPF","229072","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.","Ferreira, CDM","Ferreira, CDM","261","2016","03","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca","-43.456944","-22.935833","335","335",NA,NA,"SPF00229072",NA,NA,NA,NA,NA,NA,"-43.456944","-22.935833",NA,NA,NA,NA,NA,NA
"34","2015-04-09 13:30:07-03","F","FMNH-SEEDPLANTS","V0293813F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0293813F","V0293813F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"35","2018-05-14 16:43:40-03","F","FMNH-SEEDPLANTS","V0293814F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,"RRC ID Flag","A. P. Duarte","393","1946","10","15","South America","Brazil","Rio de Janeiro",NA,NA,"-42.5","-22",NA,NA,NA,NA,"V0293814F","V0293814F_01 V0293814F_02",NA,NA,NA,NA,NA,NA,NA,"393",NA,"Dicotyledoneae",NA,NA,NA
"36","2015-04-09 13:30:10-03","F","FMNH-SEEDPLANTS","V0293815F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0293815F","V0293815F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"37","2015-04-09 13:30:11-03","F","FMNH-SEEDPLANTS","V0293816F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0293816F","V0293816F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"38","2020-07-23 12:21:22-03","CEPLAC","CEPEC","149494","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,"R. G. Barbosa-Silva","R. G. Barbosa-Silva","528",NA,NA,NA,NA,"Brasil","Rio de Janeiro","rio de janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-07-23 12:21:22-03","CEPLAC","CEPEC","80834","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla",NA,"C. P. Bruniera","J. G. Jardim","1725","1998","03","28",NA,"Brasil","Bahia","ILHÉUS","Ca. 12Km do Distrito de Banco da Vitória na Rod. p/ Maria Jape. Faz. Parque Arte Verde ca. De 1Km do povoado.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2011",NA,NA
"40","2016-08-23 11:00:14-03","NHMLondon","NHM-LONDON-BOT","BM000832004","S","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"John Miers; b.1789; d.1879; Miers","3904",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,"-43.212119","-22.950839",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/dafbb1f27517a816d509d63e02a71e25cea87ec9/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"-43.212119","-22.950839",NA,NA,NA,NA,"Isolectotype","NHMUK:ecatalogue:5478873"
"41","2016-08-23 11:00:14-03","NHMLondon","NHM-LONDON-BOT","BM000832005","S","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"George Gardner; b.1812; d.1849; Gardner","5500","1840","12",NA,NA,"Brasil","Rio de Janeiro",NA,NA,"-43.2813","-22.9964",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/e4f9c2586ce3396989dca1a0469e05aa8384e27d/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"-43.2813","-22.9964",NA,NA,NA,NA,"Syntype","NHMUK:ecatalogue:5479834"
"42","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Bentham, G","s.n.",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"Et secundum c. Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Mikan, JC","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"ad Boavista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Raddi, G","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Miers, J; Gardner, G","5500",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Schott, HW","5470",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in umbrosis silvarum in monte Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Pohl, JBE","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Schott, HW","5470",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075","-22.9028",NA,NA,NA,"In umbrosis silvarum in monte Corcovado.; HABITAT: In umbrosis silvarum in monte Corcovado.",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2017-09-11 16:28:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Mikan, JC","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Boavista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Gaudichaud Beaupré, C","624",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in umbrosis silvarum in monte Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2017-09-11 17:13:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Rubiaceae","Rudgea","macrophylla","Rudgea macrophylla","Benth.",NA,"Pohl, JBE","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in umbrosis silvarum in monte Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
