"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","typeStatus"
"14","2020-12-21 16:39:19-03","MBM","MBM","239904","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Martins, W.","s.n.",NA,NA,NA,"Southern America","Brazil","Paraná","Piraquara","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,"MBM239904",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA
"15","2020-12-11 11:39:59-03","UFMG","BHCB","115928","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip",NA,"Stehmann, JR; Viana, PL; Zamberlan, PM","4789","2007","10","24","Southern America","Brasil","Minas Gerais","Camanducaia","Monte Verde","-46.048056","-22.866389",NA,"Trepadeira; Floresta Ombrófila Mista.","BHCB008709",NA,"2011","09","-46.048056","-22.866389","29",NA,NA,"1516","1516",NA,NA,NA
"16","2020-12-11 11:39:59-03","UFMG","BHCB","44738","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip",NA,"Campo Neto, FC","s.n.","1999","01","19","Southern America","Brasil","Minas Gerais","Oliveira",NA,"-44.8272018432617","-20.6963996887207",NA,"liana","BHCB008374",NA,"2015","04",NA,NA,"24","38796","auto",NA,NA,NA,NA,NA
"17","2021-02-11 17:21:09-03","UFPR","UPCB","86602","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Sobral, M.","13759","2011","02","13",NA,"Brasil","Minas Gerais","São João del-Rei","Rua Otávio Ângelo Calsavara, Colônia","-44.233","-21.75",NA,"Trepadeira em interior de mata, junto a estrada; flores brancas..",NA,NA,"2011","11","-44.233","-21.750","08",NA,NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:21:09-03","UFPR","UPCB","22625","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Cervi, A.C.","4183","1993","11","29",NA,"Brasil","Paraná","Jaguariaíva","Arredores","-49.7057991027832","-24.2511005401611",NA,"escandente, flor alva. Borda da mata ciliar..",NA,NA,"1993","01",NA,NA,"01","44368","auto",NA,NA,NA,NA,NA
"19","2021-02-11 17:21:09-03","UFPR","UPCB","14640","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Acra, L.A.","85","1986","01","16",NA,"Brasil","Paraná","Curitiba","Centro Politécnico -UFPR, capão","-49.2731018066406","-25.4277992248535",NA,"Trepadeira, interior do capão..",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"20","2021-02-11 17:21:09-03","UFPR","UPCB","21176","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Cervi, A.C.","3251","1990","11","23",NA,"Brasil","Paraná","Jaguariaíva","Rio das Mortes","-49.7057991027832","-24.2511005401611",NA,"Pétalas e sépalas brancas, duas séries de filamentos. Beira do capão..",NA,NA,"1993","01",NA,NA,"01","44368","auto",NA,NA,NA,NA,NA
"21","2021-02-11 17:21:09-03","UFPR","UPCB","24380","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Acra, L.A.","Bidá, A.","373","1984","03","14",NA,"Brasil","Paraná","Colombo","Santa Mônica Clube de Campo","-49.2242012023926","-25.2917003631592",NA,"Flor branca..",NA,NA,NA,NA,NA,NA,NA,"13536","auto",NA,NA,NA,NA,NA
"22","2021-02-11 17:21:09-03","UFPR","UPCB","11778","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Bidá, A.","Bidá, A.","8","1982","11","07",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha, Recanto do Tombo","-50.1618995666504","-25.0949993133545",NA,"Trepadeira, bosque (mata ciliar). Nome vulgar: maracujá..",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"23","2021-02-11 17:21:09-03","UFPR","UPCB","11777","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Bidá, A.","2","1982","10","06",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha, Recanto do Tombo","-50.1618995666504","-25.0949993133545",NA,"Interior do bosque ( mata ciliar)..",NA,NA,"1982","10",NA,NA,"07","46557","auto",NA,NA,NA,NA,NA
"24","2021-02-11 17:21:09-03","UFPR","UPCB","13166","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, A.C.","Bidá, A.","8A","1982","11","07",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha, Recanto do Tombo","-50.1618995666504","-25.0949993133545",NA,"Interior do capão..",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"25","2019-01-07 16:00:00-02","MO","MOBOT","2879141","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Harlan T. Svoboda (BHO)","R. Kummrow","Kummrow 2090","1982","11","17","South America","Brazil","Paraná",NA,"Rio Guabiroba (mun. Ponta Grossa). Orla de mata de galeria.","-50.2","-25.1666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2012-06-22 05:04:00-03","MO","MOBOT","100419886","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi A.","A. Bidá","Bidá 2","1982","10","6","South America","Brazil","Paraná","Curitiba","Recanto do Timbo, Vila Velha, PR.","-49.05","-25.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"27","2020-08-31 09:04:23-03","INPA","INPA","186017","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip","Cervi, AC","Cervi, AC","4183","1993","11","29","Southern America","Brasil","Paraná","Jaguariaíva","Arredores","-49.7057991027832","-24.2511005401611",NA,NA,"INPA0186017","INPA0186017 INPA0186017_e","1993",NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","1444275","PreservedSpecimen","Plantae",NA,"Violales","Passifloraceae","Passiflora","setulosa","Passiflora setulosa","Killip",NA,"P. K. Dusén","16964","1915","4",NA,"South America","Brazil","Paraná",NA,"Jaguariahyva.",NA,NA,NA,"Fragmentary material of type specimen ex Herb. Stockholm","US00115108","US00115108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae","Isotype"
"29","2019-01-25 15:35:46-02","IAC","IAC","42808","S","Plantae",NA,NA,"Passifloraceae-3.Passifloroideae","Passiflora","setulosa","Passiflora setulosa","Killip","L.C. Bernacci & H. Lorenzi","L.C. Bernacci & H. Lorenzi","3364","2003","03","26",NA,"Brasil","São Paulo","Nova Odessa",NA,"-47.2958","-22.7775",NA,"Originári de São Sebastião do Paraíso-MG",NA,NA,"2003","03","-47.2958","-22.7775","26",NA,NA,NA,NA,NA,NA,NA
"30","2019-01-25 15:35:46-02","IAC","IAC","43260","S","Plantae",NA,NA,"Passifloraceae-3.Passifloroideae","Passiflora","setulosa","Passiflora setulosa","Killip","L.C. Bernacci & N. Junqueira","L.C. Bernacci & N. Junqueira","3548","2003","06","05",NA,"Brasil","Distrito Federal","Brasília","Planaltina. Procedente de Carrancas (MG).","-47.9297","-15.7797",NA,NA,NA,NA,"2003","06","-47.9297","-15.7797","05",NA,NA,NA,NA,NA,NA,NA
"31","2020-04-07 16:32:32-03","IAC","IAC","46953","S","Plantae",NA,NA,"Passifloraceae-3.Passifloroideae","Passiflora","setulosa","Passiflora setulosa","Killip","C.F. Nardin et al.","C.F. Nardin; L.C. Bernacci & M.D. Soares-Scott","14","2006","04","07",NA,"Brasil","São Paulo","Nova Odessa","Instituto Plantarum","-47.2958","-22.7775",NA,"proveniente de São Sebastião do Paraíso, Minas Gerais; parcela número 2.022",NA,NA,"2006","04","-47.2958","-22.7775","07",NA,NA,NA,NA,NA,NA,NA
"32","2020-04-07 16:32:32-03","IAC","IAC","54319","S","Plantae",NA,NA,"Passifloraceae-3.Passifloroideae","Passiflora","setulosa","Passiflora setulosa","Killip","L.C. Bernacci et al.","L.C. Bernacci; F.M. Maia & R. Giovanni","4764","2012","03","17",NA,"Brasil","São Paulo","Salesópolis","limites do Parque Estadual da Serra do Mar","-45.8464","-23.5322",NA,"indivíduo 140",NA,NA,"2012","03","-45.8464","-23.5322","17",NA,NA,NA,NA,NA,NA,NA
