"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"11","2020-11-04 11:07:41-03","ESALQ","ESA","33782","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Muell.Arg.","Oliveira, A.S.","Andrade, P.M. ; Lopes, M.A.","470.0","1984","11","17",NA,"Brasil","Minas Gerais",NA,"Estação Biológica de Caratinga",NA,NA,NA,NA,"ESA033782","ESA033782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:07:41-03","ESALQ","ESA","79469","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx",NA,NA,"Farah, F.T.","1635.0","2000","01","01",NA,"Brasil","São Paulo","Orlândia","Faz. Vale do Rosário","-47.8800010681152","-20.7199993133545",NA,NA,"ESA079469","ESA079469",NA,NA,"16147","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:07:41-03","ESALQ","ESA","50872","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx",NA,NA,"Cavalheri, E.K.",NA,"2005","10","01",NA,"Brasil","São Paulo","Rio Claro",NA,"-47.560001373291","-22.4099998474121",NA,NA,"ESA050872","ESA050872",NA,NA,"21773","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:16:58-03","UFV","VIC","22631","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Riina, R.","Bortoluzzi, R.L.C.; et al.","379","1998","11","26",NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa do Meio.","-42.7322006225586","-19.7122001647949",NA,"Árvore com c.a. de 5,0 metros de altura. Frutos jovens verdes.","VIC022631","VIC022631",NA,NA,"28215","auto","2013","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:16:58-03","UFV","VIC","31041","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Riina, R.","Lopes, W.P. de","481","1997","11","21",NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Região do Vinhático.","-42.7322006225586","-19.7122001647949",NA,"Árvore com cerca de 16 metros de altura; casca e alburno beges, com oxidação; flores esverdeadas; inflorescência com até 30 cm.","VIC031041","VIC031041",NA,NA,"28215","auto","2013","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:16:58-03","UFV","VIC","16079","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Sá Haiad, B. de","Carvalho-Okano, R.M. de; Santos, E. dos","s.n.","1995","12","07",NA,"Brasil","Minas Gerais","Viçosa","Próximo ao Condomínio Júlia Molar","-42.8819007873535","-20.7539005279541",NA,NA,"VIC016079","VIC016079",NA,NA,"13937","auto","2004","07","20",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-20 21:16:58-03","UFV","VIC","1047","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Riina, R.","Mexia, Y.","5356","1930","11","25",NA,"Brasil","Minas Gerais",NA,"Rio Branco, Estrada para São Geraldo. Retiro de Anton Avelino, em floresta virgem.",NA,NA,NA,"Árvore, c.a. de 15 metros de altura; tronco circunferência 49 cm; casca cinza escura, macia, e copa estreita; flor branca-esverdeada.","VIC001047","VIC001047",NA,NA,NA,NA,"2016","05","10",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:16:58-03","UFV","VIC","22691","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Pinto, L.S.P.","Bovini, M.G.","1556","1998","10","28",NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Margem da Lagoa do Bispo.","-42.7322006225586","-19.7122001647949",NA,"Arvoreta heliófila, c.a. de 2,5 metros de altura. Folhas semi-cartáceas, concolores. Frutos imaturos verdes.","VIC022691","VIC022691",NA,NA,"28215","auto","2004","07","20",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-20 21:16:58-03","UFV","VIC","22633","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Riina, R.","Bortoluzzi, R.L.C.; et al.","381","1998","11","26",NA,"Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa do Meio.","-42.7322006225586","-19.7122001647949",NA,"Árvore de c.a. de 6,0 metros de altura. Flores creme-esverdeadas.","VIC022633","VIC022633",NA,NA,"28215","auto","2013","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:16:58-03","UFV","VIC","30822","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll. Arg.","Batista, M.L.","Batista, M.L.","04","2002","12","04",NA,"Brasil","São Paulo","Mogi das Cruzes","Colégio Raízes","-46.1883010864258","-23.5228004455566",NA,"Árvore, c.a. de 10 metros de altura.","VIC030822","VIC030822",NA,NA,"28666","auto","2006","07","30",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:29:36-03","UNICAMP","UEC","144639","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Silva, BG","Silva, BG; Duarte, LSC; Lima, GM","481","2018","11","08",NA,"Brazil","São Paulo","Campinas","Mata de Santa Genebra - Trilha do Aceiro e Trilha, Local: Borda da trilha, dossel a pleno sol. Solo: Latossolo vermelho, em meio à serrapilheira.","-47.179903","-23.398914",NA,"Hábito: Arbóreo. Altura: 9m. Látex: Ausente. Cor: Flores pequenas sem pétalas. Odor: Ausente. Outros: Estames longos.","UEC163329","UEC163329 UEC163329_v01 UEC163329_v02 UEC163329_v03 UEC163329_v04 UEC163329_v05 UEC163329_v06",NA,NA,NA,NA,"2019","02","01","-47.179903","-23.398914",NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:29:36-03","UNICAMP","UEC","108503","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Grombone-Guaratini, MT; Galvão, JC; Belinello, R","228","1996","11","07",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.1","-22.816667",NA,"Árvore com 6m de altura. Flores creme com glândula laranja. frutos jovens.","UEC144018","UEC144018",NA,NA,NA,NA,"2004","03",NA,"-47.1","-22.816667",NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:29:36-03","UNICAMP","UEC","15226","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Weyland Vieira, MC","854","1986","01","15",NA,"Brazil","Minas Gerais","Monte Belo","Fazenda Lagoa","-46.25","-21.416667",NA,"Árvore 643, quadrante I6I. Mato olaria, frutos verdes.",NA,NA,NA,NA,NA,NA,"2004","03",NA,"-46.25","-21.416667",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:29:36-03","UNICAMP","UEC","153226","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Weyland Vieira, MC","854","1986","01","15",NA,"Brazil","Minas Gerais","Monte Belo","Fazenda Lagoa","-46.25","-21.416667",NA,"Árvore 643, quadrante I6I. Mato olaria, frutos verdes.","UEC144005","UEC144005",NA,NA,NA,NA,"2004","03",NA,"-46.25","-21.416667",NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:29:36-03","UNICAMP","UEC","160990","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Santos, K","Santos, K","165","1996","11","22",NA,"Brazil","São Paulo","Campinas","sub distrito de Souza. Floresta Estacional","-46.916667","-22.833333",NA,"Borda de mata. Árvore, 15m de altura, PAP 130cm. Botões jovens.","UEC035872","UEC035872",NA,NA,NA,NA,NA,NA,NA,"-46.916667","-22.833333",NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:11:21-03","UNICAMP","UEC","40521","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Webster, GL","25449","1984","10","31",NA,"Brazil","São Paulo","Campinas","Reserva Florestal Santa Genebra, Semi-deciduous forest.","-47.116667","-22.783333",NA,"Tree 5m high, with brown fissured bark; staminate flowers yellowish-white, inodorus, glands reddish with yellow tips.","UEC144010","UEC144010","650","650",NA,NA,"2004","02",NA,"-47.116667","-22.783333",NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:29:36-03","UNICAMP","UEC","61791","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Bernacci, LC","24446","1989","11","08",NA,"Brazil","São Paulo",NA,"Fazenda São Vicente",NA,NA,NA,"Árvore ca. 10-15m alt., flores esverdeadas. Interior da mata.","UEC143997","UEC143997",NA,NA,NA,NA,"2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:11:21-03","UNICAMP","UEC","69548","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Caruzo, MBR","?","s.n.",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:29:36-03","UNICAMP","UEC","97791","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Santos, K","Santos, K","165","1996","11","22",NA,"Brazil","São Paulo","Campinas","sub distrito de Souza. Floresta Estacional","-46.916667","-22.833333",NA,"Borda de mata. Árvore, 15m de altura, PAP 130cm. Botões jovens.","UEC144013","UEC144013",NA,NA,NA,NA,NA,NA,NA,"-46.916667","-22.833333",NA,NA,NA,NA,NA,NA
"30","2019-08-20 10:11:21-03","UNICAMP","UEC","120931","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Meireles, LD","Meireles, LD","572","2001","09","19",NA,"Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506",NA,"Árvore, 7m, flores creme-esverdeadas","UEC038787","UEC038787",NA,NA,"22140","auto","2002","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:29:36-03","UNICAMP","UEC","111742","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Cordeiro, I","Catharino, ELM","2167","1997","10","13",NA,"Brazil","Minas Gerais","Rio Doce","Fazenda Paraíso, Mata mesófila semidecídua.","-42.8958015441895","-20.2446994781494",NA,"Árvore grande, ca. 20m de altura. Glâdula vermelha. Estilete alvo.","UEC144021","UEC144021",NA,NA,"14517","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:29:36-03","UNICAMP","UEC","49597","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Bernacci, LC","92","1985","10","12",NA,"Brazil","São Paulo","Cajuru","Fazenda Santa Carlota","-47.2999992370605","-21.2700004577637",NA,"Árvore, 10-12 m alt; caule cinza-claro; glândulas das folhas avermelhadas; botões esverdeados.","UEC144007","UEC144007",NA,NA,"21243","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-08-20 10:11:20-03","UNICAMP","UEC","108940","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Filho, RC; Chiste, FS","49","1998","11","16",NA,"Brazil","São Paulo","Campinas","Bosque dos Alemães, Floresta Estacional Semidecidual.","-47.060001373291","-22.8999996185303",NA,"Árvore de aproximadamente 14m de altura com tronco liso. Indivíduo 2376.","UEC144011","UEC144011",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-01 16:29:36-03","UNICAMP","UEC","4643","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Matthes, LAF","7635",NA,NA,NA,NA,"Brazil","São Paulo","Campinas","Bosque dos Jequitibás","-47.060001373291","-22.8999996185303",NA,"Coleção bosque do0s Jequitibás n° 191-E.","UEC143999","UEC143999",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:29:36-03","UNICAMP","UEC","4641","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Matthes, LAF","7638",NA,NA,NA,NA,"Brazil","São Paulo","Campinas","Bosque dos Jequitibás","-47.060001373291","-22.8999996185303",NA,"Coleção Bosque dos Jequitibás n° 388-A.","UEC143995","UEC143995",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:29:36-03","UNICAMP","UEC","4640","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Matthes, LAF","7639",NA,NA,NA,NA,"Brazil","São Paulo","Campinas","Bosque dos Jequitibás","-47.060001373291","-22.8999996185303",NA,"Coleção Bosque dos Jequitibás n° 388-A.","UEC143996","UEC143996",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:29:36-03","UNICAMP","UEC","70848","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Santin, DA; Fernandes, MA; Aricò, L","33577","1993","11","04",NA,"Brazil","São Paulo","Campinas","Bosque São José","-47.060001373291","-22.8999996185303",NA,"Árvore de aprox. 12m.","UEC144017","UEC144017",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:29:36-03","UNICAMP","UEC","87436","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Passos, LC","32545","1994","12","27",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 15m. Flores pistiladas, estigma esverdeado, glândulas alaranjadas.","UEC144022","UEC144022",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:29:36-03","UNICAMP","UEC","85739","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Passos, LC","32544","1994","12","27",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 15m. flores estaminadas anteras amarelas, pétalas brancas, glândulas alaranjadas.","UEC144015","UEC144015",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:29:36-03","UNICAMP","UEC","85700","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Passos, LC","32546","1994","12","27",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 15m Frutos verdes.","UEC144023","UEC144023",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:29:36-03","UNICAMP","UEC","69041","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Passos, LC","32545","1994","12","27",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 15m. Flores pistiladas, estigma esverdeado, glândulas alaranjadas.","UEC144006","UEC144006",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:29:36-03","UNICAMP","UEC","069045","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Passos, LC","32544","1994","12","27",NA,"Brazil","São Paulo","Campinas","Fazenda Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 15m. flores estaminadas anteras amarelas, pétalas brancas, glândulas alaranjadas.","UEC144016","UEC144016",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-01 16:29:36-03","UNICAMP","UEC","64705","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Bernacci, LC","25853","1990","12","04",NA,"Brazil","São Paulo","Campinas","Fazenda São Vicente, Mata mesófila semidecídua.","-47.060001373291","-22.8999996185303",NA,"Árvore ca. 8 metros de altura, flores esverdeadas, esbranquiçadas, odoríferas ao meio-dia. Bordo da mata.","UEC144019","UEC144019",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-08-20 10:11:21-03","UNICAMP","UEC","149094","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Aguirre, GH","Aguirre, GH","A010","2008","10","03",NA,"Brazil","São Paulo","Campinas","Mata do Sítio São Francisco","-47.060001373291","-22.8999996185303",NA,NA,"UEC144009","UEC144009",NA,NA,"23900","auto","2009","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-01 16:29:36-03","UNICAMP","UEC","173226","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Santos, RF","Santos, K; Belinello, R","1694","2000","05","16",NA,"Brazil","São Paulo","Campinas","Mata Furnas.","-47.060001373291","-22.8999996185303",NA,"Árvore semidecídua, autocórica; córtex liso, madeira leve; altura total 19m, PAP 105cm.&nf;nome popular: caixeta.; Floresta estacional semidecidual.","UEC016069","UEC016069",NA,NA,"23900","auto","2015","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-01 16:29:36-03","UNICAMP","UEC","173231","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Santos, RF","Santos, K; Belinello, R","717","1999","11","29",NA,"Brazil","São Paulo","Campinas","Mata Ribeirão Cachoeira.","-47.060001373291","-22.8999996185303",NA,"árvore semidecídua, autocórica; cortéx liso, madeira leve; altura total: 11m; altura do fruste: 8m; PAP: 80cm.; Floresta estacional semidecidual.","UEC016074","UEC016074",NA,NA,"23900","auto","2015","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:29:36-03","UNICAMP","UEC","50083","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Arruda, VLV","20225","1986","01","07",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.060001373291","-22.8999996185303",NA,"Árvore, flroes brancas com miolo laranja.","UEC143994","UEC143994",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-08-20 10:11:21-03","UNICAMP","UEC","47117","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx","Croton piptocalyx","Müll.Arg.","Riina, R","Arruda, VLV","19849","1986","11","03",NA,"Brazil","São Paulo","Campinas","Reserva Municipal de Santa Genebra","-47.060001373291","-22.8999996185303",NA,NA,"UEC143993","UEC143993",NA,NA,"23900","auto","2004","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
