"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet"
"11","2019-11-21 14:37:24-03","UFJF","CESJ","69165","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","G.B. Oliveira; J.H.C. Ribeiro","176","2016","04","28","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta dos Coelhos, 15-20m da entrada da gruta","-43.895556","-21.710833","1360","1360",NA,"Rupícola","CESJ069165",NA,NA,"F.R.G.Salimena","2016","10",NA,NA,NA,"-43.895556","-21.710833",NA,NA,NA,NA,NA
"12","2019-11-21 14:37:24-03","UFJF","CESJ","72573","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","V.A.O. Dittrich; B.P.S. Pereira","2302","2019","04","18","América do Sul","Brasil","Minas Gerais","Juiz de Fora","Toledos, 2100 m ao sul do povoado por estrada de terra, na margem esquerda do rio do Peixe","-43.59075","-21.808278","675","675",NA,"Terrícola bulbosa com flores vermelhas em paredão sombreado na beira da estrada","CESJ072573",NA,NA,"V.A.O. Dittrich","2019","04",NA,NA,NA,"-43.59075","-21.808278",NA,NA,NA,NA,NA
"13","2019-11-21 14:37:24-03","UFJF","CESJ","8591","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Krieger","CESJ8591","1989","02","10","América do Sul","Brasil","Minas Gerais","Conceição de Ibitipoca","Serra de Ibitipoca, Brasil, Minas Gerais - Ibitipoca - Serra de Ibitipoca.",NA,NA,NA,NA,NA,"Rupícola de lugares bem iluminados sobre arenito. Com bulbo.","CESJ008591",NA,NA,"A. Chautems","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-09 19:01:09-03","UFJF","CESJ","25744","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","M. Eiterer; G.S. Freitas","023","1992","02","22","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Brasil, Minas Gerais - Conceição do Ibitipoca - Pq. Fl. Est. Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"No lago dos Espelhos, sobre rochas, corola vermelha, internamente amarela, estames com pólem branco, frequente.","CESJ025744",NA,NA,"M. Eiterer","1992","03","10","30417","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-09 19:01:09-03","UFJF","CESJ","25765","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","M. Eiterer; G.S. Freitas","043","1992","02","23","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Brasil, Minas Gerais - Conceição do Ibitipoca - Pq. Fl. Est. Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Na gruta das Bromélias, corola vermelha, internamente amarela. Frequente.","CESJ025765",NA,NA,"M. Eiterer","1992","03","19","30417","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-09 19:01:09-03","UFJF","CESJ","14630","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Krieger","CESJ14630","1977","02","28","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Brasil, Minas Gerais - Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Sobre paredes de arenito, com bulbo do qual parte um caule nodoso, terminando por uma só folha. Flores vermelhas.","CESJ014630",NA,NA,"A. Chautems","1992",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-30 18:32:15-03","UFJF","CESJ","29088","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. G. Rodela","QAC145","1996","03","14","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Brasil, Minas Gerais - Pq. Fl.Est. Ibitipoca - Vargem Grande, ap 1660 msm.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Rupícola. Folhas felpudas, larga. Flor vermelha e em copo.","CESJ029088",NA,NA,"A. Chautems","1999","05",NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:37:24-03","UFJF","CESJ","26302","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","M.C. Brügger; et alli","708","1991","04","13","América do Sul","Brasil","Minas Gerais","Bom Jardim de Minas","Brasil, Minas Gerais - Bom Jardim de Minas.","-44.1911010742188","-21.9472007751465",NA,NA,NA,NA,"CESJ026302",NA,NA,"M. Eiterer","1993","03","04","20996","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:37:24-03","UFJF","CESJ","42177","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","K. Antunes; C.N. Matozinhos; L.Antunes","79","2004","02",NA,"América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"CESJ042177",NA,NA,"I.SanMartin-Gajardo","2004","10","29","20815","auto",NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:37:24-03","UFJF","CESJ","32569","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","R.C. Forzza; M.Heluey; F.S. Araújo; A.S.M. Valente","1804","2001","02","09","América do Sul","Brasil","Minas Gerais","Lima Duarte","arredores do Parque Estadual de Ibitipoca, Minas Gerais, Municipio de Lima Duarte, arredores do P.F.E.de Ibitipoca,trilha que sai da portaria do Parque para o lado esquerdo.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Planta em fenda de rocha, local sombreado. Folhas discolores, roxas na face abaxial. Flores com cálice vermelho escuro; corola vermelha.","CESJ032569",NA,NA,"A. Chautems","2003",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:37:24-03","UFJF","CESJ","24319","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Krieger; M.C. Brügger","CESJ24319","1989","03","27","América do Sul","Brasil","Minas Gerais","Lima Duarte","Proximo a Olaria, Brasil, MInas Gerais - Lima Duarte, proximo ao municipio de Olaria.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Sobre matacão em mata, lugar abrigado do sol. Geralmente uma só folha. Flores encarnadas. Face abaxial das folhas lilacíneas.","CESJ024319",NA,NA,"A. Chautems","1992",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:37:24-03","UFJF","CESJ","21537","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","F.R.G. Salimena; M.C. Brügger; F.M. Meirelles; R.D.V.Braga","s.n.","1987","07","17","América do Sul","Brasil","Minas Gerais","Lima Duarte","Serra da Capoeira Grande, Minas Gerais, Lima Duarte, Serra da Capoeira Grande - 1.500 msm.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Sobre paredão de pedra, pendente. Flores alaranjadas.","CESJ021537",NA,NA,"A. Chautems","1992",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:37:24-03","UFJF","CESJ","49107","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","F.R.G. Salimena; P.H. Nobre","2424","2007","02","16","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Boqueirão, divisa com Santa Bárbara do Monte Verde.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Erva rupícola, formando grandes populações nos paredões de quartzito do Boqueirão. Flores vermelhas.","CESJ049107",NA,NA,NA,NA,NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 14:37:24-03","UFJF","CESJ","53369","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","L. Menini Neto; F.R.G. Salimena; J.H.C. Ribeiro; P.H. Nobre","666","2009","04","19","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Vilarejo do Funil. Cânion da Gruta do Funil.","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Erva saxícola, tuberosa, no interior de floresta de grota, em paredão de quartzito. Folhas discolores, flores vermelhas.","CESJ053369",NA,NA,"L. Menini Neto","2009","04","19","20815","auto",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:37:24-03","UFJF","CESJ","37361","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","D.B.Prieto","006","2002","03","02","América do Sul","Brasil","Minas Gerais","Santa Bárbara do Monte Verde","Santa Barabara do Monte Verde - Minas Gerais - Brasil.","-43.7022018432617","-21.9591999053955",NA,NA,NA,"Herbáceo, flores vermelhas.","CESJ037361",NA,NA,"Thereza Lopes","2004","07","12","16174","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:37:24-03","UFJF","CESJ","25858","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","R.C. Oliveira; M.C.M. Garcia; L.P.Oliveira","076","1992","04","16","América do Sul","Brasil","MInas Gerais","Lima Duarte","Estrada para Conceição de Ibitipoca, Minas Gerais - Lima Darte - Estrada para Conceição do Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Sobre quartzito, as margens da cachoeira das Andorinhas.","CESJ025858",NA,NA,"R.C. Oliveira","1992","04","16","30417","auto",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:31:42-03","UNICAMP","UEC","111254","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","San Martin-Gajardo, I; Sazima, M","007","2000","03","20",NA,"Brazil","Minas Gerais","Conceição de Ibitipoca","Parque Estadual do Ibitipoca",NA,NA,"1300","1300",NA,"Herbácea - Flores vermelho crista de galo, abertura e interior do tubo amarelo. Folhas variando de tamanho de 5 a 50cm.; Rupícola - encontrada em afloramentos rochosos.","UEC076665","UEC076665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:15:44-03","UNICAMP","UEC","40375","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Souza, HC","s.n.","1987","02","17",NA,"Brazil","Minas Gerais","Ibitipoca","Parque de Ibitipoca",NA,NA,"1400","1400",NA,"flor, Erva de mais ou menos 10 cm de altura. Flores vermelhas. Planta sem folha com uma batata grande. Campo rupestre na ponte de pedra.","UEC141486","UEC141486",NA,"Chautems, A","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-20 10:15:44-03","UNICAMP","UEC","40377","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Souza, HC","s.n.","1987","05","05",NA,"Brazil","Minas Gerais",NA,"Parque Florestal de Ibitipoca",NA,NA,NA,NA,NA,"flor, Rupícola. Erva. Flor vermelha. Paredões de pedra.","UEC141487","UEC141487",NA,"Chautems, A","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-03-12 10:29:13-03","UFOP","OUPR","33520","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Pedrosa, L.G.","1376","2019","03","03",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,NA,NA,"Erva, 20cm. Flores vermelhas. Afloramento rochoso.",NA,NA,NA,"Pedrosa, L.G.","2019","03","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-06 09:55:47-03","UFOP","OUPR","18543","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Messias, M.C.T.B.","710","2003","02","07",NA,"Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi, Serrinha","-43.4160995483398","-20.377799987793",NA,NA,NA,"Erva, flores vermelhas. Campo rupestre, em fendas de quartzito",NA,NA,NA,"Messias, M.C.T.B.","2003","02","07","33524","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:55:47-03","UFOP","OUPR","15439","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1978","04","14",NA,"Brasil","Minas Gerais","Mariana","Passagem de Mariana","-43.4160995483398","-20.377799987793",NA,NA,NA,"Erva. Sobre fendas de quartzito",NA,NA,NA,"Araújo, A.O.","2002","02","20","33524","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-06 09:55:47-03","UFOP","OUPR","13319","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1975","04","11",NA,"Brasil","Minas Gerais","Ouro Preto","Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas. Sobre rochas",NA,NA,NA,"Araújo, A.O.","2003","05",NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-06 09:55:47-03","UFOP","OUPR","15438","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1934",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas. Aderente às fendas de rochas",NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-06 09:55:47-03","UFOP","OUPR","15440","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1975","04","11",NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-06 09:55:47-03","UFOP","OUPR","15443","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1981","06","17",NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-06 09:55:47-03","UFOP","OUPR","3934","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.; Silva, J.L.","s.n.","1981","02","23",NA,"Brasil","Minas Gerais","Ouro Preto","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas. Fendas de rochas",NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-11-06 09:55:47-03","UFOP","OUPR","22230","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Silva, J.L.","s.n.","2006","01","27",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Serrinha","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva. Campo rupestre",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-11-06 09:55:47-03","UFOP","OUPR","13320","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Godoy, J.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Saramenha","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas. Terreno pedregoso",NA,NA,NA,"Araújo, A.O.","2002","12","10","44599","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-11-06 09:55:47-03","UFOP","OUPR","18357","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Magalhães-Gomes; Silveira, A.A.","s.n.","1896","02","03",NA,"Brasil","Minas Gerais","Ouro Preto","Saramenha","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Herba, fl. pulchri coccinei. In fissuris rupibus. Ex Herb. Magalhães Gomes n. 2871",NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-03-12 10:29:13-03","UFOP","OUPR","33652","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Pedrosa, L.G.","1509","2019","03","30",NA,"Brasil","Minas Gerais","Ouro Preto","Saramenha","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, 10cm. Flores vermelhas. Barranco sombreado.",NA,NA,NA,"Pedrosa, L.G.","2019","03","30","44599","auto",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-06 09:55:47-03","UFOP","OUPR","15442","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Ex Herb. Escola de Minas n. 713",NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-06 09:55:47-03","UFOP","OUPR","15441","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Ex Herb. Escola de Minas n. 713",NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-11-06 09:55:47-03","UFOP","OUPR","13318","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Badini, J.","s.n.","1975","04","11",NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva, flores vermelhas. Sobre rochas",NA,NA,NA,"Araújo, A.O.","2002","12","10","44599","auto",NA,NA,NA,NA,NA,NA,NA
"45","2019-11-06 09:55:47-03","UFOP","OUPR","6961","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","tuberosa","Sinningia tuberosa","(Mart.) H.E.Moore","Roschel, M.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Tripuí","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"Araújo, A.O.","2002","02","20","44599","auto",NA,NA,NA,NA,NA,NA,NA
