"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-10-07 09:10:50-03","UEFS","HUEFS","88379","PreservedSpecimen","Plantae","Angiospermae","Apiales","Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi",NA,"Fiaschi, P.","988","2002","02","05",NA,"Brasil","Bahia","Una","Trilha do Príncipe.","-39.066667","-15.166667",NA,"Mata higrófila sul baiana sobre solo arenoso.","HUEFS0088379","HUEFS0088379 HUEFS0088379_01","Isótipo",NA,NA,NA,"39W4'0''","15S10'0''",NA,NA,"Asteranae",NA,NA,NA
"12","2019-10-07 09:10:50-03","UEFS","HUEFS","3876","PreservedSpecimen","Plantae","Angiospermae","Apiales","Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","P.Fiaschi","Santos, T.S.dos","505","1969","11","14",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"HUEFS0003876","HUEFS0003876",NA,"2007","08",NA,NA,NA,"36070","auto","Asteranae",NA,NA,NA
"13","2019-01-23 10:58:58-02","F","FMNH-SEEDPLANTS","V0063147F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,NA,"P. Fiaschi et al.","988","2002","2","5","South America","Brazil","Bahia",NA,"Una, Reserva Biologica de Una. Trilha do Principe","-39.0667","-15.1767",NA,NA,"V0063147F","V0063147F_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"14","2019-01-23 10:58:58-02","F","FMNH-SEEDPLANTS","V0063148F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,NA,"P. Fiaschi et al.","988","2002","2","5","South America","Brazil","Bahia",NA,"Una, Reserva Biologica de Una. Trilha do Principe","-39.0667","-15.1767",NA,NA,"V0063148F","V0063148F_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"15","2020-07-23 11:58:04-03","CEPLAC","CEPEC","100520","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"P. Fiaschi","P. Fiaschi","988","1997","02","06",NA,"Brasil","Bahia","UNA","Reseva Biológica de Una. Trilha do Príncipe.","-39.066667","-15.183333",NA,NA,NA,NA,"Isótipo",NA,NA,NA,"39W4'0","15S10'60",NA,NA,NA,"30/12/2004",NA,NA
"16","2020-07-23 11:58:04-03","CEPLAC","CEPEC","123023","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"A. M. Amorim","Amorim, A. M.","3637","2001","04","29",NA,"Brasil","Bahia","UNA","Rebio de Una. Ecoparque e Picada do Príncipe.","-39.083333","-15.15",NA,"Frutos em álcool, folhas em sílica-gel. Foto.",NA,NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA,NA,NA,NA
"17","2020-07-23 11:58:04-03","CEPLAC","CEPEC","142565","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"Sem Informação","Fernandes, M.H.","124","2014","11","20",NA,"Brasil","Bahia","PLANALTO","Conglomerado BA_1273-3-3-19","-40.319722","-14.760278",NA,"Duplicatas: RB",NA,NA,NA,NA,NA,NA,"40W19'11","14S45'37",NA,NA,NA,NA,NA,NA
"18","2020-07-23 11:58:04-03","CEPLAC","CEPEC","141017","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"Sem Informação","Lopes, L.C.M.","216","2012","07","24",NA,"Brasil","Bahia","UNA",NA,"-39.097222",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'50","15S10'83",NA,NA,NA,NA,NA,NA
"19","2020-07-23 11:58:04-03","CEPLAC","CEPEC","56958","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"D. Rocha","W. W. Thomas","9440","1992","11","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão (REBIO). Entrada KM 46 BA-001 Ilheus/Una.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"07/10/2014",NA,NA
"20","2020-07-23 11:58:04-03","CEPLAC","CEPEC","94261","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"P. Fiaschi","P. Fiaschi","1250","2002","12","07",NA,"Brasil","Bahia","ITACARÉ","Estrada de Itacaré/Maraú, pouco após a desembocadura do Rio de Contas.","-39","-14.25",NA,NA,NA,NA,NA,NA,NA,NA,"39W0'","14S15'",NA,NA,NA,NA,NA,NA
"21","2020-07-23 11:58:07-03","CEPLAC","CEPEC","28992","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"P. Fiaschi","L. A. Mattos-Silva","1459","1982","02","08",NA,"Brasil","Bahia","ILHÉUS","Estrada que liga a estação Hidromineral de Olivença ao povoado de Vila Brasil. 5Km ao Sudoeste de Olivença..","-39.0494003295898","-14.7889003753662",NA,"<ll>dwc_commonname:</ll> Matatauba",NA,NA,"Paratipo",NA,NA,NA,NA,NA,"61245","auto",NA,"30/12/2004",NA,NA
"22","2020-07-23 11:58:07-03","CEPLAC","CEPEC","24385","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"P. Fiaschi","L. A. Mattos-Silva","1332","1981","07","22",NA,"Brasil","Bahia","CANAVIEIRAS","Faz. Gromogo. Km 22 Rod. Canavieiras/Sta. Luzia (BA-270), ramal a direita,2Km adentro.","-38.9472007751465","-15.6750001907349",NA,"<ll>dwc_commonname:</ll> Matatauba, Mandiocai",NA,NA,"Paratipo",NA,NA,NA,"0W0'0","0S0'0","48203","auto",NA,"30/12/2004",NA,NA
"23","2020-07-23 11:58:04-03","CEPLAC","CEPEC","5332","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata",NA,"P. Fiaschi","T. S. dos Santos","505","1969","11","14",NA,"Brasil","Bahia","UNA","Km 5 da estrada Uma a Olivença.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"Paratipo",NA,NA,NA,"0W0'0","0S0'0","36070","auto",NA,"30/12/2004",NA,NA
"24","2020-09-22 13:48:28-03","USP","SPFW","4681","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","P. Fiachi 2002","Fiaschi, P. Pirani, J.R.; Groppo, M.; Marcato, A.C.; Paixão, J.L.","988","2002","11","05",NA,"Brasil","Bahia","Una","Reserva Biológica de Una","-39.066667","-15.183333",NA,NA,NA,NA,NA,NA,NA,NA,"39º04'00''W","15º10'60''S",NA,NA,NA,NA,NA,NA
"25","2020-09-22 13:48:26-03","USP","SPFW","3601","PreservedSpecimen","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","P. Fiaschi 2006","Fiaschi, P. Lopes, M.M.M.; Amorim, A.M.A.; Gomes, L.C.","3083","2006","07","08",NA,"Brasil","Bahia","Una","Reserva Biológica de Una","-39.060278","-15.196111",NA,NA,NA,NA,NA,NA,NA,NA,"39º03'37''W","15º11'46''S",NA,NA,NA,NA,"85","85"
"26","2019-11-21 09:59:22-03","IBt","SP","371951","S","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Fiaschi, P","Fiaschi, P; Pirani, JR; Groppo Jr, M; Marcato, AC; Paixão, JL","988","2002","02","05",NA,"Brasil","Bahia","Una","Reserva Biológica de Una, Trilha do Príncipe. Mata higrófila sul baiana sobre solo arenoso","-39.066667","-15.183333",NA,"Árvore bastante comum, ca. 9 m alt. Fuste ca. 7 m compr., DAP ca. 10 cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolor, face adaxial verde-esc","SP000390","SP000390 SP000390_01","Isotype","2004",NA,NA,"-39.066667","-15.183333",NA,NA,NA,NA,NA,NA
"27","2019-11-21 09:59:22-03","IBt","SP","371951b","Extra","Plantae",NA,NA,"Araliaceae","Schefflera","aurata","Schefflera aurata","Fiaschi","Fiaschi, P","Fiaschi, P; Pirani, JR; Groppo Jr, M; Marcato, AC; Paixão, JL","988","2002","02","05",NA,"Brasil","Bahia","Una","Reserva Biológica de Una, Trilha do Príncipe. Mata higrófila sul baiana sobre solo arenoso","-39.066667","-15.183333",NA,"Árvore bastante comum, ca. 9 m alt. Fuste ca. 7 m compr., DAP ca. 10 cm. Folhas agrupadas no ápice dos ramos. Folíolos horizontais, coriáceos e levemente conduplicados. Margem revoluta. Lâmina fortemente discolor, face adaxial verde-esc","SP000394","SP000394","Isotype","2004",NA,NA,"-39.066667","-15.183333",NA,NA,NA,NA,NA,NA
