"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"13","2020-12-11 11:33:19-03","UFMG","BHCB","142239","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker",NA,"Oliveira, CT; Arruda, AJ","334","2009","02","17","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Pico da Carapuça","-43.471667","-20.09","1877","1877",NA,"Arbusto de 1m, capítulos brancos","BHCB023075",NA,NA,"Catas Altas",NA,NA,NA,NA,NA,NA,"-43.471667","-20.09",NA
"14","2020-12-11 11:33:19-03","UFMG","BHCB","8572","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker",NA,"Siqueira, JC; Grandi, TSM; Paula, JA","136","1986","04","27","Southern America","Brasil","Minas Gerais","Serra da Piedade.","-43.666667","-19.816667",NA,NA,NA,"Arbustivo.; Campo rupestre.","BHCB018430",NA,NA,"Caeté",NA,NA,"2014","10",NA,"06","-43.666667","-19.816667",NA
"15","2020-12-11 11:33:19-03","UFMG","BHCB","21914","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker",NA,"Lucca, M","23","1993","04","10","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó., Região do Congonhas, abaixo da Casa de Pedra e próximo ao córrego Gavião","-43.7144012451172","-19.1688995361328","1100","1100",NA,"Arbusto; Campo rupestre; afloramento rochoso","BHCB019928",NA,NA,"Santana do Riacho","26557","auto","2015","11",NA,NA,NA,NA,NA
"16","2009-06-30 12:26:00-03","MO","MOBOT","100197651","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker","J.N. Nakajima","J.N. Nakajima","Nakajima 2676","1997","8","20","South America","Brazil","Minas Gerais","Estrada São Roque-Sacramento, morro após a nascente do rio São Francisco, Parque Nacional da Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2009-06-30 12:30:00-03","MO","MOBOT","100197653","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker","J.N. Nakajima","J.N. Nakajima","Nakajima 1914","1996","7","9","South America","Brazil","Minas Gerais","Chapadão do Diamante, após a antena, São Roque de Minas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2015-08-13 05:50:00-03","MO","MOBOT","3350698","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker","G. Barroso","Howard S. Irwin|R.M. Harley|Eunice Onishi","Irwin 30247","1971","1","13","South America","Brazil","Minas Gerais","Steep iron-rich rocky slopes, near summit of Serra da Piedade, ca. 35 km E of Belo Horizonte, near BR-31.",NA,NA,"1800.00000000","2000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-19 11:17:25-03","UFG","UFG","40302","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker","Nakahima, J.","Nakajima, J.N.; Ressel, K. & Guimarães, F.A.G.","1995","1996","07","11",NA,"Brasil","Minas Gerais",NA,"-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,"UFG0040302","UFG0040302",NA,"São Roque de Minas","57119","auto","1996","07",NA,"11",NA,NA,NA
"20","2019-06-10 10:10:19-03","FZB-BH","BHZB","9071","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii",NA,"Jimi NakaJima confirmada por C.T.Oliveira","Fernandes, M.G.C. et al.","1450","2012","07","10",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.709444","-19.0425","1273","1273",NA,"Ponto 83, 635818 7893979 1273 m , Duplicata doada para Herbário HUFU e SPF",NA,NA,NA,"Santana do Riacho",NA,NA,"2013","02",NA,NA,"43W 42' 34","19S 02' 33",NA
"21","2019-06-10 10:10:19-03","FZB-BH","BHZB","8733","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii",NA,"Jimi Nakajima","Andrade, I.R. et al.","474","2012","05","16",NA,"Brasil","MG","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.709444","-19.0425","1273","1273",NA,"Ponto 83 635818 7893979 1273m,",NA,NA,NA,"Santana do Riacho",NA,NA,"2013","02",NA,NA,"43W 42' 34","19S 02' 33",NA
"22","2020-09-12 05:00:02-03","US","US","3085169","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Mikania","warmingii","Mikania warmingii","Sch. Bip. ex Baker",NA,"L. Emygdio de Mello Filho & A. G. Andrade","2313/2216","1966","7","28","South America - Neotropics","Brazil","Minas Gerais","Fornas, morro da Televisão (cimo)",NA,NA,NA,NA,NA,NA,"US01674546","US01674546_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","2019-11-13 11:16:29-03","USP","SPF","217102","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J","Fernandes, MGC","1450","2012","07","10",NA,"Brasil","Minas Gerais","RPPN Brumas do Espinhaço e Ermo dos Gerais","-43.7144012451172","-19.1688995361328","1273","1273",NA,"Levantamento florístico da RPPN Brumas do Espinhaço Ponto 83, 635818 7893979","SPF00217102",NA,NA,"Santana do Riacho","26557","auto","2013","02",NA,NA,NA,NA,NA
"24","2019-09-04 19:37:05-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii",NA,NA,"J. E. B. Warming",NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA
"25","2019-11-01 14:54:19-03","UnB","UB","123118","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Nakajima, JN","2653","1997","08","20","Southern America","Brasil","Minas Gerais","Estrada para o Sítio João Domingos, Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Brácteas marrom. Corola e ramos do estilete brancos; Subarbusto 1,5m.; Campo rupestre",NA,NA,NA,"São Roque de Minas","57119","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-08-04 12:47:41-03","UFU","HUFU","45432","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","Romero, R.; Arantes, A.A.A.; Bernardes, P.H.N.; Silva, M.A.O.; Caixeta, F.; et al.","7808","2006","07","13",NA,"Brasil","Minas Gerais","Região da represa de Furnas, Estrada para Cachoeira Feixo da Serra.","-46.0499992370605","-20.6152992248535",NA,NA,NA,"Subarbusto, ca. 0,5 m. Brácteas involucrais verdes, corola alva.; Campo rupestre.","HUFU00058463","HUFU00058463",NA,"Capitólio","29474","auto","2007","08",NA,NA,NA,NA,NA
"27","2019-05-06 11:53:49-03","UFU","HUFU","28541","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.",NA,"Romero, R.; Pacheco, R.A.; Nakajima, J.N. & Volpi, R.L.","6385","2002","10","07",NA,"Brasil","Minas Gerais","Estrada para Gurita","-46.8539009094238","-20.343900680542",NA,NA,NA,"Arbusto 1,5 m. Brácteas involucrais marrom, frutos nigrescentes.; Cerrado rupestre.","HUFU00058454","HUFU00058454",NA,"Delfinópolis","41380","auto",NA,NA,NA,NA,NA,NA,NA
"28","2019-05-06 11:53:49-03","UFU","HUFU","38067","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Romero, R.","Faria, C.A.; Silva, M.C.; Ferreira, A.F.; Santos, C.P. & Lima, M.O.","35","2004","09","14",NA,"Brasil","Minas Gerais","Trilha da Escada de Pedra","-46.8539009094238","-20.343900680542",NA,NA,NA,"Arbusto, ca. 2 m. Brácteas involucrais verdes, frutos creme.; Campo rupestre.","HUFU00058457","HUFU00058457",NA,"Delfinópolis","41380","auto","2004","10",NA,"27",NA,NA,NA
"29","2019-05-06 11:53:49-03","UFU","HUFU","38138","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.",NA,"Hattori, E.K.O.; Faria, C.A. & Magalhães, C.C.","371","2004","09","14",NA,"Brasil","Minas Gerais","Trilha da Escada de Pedras","-46.8539009094238","-20.343900680542",NA,NA,NA,"Subarbusto, ca. 1 m. Brácteas involucrais verdes, corola e ramos do estilete creme.; Campo rupestre.","HUFU00058459","HUFU00058459",NA,"Delfinópolis","41380","auto",NA,NA,NA,NA,NA,NA,NA
"30","2019-05-06 11:53:49-03","UFU","HUFU","33162","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","Krieger, L.","16228","1978","05","26",NA,"Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,"Erva, ca. 1 m. Flores creme esverdeadas. Folhas com cheiro forte.","HUFU00058456","HUFU00058456",NA,"Ouro Branco","13809","auto","2003","05",NA,NA,NA,NA,NA
"31","2019-05-06 11:53:49-03","UFU","HUFU","33163","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","Krieger, L.","s.n.","1988","05","16",NA,"Brasil","Minas Gerais","São Sebastião da Vitória","-44.2616996765137","-21.1355991363525",NA,NA,NA,"Arbusto com flores creme.; No campo cambissolo.","HUFU00058455","HUFU00058455",NA,"São João del Rei","39093","auto","2003","05",NA,NA,NA,NA,NA
"32","2019-05-06 11:53:49-03","UFU","HUFU","26120","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Hattori, E.K.O.","Nakajima, J.N.; Romero, R.; Oliveira, R.; Oliveira, P.E. & Schiavini, I.","1132","1995","07","14",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Guarita de sacramento.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Subarbusto ca. 0,8m. Brácteas verdes, corola creme.; Afloramentos rochosos.","HUFU00058453","HUFU00058453",NA,"São Roque de Minas","57119","auto","2005","03",NA,"01",NA,NA,NA
"33","2019-05-06 11:53:49-03","UFU","HUFU","42753","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","A.A.Arantes; Romero, R.; Nakajima, J.N.; Rezende, T.M. & Hattori, E.K.O.","1487","2005","09","28",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Cachoeira Feixo da Serra, Rio Turvo.","-46.230833","-20.604444","786","786",NA,"Subarbusto ca. de 0,1 m. Capítulos creme.","HUFU00058458","HUFU00058458",NA,"Furnas",NA,NA,"2007","07",NA,NA,"-46.230833","-20.604444",NA
"34","2020-08-04 12:47:41-03","UFU","HUFU","43011","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3953","2005","09","30",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Estrada para Pedreira Souza, ca. de 2 km da rodovia MG 050.",NA,NA,NA,NA,NA,"Subarbusto ca. de 1,6 m. Brácteas involucrais esverdeadas, corola e ramos do estilete creme.; Campo rupestre.","HUFU00058460","HUFU00058460",NA,NA,NA,NA,"2007","07",NA,NA,NA,NA,NA
"35","2020-08-04 12:47:41-03","UFU","HUFU","45423","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Nakajima, J.N.","Romero, R.; Arantes, A.A.A.; Bernardes, P.H.N.; Silva, M.A.O.; Caixeta, F.; et al.","7801","2006","07","13",NA,"Brasil","Minas Gerais","Região da represa de Furnas, Estrada para Cachoeira Feixo da Serra.","-46.0499992370605","-20.6152992248535",NA,NA,NA,"Subarbusto, ca. 0,6 m. Brácteas involucrais verdes, corola branca.; Campo rupestre.","HUFU00058462","HUFU00058462",NA,"Capitólio","29474","auto","2007","08",NA,NA,NA,NA,NA
"36","2020-08-04 12:47:41-03","UFU","HUFU","45249","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","Melo","Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Silva, M.A.O.; Grisi, P.U.; Caixeta, F.; et al.","1928","2006","07","12",NA,"Brasil","Minas Gerais","Região da represa de Furnas, Trilha da Pedreira Souza, ca. de 2 Km da BR MG 050.","-46.0499992370605","-20.6152992248535",NA,NA,NA,"Arbusto, ca. 1 m. Capítulos creme.","HUFU00058461","HUFU00058461",NA,"Capitólio","29474","auto","2006","10",NA,"04",NA,NA,NA
"37","2021-03-04 15:42:36-03","IF","SPSF","31704","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","W.A. Picolo","J.B.Baitello & F.S.Peres","1543","2003","04","24","América do Sul","Brasil","SP","P.E.Juqueri","-46.7200012207031","-23.3199996948242",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto cespitoso ereto, até 1m de altura, botões esverdeados e flores cor creme.; GEOGRAFIA: Campo limpo, atrás da pista de aeromodelismo.;",NA,NA,"Magnoliopsida","Franco da Rocha","12135","auto","2018","01",NA,"29",NA,NA,NA
"38","2021-03-04 15:42:36-03","IF","SPSF","31725","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.","W.A. Picolo","J.B.Baitello & F.S.Peres","1564","2003","05","08","América do Sul","Brasil","SP","P.E.Juqueri","-46.7200012207031","-23.3199996948242",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto cespitoso até 1m de altura, flores cor creme.; GEOGRAFIA: campo cerrado e campo limpo&nf;;",NA,NA,"Magnoliopsida","Franco da Rocha","12135","auto","2018","01",NA,"29",NA,NA,NA
"39","2017-09-11 17:08:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.",NA,"Riedel, L","606",NA,NA,NA,"Southern America","Brazil",NA,"loco Brasilia non indicato",NA,NA,NA,NA,NA,"ex parte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:08:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Habitat prov. Minas Geraes in collibus Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-08 12:36:46-03","UFRGS","ICN","131962","S","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Nakajima, JN; Rorero, R; Alcantara, MB","1116","1995","05","15","América do Sul","Brasil","MG","Estrada São Roque-Sacramento próximo à Torre de observação","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Campo rupestre. Subarbusto, ca. 0,5m. Brácteas esverdeadas. Corola e estigmas brancos.",NA,NA,NA,"São Roque de Minas","57119","auto",NA,NA,NA,NA,NA,NA,NA
"42","2021-02-08 12:36:46-03","UFRGS","ICN","131963","S","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Romero, R; et al. J.N. Nakajima; R. Oliveira","2353","1995","07","15","América do Sul","Brasil","MG","Morro próximo à sede administrativa PARNA Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Campo rupestre. Arbusto, ca. 1m. Brácteas verdes. Corola e Estigmas brancos.",NA,NA,NA,"São Roque de Minas","57119","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:01:05-03","IBt","SP","406290","S","Plantae",NA,NA,"Asteraceae","Mikania","warmingii","Mikania warmingii","Sch.Bip. ex Baker","Nakajima, JN","Nakajima, JN; Ressel, K; Guimarães, FAG","1995","1996","07","11",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Garagem de Pedras","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,NA,NA,NA,"São Roque de Minas","57119","auto","2008",NA,NA,NA,NA,NA,NA
