"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"431","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116396F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116396F","V0116396F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"432","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116397F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116397F","V0116397F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"433","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116398F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116398F","V0116398F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"434","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116399F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116399F","V0116399F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"435","2015-03-07 01:39:04-03","F","FMNH-SEEDPLANTS","V0116400F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,"V0116400F","V0116400F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"436","2015-03-07 01:39:12-03","F","FMNH-SEEDPLANTS","V0116778F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Bolivia",NA,NA,NA,"-64.435","-16.7261",NA,NA,NA,"V0116778F","V0116778F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"437","2019-11-18 18:58:04-03","F","FMNH-SEEDPLANTS","V0527806F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,"G. G. Hatschbach et al.","21948","1969","7","17","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0527806F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"438","2019-06-11 12:37:43-03","F","FMNH-SEEDPLANTS","V0345900F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata","RRC ID Flag","C. A. Cid Ferreira","2408","1980","12","9","South America","Brazil","Pará",NA,NA,"-53","-4",NA,NA,NA,"V0345900F","V0345900F_01 V0345900F_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2408",NA,NA
"439","2019-06-11 12:44:10-03","F","FMNH-SEEDPLANTS","V0345901F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata","RRC ID Flag","F. Mereles","6776","1997","9","4","South America","Paraguay","Alto Paraguay",NA,NA,"-58.75","-21",NA,NA,NA,"V0345901F","V0345901F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","6776",NA,NA
"440","2019-06-11 12:44:10-03","F","FMNH-SEEDPLANTS","V0345902F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata","RRC ID Flag","F. Mereles","6889","1997","9","9","South America","Paraguay","Alto Paraguay",NA,NA,"-58.75","-21",NA,NA,NA,"V0345902F","V0345902F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","6889",NA,NA
"441","2019-06-11 15:38:16-03","F","FMNH-SEEDPLANTS","V0373865F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata","RRC ID Flag","F. Mereles","7001","1997","9","10","South America","Paraguay","Alto Paraguay",NA,NA,"-58.75","-21",NA,NA,NA,"V0373865F","V0373865F_01 V0373865F_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","7001",NA,NA
"442","2019-09-24 14:20:21-03","F","FMNH-SEEDPLANTS","V0527994F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,"V0527994F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"443","2019-09-24 14:20:21-03","F","FMNH-SEEDPLANTS","V0527995F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0527995F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"444","2019-09-24 14:20:21-03","F","FMNH-SEEDPLANTS","V0527996F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0527996F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"445","2020-10-14 16:35:23-03","UFVJM","HDJF","7806","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Albizia","inundata","Albizia inundata",NA,"Paixão, FA","9P91","2019","07","14","Southern America","Brasil","Espírito Santo","Colatina","Rio Doce, Margem Direita","-40.721556","-19.5365","160",NA,NA,"HDJF007806","HDJF007806_01","(Mart.) Barneby & J.W. Grimes","160",NA,NA,NA,"-40.721556","-19.5365",NA,NA,NA,NA,NA,NA,NA
"446","2019-01-25 15:34:53-02","IAC","IAC","40857","S","Plantae",NA,NA,"Fabaceae","Albizia","inundata","Albizia inundata","R.C. Barneby & J.W. Grimes","L.R. Fróes","31137","1954","11","05",NA,"Brasil","Pará",NA,"Paraná do Ituqui, região do Planalto de Santarém",NA,NA,NA,NA,NA,NA,NA,"(Mart.) Barneby & J.W.Grimes",NA,"1990","06","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
