"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex","infraspecificEpithet"
"21","2021-03-15 16:37:00-03","NY","NYBG","454267","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","R. Reitz","R. M. Klein","1785","1955","11","18","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"200","200","NY00454267","NY00454267_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302870' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 10:40:00-03","NY","NYBG","454275","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"L. Riedel",NA,NA,NA,NA,"Brazil","Rio de Janeiro","Petrópolis","Serra da Estrella","-43.1783","-22.505",NA,NA,NA,NA,"NY00454275","NY00454275_01",NA,NA,NA,"XI-XII ??? - [see label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302885' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 10:40:00-03","NY","NYBG","454272","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"R. Reitz","R. M. Klein","2257","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","NY00454272","NY00454272_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302873' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 10:40:00-03","NY","NYBG","454274","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"L. B. Smith","R. M. Klein","416","1953","04","04","Brazil","Santa Catarina","Palhoça","Anitápolis","-49.128424","-27.903779",NA,NA,"600","600","NY00454274","NY00454274_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302881' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 10:40:00-03","NY","NYBG","592242","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"S. S. Renner","D. J. N. Hind","H50964","1992","01","27","Brazil","Bahia","Abaíra","Serra ao Sul do Riacho da Taquara","-41.92","-13.25",NA,NA,"1800","1900","NY00592242","NY00592242_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302866' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","592244","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","S. S. Renner","W. Ganev","376","1992","05","25","Brazil","Bahia","Abaíra","Caminho Catolés-Cristais. Mata dos Fríos","-41.88","-13.33",NA,NA,"1800","1800","NY00592244","NY00592244_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302868' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 18:56:00-03","NY","NYBG","719866","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,NA,"R. J. Almeida-Scabbia","5081","2007","10","30","Brazil","São Paulo","Santo André","Suborefeitura de Paranapiacaba e Parque Andreense, Rua Jaraguá do Sul","-46.472247","-23.771644",NA,NA,NA,NA,"NY00719866","NY00719866_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523704' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","454273","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","R. Reitz","R. M. Klein","49","1950","10","20","Brazil","Santa Catarina","Brusque","<ata do Hoffmann","-48.9","-27.1",NA,NA,"50","50","NY00454273","NY00454273_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302874' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 10:40:00-03","NY","NYBG","454276","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora",NA,"F. C. Hoehne","F. C. Hoehne","28441","1931","11","13","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00454276","NY00454276_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302879' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","454278","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","triflora","Mollinedia triflora","(Spreng.) Tul.","A. Peixoto","G. G. Hatschbach","22728","1969","10","29","Brazil","Paraná","Sao José dos Pinhais","Col. S. Andrade","-49.2064","-25.5347",NA,NA,"900","900","NY00454278","NY00454278_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302876' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
