"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","relatedCatalogItem","typeStatus"
"11","2020-12-21 16:27:13-03","MBM","MBM","155813","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Barneby, R.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","58529","1993","01","25","Southern America","Brazil","Paraná","Antonina","Usina Hidrelétrica Parigot de Souza, cota 800","-48.7118988037109","-25.4286003112793",NA,"Árvore 10 m, flor alva.; Mata pluval da encosta de morro.","MBM155813","MBM155813","500","500",NA,NA,NA,"1993",NA,NA,"38300","auto",NA,NA,NA
"12","2009-12-04 16:24:00-02","MO","MOBOT","2918868","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","R. Barneby","Gert G. Hatschbach|J.M. Silva","Hatschbach 58529","1993","1","25","South America","Brazil","Paraná",NA,"Usina hidrelétruca parigot de Souza, cota 800 (mun. Antonina).",NA,NA,NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-25 10:12:07-03","CVRD","CVRD","15591","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cf. cubatanensis","Mimosa cf. cubatanensis","Hoehne","Geovane S. Siqueira","Folli, D.A.","7471","2016","03","30","América do Sul","BRASIL","ES","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,"<ll>dwc_commonname:</ll> Angico sabiá","CVRD015591","CVRD015591","690","690","Magnoliopsida",NA,NA,"2016","04","06","23813","auto",NA,NA,NA
"14","2020-09-02 16:29:05-03","Cenargen","CEN","111714","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","L.S. B. Jordão","Lucas Sá Barreto Jordão","39","2012","12","18",NA,"Brasil","RJ","NOVA FRIBURGO","Pedra do Imperador.","-42.53","-22.324722","Exsicatas","Heliófila. Flores com estames alvos. Doação Jardim Botânico do Rio de Janeiro - RB 593847.","CEN00111714","CEN00111714","1221","1221",NA,"-42.53","-22.324722","2012","12",NA,NA,NA,"1",NA,NA
"15","2020-09-02 16:29:05-03","Cenargen","CEN","111715","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","L.S. B. Jordão","Lucas Sá Barreto Jordão","63","2013","03","28",NA,"Brasil","RJ","NOVA FRIBURGO","Rua Dr. Silvio Henrique Braune (rua que sobe para o Morro da Cruz, Teleférico).","-42.538333","-22.276666","Exsicatas","Heliófila. Doação Jardim Botânico do Rio de Janeiro - RB 593862.","CEN00111715","CEN00111715","950","950",NA,"-42.538333","-22.276666","2013","03",NA,NA,NA,"1",NA,NA
"16","2020-09-02 16:29:05-03","Cenargen","CEN","111686","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","L.S. B. Jordão","Sérgio Miana de Faria","456","1992","04","09",NA,"Brasil","RJ","RIO DE JANEIRO","287 km de Teofilo Otoni.","-43.2075004577637","-22.9027996063232","Exsicatas","Não observado a nodulação, Doação - Jardim Botânico do Rio de Janeiro - Herbário RB (363459).","CEN00111686","CEN00111686",NA,NA,NA,NA,NA,"2013","04",NA,"57442","auto","1",NA,NA
"17","2019-11-13 11:22:41-03","USP","SPF","183815","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Jordão, LSB","Ribeiro, RD","580","2006","01","27",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.516111","-22.359722",NA,NA,"SPF00183815",NA,"1050","1050",NA,"-42.516111","-22.359722","2006","03",NA,NA,NA,NA,NA,NA
"18","2020-05-08 11:10:38-03","UEFS","HUEFS","254878","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne",NA,"Jordão, L.S.B","63","2013","03","28",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Rua Dr. Silvio Braune (rua que sobe para o Morro da Cruz, Teleférico).","-42.538333","-22.276667",NA,NA,"HUEFS0254878",NA,"950","950","Rosanae","42W32'18''","22S16'36''",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-05-08 11:10:38-03","UEFS","HUEFS","14360","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","M.Simon","Hatschbach, G.","58529","1993","01","25",NA,"Brasil","Paraná","Antonina",NA,"-48.7118988037109","-25.4286003112793",NA,NA,"HUEFS0014360","HUEFS0014360","500","500","Rosanae",NA,NA,"2007",NA,NA,"38300","auto",NA,NA,NA
"20","2020-07-23 12:14:30-03","CEPLAC","CEPEC","58741","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Mimosa","cubatanensis","Mimosa cubatanensis",NA,"R. C. Barneby","G. Hatschbach","58529","1993","01","25",NA,"Brasil","Paraná","antonina","Usina Hidroelétrica Parigot de Souza, cota 800.","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0",NA,NA,NA,"38300","auto",NA,"30/12/1993",NA
"21","2019-11-01 15:00:09-03","UnB","UB","487","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Barneby, R","Heringer, EP","11907","1969","10","25","Southern America","Brasil","Minas Gerais","Santa Helena","Margem da Rodovia Rio-Bahia",NA,NA,NA,"Própria para arborização de estradas.; Arbusto; Campo e cerrado. Topologia: Elevações.","UB0037232","UB0037232","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:00:09-03","UnB","UB","488","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Barneby, R","Heringer, EP","13943","1974","09","10","Southern America","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,"Flores perfumadas.; Árvore aculeada. Flor alva; Mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA
"23","2021-03-04 15:43:20-03","IF","SPSF","16717","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis",NA,NA,"G. Hatschbach & J.M.Silva","58529","1993","01","25","América do Sul","Brasil","PR","Antonina","Usina Hidreletrica Parigot de Souza","-48.7118988037109","-25.4286003112793",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: cota 800&nf;;",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA
"24","2019-11-21 10:06:08-03","IBt","SP","4690","S","Plantae",NA,NA,"Fabaceae","Mimosa","cubatanensis","Mimosa cubatanensis","Hoehne","Hoehne, FC","Hoehne, FC","s.n.","1920","12","23",NA,"Brasil","São Paulo","Santo André","Alto da Serra, Estrada do Vergueiro","-46.5299987792969","-23.6599998474121",NA,"Fl. alvas","SP001093","SP001093",NA,NA,NA,NA,NA,"1926",NA,NA,"27258","auto",NA,NA,"Holotype"
