"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","country","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","continentOcean","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","previousCatalogNumber","sex"
"11","2020-04-22 16:25:59-03","UFPB","JPB","37534","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2017","10","10","Brasil",NA,"; DESC: Terrestre em área de mata sobre duna. Folhas verdes com porção central crassa, margens onduladas com acúleos castanhos. Flores com pétalas alvas. Planta cultivada no Jardim Botânico de João Pessoa.","Pontes, RA; Gadelha Neto, PC","326","2004","12","01","Southern America","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda","-34.977103","-6.502464","-34.977103","-6.502464",NA,NA,NA,NA,"46","46",NA,NA,NA,NA
"12","2020-04-22 16:25:59-03","UFPB","JPB","38000","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2017","10","10","Brasil",NA,"; DESC: Erva terrestre, mesófila. Folhas membranáceas dispostas em rosetas.","Gadelha Neto, PC; Lima, IB; Lima, RS; Silva, CS","1850","2007","10","04","Southern America","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda, Areno-argiloso","-34.978633","-6.493619","-34.978633","-6.493619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-04-22 16:25:59-03","UFPB","JPB","43904","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2017","10","10","Brasil",NA,"; DESC: Terrestre sobre folhiço em grande população. Folhas verdes ou castaneas, espinescentes, área central crassa, margem fortemente ondulada.","Pontes, RA; Lima, JR; Silva, CS","545","2010","08","25","Southern America","Paraíba","Mataraca","Millennium Inorganic Chemicals Mineração Ltda, Área de mata de restinga, área de reserva legal da empresa.","-34.973333","-6.516389","-34.973333","-6.516389",NA,NA,NA,NA,"30","30",NA,NA,NA,NA
"14","2020-04-22 16:25:59-03","UFPB","JPB","51883","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Pontes, RA","2011","11","11","Brasil",NA,"; HABITAT: Mata Atlântica; DESC: Terrestre em solo arenoso com fina camada de matéria orgânica, em local sombreado. Folhas com porção central crassas, vináceas com faixas transversais cinéreas, estéril. População com indivíduos de fol","Pontes, RA; Araújo, CMLR; Sampaio, VS","787","2011","10","21","Southern America","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela, Lagoa dos Anderson","-35.007778","-6.369444","-35.007778","-6.369444","JPB0051883",NA,NA,NA,"4","4",NA,NA,NA,NA
"15","2020-04-22 16:25:59-03","UFPB","JPB","57386","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Maciel, JR","2011","08",NA,"Brasil",NA,"; DESC: Erva terrestre, flores brancas.","Amorim, BS; Araújo, D; Silva, BN; Chagas, MA","992","2011","08","17","Southern America","Pernambuco","Igarassu","Usina São José, Mata de Piedade, interior da mata","-34.999167","-7.838333","-34.999167","-7.838333","JPB0057386",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-04-22 16:25:59-03","UFPB","JPB","35928","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Pontes, RA","2006","09","20","Brasil",NA,"; DESC: Planta terrestre em mata úmida. Folhas vinéceas crassas, com faixas cinéreas transversais. Flores alvas. Florida em cultiva no Jardim Botânico Benjamim Maranhão em 8/5/2006.","Lima, NT","JPB35928","2004","07","10","Southern America","Rio Grande do Norte","Tibáu do Sul","Mata da Estrela","-35.0918998718262","-6.18666982650757",NA,NA,NA,NA,"13790","auto",NA,NA,NA,NA,NA,NA
"17","2021-03-21 19:40:01-03","UFC","EAC","22992","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D.","2017","09","27","Brasil",NA,"Erva, +/-15cm, rizoma curto, flor branca, terrestre, espinhos foliares, ornamental, exótica de Natal-RN. Floração em cultivo.","Lima-Verde, L.W.","s.n.","1995","05","27","Southern America","Ceará","Pacoti","Sítio Olho d'Água dos Tangarás, sede","-38.9233016967773","-4.22499990463257",NA,NA,"EAC0022992","EAC0022992","9622","auto","820","820",NA,NA,NA,NA
"18","2021-03-21 19:40:01-03","UFC","EAC","21842","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D.","2017","09","27","Brasil",NA,"Erva terrestre, +/-10cm, flor branca; cultivada em Pacoti-CE.; Mata úmida litorânea, ambiente de duna.","Félix, L.P.","s.n.","1995","01","14","Southern America","Rio Grande do Norte","Natal","Duna","-35.209400177002","-5.79500007629395",NA,NA,"EAC0021842","EAC0021842","12751","auto","20","20",NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","1088468","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","I.M. Ramirez",NA,NA,NA,"Brazil",NA,NA,"Auguste F.M. Glaziou","Glaziou 20523A","1861",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-04 11:04:40-03","UFRB","HURB","23658","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","J.A.Siqueira Filho","2015","03","12","Brasil",NA,"erva terrícola e rasteira, ocorrendo em aglomerados de indivíduos formando um denso tapete no substrato da floresta. População de indivíduos de folhas marrons variegadas, com ocorrência de estolonamento, e flores alvas. Indivíduos ocor","Siqueira Filho, J.A.; Almeida, E.D.S.","3320","2015","03","12",NA,"Pernambuco","Ipojuca","Engenho Canto,Mata de restinga com indícios de incêndio; área prioritária para conservação: MC-880-Cabo São roque/Baia Todos Santos-2-Muito alta","-35.020083","-8.528361","35º01'12,30W","08º31'42,10S","HURB000023658","HURB000023658",NA,NA,"6","6",NA,NA,NA,NA
"21","2021-03-04 11:04:09-03","UFRB","HURB","25950","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","E.H.Souza",NA,NA,NA,"Brasil",NA,"especie do Banco de Germoplasma de Bromélia (BGB-1209). planta terrestre, folhas verdes, marrons ou rajadas, flores brancas.","Souza, E.H.","251","2020","11","01",NA,"Pernambuco","Ipojuca","Mata do Cupe; Estrada para Praia do Muro Alto e Gamboa","-34.987528","-8.451778","34º59'15,1W","8º27'6,4S","HURB000025950","HURB000025950",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-04 11:04:40-03","UFRB","HURB","13592","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","fosterianus","Cryptanthus fosterianus","L.B.Smith",NA,NA,NA,NA,"Brasil",NA,"Compra. Banco de germoplasma da EMBRAPA Mandioca e Fruticultura.","Souza, E.H.","BGB 104","2010","06","01",NA,"São Paulo","Campinas","Horto Veiga;","-47.060001373291","-22.8999996185303",NA,NA,"HURB000013592",NA,"23900","auto",NA,NA,NA,NA,NA,NA
"23","2021-03-04 11:04:40-03","UFRB","HURB","21681","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","E.C.Tomaz","2016","04","15","Brasil",NA,"UFRN 22076.","Garcia, G.S.; Correa, J.C. & Gonçalves, L.M.G.","135","2016","04","13",NA,"Rio Grande do Norte","Nisia Floresta","APA Bomfim-Guaraíras,; Prox. Lago Azul","-35.198056","-5.993056","35º11'53W","5º59'35S","HURB000021681",NA,NA,NA,"35","35",NA,NA,NA,NA
"24","2021-03-04 11:04:40-03","UFRB","HURB","25668","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Visiani) Beer","J.A.Siqueira-Filho",NA,NA,NA,"Brasil",NA,"grande população terrestre formando um tapete na mata. Plantas exuberantes, ornamentais e associadas com Cryptanthus dianae. Folhas marrons com estrias alvas transversais, flores alvas, planta muito rara na natureza. Material cultivado","Siqueira-Filho, J.A.","1429","2004","04","18",NA,"Pernambuco","Jaqueira","Usina Catende; Engenho Flor do Bosque","-35.770833","-8.734444","35º46'15W","8º44'04S","HURB000025668","HURB000025668",NA,NA,"400","400",NA,NA,NA,NA
"25","2021-03-04 11:04:40-03","UFRB","HURB","21669","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","R.A.Pontes","2016","03","10","Brasil",NA,"UFRN 22448. <ll>dwc_commonname:</ll> Bromélia","Pontes, R.A.","1142","2016","03","07",NA,"Alagoas","São Luís do Quintude","Serra da Cachoeira; Fazenda Lagoa Vermelha","-35.67","-9.33","35º40'12W","9º19'48S","HURB000021669",NA,NA,NA,"180","180",NA,NA,NA,NA
"26","2019-06-10 10:10:27-03","FZB-BH","BHZB","7994","S","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus",NA,NA,NA,NA,NA,"Brasil",NA,"BRO 1996 017. Roseta de 25 cm de diâmetro. Folhas purpureas com escamas esbranquiçadas formando listras horizontais irregulares.Cultivado","Ferreira Junior, C.A. et al.",NA,"2010","10","04",NA,"MG","Belo Horizonte","FZB-BH - Jardim Botânico - Coleção Caatinga","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA
"27","2021-01-26 13:52:58-03","IMA","MAC","63701","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","R.P.Lyra-Lemos",NA,NA,NA,"Brasil",NA,"Mata Atlântica.","R.P.Lyra-Lemos","12861","2010","01","11",NA,"Alagoas","Paripueira","RPPN Placas.","-35.572983","-9.463558","-35.572983","-9.463558","MAC0063701",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-26 13:52:58-03","IMA","MAC","46872","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","D.Cavalcanti","2019","02","06","Brasil",NA,"Erva em roseta. Flores brancas.; Restinga.","N.R.Santos; M.V.Caju; L.M.Leão","40","2009","07","15",NA,"Alagoas","Marechal Deodoro","CESMAC.","-35.8443","-9.758367","-35.8443","-9.758367","MAC0046872",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-26 13:52:58-03","IMA","MAC","49568","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","D.Cavalcanti","2019","02","06","Brasil",NA,"Erva ca. 15 cm de altura. Flores alvas.; Restinga.","Chagas-Mota","8607","2010","09","18",NA,"Alagoas","Marechal Deodoro","Dunas do Cavalo Russo.","-35.895","-9.710278","-35.895","-9.710278","MAC0049568",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-04 10:26:52-03","UFRPE","HST","5592","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","J.A.Siqueira-Filho","1996","10","30","Brasil",NA,"Erva; folhas rosuladas, arroxeadas, com estrias transversais esbranquisadas; flores alvas. Floresce em cultivo.","L.P.Félix","7144","1995","05","15",NA,"Pernambuco","Recife",NA,"-34.8810997009277","-8.05389022827148",NA,NA,"HST005592",NA,"18865","auto",NA,NA,NA,NA,NA,NA
"31","2020-09-25 10:42:45-03","UFPE","UFP","79755","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","Cavalcanti, D","2014","10",NA,"Brasil",NA,"Erva terrícola, esciófila, folhas verdes com vinácea ou completamente vinácea com ou sem tricomas lepidotos transversais. Flores alvas.; Mata do cupe, Interior da mata, solo arenoso, Mata Atlântica.","Cavalcanti, D; Amorim, BS; Sotero, D; Louzada, R","764","2014","10","03",NA,"Pernambuco","Ipojuca",NA,"-35.0638999938965","-8.39888954162598",NA,NA,"UFP079755",NA,"22847","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-01 11:55:11-03","UFPE","UFP","79752","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","Cavalcanti, D","2014","10",NA,"Brasil",NA,"Erva terrícola, esciófila, folhas completamentes verdes ou verdes no centro e vinácea nas estremidades ou marrons com ou sem tricomas lepidotos transversais. Flores alvas. Frutos marrons.","Cavalcanti, D; Amorim, BS; Oliveira, J","765","2014","10","13",NA,"Pernambuco","Ipojuca",NA,"-35.0638999938965","-8.39888954162598",NA,NA,"UFP079752",NA,"22847","auto",NA,NA,NA,NA,NA,NA
"33","2021-03-01 11:55:11-03","UFPE","UFP","46561","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","burle-marxii","Cryptanthus burle-marxii","Leme","Sobral-Leite, M","2007","08","04","Brasil",NA,"Erva saxícola do solo da mata. População composta por numerosos indivíduos em plena floração. Flores brancas agrupadas de duas a trÊs, sem odor.; Erva saxícola do solo da mata. População composta por numerosos indivíduos em plena flora","Sobral-Leite, M; Oliveira, JB; Nadia, TL","407","2007","08","04",NA,"Pernambuco","Ipojuca",NA,"-35.020056","-8.519861","-35.020056","-8.519861","UFP046561",NA,NA,NA,"14","14",NA,NA,NA,NA
"34","2021-03-01 11:55:12-03","UFPE","UFP","79747","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Cavalcanti, D","2014","06","03","Brasil",NA,"COORD.: 82º83'00 S / 3558º62'90W.; Erva terrícola, folhas verdes a vináceas, ou completamente verdes ou vináceas. Com tricomas lepidotos transversais. Flores alvas.; Brejo de altitude, interior da mata, na trilha., Mata Atlântica.","Cavalcanti, D; Louzada, RB","728","2014","07","03",NA,"Pernambuco","Gravatá",NA,"-35.5647010803223","-8.20110988616943",NA,NA,"UFP079747",NA,"19146","auto",NA,NA,NA,NA,NA,NA
"35","2021-03-01 11:55:11-03","UFPE","UFP","50343","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Siqueira-Filho, JA","2004","04","18","Brasil",NA,"Grande população terrestre formando um tapete na mata. Plantas exuberantes, ornamentais e associadas com Cryptanthus dianae. Folhas marrons com estrias alvas transversais. Flores alvas. Planta muito rara na natureza. Material cultivado","Siqueira-Filho, JA","1429","2004","04","18",NA,"Pernambuco","Jaqueira",NA,"-35.770833","-8.734444","-35.770833","-8.734444","UFP050343",NA,NA,NA,"400","400",NA,NA,NA,NA
"36","2021-03-01 11:55:11-03","UFPE","UFP",NA,"PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer",NA,NA,NA,NA,"Brasil",NA,"Erva. Folhas marrons subcoriáceas. Tricomas alvos na face abaxial da folha. Comum em topo de Duna. Em distribuição alopátrica em relação a coleta de Moura, E.O. 527.; Restinga arbustiva arbórea. Solo arenoso.","Moura, EO; Moura, PBCS","528","2016","02","11",NA,"Rio Grande do Norte","Ceará Mirim",NA,"-35.263056","-5.531111","-35.263056","-5.531111",NA,NA,NA,NA,"28","28",NA,NA,NA,NA
"37","2021-03-01 11:55:12-03","UFPE","UFP","83118","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer",NA,NA,NA,NA,"Brasil",NA,"Erva. Folhas marrons subcoriáceas. Tricomas alvos na face abaxial da folha. Comum em topo de Duna. Em distribuição alopátrica em relação a coleta de Moura, E.O. 527.; Restinga arbustiva arbórea. Solo arenoso.","Moura, EO; Moura, PBCS","528","2016","02","11",NA,"Rio Grande do Norte","Ceará Mirim",NA,"-35.263056","-5.531111","-35.263056","-5.531111","UFP083118",NA,NA,NA,"28","28",NA,NA,NA,NA
"38","2021-03-01 11:55:12-03","UFPE","UFP","75833","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Visiani) Beer","Maciel, JR","2011","08",NA,"Brasil",NA,"Erva terrestre, flores brancas.; Mata Atlântica.","Amorim. B.S.; Araújo, D; Silva, BN; Chagas, MA","992","2011","08","17",NA,"Pernambuco","Igarassu",NA,"-34.999167","-7.838333","-34.999167","-7.838333","UFP075833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 11:55:11-03","UFPE","UFP","10131","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Wanderley, MGL",NA,NA,NA,"Brasil",NA,"Folhas com estriás acinzentadas. Flores alvas.; Folhas com estriás acinzentadas. Flores alvas.","Pôrto, KC","s.n.","1994","05","26",NA,"Pernambuco","Cabo de Santo Agostinho",NA,"-35.0349998474121","-8.28666973114014",NA,NA,"UFP010131",NA,"25282","auto",NA,NA,NA,NA,NA,NA
"40","2021-03-01 11:55:11-03","UFPE","UFP","62037","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Souza, GM","2008","08","03","Brasil",NA,"Rupícola. Folhas variegadas e discolores, face abaxial branca e marrom.; Rupícola. Folhas variegadas e discolores, face abaxial branca e marrom.","Mendes, K; Gomes, P; Alves-Araújo, A; Amorim, BS","228","2008","04","21",NA,"Sergipe","Areia Branca",NA,"-37.315299987793","-10.7578001022339",NA,NA,"UFP062037",NA,"11840","auto",NA,NA,NA,NA,NA,NA
"41","2021-03-01 11:55:11-03","UFPE","UFP","62037","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Souza, GM","2008","08","03","Brasil",NA,"Rupícola. Folhas variegadas e discolores, face abaxial branca e marrom.; Rupícola. Folhas variegadas e discolores, face abaxial branca e marrom.","Mendes, K; Gomes, P; Alves-Araújo, A; Amorim, BS","228","2008","04","21",NA,"Sergipe","Areia Branca",NA,"-37.315299987793","-10.7578001022339",NA,NA,"UFP062037",NA,"11840","auto",NA,NA,NA,NA,NA,NA
"42","2021-03-01 11:55:11-03","UFPE","UFP","62044","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Mendes, K","2010","05","30","Brasil",NA,"Epífita, estéril, mata ciliar.; Epífita, estéril, mata ciliar.","Mendes, K; Alves-Araújo, A; Martins, S","342","2009","01","07",NA,"Sergipe","Areia Branca",NA,"-37.315299987793","-10.7578001022339",NA,NA,"UFP062044",NA,"11840","auto",NA,NA,NA,NA,NA,NA
"43","2021-03-01 11:55:11-03","UFPE","UFP","62044","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer","Mendes, K","2010","05","30","Brasil",NA,"Epífita, estéril, mata ciliar.; Epífita, estéril, mata ciliar.","Mendes, K; Alves-Araújo, A; Martins, S","342","2009","01","07",NA,"Sergipe","Areia Branca",NA,"-37.315299987793","-10.7578001022339",NA,NA,"UFP062044",NA,"11840","auto",NA,NA,NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","2057910","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Cryptanthus","fosterianus","Cryptanthus fosterianus","L.B. Sm.",NA,NA,NA,NA,"Brazil","1",NA,"M. B. Foster","2431","1948","10","13","South America - Neotropics","Pernambuco",NA,"Serra Negra, near Paraiba boundary.",NA,NA,NA,NA,"US00026816","US00026816_01",NA,NA,"350","350","Monocotyledonae","Holotype",NA,NA
"45","2020-09-12 05:00:02-03","US","US","2057909","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Cryptanthus","fosterianus","Cryptanthus fosterianus","L.B. Sm.",NA,NA,NA,NA,"Brazil","1",NA,"M. B. Foster","2431","1952","9","29","South America - Neotropics","Pernambuco",NA,"Serra Negra, near Paraiba boundary.",NA,NA,NA,NA,"US00026815","US00026815_01",NA,NA,"350","350","Monocotyledonae","Holotype",NA,NA
"46","2016-08-23 10:58:59-03","NHMLondon","NHM-LONDON-BOT","BM001050163","S","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","zonatus","Cryptanthus zonatus","(Vis.) Beer",NA,NA,NA,NA,"Brasil",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/5e8ae6b890db7b006ab4221c0d8d3f1572d0fe72/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Miss Ridley; Lea; Ramage","s.n.","1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:2230103",NA
