"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","class","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"11","2019-08-27 13:30:13-03","IAP","PACA-AGP","56539","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.","S. Bordinon","Rambo, B.",NA,"1955","01","09",NA,"Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,"Emrich-Rambo det. como C. sp.; ster. Habitat: in dumetosis","PACA056539",NA,NA,"Magnoliatae",NA,NA,"1991","05","31","20837","auto",NA,NA
"12","2019-08-27 13:30:13-03","IAP","PACA-AGP","53386","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.","S. Bordinon","Rambo, B.",NA,"1952","11","24",NA,"Brasil","RS","Caaró p. São Luiz",NA,NA,NA,NA,"Emrich-Rambo det. Hyptis.; ster. Habitat: in humidis dumetosis","PACA053386",NA,NA,"Magnoliatae",NA,NA,"1991","05","31",NA,NA,NA,NA
"13","2019-08-27 13:30:13-03","IAP","PACA-AGP","61347","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.","S. Bordinon","J. Pivetta","1193","1956","02","07",NA,"Brasil","RS","Pestana p. Ijui",NA,NA,NA,NA,"Emrich-Rambo det. como C. sp.; ster.; Habitat: in dumetosis campestribus","PACA061347",NA,NA,"Magnoliatae",NA,NA,"1991","05","31",NA,NA,NA,NA
"14","2019-12-17 09:17:18-03","IAP","PACA-AGP","71047","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Cunila","incana","Cunila incana","Benth.","Sehnem","Sehnem, A.",NA,"1978","01","10",NA,"Brasil","RS",NA,"Segredo p. Arroio do Tigre",NA,NA,NA,"Habitat: herba arbustiva in pascuis","PACA071047",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-16 17:52:47-03","UCS","HUCS","24435","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Cunila","incana","Cunila incana","Benth.","Smith, S.F.","Rossato, M.","245","2004","10","03",NA,"Brasil","Rio Grande do Sul","Caxias do Sul","Campus da UCS - IB","-51.1794013977051","-29.1681003570557",NA,"cultivada",NA,"780","780",NA,NA,NA,"2005","10",NA,"49662","auto",NA,NA
"16","2020-12-21 16:30:06-03","MBM","MBM","31868","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Pedersen, T.M.","Pedersen, T.M.","9221","1969","10","09","Southern America","Argentina",NA,NA,"Estancia Garruchos, Dep. Santo Tomé, Prov. Corrientes",NA,NA,NA,NA,"MBM031868",NA,NA,NA,"MBM031868",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:30:06-03","MBM","MBM","39094","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Schinini, A.","Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","26162","1974","09","23","Southern America","Argentina",NA,NA,"Arroyo Chimiray, Prov. Corrientes, Dep. Santo Tomé",NA,NA,NA,NA,"MBM039094",NA,NA,NA,"MBM039094",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:30:06-03","MBM","MBM","77642","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Harley, R.M.","Hatschbach, G.","45246","1982","08","22","Southern America","Brazil","Paraná","Guarapuava","Cantagalo","-51.4580993652344","-25.395299911499",NA,NA,"MBM077642",NA,NA,NA,"MBM077642",NA,NA,NA,NA,"53832","auto",NA,NA
"19","2015-09-28 18:03:05-03","MNHN","RECOLNAT_MNHN_P","P00737729","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Bentham","Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737729' target='other'> <mi>dwc_moreinfo</mi></a>","P00737729",NA,NA,NA,"P00737729_01","type",NA,NA,NA,NA,NA,NA,NA
"20","2015-10-28 11:44:04-02","MNHN","RECOLNAT_MNHN_P","P00737730","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Bentham","Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,"hb","Attaché avec P00737731 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737730' target='other'> <mi>dwc_moreinfo</mi></a>","P00737730",NA,NA,NA,"P00737730_01","type",NA,NA,NA,NA,NA,NA,NA
"21","2013-07-25 15:02:30-03","MNHN","RECOLNAT_MNHN_P","P00737731","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Spach","Gaudichaud, C.",NA,"1833",NA,NA,NA,"Brésil",NA,NA,"Province de Rio Grande",NA,NA,"hb","Attaché avec P00737730 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737731' target='other'> <mi>dwc_moreinfo</mi></a>","P00737731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"561",NA
"22","2015-09-04 08:49:43-03","MNHN","RECOLNAT_MNHN_P","P02970004","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,NA,NA,"1845","9","6",NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02970004' target='other'> <mi>dwc_moreinfo</mi></a>","P02970004",NA,NA,NA,"P02970004_01",NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 08:49:43-03","MNHN","RECOLNAT_MNHN_P","P02970006","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02970006' target='other'> <mi>dwc_moreinfo</mi></a>","P02970006",NA,NA,NA,"P02970006_01",NA,NA,NA,NA,NA,NA,"296",NA
"24","2009-04-24 14:23:00-03","MO","MOBOT","100183092","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","R.M. Harley","José E. Montes","Montes 15471","1951","8","13","South America","Argentina","Misiones","Iguazú","Victoria.",NA,NA,NA,NA,NA,"170.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2009-07-31 05:57:00-03","MO","MOBOT","2246771","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Crespo, S.","José E. Montes","Montes 204","1944","8","15","South America","Argentina","Misiones","Candelaria","Loreto","-55.53333","-27.31666",NA,NA,NA,"216.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011-02-28 17:55:00-03","MO","MOBOT","2246782","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Crespo, S., VI-","Angel L. Cabrera|Nélida S. Troncoso","Cabrera 29327","1978","8","22","South America","Argentina","Misiones","Leandro N. Alem","Ruta 14, General Güemes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2010-08-24 09:46:00-03","MO","MOBOT","2455903","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"F. Sellow","Sellow 3976","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2009-07-09 17:05:00-03","MO","MOBOT","2455919","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"Gert G. Hatschbach","Hatschbach 45246","1982","8","22","South America","Brazil","Paraná",NA,"Guarapuava. Canta Galo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","594458","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"F. Sellow","--",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"Isotype",NA,NA,NA,NA,NA,NA,"1"
"30","2019-12-09 17:30:04-03","UFPR","EFC","6044","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Hatschbach, G.","Ziller, S.R.; Svolenski, A.C.","1597","1996","09","09",NA,"Brasil","Paraná","Pinhão","Fazenda Reserva","-51.6596984863281","-25.6956005096436",NA,"Sub-arbusto muito comum em campo rupestre. Topo de encosta. Flores brancas. Transição para Floresta Ombrófila Mista.","EFC006044",NA,NA,NA,NA,NA,"1996","10","01","37408","auto",NA,NA
"31","2019-10-07 09:16:02-03","UEFS","HUEFS","152697","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Cunila","incana","Cunila incana","Benth.","Tressens","Keller, H.A.","5723","2008","08","18",NA,"Argentina","Misiones","Concepción","Lote 13 perteneciente a la comunidad Yraka Miri, esquina que limita con lotes 12 y 9.",NA,NA,NA,NA,"HUEFS0152697",NA,NA,"Asteranae","HUEFS0152697",NA,"2008",NA,NA,NA,NA,NA,NA
"32","2019-09-04 18:28:08-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Cunila","incana","Cunila incana",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:10:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in Brasilia meridionali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:42:45-03","UFRGS","ICN","199401","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Schaefer, J","Schaefer, J; Schaefer, JS; Rigon, R","827","2018","10","06","América do Sul","Brasil","RS","Segredo","Serrinha Velha","-52.9791984558105","-29.3414001464844",NA,NA,NA,NA,NA,NA,NA,NA,"2018","10","09","18423","auto",NA,NA
"35","2021-02-08 12:42:45-03","UFRGS","ICN","160828","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Grings, M","Grings, M; Milanesi, L","621",NA,NA,NA,"América do Sul","Brasil","RS","Antônio Prado",NA,"-51.2827987670898","-28.8582992553711",NA,"arbusto de 2,5m; formando vassoural em meio a agrofloresta em fase inicial; ambiente aberto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18693","auto",NA,NA
"36","2021-02-08 12:42:45-03","UFRGS","ICN","085119","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Sobral, M","Ritter, MR","137","1987","09",NA,"América do Sul","Brasil","RS","Bagé","Estrada de Bagé pra Caçapava do Sul, km 542","-54.1068992614746","-31.3313999176025",NA,NA,NA,NA,NA,NA,NA,NA,"1989",NA,NA,"74087","auto",NA,NA
"37","2021-02-08 12:42:45-03","UFRGS","ICN","127791","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"Hagelund, K","13577","1981","09","22","América do Sul","Brasil","RS","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50525","auto",NA,NA
"38","2021-02-08 12:42:45-03","UFRGS","ICN","127817","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.",NA,"Hagelund, K","13587","1981","09","22","América do Sul","Brasil","RS","Caçapava do Sul",NA,"-53.4914016723633","-30.5121994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50525","auto",NA,NA
"39","2021-02-08 12:42:45-03","UFRGS","ICN","089099","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Bordignon, S","Sobral, M","2559","1983","11",NA,"América do Sul","Brasil","RS","Cachoeira do Sul","Durasnal","-52.8939018249512","-30.0391998291016",NA,"Arbusto 2m; flores brancas",NA,NA,NA,NA,NA,NA,"1992","07","13","71201","auto",NA,NA
"40","2021-02-08 12:42:45-03","UFRGS","ICN","089115","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Bordignon, S","Sobral, M","2502","1983","11",NA,"América do Sul","Brasil","RS","Cachoeira do Sul","Durasnal","-52.8939018249512","-30.0391998291016",NA,NA,NA,NA,NA,NA,NA,NA,"1992","07","13","71201","auto",NA,NA
"41","2021-02-08 12:42:45-03","UFRGS","ICN","061790","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Mazinek, J","Sobral, M","3107","1984","10","05","América do Sul","Brasil","RS","Lavras do Sul","Mina Volta Grande","-53.8950004577637","-30.8131008148193",NA,"Arbusto 2m; flores brancas",NA,NA,NA,NA,NA,NA,"2002","01",NA,"76406","auto",NA,NA
"42","2021-02-08 12:42:45-03","UFRGS","ICN","146591","S","Plantae","Dicotyledon",NA,"Lamiaceae","Cunila","incana","Cunila incana","Benth.","Kinupp, VF","Kinupp, VF","3033","2005","10","26","América do Sul","Brasil","RS","Porto Alegre","Lami Sítio Capororoca","-51.2299995422363","-30.0331001281738",NA,"Suarbusto 1,0 m; botões amarelos; flores cremes; folhas altamente aromáticas quando esmagadas (Cineol).; Cultivado. Oriunda de Nova Prata/RS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA
