"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","relatedCatalogItem","previousCatalogNumber"
"11","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","12845",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"V. Demuner; et al","1192","2000",NA,"Brasil","Pedra Alegre",NA,"Planta dentro da bromélia. Área aberta ensolarada, pedra face voltada para Várzea Alegre.","MBML012845","MBML012845","L. Kollmann/04-02-2002",NA,NA,NA,"06","20","Espírito Santo","Santa Teresa","-40.824722","-19.888889","40W49'29","19S53'20",NA,NA,NA,NA,NA,NA
"12","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","13739",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana; et al","54","2000",NA,"Brasil","Ao lado do Radar, (Propr. de Eduardo Gladel)",NA,"Planta carnívora, vegetando dentro da roseta de uma Bromeliacea, áfila na êntese, inflorescência verde com base branca, brácteas roxas, flores roxas com interior, centro branco com duas listras paralelas amarelas.","MBML013739","MBML013739","L. Kollmann/04-02-2002",NA,NA,NA,"11","03","Espírito Santo","Santa Leopoldina","-40.57","-19.988889","40W34'12","19S59'20",NA,NA,NA,NA,NA,NA
"13","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","16603",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana","269","2001",NA,"Brasil","Radar Cindactar",NA,"Na roseta de Bromeliaceae (Acanthacea), folhas peltada, flores roxas (azuladas). Planta carnívora.","MBML016603","MBML016603","L. Kollmann/12-11-2004",NA,NA,NA,"12","22","Espírito Santo","Santa Leopoldina","-40.570556","-19.991111","40W34'14","19S59'28",NA,NA,NA,NA,NA,NA
"14","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","21888",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"M. V. S. Berger; et al","132","2004",NA,"Brasil","Pedra do Garrafão",NA,"Planta aquatica, desenvolvendo-se entre as folhas de bromélias-tanque. Flores coeruleas, labelo internamente branco.","MBML021888","MBML021888","L. Kollmann/12-11-2004",NA,NA,NA,"01","25","Espírito Santo","Santa Maria de Jetibá","-40.924167","-20.176944","40W55'27","20S10'37",NA,NA,NA,NA,NA,NA
"15","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","22695",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"L. Kollmann; et al","6981","2004",NA,"Brasil","Parque Estadual do Forno Grande",NA,"Planta aquática, nas bromélias. Flores lilás.","MBML022695","MBML022695","L. Kollmann/2004",NA,NA,NA,"09","04","Espírito Santo","Castelo","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA
"16","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","23599",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"L. Kollmann; et al","7440","2005",NA,"Brasil","Luxemburgo, Pedra Preta",NA,"Erva na roseta das alcantarea. Flores lilás.","MBML023599","MBML023599","A. P. Fontana/15-VIII-2007",NA,NA,NA,"03","15","Espírito Santo","Santa Leopoldina","-40.614444","-20.173056","40W36'52","20S10'23",NA,NA,NA,NA,NA,NA
"17","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","24321",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana; et al","1148","2005",NA,"Brasil","Luxemburgo, Pedra Preta",NA,"Vivendo dentro de Bromeliaceae, flores lilás, folhas verdes.","MBML024321","MBML024321","L. Kollmann/05-09-2005",NA,NA,NA,"03","15","Espírito Santo","Santa Leopoldina","-40.614444","-20.173056","40W36'52","20S10'23",NA,NA,NA,NA,NA,NA
"18","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","24459",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana; et al","1370","2005",NA,"Brasil","Pedra do Caparaó",NA,"Vivendo dentro de Bromeliaceae (Alcantharea), flores lilás com traços amarelos.","MBML024459","MBML024459","A. P. Fontana/15-VIII-2007",NA,NA,NA,"04","23","Espírito Santo","Itaguaçu","-40.981111","-19.741389","40W58'52","19S44'29",NA,NA,NA,NA,NA,NA
"19","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","24823",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"L. Kollmann","8222","2005",NA,"Brasil","Estação Biológica de Santa Lúcia",NA,"Erva no tanque de uma alcantarea. Frutos secos.","MBML024823","MBML024823","L. Kollmann/12-08-2005",NA,NA,NA,"08","12","Espírito Santo","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA
"20","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","38750",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"C. N. de Fraga; R.Goldenberg & R.C.Forzza","2372","2009",NA,"Brasil","Parque Estadual do Forno Grande. Topo do Forninho. Inselbergues.",NA,"Erva insetivora, crescendo no interior de Alcantarea. Flores lilás com manchas verticais branco-amareladas.","MBML038750","MBML038750",NA,NA,NA,NA,"01","21","Espírito Santo","Castelo","-41.100556","-20.520556","41W6'2","20S31'14","1500","1500",NA,NA,NA,NA
"21","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","47026",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana; K.A. Brahim & L.C. Bissoli","3510","2007",NA,"Brasil","Serra do Caparaó. Afloramento rochoso granítico. Topo.",NA,"Carnívora. Vegetando dentro da roseta de Alcantharea extensa. Flores lilás com duas listras amarelas. Projeto CORES - Conservação das Orquídeas em risco de extinção.","MBML047026","MBML047026","A. P. Fontana/06-06-2007",NA,NA,NA,"06","06","Espírito Santo","Itaguaçu","-40.980556","-19.741667","40W58'50","19S44'30","1395","1395",NA,NA,NA,NA
"22","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","49200",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"L. Kollmann; A.P. Fontana","12478","2012",NA,"Brasil","São Sebastião",NA,"Crescendo na roseta de Alcantarea extensa.","MBML049200","MBML049200","L. Kollmann",NA,NA,NA,"09","05","Espírito Santo","Itarana","-40.859722","-19.992778","40W51'35","19S59'34","1130","1130",NA,NA,NA,NA
"23","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","5594",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"H. Q. Boudet Fernandes; et al","2726","1989",NA,"Brasil","Macaé de Cima",NA,"Erva enraizada sobre as axilas das folhas de Vriesia, flores liláses, próximo ao cume, altitude cerca de 1450, vegetação rupestre. Ao sol.","MBML005594","MBML005594","L. Kollmann/04-02-2002",NA,NA,NA,"04","19","Rio de Janeiro","Nova Friburgo","-42.516667","-22.433333","42W31'","22S26'",NA,NA,NA,NA,NA,NA
"24","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","25148",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"A. P. Fontana; et al","1427","2005",NA,"Brasil","Lombardia",NA,"Dentro de BROMELIACEAE(Alcantharea), folhas verdes, flores lilás com duas listras roxas.","MBML025148","MBML025148","A. P. Fontana/13-06-2005",NA,NA,NA,"05","06","Espírito Santo","Ibiraçu","-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"13709","auto",NA,NA
"25","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","16060",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardn.",NA,"L. Kollmann; et al","5344","2002",NA,"Brasil","Rio Bonito",NA,"Crescendo de uma Alcantarea extensa. Flores lilás.","MBML016060","MBML016060","L. Kollmann/12-11-2004",NA,NA,NA,"01","19","Espírito Santo","Santa Leopoldina","-40.5297012329102","-20.1005992889404",NA,NA,NA,NA,"23799","auto",NA,NA
"26","2019-11-13 11:23:33-03","USP","SPF","162839","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Forzza, RC","3420","2004",NA,"Brasil","Cônego. Pedra do Imperador.",NA,NA,"SPF00162839","SPF00162839","Gonella, PM","2007","09",NA,"06","16","Rio de Janeiro","Nova Friburgo","-42.53","-22.324444","-42.53","-22.324444","1233","1233",NA,NA,NA,NA
"27","2019-11-13 11:23:33-03","USP","SPF","180193","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Rivadavia, F","2466","2007",NA,"Brasil","Pedra do Cão Sentado.",NA,NA,"SPF00180193","SPF00180193","Rivadavia, F","2007",NA,NA,"01","20","Rio de Janeiro","Nova Friburgo","-42.483028","-22.218222","-42.483028","-22.218222","975","975",NA,NA,NA,NA
"28","2021-03-15 18:28:05-03","USP","SPF","213651","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Gonella, PM","647","2013",NA,"Brasil","Pico do Padre Ângelo, próximo ao cume do pico.",NA,"Ervas com estolões e utrículos brancos, folhas e escapos verdes, sépalas vináceas, corola violeta com mancha central mais escura e com duas listras amarelas no pálato. Crescendo epífita em tanque de Vriesea sanctaparecidae Leme.; Cam","SPF00213651","SPF00213651","Gonella, PM","2013",NA,NA,"11","28","Minas Gerais","Conselheiro Pena","-41.579206","-19.320544","-41.579206","-19.320544","1500","1500",NA,NA,NA,NA
"29","2019-11-13 11:23:33-03","USP","SPF","110509","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Rivadavia, F","519","1996",NA,"Brasil","Serra do Grama",NA,NA,"SPF00110509","SPF00110509","Rivadavia, F","1996",NA,NA,"02","18","Minas Gerais","Araponga","-42.5208015441895","-20.6667003631592",NA,NA,"1200","1200","16385","auto",NA,NA
"30","2019-11-13 11:23:33-03","USP","SPF","110507","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Rivadavia, F","550","1996",NA,"Brasil",NA,NA,NA,"SPF00110507","SPF00110507","Rivadavia, F","1996",NA,NA,"02","25","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"1100","1100","38539","auto",NA,NA
"31","2019-11-13 11:23:33-03","USP","SPF","152320","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Rivadavia, F","1186","1999",NA,"Brasil","Serra dos Órgãos",NA,NA,"SPF00152320","SPF00152320 SPF00152320_1","Rivadavia, F","1999",NA,NA,"10","13","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,"1100","1100","38539","auto",NA,NA
"32","2020-07-23 12:09:54-03","CEPLAC","CEPEC","130779","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia",NA,NA,"C. N. Fraga","2372","2009",NA,"Brasil","Parque Estadual do Forno Grande. Topo do Forninho.",NA,NA,NA,NA,"C. N. Fraga",NA,NA,NA,"01","21","Espírito Santo","castelo","-41.100556","-20.520556","41W6'2","20S31'14",NA,NA,NA,NA,"30/12/2009",NA
"33","2016-08-23 10:59:43-03","NHMLondon","NHM-LONDON-BOT","BM000953472","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner","Type","Richard Spruce; b.1817; d.1893; Spruce","5839","1841",NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/373e10f7bc8f8c4a832dcaccd93bd19387f13b06/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"03",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:431148"
"34","2021-03-03 15:27:50-03","MN","R-TIPOS","3614","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Fromm","Holotypus","Glaziou, A.F.M.","6900","1874",NA,"Brasil","Serra do Alto Macaé",NA,NA,"R000003614","R000003614_001","Fromm-Trinta, E.","1965","05","03","01","21","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:10:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"?","s.n.",NA,"Southern America","Brazil","Habitat in montibus Orgãos, alt. 5000 ped. in aqua",NA,"Floret mense Martio",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-03-05 09:44:42-03","IBt","SP","349001","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Costa, CB; et al.","511","2001",NA,"Brasil","Parque Nacional da Serra dos Órgãos, Trilha para a Pedra do Sino",NA,NA,NA,NA,"Guedes, FM","2018","04","13","03","12","Rio de Janeiro","Teresópolis","-43.001111","-22.451667","-43.001111","-22.451667","1900","1900",NA,NA,NA,NA
"37","2020-03-05 09:44:42-03","IBt","SP","4948","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Hoehne, FC","s.n.","1921",NA,"Brasil","Serra do Garimpo",NA,NA,NA,NA,"Fromm-Trinta, E","1974",NA,NA,"01","13","Minas Gerais","Cocaes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-03-05 09:44:42-03","IBt","SP","302509","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nelumbifolia","Utricularia nelumbifolia","Gardner",NA,"Silva, EL","344","1996",NA,"Brasil","Parque Caminhos do Mar, Trilha da Cachoeira",NA,NA,NA,NA,"Guedes, FM","2018","04","13","11","08","São Paulo","São Bernardo do Campo","-46.560001373291","-23.6900005340576",NA,NA,NA,NA,"31119","auto",NA,NA
