"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2020-12-20 21:19:44-03","UFV","VIC","3466","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum","Mexia, Y.","s.n.","1930","04","26",NA,"Brasil","Minas Gerais","Viçosa","UFV","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC003466","VIC003466","Gleason",NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:49:23-03","UFMS","CGMS","10737","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","M.C.C. Chagas; M.G. de Andrade","135","2002","05","18",NA,"Brasil","Mato Grosso do Sul","Jaraguari","Furnas do Dionísio.","-54.3993988037109","-20.1417007446289",NA,NA,NA,"Flor branca e roxa. Habitat: Cultivada. Habito: Árvore.","CGMS1040038",NA,"U.M. Resende","2002","56873","auto",NA,"10","22",NA,NA,NA,NA
"13","2021-04-07 11:49:23-03","UFMS","CGMS","10734","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","A. Luiz","134","2002","05","18",NA,"Brasil","Mato Grosso do Sul","Jaraguari","Furnas do Dionísio (quintal de uma casa - Sr. Antônio e Clementina).","-54.3993988037109","-20.1417007446289",NA,NA,NA,NA,"CGMS1040035",NA,"U.M. Resende","2002","56873","auto",NA,"10","22",NA,NA,NA,NA
"14","2020-10-14 10:07:09-03","FURB","FURB","19518","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Stival-Santos, A.; Legal, E. & Silveira, S.","1372","2009","11","26",NA,"Brasil","Santa Catarina","Canelinha","Moura.","-48.8711111","-27.1819445","260","260",NA,"Regeneração IFFSC 522 /N/2 Habitat: Floresta Ombrófila Densa; Estágio Avançado; comum no interior do fragmento Habito: erva terrícola; Fruto vermelho;","FURB45639","FURB45639","Sobral, M","2010",NA,NA,NA,"01","25","-48.8711111","-27.1819445",NA,NA
"15","2020-10-14 10:07:09-03","FURB","FURB","31845","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Dreveck, S.","2294","2010","06","25",NA,"Brasil","Santa Catarina","Biguaçu","Graciosa.","-48.6875","-27.4497222","64","64",NA,"Florística IFFSC 8009 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: erva terrícola; flor botão floral rosa e branco","FURB03771","FURB03771","Sobral, M","2010",NA,NA,NA,"10","25","-48.6875000","-27.4497222",NA,NA
"16","2015-09-03 20:54:13-03","MNHN","RECOLNAT_MNHN_P","P02199841","PreservedSpecimen",NA,NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199841' target='other'> <mi>dwc_moreinfo</mi></a>","P02199841","P02199841_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-03 20:54:13-03","MNHN","RECOLNAT_MNHN_P","P02199840","PreservedSpecimen",NA,NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Mexia, Y.",NA,"1930","4","26",NA,"Brasil","Minas Gerais","Viçosa","Road east from Cha-Cha Valley, about 5 km from Agricultural College.","-42.8819007873535","-20.7539005279541",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02199840' target='other'> <mi>dwc_moreinfo</mi></a>","P02199840","P02199840_01",NA,NA,"13937","auto",NA,NA,NA,NA,NA,"4645",NA
"18","2020-12-11 11:45:38-03","UFMG","BHCB","25962","PreservedSpecimen","Plantae","Monocotyledon",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Perdizes",NA,"-47.2928009033203","-19.3528003692627",NA,NA,NA,NA,NA,NA,NA,NA,"45889","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:45:38-03","UFMG","BHCB","1890","PreservedSpecimen","Plantae","Monocotyledon",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.","Magalhães, GM","2898","1945","06","23","Southern America","Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,"mata;puoco freq.;fruto vermelho;",NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:45:38-03","UFMG","BHCB","7726","PreservedSpecimen","Plantae","Monocotyledon",NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.","Andrade, PM de; et al.","571","1984","11","24","Southern America","Brasil","Minas Gerais","Caratinga","Estação Biológica de Caratinga. Mata do Sapo.","-42.1391983032227","-19.7896995544434",NA,NA,NA,"Mata atlântica;herbáceo;pedúnculo da infloresc. vermelho;fruto vermelho;",NA,NA,NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA
"21","2013-05-07 06:03:00-03","MO","MOBOT","3059768","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.","Ynés Mexia","Mexia 4645","1930","4","26","South America","Brazil","Minas Gerais",NA,"Vicosa.",NA,NA,"700.00000000",NA,NA,NA,NA,NA,"P.J.M. Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-05-07 06:03:00-03","MO","MOBOT","3059994","PreservedSpecimen","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum.","Ynés Mexia","Mexia 4645","1930","4","26","South America","Brazil","Minas Gerais",NA,"Road east from Cha-Cha valley, about 5 km. from Agricutural College; cut-over woods; in dense shade.",NA,NA,"700.00000000",NA,NA,NA,NA,NA,"Gleason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-19 11:20:44-03","UFG","UFG","45447","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Resende, I.L.M.","16","2008","01","15",NA,"Brasil","Goiás","Silvânia",NA,"-48.693889","-16.826833",NA,NA,NA,NA,"UFG0045447","UFG0045447","Resende, I.L.M.","2008",NA,NA,NA,"02","20","-48.693889","-16.826833",NA,NA
"24","2019-12-19 11:20:44-03","UFG","UFG","1701","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Rizzo, J.A.; Barbosa, A.","2755","1968","11","06",NA,"Brasil","Goiás","Goiânia","À direita da GO-7, que liga Goiânia a Guapó. 10km de Goiânia. Cerradão, brejo.","-49.2538986206055","-16.6786003112793",NA,NA,NA,NA,NA,NA,"Barroso, G.M.","1969","25250","auto",NA,"07",NA,NA,NA,NA,NA
"25","2016-01-25 13:36:31-02","CPQBA","CPMA","771","S","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae¹","Renealmia","brasiliensis","Renealmia brasiliensis","K. Schum","ilio",NA,"1995","10","10",NA,"desconhecida",NA,NA,NA,NA,NA,NA,NA,NA,"introdução perdida",NA,NA,NA,NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","1544190","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis",NA,"Y. Mexia","4645","1930","4","26","South America - Neotropics","Brazil","Minas Gerais",NA,"Vicosa, road e from cha-cha valley, about 5 km from agricultural college",NA,NA,"700","700",NA,NA,"US00336468","US00336468_01","Maas, P. J. M.",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1"
"27","2020-09-12 05:00:02-03","US","US","1516785","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis",NA,"Y. Mexia","4091","1929","12","4","South America - Neotropics","Brazil","Espírito Santo",NA,"Santa barbara de caparao",NA,NA,NA,NA,NA,NA,"US00336467","US00336467_01","Maas, P. J. M.",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1"
"28","2019-01-25 15:47:31-02","IAC","IAC","16221","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","D.M. Dedecca","349","1953","05","04",NA,"Brasil","São Paulo","Ubatuba","Ubatuba","-45.0711","-23.4339",NA,NA,NA,NA,NA,NA,"D.M. Dedecca","1953",NA,NA,NA,"05","04","-45.0711","-23.4339",NA,NA
"29","2020-08-04 12:49:14-03","UFU","HUFU","53082","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Arantes, A.A.A.; Cardoso, E.; Netto, C.R.B.; Silva-Neto, E.N.; Rodrigues, E.B.; et al.","744","2008","01","22",NA,"Brasil","Goiás",NA,"Serra do Facão",NA,NA,NA,NA,NA,"Erva, ca. 0,8 m. Inflorescência com flores velhas, brácteas verdes e folhas velhas.","HUFU00033667","HUFU00033667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-05-06 12:03:02-03","UFU","HUFU","778","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Ratter, J.A.","s.n.","1986","09","25",NA,"Brasil","Minas Gerais","Uberlândia","Estação Ecológica do Panga","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Margem de mata mesofítica.","HUFU00033666","HUFU00033666","Rosa, P.O.","2005","58223","auto",NA,"10",NA,NA,NA,NA,NA
"31","2020-08-04 12:49:14-03","UFU","HUFU","16172","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Arantes, A.A.A.","789","1997","10","31",NA,"Brasil","Minas Gerais","Uberlândia","Estação Ecológica do Panga","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Inflorescência avermelhada, ráquis e flores alaranjadas.","HUFU00033668","HUFU00033668","Arantes, A.A.A.","2001","58223","auto",NA,"07",NA,NA,NA,NA,NA
"32","2018-12-04 20:31:44-02","UNIR","RON","15939","S","Plantae","Angiosperma","Zingiberales","Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Prance, GT","s.n.","1964","09","26","Southern America","Brasil","Mato Grosso","Nova Xavantina","Grounds of brick factory, 5 km, south of Xavantina","-52.353099822998","-14.6732997894287",NA,NA,NA,"Rhizomatous herb, leaf stems 2 m, tall, fruit pink, stems with 12-18 alternate leaves.","RON00015939",NA,"Prance, GT","1965","79739","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-10-08 08:53:42-03","IBt","SP","337801","S","Plantae",NA,NA,"Zingiberaceae","Renealmia","brasiliensis","Renealmia brasiliensis","K.Schum.","Rossi, L","1718","1995","10","21",NA,"Brasil","São Paulo","Embu-Guaçu",NA,"-46.810001373291","-23.8299999237061",NA,NA,NA,NA,NA,NA,NA,NA,"15311","auto",NA,NA,NA,NA,NA,NA,NA
