"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"11","2020-12-11 11:45:31-03","UFMG","BHCB","1819","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Pinheiro-Sobrinho, JM","s.n.","1973","10","28","Southern America","Brasil","Minas Gerais","E Conceição do Mato Dentro.",NA,NA,NA,NA,NA,"Vespasiano","-43.9233016967773","-19.6919002532959","11802","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:45:31-03","UFMG","BHCB","92721","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Mota, RC da; Viana, PL","2842","2002","11","08","Southern America","Brasil","Minas Gerais","Parque Natural Municipal do Ribeirão do Campo.","Planta coletada em campo rupestre; perianto arroxeado.",NA,NA,NA,NA,"Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:11:47-03","FZB-BH","BHZB","2201","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana",NA,"R. Mello, Silva",NA,"Fernandes, M.G.C.",NA,"1999","04","21",NA,"Brasil","MG","Serra do Cipó, Fazenda Cornélio",NA,NA,"2001","08",NA,"Jaboticatubas","-43.558056","-19.265",NA,NA,NA,"43W 33' 29","19S 15' 54","1292","1292",NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2484117","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,NA,"M. Rolla & A. F. Tryon",NA,"1965","11","23",NA,"Brazil","Minas Gerais","Planalto da Serra do Cipó (a portion of Serra do Espinhaço), 85km north-northeast of Belo Horizonte. Vicinity of road from Lagoa Santa to Conceição do Mato Dentro, at 126km from Belo Horizonte",NA,"US01328871",NA,NA,NA,NA,NA,NA,NA,NA,"US01328871_01",NA,NA,"1210",NA,"Monocotyledonae","Liliales","1"
"15","2020-09-12 05:00:02-03","US","US","2691643","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,NA,"L. Smith, E. S. Ayensu & G. Hatschbach",NA,"1972","1","18",NA,"Brazil","Minas Gerais","15km from Serra do Cipó",NA,"US01328870",NA,NA,NA,NA,NA,NA,NA,NA,"US01328870_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
"16","2020-09-12 05:00:02-03","US","US","2340476","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,"Isotype","G. A. Black","51-12157","1951","4","4","South America - Neotropics","Brazil","Minas Gerais","Serra do Cipo",NA,"US00092403",NA,NA,NA,NA,NA,NA,NA,NA,"US00092403_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
"17","2020-09-12 05:00:02-03","US","US","3217050","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,NA,"N. L. Menezes, A. B. Joly & P. Windisch",NA,"1973","10","20",NA,"Brazil","Minas Gerais","Serra do Cipó . Próximo a Usina de força Bernardo Mascarenhas",NA,"US01328867",NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","US01328867_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
"18","2020-09-12 05:00:02-03","US","US","2883700","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,NA,"M. Sazima",NA,"1973","10","28",NA,"Brazil","Minas Gerais","Estrada de Vespasiano da Conceição do",NA,"US01328868",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","US01328868_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
"19","2020-09-12 05:00:02-03","US","US","2691694","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.",NA,NA,"N. L. Menezes",NA,"1969","12","10",NA,"Brazil","Minas Gerais","km 119-120, estrada Lagoa Santa - Conceição do Mato Dentro, Serra do Cipó",NA,"US01328869",NA,NA,NA,NA,NA,NA,NA,NA,"US01328869_01",NA,NA,NA,NA,"Monocotyledonae","Liliales","1"
"20","2019-11-01 15:17:30-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B. Sm.","Mello-Silva, R",NA,"Menezes, NL; Joly, AM; Windisch, PG","314","1973","10","20","Southern America","Brasil","Minas Gerais","Serra do Cipó. Próximo da Usina de força Bernardo Mascarenhas","Apresenta sinais de ter florescido após queimada","UB0028333","1990","10",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto","UB0028333",NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 12:02:46-03","UFU","HUFU","29757","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","Nakajima, J.N.",NA,"Volpi, R.L.; Pacheco, R.A.; Nakajima, J.N. & Silva, S.M.","268","2002","12","03",NA,"Brasil","Minas Gerais","Estrada Sete Voltas, Descida da Serra Sete Voltas.","Planta, ca. 0,4 m. Cálice e corola lilás-arroxeado, hipanto esverdeado, anteras e estigmas amarelos.; Campo rupestre.","HUFU00034507","2003","10",NA,"Delfinópolis","-47.09","-20.221667",NA,NA,"HUFU00034507","-47.09","-20.221667","874","874",NA,NA,NA
"22","2020-08-04 12:49:14-03","UFU","HUFU","42900","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","Melo, K.B.S.",NA,"Nakajima, J.N.; Romero, R.; Arantes, A.A.A.; Rezende, T.M. & Hattori, E.K.O.","3942","2005","09","30",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Estrada para Pedreira Souza, ca. de 2 km da rodovia MG 050.","Planta ca. de 1,5 m. Cálice e corola arroxeados, anteras e estigmas amarelos, caule com resina alaranjado-avermelhado.; Campo rupestre.","HUFU00034503","2006","10","03",NA,NA,NA,NA,NA,"HUFU00034503",NA,NA,NA,NA,NA,NA,NA
"23","2020-08-04 12:49:14-03","UFU","HUFU","44814","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Romero, R.; Bernardes, P.H.N.; Hattori, E.K.O.; Arantes, A.A.A. & Freitas, F.S.","7712","2006","02","17",NA,"Brasil","Minas Gerais","Região da Represa de Furnas, Estrada para Pedreira Souza, ca. de 2 km da Rodovia MG 050.","Planta, ca. 0,4 m. Hipanto verde, corola arroxeada e anteras amarelas.; Campo rupestre.","HUFU00034502",NA,NA,NA,NA,NA,NA,NA,NA,"HUFU00034502",NA,NA,NA,NA,NA,NA,NA
"24","2020-08-04 12:49:14-03","UFU","HUFU","44819","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Hattori, E.K.O. & Freitas, F.S.","1764","2006","02","17",NA,"Brasil","Minas Gerais","Regiao da Represa de Furnas, Estrada para Pedreira Souza, ca. de 2 km da MG 050.","Erva, ca. 0,25 m. Corola lilás, anteras e estiletes amarelos.","HUFU00034500",NA,NA,NA,NA,NA,NA,NA,NA,"HUFU00034500",NA,NA,NA,NA,NA,NA,NA
"25","2020-08-04 12:49:14-03","UFU","HUFU","45281","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Silva, M.A.O.; Grisi, P.U.; Caixeta, F.; et al.","1960","2006","07","12",NA,"Brasil","Minas Gerais","Regiao da Represa de Furnas","Arvoreta, ca. 1,5 m. Flor roxa.","HUFU00034501",NA,NA,NA,"Capitólio","-46.0499992370605","-20.6152992248535","29474","auto","HUFU00034501",NA,NA,NA,NA,NA,NA,NA
"26","2020-08-04 12:49:14-03","UFU","HUFU","45280","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Silva, M.A.O.; Grisi, P.U.; Caixeta, F.; et al.","1959","2006","07","12",NA,"Brasil","Minas Gerais","Regiao da Represa de Furnas","Arvoreta, ca. 1,5 m. Flor branca.","HUFU00034504",NA,NA,NA,"Capitólio","-46.0499992370605","-20.6152992248535","29474","auto","HUFU00034504",NA,NA,NA,NA,NA,NA,NA
"27","2020-08-04 12:49:14-03","UFU","HUFU","45242","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Arantes, A.A.A.; Romero, R.; Bernardes, P.H.N.; Silva, M.A.O.; Grisi, P.U.; Caixeta, F.; et al.","1921","2006","07","12",NA,"Brasil","Minas Gerais","Regiao da Represa de Furnas, Trilha atrás do Paraíso Perdido, ca. de 5 km da MG 050.","Erva, ca. 0,25 m. Corola lilás, estames amarelos.","HUFU00034505",NA,NA,NA,"Capitólio","-46.0499992370605","-20.6152992248535","29474","auto","HUFU00034505",NA,NA,NA,NA,NA,NA,NA
"28","2019-05-06 12:02:46-03","UFU","HUFU","47790","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","Melo, K.B.S.",NA,"Bernardes, P.H.N.; Rosa, P.O.; Melo, K.B.S. & Pinho, G.V.","125","2007","03","23",NA,"Brasil","Minas Gerais","Região de Furnas, Estrada para Gabi Explorações II.","Erva, ca. 0,3 m. Cálice verde-nigrescente, corola lilás, filetes lilás, estames amarelos e estigma amarelo.; Campo rupestre.","HUFU00034506","2007","07","26","Capitólio","-46.0499992370605","-20.6152992248535","29474","auto","HUFU00034506",NA,NA,NA,NA,NA,NA,NA
"29","2020-11-26 10:01:03-03","IBt","SP","369708","S","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Volpi, RL","268","2002","12","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Delfinópolis","-46.8539009094238","-20.343900680542","41380","auto",NA,NA,NA,NA,NA,NA,NA,NA
