"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"11","2017-06-01 10:02:00-03","MO","MOBOT","100974165","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C. Sm.) T.D. Penn.",NA,"A.M. Carrión|Alejandro Araujo M.|G. Vásquez|P.S. Alves|S. Cardenas|R. de Cardenas","Carrión Cuellar 1197","2014","7","13","South America","Bolivia","Pando","Estación Biológica Tahuamanu",NA,NA,NA,NA,"fide Carrión et al.","-69.0094722","-11.4294167","Nicolas Suarez",NA,NA,NA,NA,NA,NA,"1","251.00000000",NA,NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1970869","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C. Sm.) T.D. Penn.","Isotype","Boris A. Krukoff","Krukoff 1505","1931","11",NA,"South America","Brazil","Mato Grosso","Near Tabajara, upper Machado River region. Cramary. In terra firma.",NA,NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-08-31 08:54:31-03","INPA","INPA","80111","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Lucuma","inflexa","Lucuma inflexa","A.C.Sm. ex Gleason","isotype","Krukoff, BA","1505","1931",NA,NA,"Southern America","Brasil","Mato Grosso","Tabajara, Near Tabajara, upper Machado river region",NA,NA,"INPA0080111","INPA0080111 INPA0080111_e INPA0080111_e1 INPA0080111_f",NA,"-62.171989","-8.811275",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-62.171989","-8.811275",NA,NA,NA,NA
"14","2020-08-31 08:55:02-03","INPA","INPA","10202","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"Rodrigues, WA","2852a","1961","11","30","Southern America","Brasil","Amazonas","BR174, Km 56, Km 56 da BR-17",NA,NA,"INPA0010202","INPA0010202 INPA0010202_e INPA0010202_e1 INPA0010202_e2","Pennington, TD","-60.035343","-2.49841","Manaus","1986",NA,NA,NA,NA,NA,NA,NA,"-60.035343","-2.49841",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","1691044","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Lucuma","inflexa","Lucuma inflexa","A.C. Sm.","Isotype","B. A. Krukoff","1505","1931","11",NA,"South America - Neotropics","Brazil","Mato Grosso","Near Tabajara, upper Machado River region.",NA,NA,"US00113257","US00113257_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","USw9065","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","inflexa","Pouteria inflexa",NA,NA,"B. A. Krukoff","1505",NA,NA,NA,"South America - Neotropics","Brazil","Mato Grosso","Near Tabajara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"17","2019-10-07 09:13:03-03","UEFS","HUEFS","232827","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"Santos, J.U.","701","1983","02","27",NA,"Brasil","Maranhão","Palmeirinha, a 74 Km de Tuntum.",NA,"Mata de terra firme, solo pedregoso","HUEFS0232827","HUEFS0232827","A.Alves-Araújo","-44.6488990783691","-5.25805997848511","Tuntum","2010","96518","auto","Asteranae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-01-23 12:45:50-02","F","FMNH-SEEDPLANTS","V0072037F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Lucuma","inflexa","Lucuma inflexa",NA,"Isotype","B. A. Krukoff","1505","1931","11",NA,"South America","Brazil","Mato Grosso","near Tabajara, upper Machado River region",NA,NA,"V0072037F","V0072037F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-01-23 12:45:50-02","F","FMNH-SEEDPLANTS","V0072038F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Lucuma","inflexa","Lucuma inflexa",NA,"Isotype","B. A. Krukoff","1505","1931","11",NA,"South America","Brazil","Mato Grosso","near Tabajara, upper Machado River region",NA,NA,"V0072038F","V0072038F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-01-23 12:45:51-02","F","FMNH-SEEDPLANTS","V0072039F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Lucuma","inflexa","Lucuma inflexa",NA,"Isotype","B. A. Krukoff","1505","1931","11",NA,"South America","Brazil","Mato Grosso","near Tabajara, upper Machado River region",NA,NA,"V0072039F","V0072039F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-11-26 13:56:35-02","INPA","INPAW","1176","S","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C. Sm.) T.D. Penn.",NA,"Co&#234;lho, D.F.",NA,"1961","11","30",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,"T.D. Pennigton","-60.025","-3.10194","Manaus","1989","138090","auto",NA,NA,NA,NA,NA,NA,NA,"01","01",NA,NA
"22","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000952574","S","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.","Isotype","Boris Alexander Krukoff; b.1898; d.1983; Krukoff","1505","1931","11",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"NHMUK:ecatalogue:605075",NA
"23","2010-08-16 16:36:13-03","A","HU-HERB","A 00075640","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Lucuma","inflexa","Lucuma inflexa","A. C. Smith","Type","B. A. Krukoff","1505","1931","12","3","South America","Brazil","Mato Grosso","Near Tabajara, upper Machado River region, terra firma","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1505",NA,NA,NA,NA,NA,NA,NA,"undetermined"
"24","2014-09-23 10:59:44-03","G","G","G00439581","S","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A. C. Sm.) T. D. Penn.","ISOTYPUS of Lucuma inflexa A. C. Sm.","Krukoff, B. A.","1505","1931",NA,"00","AMERIQUE DU SUD","Brazil","Mato Grosso",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00439581",NA,"?","-55.92333333","-13.40083333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-55.92333333","-13.40083333",NA,NA,NA,NA
