"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"12","2021-04-05 14:25:58-03","UNESC","CRI","14088","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Amanda Matiola","Valdemar Boff & Vanilde Citadini",NA,"1998","02","26","Brasil","Santa Catarina","Laguna","-48.7807998657227","-28.4825000762939",NA,NA,"CRI012738",NA,"Campos verdes- Fazenda João Sargento","2018","10","30",NA,NA,"Flores amarelas Habitat: Terrestre Habito: Arbustivo","21199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:58-03","UNESC","CRI","14084","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Amanda Matiola, Caleb Borges & Júlia Guissone","Valdemar Boff & Vanilde Citadini",NA,"1998","02","26","Brasil","Santa Catarina","Laguna","-48.7807998657227","-28.4825000762939",NA,NA,"CRI012734",NA,"Campos Verdes- Fazenda João Sargento","2018","10","30",NA,NA,"Habitat: Terrestre Habito: Arbustivo","21199","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:58-03","UNESC","CRI","12597","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Renato Colares & Aline V. Guislon","Alexandre Medeiros",NA,"2017","05","17","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010804",NA,"Taquaras - Costão","2017","08","23",NA,NA,"Coleta 319 Habito: Arbustivo","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00892019","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","J. A. Rizzo","3853","1969","03","03","Brazil","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,"NY00892019","NY00892019_01","Na GOM-9 para Nerópolis, a 2 km da Escola de Agronomía e Veterinaria. Ocorre o Córrego Samambaia",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 12:36:00-02","NY","NYBG","799061","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"L. B. Smith","R. M. Klein","9400","1971","05","18","Brazil","Santa Catarina","Palhoça","-48.6678","-27.6456",NA,NA,"NY00799061","NY00799061_01","Morro do Cambirela, Palhoça",NA,NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724483' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","448843","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","M. Silveira","1105","1995","11","22","Brazil","Acre","Tarauacá","-71.3444","-8.4472",NA,NA,"NY00448843","NY00448843_01","Bacia do Alto Juruá, Rio Tarauacá, margem esquerda. Reserva Indígena Praia do Carapana, colocaçao Nova Morada.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724511' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00892015","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","J. A. Rizzo","3016","1968","12","06","Brazil","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,"NY00892015","NY00892015_01","A esquerda do Ribeirao Dourado, próximo a sua cabeceira",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961585' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","227654","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","L. de F. de Carvalho","W. W. Thomas","9183","1992","05","07","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"NY00227654","NY00227654_01","7.3 km N of Serra Grande on rd to Itacaré.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724453' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2016-11-01 12:36:00-02","NY","NYBG","396452","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"N. M. Bacigalupo","T. M. Pedersen","12596","1979","12","01","Brazil","Rio Grande do Sul","Pelotas","-52.3422","-31.7719",NA,NA,"NY00396452","NY00396452_01","Morro Redondo. hedge by the roadside",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724455' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1322549","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.",NA,"C. E. O. Kuntze","920","1874","04",NA,"Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY01322549","NY01322549_01","Trinidad",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1539423' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1146444","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","P. G. Delprete","9466","2006","01","21","Brazil","Goiás","Formosa","-47.1078","-15.4456",NA,NA,"NY01146444","NY01146444_01","Distrito de Bezerra. Estrada de chão p/ o Buraco das Araras ca. 3 km de Bezerra.",NA,NA,NA,"910","910","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1340884' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2016-11-07 12:00:00-02","NY","NYBG","1280386","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"S. M. Silva","S. M. Silva","s.n.","1986","04","12","Brazil","Paraná","Caiobá",NA,NA,NA,NA,"NY01280386","NY01280386_01","Ilha do Farol",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1604738' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","949081","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. A. Steyermark","H. S. Irwin","24533","1969","03","16","Brazil","Goiás","Cavalcante","-47.5167","-13.77324",NA,NA,"NY00949081","NY00949081_01","Chapada dos Veadeiros, ca. 38 km north of Veadeiros",NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023666' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","396477","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. A. Steyermark","J. J. Wurdack","1102","1962","06","29","Peru","Amazonas","Bongará",NA,NA,NA,NA,"NY00396477",NA,"Lower portion of Shipasbamba-Pomacocha trail",NA,NA,NA,"1600","1900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724441' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2016-10-28 16:54:00-02","NY","NYBG","00892040","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"M. L. Fonseca","M. L. Fonseca","1733","1997","11","22","Brazil","Goiás","Niquelândia","-48.4194","-14.3583",NA,NA,"NY00892040","NY00892040_01","Morro à esquerda do Trevo para Macedo Velho",NA,NA,NA,"930","930","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961612' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 04:06:00-03","NY","NYBG","1322554","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"W. E. Broadway","3002","1909","09","06","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY01322554","NY01322554_01","Tobago. The widow. Common along banks climbing over shrubs.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1539428' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","501902","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","J. G. Jardim","1726","1998","03","28","Brazil","Bahia","Ilhéus","-39.0492","-14.7892",NA,NA,"NY00501902","NY00501902_01","Ca. de 12 km do Distrito de Banco da Vitória na rodovia para o povoado de maria Jape. Faz. parque Arte Verde ca. de 1 km do povodao",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724506' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","501906","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","A. M. Amorim","3007","1999","04","26","Brazil","Bahia","Morro do Chapéu","-41.1558","-11.5503",NA,NA,"NY00501906","NY00501906_01","Morro da torre de Transmissao",NA,NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724507' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2016-11-07 12:00:00-02","NY","NYBG","1280416","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"R. de Lemos Fróes","11507","1939","02",NA,"Brazil","Maranhão","São Luís","-44.3028","-2.5297",NA,NA,"NY01280416","NY01280416_01","Island of São Luiz. Estrada do Sacavem.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1605104' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2016-09-29 16:20:00-03","NY","NYBG","396507","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"J. E. Montes","27611","1958","03","27","Argentina","Misiones","San Ignacio",NA,NA,NA,NA,"NY00396507",NA,"Nacanguazú",NA,NA,NA,"290","290","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630413' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2016-11-07 12:00:00-02","NY","NYBG","1280417","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"G. Gardner","324",NA,NA,NA,"Brazil","Goiás",NA,NA,NA,NA,NA,"NY01280417","NY01280417_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1605105' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2016-10-28 14:05:00-02","NY","NYBG","949114","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"J. H. Kirkbride Jr.","G. J. Shepherd","3825","1976","11","30","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY00949114","NY00949114_01","Estrada Três Marias a Corinto, Km. 62",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023875' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","802572","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","C. M. Taylor","D. C. Daly","10502","2000","12","08","Brazil","Acre","Marechal Thaumaturgo","-72.7144","-8.9711",NA,NA,"NY00802572","NY00802572_01","Rio Juruá, right bank, Mato Grosso",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724468' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","949105","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. A. Steyermark","R. P. Belém","2012","1965","12","16","Brazil","Goiás",NA,NA,NA,NA,NA,"NY00949105","NY00949105_01","Margem da Rodovia Brasilia-Anápolis.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023861' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","396459","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","C. M. Taylor","A. M. V. de Carvalho","4562","1994","07","19","Brazil","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,"NY00396459","NY00396459_01","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724465' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02499290","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","D. C. Zappi","W. W. Thomas","9785","1993","05","02","Brazil","Bahia","Itacaré","-39.27","-14.25",NA,NA,"NY02499290","NY02499290_01","6.7 km south of junction with BA 654 at Loteamento Marambaia on road to Serra Grande, the junction 6 km west of Itacaré",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757717' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"38","2016-10-28 16:54:00-02","NY","NYBG","00892046","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"C. B. Costa","F. C. A. Oliveira","712","1996","11","30","Brazil","Goiás","Niquelândia","-48.4192","-14.3867",NA,NA,"NY00892046","NY00892046_01","Macedo ca. 6 km à esquerda da mina de níquel passando pelo teleférico",NA,NA,NA,"1015","1015","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961618' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","663257","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","W. W. Thomas","12872","2002","03","10","Brazil","Bahia","Morro do Chapéu","-41.159","-11.61675",NA,NA,"NY00663257","NY00663257_01","8 km S of town of Morro do Chapéu on road to Utinga",NA,NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=724514' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"40","2016-10-28 16:58:00-02","NY","NYBG","887160","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,"J. M. A. Braga","J. M. A. Braga","7336","2004","01","05","Brazil","Espírito Santo","Guarapari","-40.5108","-20.6581",NA,NA,"NY00887160","NY00887160_01","Setiba, Parque Estadual Paulo César Vinha, Praia do Setibão, trilha na beira mar em direção a Lagoa dos Carais (Lagoa da Coca-cola)",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085276' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","949124","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. H. Kirkbride Jr.","H. S. Irwin","34945","1972","01","24","Brazil","Goiás","Niquelândia","-48.45","-14.67595",NA,NA,"NY00949124","NY00949124_01","ca. 25 km S. of Niquelândia",NA,NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023908' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"42","2016-11-07 12:00:00-02","NY","NYBG","1280391","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"R. P. Belém","2505","1966","07","06","Brazil","Bahia","Belmonte","-38.88","-15.86",NA,NA,"NY01280391","NY01280391_01","Belmonte",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1604878' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","687082","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","F. Ehrendorfer","73902-17.2b","1973","09","02","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00687082","NY00687082_01","Peruíbe, Serra do Mar, 80 km SW Santos, 1-2 NE of Peruíbe.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856504' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","949083","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. H. Kirkbride Jr.","H. S. Irwin","34947","1972","01","24","Brazil","Goiás","Niquelândia","-48.45","-14.67595",NA,NA,"NY00949083","NY00949083_01","ca. 25 km S. of Niquelândia",NA,NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023671' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","949121","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","P. G. Delprete","Collector unspecified","793",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00949121","NY00949121_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023904' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"46","2016-09-30 04:06:00-03","NY","NYBG","1322555","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba",NA,NA,"E. K. Ramcharan","336","1977","11","22","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY01322555","NY01322555_01","Trinidad. Manzanilla Bay.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1539429' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
