"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"16","2021-03-15 16:37:00-03","NY","NYBG","1281490","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","H. S. Irwin","10432","1965","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694439' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281490","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Cabeceiras","Serra do Rio Preto, ca. 12 km E. of Cabeceiras","-46.8713","-15.8","NY01281490_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1281487","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","B. Dubs","476","1987","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694431' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281487","Magnoliophyta","Rosales","Reissek","M. Islam","Mato Grosso do Sul",NA,"Fazenda Salina, Pantanal do Rio Negro","-56.17","-19.5","NY01281487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1281483","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","G. G. Hatschbach","25069","1970","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281483","Magnoliophyta","Rosales","Reissek","M. Islam","Mato Grosso do Sul","Rio Brilhante","Rod. Br 267, Entroncamento.","-54.5464","-21.8019","NY01281483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1281484","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","R. de Lemos Fróes","2050","1933","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694422' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281484","Magnoliophyta","Rosales","Reissek","M. Islam","Maranhão",NA,"Malhadinho. Region of River Grajahu.",NA,NA,"NY01281484_01 NY01281484_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1281492","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","E. P. Heringer","5610","1980","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281492","Magnoliophyta","Rosales","Reissek","M. Islam","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797","NY01281492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1281496","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","A. F. Regnell","1540","1848","12","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694542' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281496","Magnoliophyta","Rosales","Reissek","M. Islam","Minas Gerais",NA,"Uberara, Formigas.",NA,NA,"NY01281496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1281489","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","K. Mizoguchi","1411","1980","01","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694437' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281489","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Acreúna","Fazenda de Agua da Prata. 800 km from São Paulo","-50.3767","-17.3958","NY01281489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02098568","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","W. W. Thomas","12374","2001","03","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=644792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098568","Magnoliophyta","Rosales","Reissek","P. Fiaschi","Bahia","Itaju do Colônia","7.5 km southeast of Itajú do Colônia on road to Palmira","-39.6575","-15.1536","NY02098568_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1281494","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","W. W. Thomas","4665","1985","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281494","Magnoliophyta","Rosales","Reissek","M. Islam","Mato Grosso","Cáceres","45 km SE of Pontes e Lacerda on road to Cáceres (BR174).","-59.033333","-15.466667","NY01281494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-08 11:09:58-03","UNESP-IBB","BOTU","22218","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Amaral Jr., A.","97","1998","10","03",NA,"Brasil",NA,NA,"arvore de 3m de alt., frutos novos","BOTU022218",NA,NA,"Reissek",NA,"Mato Grosso do Sul","Três Lagoas",NA,"-51.693472","-20.950556",NA,NA,NA,"51°41'36,5w","20°57'02s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-18 09:30:31-03","UNESP-IBB","BOTU","9805","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Gemtchújnicov, I.D.",NA,"1967","08","28",NA,"Brasil",NA,NA,NA,"BOTU009805",NA,NA,"Reissek",NA,"São Paulo","Agudos",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-13 09:20:47-03","UFRJ","RFA","9546","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","G.G. Hatschbach","20275","1968","11","12",NA,"Brasil",NA,NA,"Arvoreta de 4m, flôr creme, clareiras da mata pluvial, base oriental da serra","RFA28114",NA,NA,"Reissek","G.G. Hatschbach","Paraná","Campina Grande do Sul","Serra da Virgem Maria","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:32:12-03","UFRJ","RFA","23244","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","B. M. T. Walter; B. José Dias; M. Pereira Neto; R.C. Mendonça","118","1989","03","04",NA,"Brasil",NA,NA,"Árvore, 10 metros de altura; frutos maduros de cor preta com sabor adocicado. Coletado no interior da mata","RFA18966",NA,NA,"Reissek","B. A. S. Pereira","Minas Gerais","Paracatu","BR 40, entre Paracatu e João Pinheiro","-46.766667","-17.3",NA,NA,NA,"46º46'W","17º18'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-24 17:11:00-03","UTFPR","DVPR","2662","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Souza, LRM; Francisco, EM","s.n.","1997","12","12",NA,"Brasil",NA,NA,"Árvore 6m, frutos imaturos verdes e maduros pretos.","DVPR002662","Magnoliophyta",NA,"Reissek","Vieira, AOS","Paraná","Jataizinho","Mata ciliar do rio Tibagi","-50.9799995422363","-23.2541999816895",NA,NA,NA,NA,NA,"16845","auto","1998","07","02",NA,NA,NA,NA,NA,NA
"30","2016-10-18 16:27:40-02","UNEMAT","TANG","760","S","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Anônimo","s.n.","2005","12","01",NA,"Brasil",NA,NA,"folhas grandes e escurasflores de cor verde escurofrutos negros,","TANG000000760",NA,NA,"Reissek",NA,"Mato Grosso","Tangará da Serra","Sítio Mina Azul","-57.4858016967773","-14.6194000244141",NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:47:27-03","EAO","IAN","21745","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","cognatum","Rhamnidium cognatum","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN021745","Dicotiledônea",NA,"Reiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:47:27-03","EAO","IAN","153911","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Irwin, HS; Souza, R","10432","1965","11","17","Southern America","Brasil",NA,NA,"Tree ca. 4m x 6cm. Corolla yellow-green, spotted brown.","IAN153911","Dicotiledônea",NA,"Reissek","Kallunki, JA","Goiás",NA,"Cerrado, and gallery, ca. 12km E of Cabeceiras.","-47","-16",NA,"1000","1000","-47","-16",NA,NA,"1976",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:47:27-03","EAO","IAN","118391","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Jesus, JO de","90","1963","12","26","Southern America","Brasil",NA,NA,"Arbusto de 1m de altura; frutos verdes.","IAN118391","Dicotiledônea",NA,"Reissek","Figueira, M","Minas Gerais",NA,"Coração de Jesus, mata ciliar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","05","10",NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:47:27-03","EAO","IAN","154012","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Irwin, HS; Anderson, WR","34978","1972","01","24","Southern America","Brasil",NA,NA,"Tree ca. 4m x 8cm; fruit green.","IAN154012","Dicotiledônea",NA,"Reissek","Kallunki, JA","Goiás",NA,"Gallery, cerrado and adjacent gallery forest ca. 11km S of Niquelândia.",NA,NA,NA,"750","750",NA,NA,NA,NA,"1976",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:47:27-03","EAO","IAN","159873","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Pires, JM; Furtado, PP","17317","1980","10","23","Southern America","Brasil",NA,NA,NA,"IAN159873","Dicotiledônea",NA,"Reissek","Barroso, GM","Mato Grosso",NA,"Fazenda Santa Cruz, 25km E de Porto Murtinho P9 (RADAM).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:47:27-03","EAO","IAN","97032","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Guedes, TN","540","1958","03","09","Southern America","Brasil",NA,NA,"Árvore de 4 metros de altura, com frutos.","IAN097032","Dicotiledônea",NA,"Reissek","Walter, B","Ceará",NA,"Serra de Meruoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012","09","25",NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:47:27-03","EAO","IAN","99024","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Ducke, A","2363","1954","11","14","Southern America","Brasil",NA,NA,"Arbusto, flôr verde.","IAN099024","Dicotiledônea",NA,"Reissek","Walter, B","Ceará","Fortaleza","Barra do Cocó, Mata do Diogo.","-38.543098449707","-3.71722006797791",NA,NA,NA,NA,NA,"19924","auto","2012","09","25",NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:47:27-03","EAO","IAN","192440","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Pagano, SN; Manzatto, AG; Guimarães, MC","135","1996","06","03","Southern America","Brasil",NA,NA,"Herbácea, Flores verdes.","IAN192440","Dicotiledônea",NA,"Reissek",NA,"São Paulo","Brotas","Fazenda Limoeiro.","-48.1199989318848","-22.2800006866455",NA,NA,NA,NA,NA,"26585","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-02 16:29:16-03","CPAN-UFMS","COR","11320","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Damasceno Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","4025","2005","12","11",NA,"Brasil",NA,NA,"Árvore com 7 m de altura; fruto imaturo verde Habito: Árvore",NA,NA,NA,"Reissek","Damasceno Júnior, G. A.","Mato Grosso do Sul","Porto Murtinho","Fazenda Harmonia","-56.779722","-21.2225",NA,"628","628","56º46'47''W","21º13'21''S",NA,NA,"2005","12","09",NA,NA,NA,NA,NA,NA
"40","2020-11-26 18:09:32-03","CPAN-UFMS","COR","2527","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Ratter,J.A.;Pott,A.;Pott,V.J. et alii","6011","1987","11","19",NA,"Brasil",NA,NA,"Com Flor: amarelo-esverdeado",NA,NA,NA,"Reissek",NA,"Mato Grosso do Sul","Corumbá","Albuquerque.","-57.416667","-19.4",NA,NA,NA,"57º25'0''W","19º24'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-02 16:29:16-03","CPAN-UFMS","COR","16437","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Martinelli, G.; Moraes, M.A.; Serrano, T.","16716","2010","11","30",NA,"Brasil",NA,NA,"6 m de altura; folhas verdes discolores; Com Fruto: Frutos imaturos de cor verde Habito: Arvoreta",NA,NA,NA,"Reissek","Guimarães, E.F.; Mendes, T.S.","Mato Grosso do Sul","Corumbá","Serra do Amolar, morraria atrás do povoado do Amolar. Floresta estacional semidecídua.","-57.488889","-18.04",NA,NA,NA,"57º29'20''W","18º2'24''S",NA,NA,"2015","03","09",NA,NA,NA,NA,NA,NA
"42","2020-11-26 18:09:32-03","CPAN-UFMS","COR","11314","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3763","2005","09","05",NA,"Brasil",NA,NA,"Árvore com 2 m de altura; inflorescência imatura Habito: Árvore",NA,NA,NA,"Reissek",NA,"Mato Grosso do Sul","Bodoquena","Fazenda Santa Laura; afloramento rochoso","-56.75","-20.783333",NA,"454","454","56º45'0''W","20º47'0''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-26 18:09:32-03","CPAN-UFMS","COR","13539","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Ishii, I. H.; Urquiza, M. V. S.; Conceiçãol, V.; Mendes, M. C. & Arruda, W. S.","719","2009","09","12",NA,"Brasil",NA,NA,"Arbusto com 2 m de altura; flor branca; fruto verde Habito: Arbusto",NA,NA,NA,"Reissek",NA,"Mato Grosso do Sul","Corumbá","Assentamento Taquaral","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-26 18:09:32-03","CPAN-UFMS","COR","13188","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Ishii, I. H.; Urquiza, M. V. S.; Conceição, V.; Mendes, M. C. & Arruda, W. S.","719","2009","09","12",NA,"Brasil",NA,NA,"Arbusto com 2 m de altura; flor branca; fruto verde Habito: Arbusto",NA,NA,NA,"Reissek",NA,"Mato Grosso do Sul","Corumbá","Assentamento Taquaral","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-26 18:09:32-03","CPAN-UFMS","COR","3776","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Delgado,L.B.;Andrade,M.H.",NA,"1992","10","24",NA,"Brasil",NA,NA,"Com fruto:vermelho",NA,NA,NA,"Reissek",NA,"Mato Grosso do Sul","Corumbá","Baía do Jacadigo - área de entorno.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
