"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","individualCount"
"11","2020-12-21 16:11:42-03","MBM","MBM","20189","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Guimarães, O.; Guimarães, O.","26903","1971","08","11","Brazil","Paraná","Guarapuava","Palmeirinha","-51.4580993652344","-25.395299911499","53832","Arbusto 1,70m, flor creme.; Capoeira.","MBM020189","auto","02","15",NA,NA,NA,NA,"MBM020189",NA,NA,"Southern America",NA
"12","2020-12-21 16:11:42-03","MBM","MBM","347119","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Silva, J.M.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.","6997","2008","09","26","Brazil","Paraná","Guarapuava","Rio das Pedras","-51.4580993652344","-25.395299911499","53832","Arbusto, 2m, fruto imaturo verde. Orla do capão; Arbusto 2m, fruto imaturo verde.; Orla do capão.","MBM347119","auto","02","15",NA,NA,NA,NA,"MBM347119",NA,NA,"Southern America",NA
"13","2020-12-21 16:11:42-03","MBM","MBM","263234","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Ribas, O.S.; Barboza, E.; Ribas, O.S.; Barboza, E.","72272","2001","08","25","Brazil","Paraná","Turvo","Rio Bonito, Rod. PR-460","-51.5297012329102","-25.0428009033203","36663","Arbusto 1,50m, flor creme.; Mata de galeria.","MBM263234","auto","02","15",NA,NA,NA,NA,"MBM263234",NA,NA,"Southern America",NA
"14","2020-12-21 16:11:42-03","MBM","MBM","280579","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Wasum, R.","1537","2002","08","18","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda Passo da Guarda","-50.4166984558105","-28.6678009033203","55856","Interior da mata.","MBM280579","auto","02","15",NA,NA,"1000","1000","MBM280579",NA,NA,"Southern America",NA
"15","2020-12-21 16:11:42-03","MBM","MBM","418391","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Meyer, F.S.","2018","Meyer, F.S.; Zampier, M.A.; Zampier, M.A.","2441","2018","11",NA,"Brazil","Santa Catarina","Ponte Alta do Norte","FRP - Fazenda Rio das Pedras","-50.409906","-27.120969",NA,"Arbusto ca. 2 m altura; ramos armados de espinhos; frutos maduros vermelhos.; Floresta Ombrófila Mista Aluvial em regeneração, estágio inicial.","MBM418391",NA,"11",NA,"-50.409906","-27.120969",NA,NA,NA,NA,NA,"Southern America",NA
"16","2020-12-21 16:11:42-03","MBM","MBM","108810","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","49546","1985","08","19","Brazil","Paraná","Guarapuava","Palmeirinha","-51.4580993652344","-25.395299911499","53832","Arbusto agressivvo, ramoso, 2m. Flores creme esverdeado.; Borda do campo.","MBM108810","auto","02","15",NA,NA,NA,NA,"MBM108810",NA,NA,"Southern America",NA
"17","2020-12-21 16:11:42-03","MBM","MBM","263236","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Goldenberg, G.; Silva, J.M.; Goldenberg, G.; Silva, J.M.","72386","2001","09","19","Brazil","Paraná","Palmas","Rod. PR-449, próximo ao km 20","-51.9906005859375","-26.4841995239258","46666","Arbusto 3m.; Orla do capão.","MBM263236","auto","02","15",NA,NA,"800","800","MBM263236",NA,NA,"Southern America",NA
"18","2020-12-21 16:11:42-03","MBM","MBM","267485","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","72654","2001","11","13","Brazil","Rio Grande do Sul","Bom Jesus","Rio Pelotas, Rodovia São Joaquim - Bom Jesus","-50.4166984558105","-28.6678009033203","55856","Arbusto 3m.; Floresta da beira de rio.","MBM267485","auto","02","15",NA,NA,NA,NA,"MBM267485",NA,NA,"Southern America",NA
"19","2020-12-21 16:11:42-03","MBM","MBM","338631","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.",NA,"Marchett, F.","647","2007","10","28","Brazil","Rio Grande do Sul","Jaquirana","Fazenda Vitória","-50.3577995300293","-28.8847007751465","31282","Interior da mata; Interior da mata.","MBM338631","auto",NA,NA,NA,NA,"800","800","MBM338631",NA,NA,"Southern America",NA
"20","2020-07-25 16:27:00-03","MO","MOBOT","2867824","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","G. Hatschbach",NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 19877","1968","9","27","Brazil","Paraná","Guarapuava","Guara.","-51.4580993652344","-25.395299911499","53832",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1"
"21","2009-07-21 23:34:00-03","MO","MOBOT","2452787","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.",NA,NA,"Per Dusén","Dusén 11093","1911","1","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA
"22","2008-07-02 15:10:00-03","MO","MOBOT","2867950","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","J.R. Pirani",NA,"Gert G. Hatschbach","Hatschbach 14971","1966","10","18","Brazil","Paraná",NA,"Faxinal ( mun. Bituruna).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1"
"23","2021-03-15 18:24:23-03","USP","SPF","212396","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2015","Silva-Luz, CL; Luz, LF","207","2013","11","18","Brasil","Paraná","Guarapuava","Rodovia BR 277, próximo ao km 320, em direção à Guarapuava. Região de Guara. Estrada de terra antes da Unidade Rodoviária Federal.","-51.259028","-25.371306",NA,"Árvore até 3 m alt., ramificada; ramos prostrados. Folhas verdes discolores, folhas jovens verde-claras. Frutos verde-avermelhados. Sépalas persistentes marrons.","SPF00212396",NA,"03","31","-51.259028","-25.371306","1221","1221",NA,NA,NA,NA,NA
"24","2019-11-13 11:14:25-03","USP","SPF","222876","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2016","Caxambu, MG","2662","2009","08","06","Brasil","Paraná","Turvo","Propriedade da família Rickli.","-51.55","-25.033333",NA,NA,"SPF00222876",NA,"08","11","-51.55","-25.033333","1025","1025",NA,NA,NA,NA,NA
"25","2019-11-13 11:14:25-03","USP","SPF","32711","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Pirani, JR","1984","Hatschbach, G","14971","1984","05","18","Brasil","Paraná","Bituruna","Faxinal.","-51.5525016784668","-26.1613998413086","30743","Arbusto, flor creme.","SPF00032711","auto","05","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:14:25-03","USP","SPF","32710","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Pirani, JR","1984","Hatschbach, G","14992","1966","10","18","Brasil","Paraná","General Carneiro","Cab. Rio Iratin. Capão.","-51.315601348877","-26.4274997711182","33284","Arvoreta 4 m.","SPF00032710","auto","05","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:14:25-03","USP","SPF","33708","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Pirani, JR","1984","Hatschbach, G","26903","1971","08","11","Brasil","Paraná","Guarapuava","Palmeirinha. Capoeira.","-51.4580993652344","-25.395299911499","53832","Arbusto 1,70 m, flor creme.","SPF00033708","auto","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:14:25-03","USP","SPF","153205","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2015","Hatschbach, G; Goldenberg, R; Silva, JM","72441","2001","09","20","Brasil","Paraná","Inácio Martins","Rio Bananas. Capão com araucária.","-51.0788993835449","-25.5711002349854","35964","Arvoreta, 3 m, flor creme.","SPF00153205","auto","03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 18:24:23-03","USP","SPF","216471","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2014","Silva-Luz, CL","333","2014","12","23","Brasil","Santa Catarina","Itaiópolis","BR 116 em direção a Mafra. Lado esquerdo da estrada, ao lado da base do Serviço de Apoio ao Usuário.","-49.9063987731934","-26.3363990783691","51919","Arvoreta ca. 4 m alt. Folhas verdes discolores.; Borda de Mata Atlântica antropizada.","SPF00216471","auto","12","23",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-23 19:30:26-03","UEL","FUEL","7247","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Hatschbach, G","1986","Hatschbach, G; Cervi, AC","49546","1985","08","19","Brasil","Paraná","Guarapuava","Palmeirinha","-51.4580993652344","-25.395299911499","53832",NA,"FUEL009905","auto","07",NA,NA,NA,NA,NA,NA,"Tracheophyta","Sapindales",NA,NA
"31","2020-12-23 19:30:26-03","UEL","FUEL","16458","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Rambo, B",NA,"Sehnem, A","3857b","1949","09","21","Brasil","Rio Grande do Sul","Montenegro","L. Campestre","-51.4611015319824","-29.6886005401611","21601",NA,"FUEL009904","auto",NA,NA,NA,NA,"450","450",NA,"Tracheophyta","Sapindales",NA,NA
"32","2021-02-08 12:31:41-03","UFRGS","ICN","042833","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Hagelund, K","5937","1970","09","05","Brasil","PR","Guarapuava",NA,"-51.4580993652344","-25.395299911499","53832",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"33","2021-02-08 12:31:41-03","UFRGS","ICN","128132","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Hagelund, K","5937","1970","09","05","Brasil","PR","Guarapuava",NA,"-51.4580993652344","-25.395299911499","53832",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"34","2021-02-08 12:31:41-03","UFRGS","ICN","042821","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C L","2017","Fleig, M","903","1978","01","05","Brasil","RS","Bom Jesus","Estrada p/ Vacaria(secundária)","-50.4166984558105","-28.6678009033203","55856","Frutos com de vinho",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"35","2021-02-08 12:31:41-03","UFRGS","ICN","153339","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Hagelund, K","2545",NA,NA,NA,"Brasil","RS","Giruá","Granja Sodol","-54.3497009277344","-28.028299331665","23862","Doação de Karner Hagelund. UNICATA",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"36","2021-02-08 12:31:41-03","UFRGS","ICN","128133","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Hagelund, K","928","1963","09","01","Brasil","RS","Giruá","Granja Sodol","-54.3497009277344","-28.028299331665","23862",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"37","2021-02-08 12:31:41-03","UFRGS","ICN","087520","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Klein, RM","5530","1964","08","26","Brasil","SC","Abelardo Luz",NA,"-52.3283004760742","-26.5646991729736","35836","Arbusto, 2m altura.; Campo.",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA
"38","2021-02-08 12:31:41-03","UFRGS","ICN","087522","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Klein, RM","5532","1964","08","26","Brasil","SC","Abelardo Luz",NA,"-52.3283004760742","-26.5646991729736","35836","Arbusto, Fruto imaturo, verde, ca 2m de altura",NA,"auto",NA,NA,NA,NA,"900","900",NA,"Dicotyledon",NA,"América do Sul",NA
"39","2021-02-08 12:31:41-03","UFRGS","ICN","087521","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Klein, RM","3021","1962","09","15","Brasil","SC","Canoinhas","Horto Florestal I.N.P.","-50.3899993896484","-26.1772003173828","50616","Arbusto, flor branca, ca 1,5 m de altura",NA,"auto",NA,NA,NA,NA,"750","750",NA,"Dicotyledon",NA,"América do Sul",NA
"40","2021-02-08 12:31:41-03","UFRGS","ICN","087514","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Klein, RM","3142","1962","09","17","Brasil","SC","Curitibanos",NA,"-50.584400177002","-27.2828006744385","25987","Arbusto, Fruto imaturo, verde, ca 3m de altura",NA,"auto",NA,NA,NA,NA,"950","950",NA,"Dicotyledon",NA,"América do Sul",NA
"41","2021-02-08 12:31:41-03","UFRGS","ICN","087519","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, CL","2017","Klein, RM","2947","1962","09","13","Brasil","SC","Curitibanos","Ponte Alta do Sul","-50.584400177002","-27.2828006744385","25987","ca 3 m de altura; Arbusto, Fruto imaturo, verde, ca 3m de altura",NA,"auto",NA,NA,NA,NA,"900","900",NA,"Dicotyledon",NA,"América do Sul",NA
